last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
03-02-2025 11:40,23340,96600,75,-300,33900,-27825,YES,-975,Y,-0.63,23343,23340,23352.95,23325.95,71.9,2367525,-900,1200,48600,98475,Y,41175,N,-0.81,176.95,1804800,450,-675,40425,-50100,Y,-9675,Y,0.48,49340,15630,30,-60,10290,-29580,YES,2070,Y,-0.87
03-02-2025 11:45,23353.35,39225,75,0,34950,27300,Y,6975,N,-0.14,23340,23353.35,23354.8,23337.8,74.1,1124925,1725,-1200,53850,62100,N,-4500,Y,-0.31,171.6,708000,1125,1275,44550,15000,YES,26325,Y,0.04,49375.45,16110,-60,-30,11130,3570,Y,5220,N,-0.7
03-02-2025 11:50,23355.75,32925,75,-525,30675,-1200,YES,6075,N,-0.06,23353.4,23355.75,23359.6,23350,74,674100,-1650,-975,45900,1200,YES,67200,YES,-0.17,171.45,425325,375,-600,39975,-24000,Y,21975,N,-0.01,49341,7530,-30,-90,12960,-2820,YES,-6720,Y,-0.12
03-02-2025 11:55,23363.05,31725,0,-75,24600,-900,N,-6450,Y,-0.01,23354.75,23363.05,23365.9,23354.75,75.75,867600,2400,1350,47775,-3525,YES,2175,Y,-0.19,165.8,638400,-675,-225,41325,-825,YES,825,YES,-0.1,49411.55,7800,60,0,10380,1590,N,-3570,N,0.12
03-02-2025 12:00,23379,40875,75,-75,30000,3075,N,-5250,N,0.12,23362.1,23379,23381.4,23361.05,81.75,1624650,-2250,-1800,47625,21225,Y,-19125,Y,-0.25,154.2,827775,-225,-1800,39750,-5925,Y,17850,N,-0.31,49452.95,9960,240,0,11880,-390,YES,90,N,0.51
03-02-2025 12:05,23375.75,34200,150,0,26775,4350,N,-9675,Y,0.15,23379,23375.75,23384.8,23374.05,79.7,1272975,-1200,-825,55425,-24675,YES,18750,YES,-0.15,156.45,659025,0,-375,48075,11175,N,10200,N,-0.3,49430.2,10800,-270,90,10920,-10350,YES,10260,N,0.66
03-02-2025 12:10,23380.3,25725,-2775,675,22500,8100,N,-10875,Y,0.11,23375,23380.3,23388.2,23370,81.75,1338750,-675,300,48600,14775,Y,-86625,Y,-0.15,150.35,881925,-600,0,42675,12150,N,26175,N,-0.41,49470.2,9930,60,30,10620,1920,N,-2970,Y,0.75
03-02-2025 12:15,23364,21525,-300,450,24825,-4875,YES,2100,N,0.07,23380.3,23364,23383.95,23363.45,76.85,1123425,-1125,1875,49425,-32025,YES,70875,YES,-0.14,158.8,579450,750,-300,44250,30750,N,-2700,YES,-0.25,49475.2,12330,0,-60,10740,6180,N,690,N,1.31
03-02-2025 12:20,23370.95,38475,150,-750,29775,11250,N,-55350,Y,0.04,23364,23370.95,23375.55,23357.7,80.7,1231050,-1725,-3150,47025,59625,Y,-13800,Y,-0.18,156.15,855150,-375,375,41775,-6075,Y,6450,N,-0.24,49484.9,6060,60,0,9600,-540,YES,-1830,Y,0.58
03-02-2025 12:25,23377.55,26850,-150,-2475,22050,-4500,YES,6075,YES,0.11,23370.95,23377.55,23384.9,23370,81.35,1442025,2700,675,52950,3750,N,4050,N,-0.11,153.85,728775,75,900,45525,3150,N,24975,N,-0.32,49455,9150,0,-120,12570,1590,N,-7320,Y,0.94
03-02-2025 12:30,23381.35,20700,825,0,27975,4950,N,2700,Y,0.08,23377.55,23381.35,23383.7,23372,82.35,762375,225,1050,53250,55200,Y,15900,N,-0.07,151.65,307350,-1875,375,40125,8625,N,7725,N,-0.12,49486.6,12180,0,-30,12030,4980,N,-690,N,1.29
03-02-2025 12:35,23363.05,18075,-225,-150,31950,3900,N,-1275,Y,0.04,23381.35,23363.05,23384.65,23361,78.3,932325,2250,900,47175,-41550,YES,-72150,Y,-0.11,160,596850,675,75,48300,3000,N,-18600,YES,-0.17,49485.4,9090,-60,0,8580,690,YES,-3420,Y,1
03-02-2025 12:40,23367.8,16650,-300,150,18225,2175,YES,-14850,Y,0.01,23363.05,23367.8,23370,23361.05,79.35,675675,-2175,-1275,45225,31200,Y,94200,YES,-0.09,158,473325,75,-300,43575,-18600,Y,-4425,N,-0.1,49476.75,6120,0,-30,10920,1050,N,-16800,Y,0.57
03-02-2025 12:45,23364.95,40500,-75,0,36000,-3150,YES,-1800,N,0.01,23367.8,23364.95,23374.7,23355.75,77.45,872250,-225,-9525,47850,-67350,YES,27150,N,-0.12,161.15,571050,450,300,46650,13350,YES,-6825,YES,-0.13,49456.3,6780,-30,0,11190,-2010,YES,19290,YES,0.46
03-02-2025 12:50,23359.95,57150,-300,675,26400,-5700,YES,-2175,Y,-0.06,23364.95,23359.95,23366,23350,74.65,1012275,525,825,47550,-16200,Y,8025,N,-0.17,163.7,605175,450,-225,44175,6525,N,-8250,YES,-0.07,49445,24420,90,-90,9480,-24570,YES,-9390,Y,0.53
03-02-2025 12:55,23373.75,33825,75,0,27600,4800,N,-1800,N,0.02,23359.95,23373.75,23376.55,23353.35,81.4,1157400,375,375,42600,-3600,N,-49500,Y,-0.15,149.45,707475,-375,-150,42750,-30900,Y,3975,N,-0.22,49503.8,7800,-30,0,8130,-780,Y,-4560,N,0.7
03-02-2025 13:00,23416.1,141000,1125,75,28875,-4350,YES,-41100,Y,1.5,23373.75,23416.1,23429.7,23373.75,100.35,4395900,-825,-1950,43275,18600,Y,-391275,Y,0.38,129.2,1830900,-225,-975,44850,9075,YES,17775,N,-1.3,49589.75,26010,-30,-240,11430,870,N,-31410,Y,4
