last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
02-12-2025 10:10,22935,146325,-75,150,41025,2625,N,112575,YES,-3.98,22941,22935,31.45,3462675,1050225,1110750,56250,-17100,N,51375,YES,-1.13,261.9,737325,75,375,43800,3900,N,3450,N,1.63,49055,20640,-180,30,14430,-1980,N,10620,N,-6.12
02-12-2025 10:15,22956.55,151725,150,675,38625,110100,Y,3675,N,-4.85,22935,22956.55,37.7,5045100,1073250,904800,53475,39375,Y,-68175,Y,-1.42,244.1,1004250,0,-225,47925,67425,YES,-7875,YES,2.44,49122.4,36990,-60,0,13170,4020,N,-10200,Y,-11.1
02-12-2025 10:20,22966.05,137625,75,-375,33600,30600,N,-58800,Y,-2.71,22956.55,22966.05,37.4,2430000,1043850,1098675,52875,146100,Y,31275,YES,-0.52,237.2,372600,-150,450,46350,3225,N,16575,Y,0.71,49148,12150,-60,30,10950,20280,N,7110,N,-2.56
02-12-2025 10:25,22961.3,194250,375,300,42600,-1575,YES,10125,YES,-2.44,22968.35,22961.3,34.7,4119975,1117200,1040475,59475,-118800,YES,65250,YES,-0.77,241.7,591975,-75,0,45225,-12075,Y,-5550,YES,0.97,49158.35,20070,-30,60,11610,15090,N,5670,N,-2.81
02-12-2025 10:30,22985,89475,1275,-75,33975,-25200,YES,20775,N,-1.12,22961.3,22985,38.9,2277075,1156650,1064175,55875,107400,Y,-80100,Y,-0.41,219.5,414525,150,-750,42975,-3900,N,38250,Y,0.63,49239.05,19080,60,-30,10440,32970,N,-8220,Y,-1.5
02-12-2025 10:35,23008,217650,-2925,150,48975,-24225,N,75450,YES,-0.38,22988,23008,40.2,4168725,1115400,1046175,55125,23250,N,-150300,Y,-0.51,204.35,719850,-225,525,45750,-19875,Y,-7650,YES,0.67,49274.6,50580,300,-90,17340,7230,N,-6600,N,1.32
02-12-2025 10:40,22968.15,233925,-150,0,40500,-44775,YES,-104850,Y,-1.09,23008,22968.15,31.8,4147275,1004475,1240725,58050,-125400,YES,83550,YES,-0.62,238.55,847350,0,-375,44100,15600,YES,-17850,YES,1.03,49225,40200,-270,-210,17700,-16860,YES,-15510,Y,1.05
02-12-2025 10:45,23033.7,241200,450,-1200,41325,27675,Y,-86550,N,0.62,22970,23033.7,52.15,6531375,790350,711075,47250,-85800,Y,-306075,Y,-0.23,185.2,959025,-150,0,45975,-45825,Y,46275,Y,0.66,49390,45840,-60,30,13380,-27900,YES,25860,YES,5.04
02-12-2025 10:50,23030,200325,75,300,50850,-11550,YES,-16200,YES,1.46,23030.65,23030,50.3,6029550,631275,529725,46725,-5100,Y,162000,YES,0.37,191.7,690450,150,-225,43950,41550,YES,24375,N,0.23,49368.95,32430,0,300,12750,33060,Y,-3030,Y,5.28
02-12-2025 10:55,23013,141675,-375,-375,40200,64050,Y,-20625,Y,0.46,23023,23013,43.85,4571550,521175,541950,47325,65025,Y,12750,N,-0.06,200.7,834900,-675,75,40725,6225,N,-3600,YES,0.43,49273.3,24000,240,-300,13020,8100,N,270,N,1.78
02-12-2025 11:00,22994.65,124275,450,75,34950,525,YES,68025,YES,-0.25,23017.3,22994.65,36.95,3738525,720000,826500,52275,128775,Y,132375,YES,-0.32,222.85,777000,-375,-750,38775,-525,Y,-20775,YES,0.71,49270,18360,-240,210,9870,-5490,YES,-90,Y,-0.02
02-12-2025 11:05,23030,158850,225,-75,41550,-26625,YES,-32250,Y,-0.33,22990.1,23030,49.3,4650300,638250,564225,48000,-34875,YES,-186375,Y,-0.23,196.1,850275,150,75,42450,-32925,Y,-4650,N,0.78,49299.9,20070,90,-120,14160,-30750,YES,3960,N,-0.55
02-12-2025 11:10,23016.65,116100,9375,75,34050,6150,Y,-13725,N,0.57,23025.95,23016.65,45.05,3680175,495225,579900,47325,54375,Y,80100,YES,0.08,203.6,442725,-75,-375,43350,18975,YES,11550,N,0.18,49220,6630,30,0,13500,43320,Y,-540,Y,-0.02
02-12-2025 11:15,23033,53400,450,0,39000,-25800,YES,-5775,N,0.19,23019.5,23033,47.5,2949375,614775,601950,54150,63675,N,12375,N,-0.03,190.6,548700,75,0,42375,11175,N,30225,N,0.26,49272.5,6780,0,0,9270,90,YES,540,N,-0.17
02-12-2025 11:20,23032.6,55800,-750,-225,29775,30000,Y,-33000,Y,0.17,23033,23032.6,48.6,3206325,734475,623400,53250,-11550,YES,60150,YES,-0.08,188.45,509700,0,225,44025,-2850,Y,12000,N,0.22,49309,8520,0,-60,9930,-3720,YES,-810,Y,0.1
02-12-2025 11:25,23022.7,79050,0,75,32550,-3675,YES,26325,YES,0.35,23034.1,23022.7,42.9,2160150,675975,711675,55425,-31650,YES,57975,N,-0.02,197.75,340350,-225,0,41025,6375,N,-22350,YES,0.13,49291.2,7770,-270,0,8400,11220,N,4500,N,0.25
02-12-2025 11:30,23009.95,67200,-525,-150,31500,7575,N,-132300,Y,0.24,23022.7,23009.95,40.05,3125250,798600,799425,60975,66375,Y,9525,N,-0.12,202.9,627600,0,300,46125,-10125,Y,-7350,N,0.25,49271.95,14490,0,30,12000,2310,YES,-2580,Y,0.83
02-12-2025 11:35,23025,64125,-225,0,23400,-21825,YES,99300,YES,0,23009.95,23025,44.5,2635650,889725,731475,51675,-51225,YES,-48225,Y,-0.15,192.15,640125,-225,1650,38925,3600,N,2025,N,0.38,49328.05,8100,-210,0,9900,-18270,YES,3480,N,0.12
