last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
10-02-2025 13:55,23439.25,28725,300,-150,22950,-7200,YES,6750,YES,-0.24,23447.05,23439.25,64.1,1211700,1425,-300,44775,15975,Y,52425,YES,-0.21,272.35,147525,0,75,34950,-975,N,-900,YES,0.17,50145,5370,0,-60,7950,10440,N,-8370,Y,0.25,50149.25,50145
10-02-2025 14:00,23424.6,42825,225,-225,28200,86925,Y,3600,N,-0.43,23442.15,23424.6,58.25,911175,-225,3000,45750,-24525,YES,22575,N,-0.19,283.2,125700,-75,375,39075,13950,N,-13800,YES,0.18,50100,7950,210,600,8550,-6930,YES,2340,N,0.21,50142.9,50100
10-02-2025 14:05,23418.75,32250,-150,75,29700,-23175,YES,4350,N,-0.4,23420.15,23418.75,56.25,968925,-75,750,52875,-22575,N,14925,N,-0.24,287.1,178650,150,-525,42375,-18000,Y,-7725,N,0.28,50099.55,6570,-240,150,9510,1980,N,-34080,Y,-0.05,50100,50099.55
10-02-2025 14:10,23409.4,21750,0,-450,21450,-17175,N,19425,N,-0.3,23420.95,23409.4,54.8,713775,300,0,48000,22200,Y,46200,YES,-0.18,295,158700,750,0,50250,-5925,N,-6525,N,0.28,50038.05,6390,-60,-240,8250,-10860,YES,1740,YES,-0.25,50084.55,50038.05
10-02-2025 14:15,23414.6,26400,75,525,27825,-26850,YES,25125,N,-0.38,23407.6,23414.6,54.9,491175,-600,975,48225,-9225,YES,39975,N,-0.13,292.85,171300,525,0,36900,-2625,N,16875,Y,0.31,50061.45,6030,0,120,9390,-5310,N,900,Y,-0.24,50040.3,50061.45
10-02-2025 14:20,23408,61575,-75,-375,28650,-5550,Y,-96825,Y,-1.04,23411,23408,53.85,827850,3000,1875,46650,52875,Y,18225,N,-0.23,294.05,217200,0,300,46575,-78900,Y,-9900,YES,0.44,50063,8850,0,30,9900,3150,N,-30,Y,-0.48,50060,50063
10-02-2025 14:25,23420,31425,-300,-225,31275,12300,N,-13650,YES,-0.44,23404.65,23420,56.8,656550,-75,3300,57225,15975,N,-600,Y,-0.16,282.9,107775,75,375,35100,-8325,YES,3075,N,0.19,50099,5880,120,60,8040,6960,N,-2280,Y,-0.16,50063,50099
10-02-2025 14:30,23431,55125,-525,300,34800,-20700,YES,135300,YES,-0.48,23420,23431,58.85,1258200,3525,-2400,48225,-19950,YES,23550,YES,-0.25,275.25,157200,0,825,44700,1500,N,7350,N,0.18,50102,6600,0,-30,9960,2070,YES,2790,N,0.08,50099,50102
10-02-2025 14:35,23450,36825,0,0,28125,6825,Y,-8025,Y,-0.23,23434,23450,62.95,1367625,-225,1275,48750,12150,Y,-34275,Y,-0.21,262.15,180675,0,-900,42150,-5775,Y,-5625,YES,0.14,50146.25,11400,-150,0,9120,3510,N,-960,Y,0.36,50104,50146.25
10-02-2025 14:40,23458.75,95775,150,-1650,34125,23550,N,-1275,N,-0.16,23450,23458.75,65.55,2515575,3000,3075,50325,24900,N,-59700,Y,-0.21,255.55,413475,75,-450,46650,10800,N,18450,Y,0.08,50160.8,28830,-60,270,10980,-1680,YES,-1140,Y,2.61,50146.25,50160.8
10-02-2025 14:45,23457,40350,-300,-75,31275,77925,Y,225,N,-0.12,23454,23457,66.95,1729425,2475,150,50550,-7950,YES,-5250,YES,-0.15,254.15,258675,225,-75,39825,-1800,Y,-8100,YES,0.09,50191.75,18060,-570,-150,11400,570,N,-14040,Y,1.52,50178.25,50191.75
10-02-2025 14:50,23461,53175,0,75,33675,-3825,YES,-3150,Y,-0.09,23457,23461,68.2,1186050,-300,825,56775,-59175,YES,59700,YES,-0.09,249.55,140550,0,-150,69075,5925,N,-6900,N,0.03,50230.55,25200,-180,0,11490,930,N,-1920,N,2.79,50191.75,50230.55
10-02-2025 14:55,23475,80850,225,150,33825,-61125,YES,-49575,Y,0.03,23462.9,23475,70.25,1644225,-300,-525,51675,-675,Y,-108225,Y,-0.09,240.7,286950,-75,-375,82125,-12750,Y,18450,Y,-0.04,50275.1,36690,60,90,13500,2340,N,-43350,Y,4.63,50230.55,50275.1
10-02-2025 15:00,23460,108150,-75,75,36975,-12450,Y,147225,YES,0,23479.9,23460,65.4,2794575,825,-525,47025,-8700,YES,9750,YES,-0.19,247,400800,75,0,79800,10050,YES,-4200,YES,-0.05,50232,23790,-30,30,10440,-9090,YES,47070,YES,3,50280.9,50232
10-02-2025 15:05,23455.85,100725,150,-150,37275,8175,Y,-31425,Y,-0.33,23459.95,23455.85,65.9,1548975,-150,-75,44775,6900,N,-35700,Y,-0.17,251.8,237975,0,225,88650,-7950,Y,-3675,N,0.05,50231,15180,-30,-60,12480,840,N,-23460,Y,1.41,50232,50231
10-02-2025 15:10,23459.45,56775,0,-375,31275,93975,Y,-1575,YES,-0.12,23454.4,23459.45,65.1,1414275,-1950,-750,45000,-67200,YES,45750,YES,-0.12,252.4,179775,75,1275,81675,-2400,N,-10050,YES,0.02,50232.2,19110,-90,-30,12600,25590,Y,-4140,N,2.23,50240,50232.2
10-02-2025 15:15,23455.95,102975,-375,75,36000,-5850,YES,95925,YES,-0.26,23459.45,23455.95,65.85,1421550,-675,375,46500,17325,Y,-31575,Y,-0.11,250.9,256575,225,-150,105450,5250,N,12450,Y,0.04,50235.7,15810,-60,30,11160,2550,YES,43890,YES,1.61,50235.6,50235.7
10-02-2025 15:20,23460,77625,0,0,32025,11025,N,-15825,Y,-0.16,23455.95,23460,67.65,1813200,-300,1800,49275,-24975,YES,-113775,Y,-0.13,251.3,225525,-225,0,81675,-11325,Y,-20400,YES,0.02,50225,16800,0,0,11730,-2280,YES,-8670,Y,1.67,50235.7,50225
10-02-2025 15:25,23457.75,139950,0,-2550,48525,-133725,YES,-128475,Y,-0.18,23459.95,23457.75,64.4,2312175,-2400,-150,55275,-963450,YES,-207675,Y,-0.13,252.15,400350,75,-1125,101400,-782250,Y,-41925,YES,0.05,50220,29490,270,270,17100,-48660,YES,-45660,Y,2.62,50230,50220
