last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
19-11-2024 11:40,-6.95,50325,275,-6825,-7,-7,18500,10825,N,1225,Y,1.47,-5.8,465275,-225,100,-4.4,-4.6,23250,-25425,YES,10050,N,0.42,0.8,1049450,1325,400,0.4,0.4,32900,26950,YES,30100,Y,-0.44
19-11-2024 11:45,6.25,78675,0,175,8.4,9.2,14900,3575,N,-19075,Y,2.27,6.75,412525,-75,-150,7.55,7.5,22125,-13125,N,-17900,Y,0.37,-1.9,1176200,-825,-1800,-1.95,-2,39400,-60600,Y,-24000,YES,-0.49
19-11-2024 11:50,-16,31450,0,-175,-12.65,-10.05,13850,-5825,YES,6375,YES,0.86,-9.55,332525,-475,-75,-8.5,-8.4,25950,-2825,N,10075,YES,0.29,1.85,825825,100,2400,1.75,1.85,39075,-6475,YES,-24850,YES,-0.33
19-11-2024 11:55,-12,48000,125,100,-11.55,-13.55,19100,9175,N,-6150,Y,1.11,-9.7,427375,150,75,-10.35,-10.4,22800,-7975,YES,15800,N,0.31,1.1,1181175,25,525,1.4,1.4,35275,-109425,Y,-4725,Y,-0.43
19-11-2024 12:00,8.3,27825,0,225,7.6,11,12650,-9900,YES,4075,N,0.59,7.55,390425,-75,-350,7.75,7.45,21650,10175,N,-12850,Y,0.28,-2.2,806850,-1425,-175,-2.1,-2.15,39375,-5425,YES,33750,Y,-0.29
19-11-2024 12:05,-23.55,49275,25,-200,-20.35,-23.9,14425,11400,Y,8800,N,0.96,-16.4,655175,-150,50,-16.4,-16.4,22950,-16400,YES,10275,YES,0.41,4.65,1488500,2375,-1250,4.85,4.9,40375,46200,YES,-35325,YES,-0.48
19-11-2024 12:10,11.75,22775,-25,-25,14.3,10,12225,6275,N,-1575,Y,0.4,9.45,383025,-2350,1775,9.6,9.85,23300,9825,Y,-3650,Y,0.21,-3.85,1161450,1200,200,-3.8,-3.8,33575,-102675,Y,90075,Y,-0.35
19-11-2024 12:15,4.35,25825,-1675,150,5.5,10.05,12750,-1650,YES,75,N,0.57,5.9,581750,850,-175,5.85,5.8,28900,2775,YES,-13300,Y,0.42,-1.7,1117250,50,-1600,-1.75,-1.8,39375,-18875,YES,7050,N,-0.4
19-11-2024 12:20,-7.7,12900,375,25,-6.65,-10.95,14200,3325,N,16900,N,0.26,-8.75,329950,200,-850,-9.15,-9.1,25075,-19425,YES,17125,YES,0.23,1.65,666600,-950,2000,1.7,1.75,37025,60625,YES,-28350,YES,-0.23
19-11-2024 12:25,-4.45,17050,25,0,-8.25,-6,13600,-1925,YES,-23475,Y,0.29,-3.55,386850,175,-100,-3.65,-3.8,22450,20100,Y,6975,N,0.21,1.7,857675,-1450,1900,1.8,1.8,38100,-28025,Y,12775,Y,-0.25
