last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
12-11-2024 11:20,30,35050,25,-125,31,29.55,26925,10500,N,-29075,Y,-0.42,6,896400,-2125,-75,6,6,31550,67850,Y,850,Y,-0.25,-24.1,247850,125,125,-24.5,-24.65,21175,-2725,N,8200,Y,0.23,52.55,17175,0,-15,52,53,10800,3945,N,-13515,Y,-1.45
12-11-2024 11:25,-24,14825,0,25,-20.1,-20.55,11600,7000,N,-225,YES,-0.2,-5.15,637325,-25,2975,-5.35,-5.35,25500,-38925,YES,8325,N,-0.2,16.1,146950,-175,-25,15.7,15.65,23100,-675,N,-5750,YES,0.14,-15.85,6885,-45,165,-14.8,-20.25,6345,945,YES,-1860,N,-0.42
12-11-2024 11:30,10.85,27300,-50,100,8.85,7.5,17750,41975,Y,-7525,Y,-0.47,1.85,691500,1075,925,1.75,1.8,29550,19250,Y,19300,N,-0.22,-5.85,153475,75,-50,-6.05,-5.95,24100,4975,N,4275,N,0.15,25.9,12540,30,15,23.25,19.45,6855,5505,N,-255,N,-0.72
12-11-2024 11:35,-5.7,13075,75,-100,-5.6,-10.65,13775,575,YES,875,N,-0.2,-1.95,416350,375,-225,-1.9,-1.9,39275,-15350,YES,57875,YES,-0.12,5.65,97875,50,150,5.9,5.9,22600,-8600,Y,2700,YES,0.11,-38.8,2745,30,-30,-34.85,-31.15,4620,870,YES,9930,N,-0.18
12-11-2024 11:40,-9.25,28400,-125,200,-9.35,-9.45,15225,-64450,YES,8850,N,-0.56,-2.6,829125,-1875,450,-2.3,-2.3,32450,-64450,YES,5850,N,-0.29,8.6,212200,125,400,10.2,10.4,22800,700,N,23375,Y,0.36,4.15,7200,0,-75,-5.9,-11.85,11505,1770,N,705,Y,-0.68
12-11-2024 11:45,9.05,12575,75,150,9.15,10.2,11875,6900,Y,11350,N,-0.2,0.75,704400,-925,-450,0.2,0.15,31425,6575,Y,17275,N,-0.24,-6.95,173850,50,75,-6.95,-6.95,21525,1975,N,-28675,YES,0.26,32.2,13065,45,-105,29.55,28.15,6255,-2235,YES,-6645,Y,-0.67
12-11-2024 11:50,6.5,5250,500,-75,6,4.75,11000,425,YES,4275,N,-0.1,1.75,406800,75,-250,1.8,1.8,32050,85975,Y,9725,N,-0.13,-6.2,131850,-150,-225,-6.05,-6.05,22200,-1725,Y,4600,Y,0.18,1.35,10320,75,15,4.75,-0.45,7140,-4050,YES,-4560,N,-0.64
12-11-2024 11:55,-12.55,10375,-200,25,-13.45,-12.5,12175,1500,N,-25625,Y,-0.15,-1.55,482250,-850,-1125,-1.3,-1.35,31675,49800,N,-30725,Y,-0.15,9.15,151975,150,-50,9.15,9.3,22700,-5775,Y,37550,Y,0.18,-51.95,7380,-75,210,-57.9,-51.95,6570,-2415,N,-615,N,-0.61
12-11-2024 12:00,4.65,6175,-125,50,5.65,1.3,13650,1050,YES,6175,YES,-0.12,0.1,415050,2725,1475,-0.05,0,30950,-55125,YES,14400,YES,-0.14,-2.8,90650,-50,-150,-1.55,-1.3,20900,9200,N,4825,N,0.16,10.4,3690,150,-135,1,1.25,5640,-1290,N,-1950,Y,-0.4
12-11-2024 12:05,-7.95,9875,900,0,-3.8,-8.55,12175,145075,Y,10025,N,-0.19,-1.25,457150,875,675,-1.35,-1.25,35400,28150,Y,18525,N,-0.15,6.8,112550,150,0,6,6.2,22525,2725,Y,375,YES,0.16,-25,9930,-15,-45,-17.95,-14.55,7125,-510,N,990,N,-1.13
12-11-2024 12:10,-18.85,68000,-825,-325,-21.05,-18.25,14350,-19050,YES,-26425,Y,-2,-1.6,1090075,800,-1150,-1.4,-1.45,35650,-140700,YES,10500,N,-0.4,13.65,345975,375,-25,12.1,12.25,20875,9375,N,-56075,YES,0.85,-40.15,16950,0,0,-39.45,-48.55,6330,-1650,YES,1935,N,-3.04
12-11-2024 12:15,26.4,22400,-100,-150,24.85,20.95,11875,-7075,N,5375,YES,-0.53,2.95,698175,1025,200,3.15,3.15,35725,32900,Y,-17000,Y,-0.23,-17.35,225825,-25,-350,-18.1,-18.15,27325,-2475,Y,7250,Y,0.44,20.1,11850,0,105,29.95,33.75,8100,-15885,YES,-1635,Y,-1.93
