last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
06-12-2024 10:40,40,76275,225,300,41,40,16200,-45250,N,-700,Y,0.78,16.25,1069325,-50,300,16.65,16.65,24500,49925,Y,-13125,Y,-0.64,-20.8,355575,150,100,-21.6,-21.45,22675,-14400,Y,15625,N,-0.88,226.95,78960,-75,-15,225.75,226.5,10005,3915,-9915,8.76
06-12-2024 10:45,-20.9,35500,-625,-350,-13.95,-14.15,16500,16025,Y,20025,N,0.37,-2.85,715375,-25,400,-2.95,-2.95,23025,15900,N,47200,N,-0.32,6.4,205200,-100,150,6.65,6.7,22675,6475,N,2025,N,-0.51,-59.9,49050,90,0,-49,-52,11235,5940,16560,6.68
06-12-2024 10:50,-22.4,104300,-25,7425,-16.5,-21.9,20575,-3900,N,-6000,Y,0.23,-8.2,787375,0,-825,-8.85,-8.75,22850,-33475,N,48650,N,-0.49,9.1,231825,-200,150,8.85,8.95,22750,1200,Y,11250,N,-0.41,-20,30180,-480,0,-24.6,-17.55,12525,3285,7905,3.35
06-12-2024 10:55,15,23025,-75,-6325,14.95,15,12250,4725,N,-2275,N,0.08,3.05,526600,-225,400,3.65,3.65,25950,18675,Y,4700,N,-0.31,-8.15,167275,100,-150,-8.3,-8.3,20075,92375,N,8600,N,-0.33,33.15,15960,-90,-285,11.45,5.75,8340,1230,3150,1.79
06-12-2024 11:00,15,39550,25,-1175,12.1,13,10325,-425,N,2225,N,0.43,5.7,597775,250,-100,4.55,4.55,25525,-9575,N,5450,N,-0.24,-6.6,216200,0,475,-6.4,-6.15,21900,3825,N,19025,N,-0.58,20.65,16575,-15,-105,33.85,19.5,11625,75,-3765,2.04
06-12-2024 11:05,19.6,90300,-25,0,14.6,16.95,14625,325,N,-9900,Y,1.73,7.75,1371625,100,250,7.95,8,24900,36275,Y,-57150,Y,-0.12,-5.3,415575,125,75,-5.35,-5.45,23050,9175,N,8275,N,-1.38,47.95,31065,165,0,37,43.5,9000,-1695,6795,4.16
06-12-2024 11:10,-26,80500,-175,-100,-27,-29,23650,3825,N,1700,N,0.51,-11.3,1037125,-200,300,-10.8,-10.85,23775,-5750,YES,35575,YES,-0.4,13.2,446925,-300,-75,12.9,12.85,24625,425,Y,1250,N,-0.85,-127.85,28680,0,60,-123.25,-118.95,10485,-1380,2535,2.95
06-12-2024 11:15,-12.15,39875,0,0,-10.95,-14.15,19025,-150,N,7250,N,0.05,-5.4,648700,0,-1350,-5.95,-6,23750,75,N,35725,N,-0.33,5.75,283275,-275,-125,7.45,7.45,20600,-9275,Y,2950,N,-0.38,-51.6,42300,90,45,-42.5,-46.35,10770,-1620,-8970,2.25
06-12-2024 11:20,-10.35,29425,-25,-500,-15,-10.55,13725,7650,N,21275,N,-0.04,-8.9,681875,200,475,-8.5,-8.3,25500,-16500,N,11975,N,-0.47,4.05,220900,25,150,3,3.05,23375,6575,N,-4250,N,-0.24,-38.4,10335,810,15,-28.75,-34.6,6375,-3525,150,0.43
06-12-2024 11:25,-4.5,61575,-75,0,-4.5,-6,16050,7625,N,-18225,Y,-0.53,-1.3,879575,-650,450,-1,-0.95,23150,19675,Y,8125,N,-0.77,2.4,457100,50,200,1.55,1.75,24275,-6175,Y,-12525,N,-0.17,-35.45,34590,-180,-15,-43.95,-39.95,9120,1695,-2175,0.39
