last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
12-02-2024 10:05,-13.3,44575,-175,75,-12.95,-12.3,15575,-4925,11350,1.43,-5.6,2736550,300,1100,-5.2,-5.15,29375,-21050,48975,1.3,9.1,259450,275,1425,8.35,8.1,29425,-800,-2825,-1.62,68.9,51090,105,15,76.6,67.2,8430,1935,-8400,7.74
12-02-2024 10:10,3,68300,-50,500,3.25,3,14750,-925,-46600,0.85,-1.2,3191850,700,250,-0.1,-0.05,30350,-20925,-51675,0.26,-5.5,507600,-650,25,-7.25,-7.35,25600,-16425,-12400,-0.97,-12,25350,-30,-15,-14.65,-17.05,7335,19530,13455,4.44
12-02-2024 10:15,55.05,217175,-500,-725,57.45,57.8,19575,114975,-24275,9.26,23.35,7182025,-250,300,24.05,24.05,24975,135225,-268525,4.35,-28.95,809300,-100,-200,-28.85,-28.95,31150,32700,8600,-6.96,21.95,18615,-135,45,16,20.5,6825,9540,1935,2.85
12-02-2024 10:20,-7.35,78400,200,-225,-11.1,-9.3,18250,16825,109350,3.03,-1.2,2808650,200,-100,-1.25,-1.25,30275,14300,85800,1.52,2.1,498175,0,50,2.45,2.45,29275,8200,13125,-3.25,50,58305,0,210,48.7,50,9795,690,-11760,11.79
12-02-2024 10:25,-2.7,45300,-100,-75,-1.7,-4.1,13675,-23100,11425,1.41,-0.65,1941350,950,-1425,-0.55,-0.55,26575,-9650,-9100,0.75,-0.85,393750,50,-200,0.05,0.1,27000,-11775,-3525,-1.89,8.55,19140,360,-105,8.15,4.35,8820,-885,-6720,3.8
12-02-2024 10:30,-18.75,52600,0,50,-14.3,-12.95,16225,71325,11100,1.49,-6.35,2002625,175,525,-5.6,-5.6,27075,-32500,22425,0.74,11.8,381275,200,-125,10.9,10.9,25900,9275,11075,-1.55,-2.4,32685,-615,-105,5.95,4.05,8085,16470,-2895,7.1
12-02-2024 10:35,-26.95,78450,-25,50,-26,-26.9,15550,-12675,8325,1.15,-9.05,2821975,-150,75,-8.85,-8.9,25375,-66250,36975,0.46,16.9,642675,-175,0,17.3,17.3,23550,-13325,-28375,-0.92,78.15,52185,30,-45,76.5,78.15,10125,2430,-7275,11.9
12-02-2024 10:40,-8.2,47300,-25,350,-8.3,-7.4,13750,-2900,5500,0.4,-2.25,2780950,-575,-200,-2.3,-2.25,29300,-46425,31450,0.2,6,521025,-150,125,5.6,5.85,28475,-6800,-1550,0.04,-26,19890,-45,-105,-15.65,-24.35,9975,1635,7740,4.55
12-02-2024 10:45,2.4,23750,25,250,2.95,2.55,12050,7975,37625,0.22,2.65,1335500,275,-50,2.5,2.45,25500,53075,55350,0.14,0.9,308600,-175,-75,0.3,0.3,26975,6725,22450,-0.01,39.8,29250,0,0,34.55,32.4,10050,3420,-1860,6.62
12-02-2024 10:50,-12.6,24775,0,-25,-8.8,-6.5,11025,-2600,58925,0.28,-4,1554925,-800,-1250,-3.8,-3.85,30325,-850,31500,0.18,7.9,271075,75,-75,8.15,8.1,28350,-5350,3150,-0.08,-37.15,16005,-15,-105,-32.65,-37.95,7875,-3855,1740,3.42
12-02-2024 10:55,8.75,24400,125,-350,4.7,3.05,11475,-1700,4300,0.16,0.65,1590575,-800,250,1.1,1,27850,45550,62350,0.09,-1.6,278975,75,-100,-1.75,-1.8,28775,1225,22225,0.17,-69.1,24135,-60,315,-69.3,-80,7665,-28110,3120,3.79
12-02-2024 11:00,15.5,23425,-25,-75,15.4,15.4,10700,-25,2400,0.27,4.55,1121100,-400,650,4.85,4.85,25350,33400,-31800,0.13,-11.6,196550,-175,-125,-10.8,-10.85,22925,-2075,4950,-0.11,33.85,11955,105,-300,34.4,46.6,6105,5385,-660,1.73
12-02-2024 11:05,9.5,28850,25,75,9.3,6.4,10225,-3475,-6650,0.4,2.9,1334900,0,50,2.45,2.55,28975,8100,-57350,0.17,-5.5,167200,-200,200,-5.65,-5.6,22450,3250,1350,-0.14,33.1,17805,15,30,33,34.35,10605,-6810,8190,3.09
12-02-2024 11:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.45,12000,90,210,38.1,34,8085,7035,-1155,2.01
12-02-2024 11:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.9,13605,0,0,-23.75,-20.75,7485,2445,-495,2.31
12-02-2024 11:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-62.9,32070,90,-90,-66.85,-66.55,10080,1155,-3090,4.05
12-02-2024 11:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,32520,-15,0,9.7,13.25,8490,180,-7500,3.09
12-02-2024 11:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,8685,15,-15,9.95,5.85,3960,-1725,4110,0.91
