last_traded_time,ltp,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
13-12-2024 12:20,-13.4,-17.65,-15.05,14725,8000,N,41275,YES,2.49,-5.3,-7.65,-7.45,24675,-9000,YES,120150,YES,2.6,7.45,9.75,9.85,29600,48700,YES,23625,N,-5.77,-36.25,28845,90,-3540,-37,-46.25,10380,-4200,3615,3.7
13-12-2024 12:25,4,2.6,4,15475,-4425,YES,-16125,Y,6.6,-2.2,-0.65,-0.65,23275,-30500,YES,-65250,Y,3.91,-1.2,-2.5,-2.5,26575,5325,N,128575,Y,-8.17,41.05,67890,45,30,36.3,39.15,9750,585,-9420,10.57
13-12-2024 12:30,-43,-42.4,-43,17325,-32625,YES,28975,YES,2.94,-19.25,-18.7,-18.85,26775,-38925,YES,103700,YES,1.72,23.75,22.3,22.3,24300,16875,N,-161750,YES,-5.03,-115.15,53655,0,-105,-101.1,-107.45,8925,3255,8610,5.1
13-12-2024 12:35,14,15.75,16.65,24600,19800,Y,-44475,Y,2.04,7.05,7.05,7.05,24425,16375,Y,95900,N,0.96,-5.9,-6.2,-6.3,25750,-8625,Y,-1350,Y,-2.21,29.8,21690,105,-195,35.8,35.7,6990,8955,4710,1.89
13-12-2024 12:40,-28.35,-21.65,-22.9,13150,4500,N,96975,YES,0.69,-9.7,-9.7,-9.55,25500,-1375,YES,117475,YES,0.66,10.95,10.6,10.6,23375,9100,N,-4325,YES,-1.02,-10.45,7680,-60,90,-12.75,-6.55,5955,-15,-855,0.73
13-12-2024 12:45,26.2,30.05,26.2,19975,-1850,YES,-4825,Y,1.82,14.9,15.3,15.35,27200,17750,N,-212225,Y,1.17,-13.15,-13.85,-14.05,25075,-13050,Y,-17050,YES,-1.41,65.45,15180,-15,-105,52.65,53,7725,5550,-14115,1.48
13-12-2024 12:50,16.5,8.35,14,17675,2375,N,47275,YES,1.3,3.7,3.8,3.9,26775,16700,N,17075,YES,1.03,-6.2,-5.8,-5.85,26825,233375,YES,37875,Y,-1.38,9.9,13320,-15,30,14.7,9.75,7305,-1425,-11190,1.62
13-12-2024 12:55,68.15,66.85,64.5,15800,-5400,YES,-31700,Y,3.34,36.45,35.5,35.75,24850,59400,Y,-259900,Y,1.93,-29,-28.5,-28.65,26000,12300,N,35375,N,-2.89,166.25,44715,75,0,141.7,127.2,13125,3390,-33255,6.65
13-12-2024 13:00,23.75,23.85,26.9,24550,10750,N,-31350,N,11.14,14.45,14.95,15,25400,-82450,YES,22450,YES,4.87,-15.35,-15.6,-15.65,30300,-26925,Y,128400,Y,-7.32,26.95,100455,-225,45,20.25,17.35,10785,-19605,18285,18.85
13-12-2024 13:05,-8.65,-7.4,-8,16900,1475,YES,81100,YES,2.7,-6.25,-6.75,-6.85,27825,-900,Y,75250,YES,1.59,2.1,2.55,2.5,25650,754475,YES,78250,N,-2.75,-31.55,27105,0,105,-10.7,-17.55,8400,-5640,12660,4.69
