last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
06-01-2025 10:50,-27.5,157150,-450,375,-27.75,-28.7,19075,-99125,YES,31150,YES,-6.61,-5,2020800,75,1500,-4.5,-4.5,48150,-22875,YES,30900,YES,-1.28,27,426675,0,0,24.5,24.65,45225,-4275,N,6525,N,1.9,-131.2,44385,150,90,-112,-113.65,7905,-9015,YES,12000,YES,-15.69
06-01-2025 10:55,-6.5,90000,75,-350,-3.5,-4.6,16650,-1150,Y,14750,N,-3.84,1.3,1649550,600,1650,1.55,1.6,47025,20775,Y,39075,N,-1,5.1,365850,225,0,2.85,2.8,42900,-14175,Y,-7125,YES,1.72,38.8,43350,0,-30,31.8,31.2,8430,-6390,N,4560,N,-15.5
06-01-2025 11:00,-17.9,150750,50,-625,-19.15,-17.7,22700,-2200,YES,76800,YES,-6.44,-4.45,1700025,300,750,-4.15,-4.15,48375,-38625,YES,59100,YES,-0.98,15.8,288075,150,0,18.55,18.5,43275,-5025,N,-9300,YES,1.43,-2.3,21300,105,15,-6.6,-20.1,8445,-18060,YES,28425,YES,-6.52
06-01-2025 11:05,-13.5,122975,0,-50,-15.15,-13,19375,-22550,YES,3025,N,-5.18,0.5,1154850,300,-825,0.55,0.55,48825,1275,Y,6000,N,-0.66,15.4,209400,225,225,14.45,14.65,41850,8775,N,-2400,N,1.08,-46.9,17865,-60,-90,-47,-41.9,7890,-3735,N,270,Y,-5.63
06-01-2025 11:10,-31.95,289925,-50,50,-32.65,-35,20675,6800,Y,-81525,Y,-14.62,-3.65,2568450,300,-300,-4,-4.05,49650,-8625,YES,-44400,Y,-1.59,34.25,368100,-75,75,34.35,34.45,36825,7800,N,-4275,YES,2.54,-63.15,62895,45,15,-60.8,-62.85,8700,-7155,YES,-1110,Y,-24.15
06-01-2025 11:15,12.05,173350,-75,0,15.5,13.5,15550,23775,N,6375,YES,-8.26,3.85,1969275,-675,2850,3.35,3.35,53550,-14925,YES,-23025,YES,-1.11,-11.65,216075,-75,75,-11.15,-10.75,39450,-25950,Y,5100,N,1.55,19.7,28755,90,-105,18.6,22.5,10950,18000,Y,-13245,Y,-10.61
06-01-2025 11:20,-22.05,135950,775,-175,-19.2,-20.05,17000,4275,N,27475,YES,-5.57,-1.85,1377600,-1200,1575,-1.85,-1.85,49125,-2925,N,80175,YES,-0.7,21.65,170475,-300,-375,20.5,20.3,42975,4200,YES,-1650,YES,1.14,35.2,21900,120,0,33.45,33.1,9195,3615,N,3795,N,-6.95
06-01-2025 11:25,28.2,119000,-25,0,30.05,29.1,20725,7475,N,250,Y,-4.15,2.2,1203675,75,-1275,1.95,1.95,54825,23775,Y,98775,N,-0.57,-22.05,111525,150,0,-23,-23.1,47175,-9525,Y,9150,N,0.72,27.95,17205,-45,0,19.8,15.05,8865,7245,N,-13785,Y,-4.9
06-01-2025 11:30,-19.05,88800,25,125,-19.05,-20.6,15675,-14225,YES,15050,N,-2.82,-5,1395375,1800,2700,-4.9,-4.8,48825,-34950,YES,62625,N,-0.66,15.8,149925,-300,0,15.55,15.55,38100,-2700,N,-2400,YES,0.89,-60.75,23025,45,0,-49.8,-39.9,8205,-840,YES,4185,N,-5.72
06-01-2025 11:35,-5.7,95100,-350,-175,-5.75,-7.05,15375,39975,Y,-1125,Y,-3.39,0.8,1191750,75,825,1,1,54900,54975,Y,-38550,Y,-0.6,3.8,126675,600,-225,3.25,3.45,41850,-7800,Y,5325,N,0.86,53.95,20490,-30,75,52.3,49.3,9675,-5235,YES,5700,N,-5.54
06-01-2025 11:40,-40,239650,250,50,-44.55,-43.2,14200,-40750,YES,41825,YES,-9.77,-5.85,1788450,150,975,-5.6,-5.6,51900,-57150,YES,52950,YES,-0.95,37.75,147825,75,150,35.5,36.2,46350,225,N,-7275,YES,1.13,-82.8,17505,375,-75,-70,-80.95,8325,23730,Y,-10080,Y,-5.22
06-01-2025 11:45,-59,388450,775,125,-63.95,-64.35,19050,-47125,YES,-15800,Y,-17.17,-6.25,2485275,1050,-1350,-6.45,-6.5,54825,-84300,YES,-89025,Y,-1.39,58.85,248250,300,300,58.6,58.95,45000,9075,N,-2700,N,2.26,-204.5,75060,-90,-15,-221.55,-223.2,10515,-29745,YES,-1350,N,-28.67
06-01-2025 11:50,-11.5,190500,75,-75,-7.6,-9,23025,47575,Y,-34225,Y,-8.59,-2.65,1877475,-675,300,-2.3,-2.35,52650,37500,Y,-17325,YES,-1.07,13,142275,300,300,12.25,12.1,42450,-12075,Y,-825,N,1.43,26.95,42180,-45,135,39.25,31.3,9015,6870,Y,975,N,-16.84
06-01-2025 11:55,-4.5,124700,225,75,-8.8,-7.6,19150,17300,N,-34925,Y,-5.64,1.75,1270800,1575,2325,1.4,1.45,57525,25500,N,-48075,Y,-0.72,3.1,154125,75,750,5.25,5.8,43575,-5850,N,6675,N,1.61,4.45,27375,105,-105,-1.9,-1.9,8295,5190,N,-25590,Y,-10.57
06-01-2025 12:00,58.1,241050,0,-25,58.4,56.35,26750,-28675,YES,4700,YES,-8.18,4.15,1930800,1950,-150,4.75,4.8,49875,39825,N,-16575,YES,-0.95,-55.8,221175,0,-150,-56.9,-57.35,47325,-5325,N,-1650,YES,1.99,113.6,33615,-105,15,121,119.25,8805,-8205,YES,4620,YES,-9.8
06-01-2025 12:05,3.05,105400,600,-75,3,4.7,16900,8975,Y,2650,Y,-2.8,0.45,1553850,-225,300,0.45,0.45,53025,4125,N,16725,YES,-0.67,-2.4,130050,75,1050,-3.4,-3.3,41325,-900,N,9450,N,0.97,0,32385,30,135,-12.7,-5.85,7320,-480,N,-2100,Y,-8.57
06-01-2025 12:10,34.25,104400,-150,250,32.5,33.9,21000,6725,N,193075,YES,-2.33,4.3,1609575,5700,1350,4.4,4.5,50625,81525,Y,-34200,Y,-0.64,-29.7,98475,-300,0,-28.25,-28.7,46650,4050,N,1275,YES,0.68,33.15,14520,15,-15,34.65,33.6,7215,4215,N,12075,N,-3.45
06-01-2025 12:15,-30.65,103225,250,50,-29.1,-33.8,15750,19625,N,-575,Y,-2.39,-4.95,1536225,-2775,225,-4.4,-4.45,50250,-86250,YES,54075,YES,-0.63,32.1,108000,-225,-225,29.85,29.55,42000,2400,Y,-9750,YES,0.78,-138.4,21255,0,60,-117,-122.6,9360,5655,N,-270,Y,-5.91
