last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
27-01-2025 11:55,21.4,61850,-200,0,17.9,15.8,18875,-475,N,19150,YES,-0.22,22896.7,22918.1,22930,22896.15,4.95,1120475,450,1725,4.6,4.65,30425,12575,Y,-50,Y,-0.46,-13.2,165750,50,-350,-11,-11.35,19675,4300,N,11650,N,0.13,5.3,9930,45,60,-0.2,4.2,5520,7005,Y,-975,Y,0.93
27-01-2025 12:00,45.05,133600,-25,50,48.2,46.9,16475,-27775,YES,-30900,Y,0.51,22918.1,22963.15,22967.95,22911.5,15.7,2130800,225,600,16.4,16.5,31500,39650,Y,-56250,Y,-0.21,-27.5,411875,0,50,-29.1,-29.25,22725,-9000,Y,-4600,YES,-0.32,149.05,36465,-120,-45,143.05,144.9,6510,945,YES,-7170,Y,7.35
27-01-2025 12:05,-29.95,63650,275,-1450,-33.6,-32,16150,-1600,Y,6650,YES,0.36,22957.95,22928,22965.6,22923.5,-12.1,1514250,-250,-725,-12.1,-12.2,25550,-43450,YES,20700,YES,-0.18,21.1,343850,50,50,20.6,20.75,20625,11575,YES,-1850,N,-0.25,-101.55,26340,0,225,-93.8,-89.75,7215,-3450,YES,8835,N,4.27
27-01-2025 12:10,-38,74100,-100,150,-42.85,-39.05,15800,-6300,YES,-2125,Y,-0.58,22928,22890,22938.25,22867,-12.7,1443550,775,-450,-13,-13.05,25600,-83550,YES,37425,N,-0.63,29.5,332275,75,-325,29.4,29.55,19475,-1150,Y,-20725,YES,0.43,-16.45,20055,0,270,-24.45,-30.55,10080,-23790,YES,4590,N,2.42
27-01-2025 12:15,13.35,36750,25,-525,13.3,13.35,14550,22175,Y,30050,YES,-0.27,22890,22903.35,22909.8,22885.5,4.3,679725,225,-150,4.5,4.5,28400,46250,Y,9350,N,-0.29,-8.2,247350,-100,300,-8.9,-9,19475,-2525,Y,14200,Y,0.34,32.4,11730,0,-255,23.4,19.8,7020,12285,Y,-2010,Y,1.39
27-01-2025 12:20,40.35,61050,-50,0,41.7,41.55,17475,-10475,YES,31250,N,-0.14,22900.3,22940.65,22947,22893.55,13.7,926150,-450,-775,14.3,14.25,30600,9500,N,-44775,Y,-0.24,-27.15,143825,-100,-50,-27.15,-27.1,25625,-100,N,-975,YES,0.07,118.75,42465,-135,345,134.15,126.6,8145,-3555,YES,-12690,Y,8.3
27-01-2025 12:25,-0.1,62300,-700,0,-0.7,-0.6,12850,34475,Y,1300,Y,0.25,22940.1,22940,22955.85,22927.35,-2.5,1347450,-25,-375,-2.45,-2.45,26325,31825,Y,70225,YES,-0.13,-0.05,188575,300,-625,0.75,0.8,20300,17975,N,1525,N,-0.08,-42.25,30495,120,0,-34.65,-32.3,10590,17745,Y,6510,N,5.51
27-01-2025 12:30,-27.35,33775,100,0,-24.9,-27.4,12700,-39050,YES,9025,N,0,22947.35,22920,22947.35,22913.25,-9.8,859850,625,-75,-9.95,-9.95,27100,-23225,YES,34350,N,-0.2,13.9,142150,-175,275,13.3,13.35,20200,3475,N,9025,N,-0.01,-58.25,16185,45,-45,-65.75,-63.25,7680,-1035,YES,5160,N,2.62
27-01-2025 12:35,-14.05,38900,850,100,-10.1,-9.15,12175,20375,Y,5875,N,-0.12,22920,22905.95,22925.75,22903.3,-4.25,638125,425,1325,-3.65,-3.7,25075,-16550,N,37500,N,-0.22,8.15,108425,150,125,6.9,6.85,18125,3400,N,-5300,YES,0.04,-1.05,10215,-30,165,-10.25,-4.8,6900,-3345,YES,2775,Y,1.29
27-01-2025 12:40,-29.35,65650,125,75,-33.95,-29.45,15350,450,YES,1725,Y,-0.57,22905.95,22876.6,22911.7,22870.05,-5.15,906750,0,-1000,-5.05,-5.1,25425,3500,Y,16200,N,-0.41,26.55,219825,100,75,26.05,26.25,21425,-9700,Y,-15800,YES,0.35,-91.15,20175,-90,15,-77.8,-86.8,7920,-13215,YES,8295,N,1.63
