last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,High_9,Low_9,Close_9,Volume_9
23-01-2025 10:05,10.8,104750,-25,-50,11,10.25,21125,12025,N,-450,Y,6.67,4.15,15437025,2250,600,4.65,4.75,52950,348150,N,-253500,Y,0.81,-5.1,14485575,4425,1500,-5.5,-5.45,61125,156075,YES,480975,Y,-3.45,56.2,24870,45,15,62,66,7950,2055,YES,-6315,Y,12.97,23215,23226.3,23207.1,23219.65,0
23-01-2025 10:10,1.75,121375,25,25,1.75,1.75,24050,6775,N,-5650,Y,7.33,-1.2,17900475,450,-900,-0.6,-0.65,52350,-105000,YES,-81525,YES,1.12,-0.55,15673650,975,975,-0.95,-1,75525,606150,YES,193200,N,-3.41,4,28455,0,0,-3.3,2.3,10380,-1605,YES,12690,N,13.4,23220.7,23235.4,23213.6,23217.6,0
23-01-2025 10:15,8.8,59450,50,0,3.95,7.2,21425,6175,N,6950,N,2.86,0.8,8892225,-300,-150,0.55,0.5,47325,83925,Y,109200,YES,0.41,-3.55,11717700,-825,5250,-3.55,-3.5,68550,-155175,Y,407100,Y,-2.02,92.75,54765,0,75,102.05,94.05,8505,-720,N,-12000,Y,28.54,23217.3,23229.45,23215.75,23225.75,0
23-01-2025 10:20,8.1,60050,100,0,11.95,10.4,16150,7375,N,3425,N,3.14,3.05,10681650,1800,375,3.85,3.85,50550,204525,Y,-153000,Y,0.49,-3.8,17306625,3150,1425,-4.05,-4.05,79425,15525,YES,476400,Y,-3.06,-3.65,60900,-15,15,-11,-3.25,10665,-14910,YES,6360,N,30.82,23225.5,23238.85,23224.55,23235.9,0
23-01-2025 10:25,3.1,40700,-75,550,2.05,1.3,17175,3625,N,7925,N,2.01,2.7,11946975,-300,-525,2.6,2.55,57450,241725,Y,-304350,Y,0.67,0.2,13392975,-6150,450,-0.05,-0.05,80700,143550,YES,219150,N,-1.82,-11.4,18045,-30,0,-0.3,-0.4,8070,3660,N,1080,Y,6.74,23235.75,23241.4,23228.9,23240.4,0
23-01-2025 10:30,4.8,138950,-1650,-350,4.25,4.6,22525,7700,N,-33575,Y,6.65,-1.35,12439950,1425,-2550,-1,-1.05,56550,-185325,YES,244275,YES,0.55,-1.9,16082400,4200,900,-2,-2,89100,784350,YES,498000,Y,-2.09,5.3,18015,105,15,7.75,5.5,7980,2340,YES,-375,Y,6.15,23240.05,23246.2,23230.95,23241.75,0
23-01-2025 10:35,-17.75,47425,-275,-25,-18.25,-16.85,17525,-8875,YES,10075,YES,1.79,-6.6,7839750,-150,-825,-6.95,-7,64200,-801900,YES,334200,YES,0.23,4.65,13138950,975,1125,4.7,4.75,87225,181500,N,-26100,YES,-1.32,-64,12480,-105,0,-58.75,-54,7305,-5400,YES,4200,N,2.99,23241.35,23243,23223.35,23226.15,0
23-01-2025 10:40,10.8,53475,-50,325,9.55,7.95,17125,8200,N,1700,Y,1.83,3.4,7375350,-300,1125,3.25,3.25,66075,699450,Y,-22275,Y,0.18,-3.9,14155050,-3600,525,-3.95,-4,83700,-366075,Y,379575,Y,-1.26,28.8,15495,0,0,19.4,19.75,12735,5730,N,-2805,Y,3.42,23227.55,23237.3,23225.45,23235.45,0
23-01-2025 10:45,-1.35,96325,-25,75,-2.85,-2.95,23125,1775,YES,6750,N,3.26,-4.25,6879150,-1575,1575,-4.6,-4.6,70050,100575,N,306600,YES,0.15,1,8976450,1500,-1800,1.15,1.15,78225,751575,YES,374025,N,-0.78,-24.25,8685,0,135,-17.9,-26,8280,-1965,YES,4335,N,1.9,23236.05,23240.45,23230.8,23232.4,0
23-01-2025 10:50,-24.9,100775,100,50,-25.1,-24.95,14775,-6925,YES,3275,N,2.07,-10.25,17089500,-3075,1875,-10.05,-10.05,70650,-311475,YES,115200,N,-0.31,4.4,26246250,-5100,-3600,4.2,4.2,77925,33600,N,108375,N,-1.49,-170.3,57915,0,30,-167.6,-159.05,7575,-14790,YES,9495,N,-1.55,23233,23233.9,23202.5,23207.65,0
