last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
03-01-2025 10:05,24141.4,83025,100,-150,16675,-22525,Y,5000,N,-1.3,24181.6,24141.4,24198,24140,-16.8,3086475,225,-900,-16.2,-16.3,39225,-78450,YES,66450,YES,-1.77,26.9,1411425,-450,450,25.75,26.1,53250,-150,YES,-12300,YES,1.04,-82.6,25155,0,-60,-93.7,-88.75,7425,195,YES,-375,Y,-9.34
03-01-2025 10:10,24121.8,179875,-25,0,16225,-16275,N,11500,N,-5.96,24141.4,24121.8,24150.45,24111.7,-9.45,2618250,75,1275,-9.8,-9.7,41100,-45975,Y,72975,N,-2.62,11.85,1243200,-225,-4350,12.8,13.05,43725,27900,YES,-16200,YES,2.01,-26.1,54435,0,-75,-31.2,-39.65,10320,-28230,YES,5760,N,-23.7
03-01-2025 10:15,24131.1,83200,125,25,14825,21125,Y,10175,N,-2.26,24121,24131.1,24144,24115,1.4,1666275,-600,-75,1.25,1.15,42975,61275,Y,47400,N,-1.45,-7.35,655575,150,450,-6.85,-6.65,41625,-30150,Y,33225,Y,1.02,20,38490,-405,15,20,31.3,9825,11040,Y,-75,Y,-14.24
03-01-2025 10:20,24141.65,55075,-50,500,16025,17350,N,-23975,Y,-1.03,24128.25,24141.65,24153.6,24126.85,4.5,1570200,375,225,4.6,4.7,38775,86550,Y,82650,YES,-1.12,-8.8,508200,225,300,-8.85,-8.75,42975,3075,YES,525,YES,0.47,43.55,22035,30,30,43.6,39.8,9420,255,YES,1215,N,-4.19
03-01-2025 10:25,24123,33675,0,-100,12375,-275,YES,1500,YES,-0.77,24144.95,24123,24148.4,24122,-8.7,1683825,450,150,-9.4,-9.35,39825,-74850,YES,129525,YES,-1.32,12.85,485625,150,225,11.75,12,40875,0,Y,-21900,YES,0.58,-73.6,13845,-90,-75,-77.8,-79.75,7170,-1470,YES,7995,N,-4.09
03-01-2025 10:30,24105,127650,750,-75,19450,-34850,YES,7400,N,-3.94,24127.8,24105,24128.55,24101.5,-9.65,2498850,375,-225,-9.2,-9.25,40275,-68175,N,42900,N,-2.33,16.05,812775,75,-675,14.3,14.25,37875,18900,N,-25500,YES,1.39,-91.95,57630,0,-30,-87.65,-85.1,7635,-1515,YES,6390,N,-22.95
03-01-2025 10:35,24100,128075,675,-100,15900,67725,Y,10600,N,-3.99,24103.5,24100,24117.15,24092.9,-0.4,1535025,675,1200,-0.5,-0.45,38325,60000,Y,94575,YES,-1.4,2.1,641100,-75,150,3.1,3,40050,-3300,Y,10800,Y,1.25,5,31650,225,0,7,12.15,7470,25995,Y,1170,Y,-12.5
03-01-2025 10:40,24115,50375,-50,-1500,17725,28575,N,4850,N,-1.36,24098.9,24115,24118.85,24093,5.6,1163550,375,-1125,5.45,5.45,42225,84900,Y,-39600,Y,-0.96,-12.6,407175,-975,75,-11.65,-11.7,41025,-20325,Y,18450,N,0.72,3.05,18450,-60,0,-11.05,-4.25,6900,20025,N,6300,N,-6.72
03-01-2025 10:45,24124.6,39950,0,125,19200,14075,N,94975,YES,-0.97,24115,24124.6,24124.6,24101,1.6,1340250,75,-375,1.65,1.6,37800,27900,N,-37050,N,-1.04,-9,387450,-150,0,-10.85,-10.9,40575,-26700,Y,19500,N,0.6,36.9,26280,120,90,44.7,46.4,9075,9660,N,-21345,Y,-9.34
03-01-2025 10:50,24095,72625,375,-50,13600,-4400,YES,27200,N,-1.85,24124.6,24095,24125.35,24093,-10.1,1631850,-75,1425,-10.4,-10.3,48975,-95250,YES,147300,YES,-1.32,22,490425,825,75,22.05,22.1,42750,31350,YES,-30525,YES,0.83,-59.95,21795,135,0,-57.35,-59.05,12135,-870,YES,-13590,N,-6.9
03-01-2025 10:55,24104,43250,-50,-200,16400,1050,N,1300,Y,-1.13,24095,24104,24113.25,24090.2,1.75,1068075,-150,-525,2.05,2.05,44550,22275,Y,-25275,Y,-0.83,-3.7,364800,-225,0,-4.4,-4.4,35025,-3375,Y,675,Y,0.62,17.7,13005,-135,-45,17.35,24.8,7710,675,N,7155,YES,-3.85
03-01-2025 11:00,24114,52275,-125,-625,18000,11650,N,-875,Y,-1.11,24104,24114,24118.65,24100,2.4,1138350,225,75,2.7,2.65,42900,-6150,YES,22050,YES,-0.78,-8.35,225075,-75,-600,-8.9,-8.65,41925,-9825,Y,5775,N,0.3,-24.7,11835,0,30,-26.35,-22.7,6525,2490,N,3000,N,-3.55
03-01-2025 11:05,24144.4,79625,100,75,16200,-5200,YES,-17050,Y,-0.95,24114,24144.4,24155.8,24112.2,9.7,2456625,1500,-600,9.9,9.8,42675,42525,Y,-109800,Y,-1.21,-17.5,745425,-150,-75,-17.95,-18,39900,-18150,Y,-6000,YES,0.54,100,31140,165,-240,104.55,104.25,9300,1605,YES,-6885,Y,-5.08
03-01-2025 11:10,24156.55,46050,100,-25,13550,5850,N,675,N,-0.39,24143.55,24156.55,24161.4,24130.05,3.65,1968600,825,-375,3.05,3.1,41325,2850,YES,12225,YES,-0.83,-10.65,438300,0,75,-10,-10.25,43950,-4125,N,1050,N,0.24,35,20400,-165,-15,21,29.75,8610,-795,YES,5790,N,-2.77
03-01-2025 11:15,24174.45,57450,-175,-25,17000,-8925,YES,76400,YES,-0.2,24153.15,24174.45,24174.45,24148.1,3.8,1904700,-2550,375,4.15,4.25,39975,16650,N,-69000,Y,-0.53,-8.85,405000,0,150,-10.05,-10.05,36975,-6075,Y,8175,N,0.04,21.8,14850,-135,0,27.7,24.95,7035,-8370,YES,15615,N,-1.45
03-01-2025 11:20,24215,336075,0,100,18175,25025,Y,-139275,Y,2.26,24167,24215,24220,24167,18.8,4026825,1050,75,18.8,18.85,40500,93975,Y,-273000,Y,-0.18,-30.65,930075,300,300,-30.65,-30.65,41175,1500,N,24225,N,-0.63,72.05,36810,45,45,72.05,71,8415,360,N,10605,N,-0.54
03-01-2025 11:25,24197.85,131500,-25,250,18700,-16025,YES,20575,YES,1.64,24217.8,24197.85,24238.8,24189.9,-6.7,3341475,75,375,-6.65,-6.7,40125,-98850,YES,107325,YES,0.16,9.95,1140150,300,-75,8.95,9.25,43125,50100,YES,6450,N,-1.17,-25,21960,90,45,-41.4,-23.95,8205,-1845,YES,9360,N,0.29
