last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
13-01-2025 10:25,65.6,18555,15,-45,77.55,73.9,8055,16470,N,-1860,Y,4.99,13-01-2025 10:25,-23.4,519225,-75,150,-24.2,-24.2,44550,-39375,Y,20850,N,-3.65
13-01-2025 10:30,33.15,29355,90,90,27.25,29.55,9345,10950,N,5100,N,9.04,13-01-2025 10:30,-11.4,484050,75,0,-11.85,-11.8,41325,9225,YES,10650,N,-3.89
13-01-2025 10:35,-118.95,25590,60,-195,-114.6,-125.95,9060,7200,N,9915,N,6.81,13-01-2025 10:35,15.25,445125,-150,-75,15.5,15.55,39075,36750,YES,15375,N,-3.33
13-01-2025 10:40,12.65,22455,0,105,9.2,7.25,8220,-615,YES,14715,N,3.22,13-01-2025 10:40,2.35,505575,-375,-150,0.5,0.35,40050,2250,Y,-6750,YES,-2.32
13-01-2025 10:45,-26.45,16035,-105,15,-13.2,-26.05,7995,-10005,YES,13005,N,3.44,13-01-2025 10:45,0.65,363600,-150,0,-3.3,-3.75,36825,10950,N,16200,Y,-2.26
13-01-2025 10:50,-30.35,11070,-30,-15,-27.9,-24.95,6795,-4185,N,23565,N,1.51,13-01-2025 10:50,-6.85,347700,0,-525,-8.25,-8.35,43800,-2100,Y,22425,N,-1.71
13-01-2025 10:55,-81.65,20130,0,0,-75.55,-70.65,7425,-13200,YES,-2955,Y,1.58,13-01-2025 10:55,19.75,339300,0,75,17.1,17.15,42825,525,N,450,YES,-1.38
13-01-2025 11:00,5.65,15000,0,-105,-15.75,-8.65,7110,18135,Y,-4125,Y,0.73,13-01-2025 11:00,9.55,458100,450,225,10.6,10.5,41325,2925,N,6600,N,-1.16
13-01-2025 11:05,127.4,13455,-225,315,113.45,107.05,6360,23925,N,-1740,N,1.05,13-01-2025 11:05,-1.1,440175,-225,75,-1.7,-1.75,47550,-1275,Y,10425,N,-0.73
13-01-2025 11:10,50.4,14535,-15,0,40.05,46.6,7995,18450,N,1800,N,2.35,13-01-2025 11:10,4.8,248325,75,0,3.55,3.9,39600,18000,N,9450,N,-0.41
13-01-2025 11:15,26,17400,-75,-105,32.85,17.55,8205,720,YES,420,Y,3.58,13-01-2025 11:15,-0.6,407175,75,-75,-1.35,-1.4,37725,-1350,Y,16725,N,-0.76
13-01-2025 11:20,38.1,11655,-90,15,33.4,38.6,8400,-405,YES,-1650,Y,2.25,13-01-2025 11:20,-3.55,187725,150,-75,-5,-4.95,36450,9225,N,2025,YES,-0.26
13-01-2025 11:25,-91,9870,-15,15,-90.85,-96.05,7545,5610,N,3435,N,1.52,13-01-2025 11:25,25.3,429600,75,-150,23.1,23.4,39075,-2400,Y,-33450,YES,-0.05
13-01-2025 11:30,-47.8,14820,-165,-105,-32.8,-34.15,6960,2790,YES,2430,Y,1.2,13-01-2025 11:30,1.8,449775,525,75,1.9,1.85,37125,-15300,Y,-2475,Y,0.47
13-01-2025 11:35,-119.55,15825,0,165,-106.7,-114.55,6360,-2430,YES,6060,N,0.28,13-01-2025 11:35,16.15,320775,1275,0,16.15,16.25,41025,3150,N,-18675,YES,0.43
13-01-2025 11:40,30,8520,30,-15,33.55,32.5,6870,555,N,5565,N,0.03,13-01-2025 11:40,-13,252900,150,300,-13.9,-13.3,42675,-2175,Y,14250,Y,0.32
13-01-2025 11:45,-20,10080,-45,0,-13.6,-15,7245,-4860,YES,-1590,Y,0.03,13-01-2025 11:45,0.4,135150,-75,375,-0.95,-0.9,37950,3975,N,9525,N,0.11
13-01-2025 11:50,-42.45,21240,0,0,-45.3,-42.1,6270,-1665,N,-4665,Y,-0.35,13-01-2025 11:50,9.25,489900,-75,-225,8.3,8.35,42000,1650,Y,-22425,YES,0.14
13-01-2025 11:55,4.55,11205,30,-105,-8.5,-20.1,7815,5100,N,510,N,-0.44,13-01-2025 11:55,-0.35,178950,-75,375,0.4,0.35,42975,-1725,Y,14700,Y,0.22
13-01-2025 12:00,42.75,10260,105,-90,38.3,40,6315,7005,N,1350,N,-0.39,13-01-2025 12:00,-8.9,249000,75,75,-7.35,-7.5,38550,4650,N,17625,N,0.28
13-01-2025 12:05,-53.4,8970,-60,-90,-38.1,-42.2,8415,3930,N,-1110,Y,-0.41,13-01-2025 12:05,9.75,174300,-525,75,9.4,9.6,37500,2550,Y,-12675,YES,0.2
