last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
23-04-2025 10:05,-40.5,-40.5,-41,25050,-906.8,30075,1950,N,-16575,Y,-7.08,24270.4,24229,-4.3,-4.25,-4.3,24150,-39.75,55725,-94650,Y,97275,N,-1.24,36.95,36.15,36.35,-71850,-180.95,37125,-86025,Y,-104250,YES,4.18
23-04-2025 10:10,-43,-42,-42.1,-42825,-887.1,36525,-28725,YES,9750,YES,-6.29,24230,24190,-7.5,-7.6,-7.65,-83325,-34.25,65550,-145125,YES,84600,N,-1.15,36.85,33.55,33.65,-5775,-202,41250,-17550,YES,-54900,Y,3.27
23-04-2025 10:15,32,30.2,31.4,-44325,-1016.6,31875,3075,Y,-5850,Y,-3.59,24190,24222.9,4.65,4.75,4.7,-517275,-36.7,63300,227025,Y,-19800,Y,-1.14,-26.65,-27.5,-27.4,-38625,-192.2,39825,-30600,Y,38175,Y,1.82
23-04-2025 10:20,-12,-10.2,-8.8,-9975,-776.5,28125,-41850,YES,51300,YES,-2.5,24222.9,24214.4,-0.6,-0.65,-0.65,-225975,-35.25,61350,150300,N,100275,YES,-0.5,7.2,7.1,7,-31650,-187.25,36075,-2175,YES,11325,N,1.45
23-04-2025 10:25,20.6,22.4,21.4,9600,-749.4,26175,7875,N,-17775,Y,-1.7,24214.4,24235,2.3,2.75,2.8,-652575,-33.9,63975,45825,N,-79125,Y,-0.42,-20.25,-20.25,-20.15,23925,-164.7,34350,-4650,Y,16650,N,0.79
23-04-2025 10:30,-35.5,-33.8,-36,54150,-765.7,28800,-450,YES,-8475,N,-2.22,24234.5,24195.3,-5.85,-5.45,-5.45,73725,-34.25,61725,-211800,YES,52800,YES,-0.55,28.35,27.25,27.1,31575,-164.15,37875,5850,N,-4500,YES,1.28
23-04-2025 10:35,-6.9,-10.2,-9.5,-6750,-1155.9,27750,-4500,YES,5325,N,-6.51,24195.3,24188.4,-1.9,-1.95,-1.95,-26550,-33.2,63900,-41625,Y,113775,YES,-0.81,10.55,10.5,10.6,-10950,-196.25,38700,-14850,Y,-15825,YES,1.8
23-04-2025 10:40,-10.4,-9.2,-9.4,49575,-914.3,25200,6750,N,-11325,Y,-1.63,24188.4,24177,-1.2,-1.1,-1.1,-531000,-33.55,67125,-23250,N,138600,YES,-0.31,8.95,7.9,7.95,12825,-191.95,38100,7875,YES,-10275,N,0.96
23-04-2025 10:45,-24.9,-24.9,-26.4,23175,-949.5,30150,-9900,YES,19875,YES,-3.56,24177,24158.2,-3.15,-3.1,-3.15,-118950,-32.85,72150,36375,Y,-106650,Y,-0.59,18.35,19.5,19.5,-14025,-214.8,35250,-4725,Y,-36900,YES,1.55
23-04-2025 10:50,-28.3,-22.5,-23.4,27150,-956.7,27450,-40200,YES,9975,N,-5.63,24160,24131.7,-2.95,-2.95,-2.95,-102750,-26.2,76200,-188250,YES,221625,YES,-0.77,22.75,22.15,22.35,-17325,-231.65,38775,375,N,-13500,Y,1.29
