last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
09-05-2025 10:20,18.7,111750,273,18.7,19.7,68175,-1582.1,44850,43950,N,13800,N,24114.68,24112,24130.7,24145,24092.2,09-05-2025 10:20,8,1579650,355,8.4,8.25,6150,-320.75,54900,-300,Y,15000,N,286.9,294.9,304.4,276.15,287.02,09-05-2025 10:20,-10.15,3504450,356,-11.1,-11.15,-59850,-249.05,59550,-59550,Y,141300,N,241.55,231.4,248.95,225.15,248.41
09-05-2025 10:25,-23.1,66675,215,-17.4,-17.7,1125,-1560.8,44100,-27000,YES,-2850,Y,24114.63,24128.1,24105,24129.9,24090,09-05-2025 10:25,-10.2,1071375,327,-9.75,-9.75,-6900,-285.8,58875,11175,N,-7575,Y,293.35,283.15,294.25,270,286.82,09-05-2025 10:25,5.299999999999983,2154750,336,5,5.099999999999994,-106650,-248.9,53175,75525,YES,58875,N,232.4,237.7,245.65,230.05,248.05
09-05-2025 10:30,-14.3,55800,183,-9.4,-14.1,50250,-1771.5,41700,45300,Y,-65550,Y,24114.59,24111.3,24097,24127,24097,09-05-2025 10:30,-7,870825,335,-6.9,-6.8,17175,-273.75,51750,-1275,YES,25950,YES,280.2,273.2,291.25,272.3,286.72,09-05-2025 10:30,5.900000000000006,1794525,342,6.300000000000011,6.400000000000006,-20025,-231.1,59475,63600,N,-23550,YES,239.1,245,245.4,230.75,247.78
09-05-2025 10:35,-16.2,81075,225,-15.1,-11.6,61125,-1627.7,43575,1050,YES,-66225,Y,24114.45,24097.1,24080.9,24133.9,24076.7,09-05-2025 10:35,-9.9,1322325,351,-9.1,-9.4,-43050,-275.05,52800,-18075,YES,4275,N,273.9,264,297.9,261.25,286.41,09-05-2025 10:35,4.200000000000017,2616900,353,4.400000000000006,4.5,-85125,-255.55,61650,-21000,Y,-42450,YES,245.45,249.65,251.6,230,247.51
09-05-2025 10:40,-21.4,82575,254,-15.6,-18.1,95700,-1526.4,41250,-4275,YES,39750,YES,24113.98,24089.4,24068,24094.5,24067,09-05-2025 10:40,-12.1,1465800,357,-10.9,-11.05,-13200,-253.95,58650,62250,Y,49200,YES,263.65,251.55,270.8,250.3,285.32,09-05-2025 10:40,4.25,2806875,354,3.3499999999999943,3.5,46050,-249.65,55125,45000,YES,51825,Y,247.4,251.65,254.6,240.65,247.57
09-05-2025 10:45,-1,114075,268,-1,-1,117225,-1391.2,45825,52425,Y,21150,N,24113.14,24068,24067,24079.9,24060.2,09-05-2025 10:45,-2.7,1369425,356,-2.35,-2.35,-62325,-230.5,58125,10800,N,18900,N,251.35,248.65,256.5,246.3,284.02,09-05-2025 10:45,2,2409975,354,2.5,2.4000000000000057,41100,-255.1,60975,-25275,Y,-27975,YES,251.95,253.95,256.6,246.75,247.72
09-05-2025 10:50,-34,119325,226,-34.6,-34,36075,-1239.7,41700,-18300,YES,21975,N,24111.84,24067,24033,24073.9,24031.1,09-05-2025 10:50,-10.35,1734975,357,-9.85,-9.95,-6825,-231.95,56625,127425,Y,64575,YES,248.65,238.3,253.9,232.75,282.03,09-05-2025 10:50,20,3827325,355,19.75,19.850000000000023,-53025,-254.75,58350,14325,YES,-153300,YES,255,275,276.25,249.35,248.61
09-05-2025 10:55,4.9,85500,183,3.5,4.8,132225,-1282.8,39375,-61650,YES,9300,N,24110.78,24035.9,24040.8,24050,24025,09-05-2025 10:55,-3.3,1710975,360,-2.95,-3,33750,-242.45,60525,-21825,YES,29925,N,239.1,235.8,241.65,230,280.07,09-05-2025 10:55,-5.3,3085425,359,-5.3,-5.35,75,-272.9,59700,-80625,Y,49425,Y,274.1,268.8,280.95,263.05,249.52
09-05-2025 11:00,17.5,96375,185,20.9,21.6,93450,-1183.6,44475,-54975,N,-3150,Y,24109.85,24040.8,24058.3,24065,24038.9,09-05-2025 11:00,9.55,2130150,349,9,9.1,-57300,-242.8,58350,-18450,N,35925,N,236.1,245.65,247.65,235.05,278.06,09-05-2025 11:00,-11.75,2471175,344,-12.8,-12.5,49125,-249.5,58125,-25125,YES,61425,N,268,256.25,269.85,251.55,249.87
09-05-2025 11:05,-7.8,45975,154,-7.5,-7.1,60075,-1246.8,34875,2925,Y,14400,N,24109.51,24061.9,24054.1,24075,24051,09-05-2025 11:05,-8.7,1707225,320,-8.8,-8.65,-91500,-225.15,52800,-57225,YES,36675,N,245.25,236.55,251.9,236.5,276.77,09-05-2025 11:05,0.39999999999997726,2094000,327,0.5,0.44999999999998863,39150,-235,54300,70725,YES,4050,N,256.25,256.65,257.95,246.5,249.92
