last_traded_time,ltp,bid,ask,bid_price,ask_price,vol_traded_today,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,ltp,bid,ask,bid_price,ask_price,vol_traded_today,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price_2,open_2,close_2,high,low,ltp,bid,ask,bid_price,ask_price,vol_traded_today,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price_3,open_3,close_3,high,low,ltp_4,bid_price_4,ask_price_4,volume_4,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price_4,open_4,close_4,high_4,low_4,final_signal,result,datetime,open,high,low,close,non_zero_vol,non_zero_vol,non_zero_vol
16-04-2025 15:05,-2.8,137400,259275,-2.7,-3,100050,3525,N,13725,YES,23360.37,23432,23429.2,23433.8,23426.1,-3.15,251775,280275,-3.1,-3.15,1143600,-24450,Y,23025,N,80.1,132.2,129.05,133.55,127.8,0.75,1187550,1477425,0.75,0.75,2156550,54450,N,-119700,YES,73.84,49,49.75,50.3,48,-16.6,-20,-23.4,24660,-4170,N,3960,N,52801.16,53050,53033.4,53066.6,53030,no signal,exc_loss,16-04-2025 15:05,23436.85,23439.2,23432.6,23437.75,166,183,183
16-04-2025 15:10,-13.3,82650,167775,-12.2,-12.2,88350,-11025,YES,13650,N,23361.5,23429,23415.7,23429,23415.7,-9.7,314700,285300,-10,-9.9,1749450,-170925,YES,-55950,Y,80.27,129.05,119.35,129.05,118.85,2.75,1011450,1351350,2.55,2.55,3636000,-148425,Y,-296025,YES,73.66,49.9,52.65,53,49.75,11.2,11,9.8,28470,5580,N,-780,N,52806.29,53033.4,53044.6,53053,53020,no signal,reverse,16-04-2025 15:10,23437.9,23437.9,23422.85,23424.55,170,182,182
16-04-2025 15:15,22.1,111225,196575,19.9,20.6,96900,45150,Y,-17925,Y,23362.77,23415.5,23437.6,23437.6,23414.5,12.6,276525,352275,12.4,12.5,2369775,29850,Y,-156150,Y,80.52,120.4,133,135.7,118.95,-8.8,822900,1107825,-9.25,-9.25,5203575,-162000,Y,216300,Y,73.37,53.35,44.55,53.7,42.55,51,51.2,52.2,34650,5940,N,-7590,N,52813.22,53041,53092,53110,53040,BUY,exc_loss,16-04-2025 15:15,23424.3,23439.5,23420.85,23438.8,164,181,181
16-04-2025 15:20,9.4,222150,173400,7.7,8.1,151500,-35250,YES,-22950,Y,23365.06,23438,23447.4,23447.4,23435.1,4.05,337875,366975,4.15,4.3,2082075,-126900,YES,-101625,YES,80.77,132.95,137,138.8,132.1,-4.4,1111800,1879725,-5.1,-5.1,4674750,-216225,Y,-116475,YES,73.06,44.6,40.2,45.75,39.2,18.8,18.8,22,44460,-5640,N,-2310,N,52822.44,53092,53110.8,53120,53081.6,SELL,reverse,16-04-2025 15:20,23439.25,23450.9,23437.85,23450.35,175,181,181
16-04-2025 15:25,-6.8,175800,137475,-8.1,-6.2,128550,-67950,YES,-60075,Y,23366.94,23447.4,23440.6,23447.6,23435.1,-9.1,192975,256275,-9,-8.65,1584825,-450525,YES,-191925,Y,80.95,137.25,128.15,137.25,127.25,-2,779475,1052850,-2.2,-2,4925025,-632700,Y,-505275,YES,72.69,40.3,38.3,40.9,36.2,16.6,25.4,21,40410,-24840,N,-22920,N,52831.02,53120,53136.6,53151.6,53105,no signal,not_triggered,16-04-2025 15:25,23450.55,23452.2,23427.5,23433.3,176,182,182
17-04-2025 09:15,-19,67050,46050,-21.3,-18.9,134925,7650,N,10200,N,23400.03,23406,23387,23414.3,23380,1,411825,348450,0.5,0.45,15472950,3764325,N,429075,N,29.39,27.45,28.45,35,26.55,17.6,123225,78825,17.7,17.7,7378575,929475,N,-61725,N,77.17,68.35,85.95,94.35,65.7,-17.6,-18.6,-26.2,43920,6780,N,16110,N,53209.22,53246.2,53228.6,53282,53210,no signal,win,17-04-2025 09:15,23401.85,23406.6,23349.75,23358.15,97,102,77
17-04-2025 09:20,-37,282225,153675,-34.6,-37,296925,60225,Y,10725,N,23382.33,23387,23350,23387.7,23340,-9.85,1572150,1427175,-9.15,-9.15,23592225,1065675,N,1087875,YES,26.79,28.3,18.45,28.4,18.45,33.45,218775,171450,31.2,31.25,14504775,174375,N,-142350,YES,91.92,86.75,120.2,129.3,84.85,-75.4,-73.6,-68.6,39780,9420,N,-660,N,53199.14,53228.6,53153.2,53228.6,53132.2,no signal,exc_loss,17-04-2025 09:20,23357.65,23361.7,23307.45,23318.05,177,180,180
17-04-2025 09:25,-8.1,199350,62775,-5,-6.7,205275,57900,N,5475,N,23373.61,23349.6,23341.5,23364.5,23330,0,2234100,2303925,0,-0.05,18343125,948075,N,628200,N,24.7,18.55,18.55,21.25,15.85,6.25,153600,218325,5.2,5.35,9117075,-27225,Y,26325,Y,98.43,120.25,126.5,134.95,106.4,-7.4,-15.6,-5.6,41340,3150,N,-3240,N,53184.99,53153,53145.6,53189.8,53110.2,no signal,reverse,17-04-2025 09:25,23318.85,23331.7,23298.55,23309.25,176,180,180
17-04-2025 09:30,7,146400,91050,3,5.3,158475,21825,N,8625,N,23369.26,23340,23347,23362,23333,3.85,1978500,1936125,4.3,4.35,16997550,260025,N,-141000,Y,24.2,18.5,22.35,25.1,18.35,-5.05,171150,181950,-6.45,-6.45,5698050,-18375,N,135675,Y,101.32,126.2,121.15,133.1,106.75,97.2,85.4,82.8,32340,-2070,N,870,N,53188.74,53135.6,53232.8,53250,53125,no signal,win,17-04-2025 09:30,23309.8,23334.05,23302.25,23319.85,169,180,180
17-04-2025 09:35,19.5,139950,82575,22,19.5,125550,44400,Y,8925,N,23368.22,23347,23366.5,23373,23343.1,5.3,1406250,1390500,5.1,5.1,18564150,394200,Y,20925,YES,24.49,22.35,27.65,29.55,21.85,-24.15,184650,175200,-22.25,-22.3,5176875,-59400,Y,264075,Y,101.87,122.45,98.3,124.05,97.35,10.4,2.4,1.2,23160,9090,N,2280,N,53192.71,53219,53229.4,53250,53205,BUY,win,17-04-2025 09:35,23319.35,23347.5,23316.3,23344.65,166,180,180
