last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price
25-04-2025 11:05,3.25,894150,180,3.1,3.15,32775,-48.45,45675,56775,Y,-15300,Y,43.1,46.35,48,42.85,98.76
25-04-2025 11:10,-1.4,939600,181,-1.5,-1.5,-81600,-47.85,51225,7650,N,7800,YES,46.55,45.15,47.55,42.2,97.87
25-04-2025 11:15,-6.15,1593750,178,-6,-6.05,-74775,-42.2,46800,-93225,YES,-14550,Y,45,38.85,46,37.65,96.32
25-04-2025 11:20,-1.85,2225025,180,-1.8,-1.8,-317025,-37,54750,28950,Y,12975,YES,39.4,37.55,40.2,34.6,94.17
25-04-2025 11:25,1.85,1348950,181,2,2,-268575,-36.9,57825,55875,Y,-3450,Y,37.6,39.45,40.1,36.6,92.97
25-04-2025 11:30,-2.55,1666875,181,-2.95,-2.9,3075,-37.5,55725,-50475,YES,53925,YES,39.5,36.95,40.35,36.3,91.56
25-04-2025 11:35,4.2,1028400,181,4.15,4.15,-287550,-37.4,51825,48825,Y,-25725,Y,36.9,41.1,41.4,36.25,90.73
25-04-2025 11:40,-2.3,745875,180,-2.35,-2.35,-198900,-37.45,47025,-14325,YES,49950,YES,41.05,38.75,41.9,37.85,90.16
25-04-2025 11:45,-2.55,1294125,180,-2.8,-2.85,-27525,-38.65,60600,52275,Y,-1500,Y,38.55,36,39.1,34.45,89.13
25-04-2025 11:50,0.25,1010400,180,0.3,0.25,119250,-36.5,55725,63600,N,16650,N,35.85,36.1,36.45,35.1,88.33
25-04-2025 11:55,0.05,562125,181,0.05,0,-15750,-35.85,55575,16575,N,-5925,Y,36.15,36.2,36.95,35.5,87.9
25-04-2025 12:00,-0.5,901425,179,-0.5,-0.45,-215025,-33.5,50775,-59625,YES,10500,N,36.2,35.7,36.85,34.1,87.22
25-04-2025 12:05,1.9,866700,181,1.9,1.95,-209400,-34.65,51975,12975,Y,44925,YES,35.8,37.7,37.8,35.3,86.61
25-04-2025 12:10,4.6,1656750,180,5,5.05,-257250,-42.05,48450,-14250,YES,-162300,Y,37.7,42.3,46.55,36.55,85.59
25-04-2025 12:15,1.85,1622250,181,1.8,1.75,46725,-45.35,47400,43050,Y,53100,YES,42.7,44.55,48.9,39.5,84.67
25-04-2025 12:20,-1.2,885750,180,-1.25,-1.3,-23625,-42.25,41025,33075,N,11550,N,44.6,43.4,45.65,41,84.16
25-04-2025 12:25,1,851400,177,0.9,0.9,-25200,-43.7,48075,48675,N,-38025,Y,42.7,43.7,45.95,40.95,83.7
25-04-2025 12:30,-0.05,716175,175,0.05,0.05,102450,-43.1,42150,-21600,YES,21825,YES,43.35,43.3,45.35,41.75,83.33
25-04-2025 12:35,3.25,902775,176,3,3,2925,-45.4,45000,40425,Y,-44850,Y,43.25,46.5,47.05,42.4,82.89
25-04-2025 12:40,-5.5,1471050,180,-5.55,-5.55,-144375,-45.45,53025,-140700,YES,12900,YES,46.35,40.85,46.35,39.1,82.14
25-04-2025 12:45,2.25,667875,181,2.05,1.95,51450,-46.7,44100,23850,Y,10650,N,40.85,43.1,44.55,40.85,81.82
25-04-2025 12:50,1.7,642675,180,1.8,1.75,-53175,-44.2,54900,35400,N,-33825,Y,42.95,44.65,45.4,41.6,81.51
25-04-2025 12:55,9.45,2904075,179,9.6,9.65,-78825,-49.75,49650,-23700,YES,-59625,Y,44.8,54.25,58.15,43.6,80.46
25-04-2025 13:00,1.75,3991650,181,1.8,1.75,130650,-53.1,45300,141525,Y,-39300,YES,53.75,55.5,60.45,52.6,79.34
25-04-2025 13:05,3.25,2250525,180,3.3,3.3,136875,-54.8,48375,-79275,YES,-20025,N,55.3,58.55,65.2,54.4,78.84
25-04-2025 13:10,2.4,2067000,180,2.15,2.15,188175,-52.35,48750,12600,Y,34575,YES,58.5,60.9,61.5,55.9,78.37
25-04-2025 13:15,2.65,1680600,181,2.95,2.95,-50175,-61.45,51900,-11700,YES,-5775,Y,61.05,63.7,67.65,59.4,78.1
25-04-2025 13:20,-0.9,1501950,180,-1.15,-1.2,11700,-57.9,49650,-9225,N,34350,YES,63.35,62.45,67.85,61.8,77.87
25-04-2025 13:25,-4,2051625,181,-4.5,-4.4,67500,-59.45,56475,-37425,YES,-12900,Y,62,58,64.25,54.65,77.47
25-04-2025 13:30,9.7,1940100,179,10.15,10.15,-147525,-59,48525,55575,Y,-134850,Y,57.85,67.55,70,57.8,77.2
25-04-2025 13:35,-2.55,2553825,181,-2.75,-2.85,6000,-65.7,45450,-8550,YES,-3000,YES,67.9,65.35,75.05,63.1,77
25-04-2025 13:40,5.2,1270125,180,5.9,5.85,-82350,-62.15,44100,43725,Y,32400,YES,65.15,70.35,70.8,64.8,76.89
25-04-2025 13:45,5.4,1494300,180,2.8,2.75,98700,-61.45,49500,57225,N,-28200,Y,70.4,75.8,75.8,66.7,76.79
25-04-2025 13:50,3.95,2867175,181,3.45,3.5,-82500,-67.45,42600,26250,N,-23625,N,76.9,80.85,83.25,74.2,76.84
25-04-2025 13:55,5.05,2586225,182,5.1,5.15,-10125,-72.15,47700,-9825,YES,-8775,N,80.85,85.9,89.05,77.5,77
25-04-2025 14:00,-6.45,2373450,175,-6.15,-6.1,-40950,-67.6,48675,-82350,YES,73425,YES,85.35,78.9,86.55,75,77.1
25-04-2025 14:05,-20.9,2868975,181,-21.8,-21.85,15900,-65.5,44250,-135375,YES,29100,N,78.9,58,81.9,56.25,76.88
25-04-2025 14:10,8.45,2850675,180,7.65,7.65,64500,-55.45,49500,66225,Y,-12675,Y,57.95,66.4,67.3,53.05,76.49
25-04-2025 14:15,7.5,2508000,181,7.5,7.4,-64650,-67.6,43950,110025,Y,-37725,Y,65.8,73.3,76.75,65.5,76.41
25-04-2025 14:20,-0.35,1248525,181,-1.05,-1,-18975,-67.15,46050,-34725,YES,45750,YES,73.5,73.15,73.75,67.25,76.36
25-04-2025 14:25,-5.1,1405575,180,-5.5,-5.6,51225,-65.8,52350,-3300,Y,34125,N,72.95,67.85,73.25,61.35,76.24
25-04-2025 14:30,-11,1866675,182,-10.6,-10.7,77400,-60.95,48300,-65550,YES,115650,YES,68.4,57.4,68.4,54.8,75.98
25-04-2025 14:35,0.45,1730775,176,0.95,1,-13650,-56.1,46875,5700,Y,20925,N,57.35,57.8,60.25,52.25,75.72
25-04-2025 14:40,-2.15,1123350,181,-2.25,-2.25,-38850,-55.45,59700,7875,N,-6900,Y,57.95,55.8,58.95,52.85,75.54
25-04-2025 14:45,1.35,1727475,182,1.4,1.4,-195225,-56.15,57000,-26625,YES,-16725,Y,56.15,57.5,57.5,47.55,75.22
25-04-2025 14:50,2.95,1856700,181,2,2.1,-124125,-56.65,49275,-1800,Y,-27075,Y,56.9,59.85,60.85,54.45,74.97
25-04-2025 14:55,-4.15,1596450,181,-4.4,-4.45,3525,-55.5,50775,-26925,YES,-19125,N,59.4,55.25,61.4,52.85,74.76
25-04-2025 15:00,1.35,1448250,176,1.05,1.1,84450,-54.4,55350,24975,Y,-25875,Y,55.05,56.4,57,50.8,74.53
25-04-2025 15:05,-2.4,1139850,181,-2.55,-2.6,-87900,-56.2,47625,11325,N,25350,YES,56.2,53.8,58.1,51.35,74.36
25-04-2025 15:10,-0.25,1385850,181,-0.7,-0.7,-141225,-52.85,48900,21075,N,-61350,Y,54.05,53.8,58.2,52.05,74.15
25-04-2025 15:15,-5.2,1753050,180,-5,-4.95,-175500,-45.35,50175,-78675,YES,28725,YES,53.95,48.75,54.25,48.75,73.87
25-04-2025 15:20,-4.9,2472600,180,-5.05,-5,-147600,-48.45,55050,-41700,Y,-99525,Y,49.05,44.15,49.45,41.95,73.37
25-04-2025 15:25,-5.4,3640575,181,-6.2,-5.55,-443550,-46.5,46950,-1148850,YES,-134700,Y,43.9,38.5,44.35,37.35,72.52
