last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,open_4,high_4,low_4,close_4
29-07-2025 14:20,4.3,7,7.2,56850,-1085.8,36450,12150,N,-7500,Y,0.92,24827.7,24832,29-07-2025 14:20,9.55,10.1,10.15,-22125,-214.45,39975,-600,N,-16275,Y,243.8,253.35,254.5,236,0.32,29-07-2025 14:20,-0.8,-0.7,-0.7,-508350,-32.4,71925,-79350,Y,111975,Y,20,19.2,21.05,19.2,-0.16,24802.55,24817.6,24794.25,24814.8
29-07-2025 14:25,4.9,1,1.9,37350,-1295.1,35925,-13650,YES,-750,N,1.34,24832,24836.9,29-07-2025 14:25,-1.9,-1.95,-2.15,3750,-212.95,52575,-525,N,-5175,N,254.35,252.45,256.9,242.7,0.31,29-07-2025 14:25,-0.15,-0.1,-0.15,-629325,-32.25,88650,10725,YES,-4350,YES,19.2,19.05,20.2,18.95,-0.2,24814.95,24820.3,24808.05,24819.1
29-07-2025 14:30,-11,-7.2,-8.7,48000,-1165.4,48450,-12900,N,-27450,Y,1.5,24836.8,24825.8,29-07-2025 14:30,-6.6,-7.05,-6.9,-4050,-230.4,43875,-4650,YES,6150,N,253,246.4,262.25,244.5,0.48,29-07-2025 14:30,1.05,1.05,1.1,-1029375,-33.2,97050,111825,YES,-194100,YES,19,20.05,20.25,18.4,-0.22,24819.25,24828.15,24808.45,24808.45
29-07-2025 14:35,-18.8,-20.8,-21.5,-145050,-912.9,45900,11325,Y,-3000,YES,1.86,24825.8,24807,29-07-2025 14:35,-20.7,-21.1,-21.1,900,-239.2,48975,-18675,YES,-18450,Y,245.75,225.05,246.1,221.65,0.43,29-07-2025 14:35,1.75,1.9,1.85,-1651800,-37.9,98925,-1500,Y,21525,Y,20.15,21.9,22.85,20.1,-0.53,24808.75,24809.95,24772.7,24785.8
29-07-2025 14:40,9.6,8.2,2.8,-90300,-1257.2,41325,47550,Y,-20775,Y,0.81,24800.2,24809.8,29-07-2025 14:40,6.25,6.05,6.25,-34125,-213.7,47250,13575,Y,-1575,N,225.05,231.3,233.25,218.9,0.23,29-07-2025 14:40,-0.7,-0.65,-0.7,-522075,-38.1,104550,-5250,Y,70200,Y,21.9,21.2,23.2,21.05,-0.3,24785.9,24794.05,24778.35,24791.8
29-07-2025 14:45,-18.5,-17.9,-16.8,-17775,-1140.5,39000,27375,N,-27975,Y,0.77,24809.8,24791.3,29-07-2025 14:45,-15.8,-15.55,-15.4,8475,-224.2,46725,-6375,YES,8025,N,230.8,215,232.25,212.9,0.22,29-07-2025 14:45,0.85,0.8,0.85,-504900,-40.25,113850,42600,YES,-81750,YES,21.2,22.05,22.65,20.5,-0.26,24792.35,24794.3,24771.8,24773.8
29-07-2025 14:50,20.2,20.1,22,-323475,-1418.8,42750,38400,N,-20475,N,0.75,24791.3,24811.5,29-07-2025 14:50,16.85,16.9,16.9,-2850,-198.4,45525,21075,Y,-12300,Y,216.75,233.6,234.8,214,0.23,29-07-2025 14:50,-2.2,-2.2,-2.25,-894975,-36.4,97425,-24150,Y,175950,Y,21.9,19.7,22.2,19.5,-0.27,24774.8,24792.95,24772.85,24792
29-07-2025 14:55,2.5,1.9,0,-238950,-1141.1,36975,-48225,YES,14025,YES,1.19,24812.5,24815,29-07-2025 14:55,-2.3,-2.75,-2.6,7950,-216,44175,-15000,YES,12375,YES,233.5,231.2,245.8,225,0.39,29-07-2025 14:55,-0.95,-1.05,-1.05,-1316025,-32.1,84600,-202800,Y,-157050,YES,19.7,18.75,19.85,17.85,-0.31,24791,24803.55,24782.75,24793.05
29-07-2025 15:00,20,21,20,-145200,-1328.4,39225,-15750,Y,17100,N,1.24,24815,24835,29-07-2025 15:00,19,19.2,19.5,-10200,-225.45,48300,-3525,N,9075,N,234,253,254.55,221.55,0.51,29-07-2025 15:00,-1.6,-1.7,-1.7,-494700,-33.1,97650,-2850,YES,103125,Y,18.55,16.95,19.75,16.75,-0.26,24794.35,24818.7,24771.7,24817.8
29-07-2025 15:05,-9.5,-9.1,-7,-137175,-1045,37950,-32550,YES,20475,N,2.47,24833.1,24823.6,29-07-2025 15:05,-7.55,-8.45,-8.3,-31650,-249.95,52500,-18975,YES,9750,N,252.55,245,255.25,242.15,0.3,29-07-2025 15:05,0.3,0.2,0.25,-1284975,-35.05,112725,90225,YES,-73500,YES,17.05,17.35,17.45,16.55,-0.26,24818.4,24823.65,24809.85,24812.45
29-07-2025 15:10,4.7,4.3,2,-1029975,-1162.6,56475,-7500,Y,11025,N,1.96,24823.6,24828.3,29-07-2025 15:10,4.65,4.35,4.15,-28950,-158.65,47100,-6975,N,-32775,Y,243.25,247.9,250.85,242.2,0.28,29-07-2025 15:10,0.55,0.15,0.15,-1260300,-29.55,106425,-52050,Y,51450,Y,17.4,17.95,18.1,17.05,-0.21,24812.1,24817.8,24809.4,24813.45
29-07-2025 15:15,15.6,15.4,13.9,-139500,-889.8,47250,30975,Y,-38250,Y,2.72,24828.3,24843.9,29-07-2025 15:15,13.25,14.15,13.95,-103050,-233.05,44175,7350,N,-23325,N,249.15,262.4,262.9,248.25,0.39,29-07-2025 15:15,-1.95,-2.05,-2,-65925,-32.5,111675,-152925,Y,115200,Y,17.85,15.9,17.95,15.45,-0.4,24814.15,24831.35,24813.5,24827.55
29-07-2025 15:20,4,4.8,9.4,-173625,-918.5,46950,-4950,YES,3975,YES,2.98,24844,24848,29-07-2025 15:20,2.3,3.25,3.25,-88050,-239.45,56925,-12975,YES,11625,YES,262.3,264.6,271,260.8,0.36,29-07-2025 15:20,-0.35,-0.4,-0.35,-820200,-30.5,116250,127725,YES,-239550,YES,15.9,15.55,16.15,14.7,-0.53,24829.1,24847.15,24828.65,24840.25
29-07-2025 15:25,-8.8,-5.8,-3.1,-781125,-1222.6,50175,-17925,YES,-41400,Y,2.3,24852.2,24843.4,29-07-2025 15:25,-3.7,-3.25,-2.8,46875,-249.55,52200,-267375,YES,-56025,Y,264.1,260.4,265.8,258.4,0.26,29-07-2025 15:25,-1.4,-1.25,-1.2,-1160400,-33,111375,-1360500,Y,-169125,Y,15.65,14.25,15.65,14.2,-0.43,24841.95,24842.85,24820.9,24830.4
