last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
2025-03-27 10:10:00,1.6999999999999993,7213425.0,181,2570550,2424300,1.75,1.8000000000000007,146250,-26.5,81150,395775.0,YES,250650.0,Y,17.2,18.9,19.35,16.5,42.28
2025-03-27 10:15:00,0.40000000000000213,10773675.0,180,2339700,2433525,0.5,0.45000000000000284,-93825,-28.900000000000546,88875,-103050.0,Y,240750.0,N,19.15,19.55,20.85,14.8,40.91
2025-03-27 10:20:00,-4.599999999999998,8963550.0,180,3839700,4115025,-4.450000000000001,-4.449999999999999,-275325,-29.299999999999272,91275,212475.0,YES,274425.0,Y,19.4,14.8,20.9,13.9,39.82
2025-03-27 10:25:00,-1.6500000000000004,5964000.0,180,3617250,3845925,-1.75,-1.8000000000000007,-228675,-25.399999999999636,91500,213075.0,N,291750.0,N,15.0,13.35,17.15,13.2,39.11
2025-03-27 10:30:00,3.4000000000000004,9833550.0,180,5130600,5217300,3.4000000000000004,3.450000000000001,-86700,-26.0,86850,100950.0,N,-198225.0,YES,13.35,16.75,18.25,12.25,38.0
2025-03-27 10:35:00,1.8000000000000007,9950325.0,180,2937075,3197625,1.5,1.5500000000000007,-260550,-29.75,85425,18825.0,N,218925.0,Y,16.9,18.7,20.0,15.3,37.12
2025-03-27 10:40:00,-2.4499999999999993,8975700.0,179,3073200,2932275,-2.450000000000003,-2.4499999999999993,140925,-30.69999999999891,87150,-2631900.0,Y,227400.0,N,18.95,16.5,20.7,14.05,36.33
2025-03-27 10:45:00,1.9500000000000028,6880800.0,181,2872350,2422500,2.150000000000002,2.1499999999999986,449850,-29.899999999999636,89925,174000.0,YES,-158775.0,YES,16.15,18.1,18.65,13.8,35.76
2025-03-27 10:50:00,-1.6499999999999986,12136725.0,181,3096375,3067950,-2.0,-2.0500000000000007,28425,-29.75,83625,585975.0,YES,-3525.0,Y,17.75,16.1,21.2,14.5,34.89
2025-03-27 10:55:00,-2.3999999999999986,7309875.0,182,3057375,2507550,-1.9499999999999993,-1.9499999999999993,549825,-28.549999999999272,94725,-93450.0,Y,261450.0,Y,16.4,14.0,17.85,13.4,34.35
2025-03-27 11:00:00,-3.1999999999999993,12917925.0,181,5816925,6317325,-3.1499999999999986,-3.1500000000000004,-500400,-22.850000000000364,102300,-144975.0,Y,6300.0,N,14.0,10.8,14.0,9.4,33.24
2025-03-27 11:05:00,-1.950000000000001,8674125.0,182,9990000,10071300,-1.9499999999999993,-1.950000000000001,-81300,-22.90000000000009,124500,46200.0,YES,397950.0,Y,10.9,8.95,10.9,8.55,32.51
2025-03-27 11:10:00,0.09999999999999964,6528825.0,182,11206575,11390400,0.09999999999999964,0.09999999999999964,-183825,-22.050000000000637,121275,551025.0,YES,49575.0,N,8.8,8.9,9.6,8.3,31.98
2025-03-27 11:15:00,0.8499999999999996,6482475.0,182,10079850,10484400,0.75,0.75,-404550,-21.850000000000364,113475,214575.0,N,-38775.0,YES,9.05,9.9,10.1,8.65,31.48
2025-03-27 11:20:00,-0.45000000000000107,6306375.0,182,7910625,8774925,-0.4499999999999993,-0.45000000000000107,-864300,-22.84999999999991,116775,-13200.0,Y,188475.0,Y,9.8,9.35,10.9,9.0,31.03
2025-03-27 11:25:00,0.5,4831350.0,181,7581600,7955325,0.5499999999999989,0.5500000000000007,-373725,-21.549999999999272,105825,177000.0,YES,-26475.0,YES,9.4,9.9,10.25,9.1,30.7
2025-03-27 11:30:00,-2.3999999999999995,7006575.0,181,11528625,10018350,-2.4499999999999993,-2.45,1510275,-22.649999999999636,124200,-481725.0,Y,207525.0,Y,9.95,7.55,10.05,7.3,30.21
2025-03-27 11:35:00,-1.6500000000000004,6412350.0,181,14061225,14594625,-1.6000000000000005,-1.6000000000000005,-533400,-20.200000000000728,113400,-120900.0,YES,85950.0,N,7.7,6.05,7.85,6.05,29.74
2025-03-27 11:40:00,0.15000000000000036,5747250.0,182,11681100,18302325,0.25,0.25,-6621225,-20.150000000000546,112425,-14325.0,YES,-284925.0,YES,6.1,6.25,6.65,5.9,29.32
2025-03-27 11:45:00,0.0,3894675.0,183,13595250,16773825,0.0,0.0,-3178575,-19.59999999999991,117675,153825.0,YES,-64950.0,Y,6.2,6.2,6.5,6.0,29.05
2025-03-27 11:50:00,0.2999999999999998,2876400.0,181,12174750,13964400,0.2999999999999998,0.2999999999999998,-1789650,-18.200000000000273,114225,509325.0,YES,-29625.0,Y,6.25,6.55,6.7,6.15,28.85
2025-03-27 11:55:00,0.3000000000000007,2687475.0,181,11234925,14432325,0.35000000000000053,0.35000000000000053,-3197400,-18.599999999999454,98850,72525.0,N,-75450.0,YES,6.6,6.9,6.95,6.2,28.67
2025-03-27 12:00:00,1.4500000000000002,6509250.0,181,11795625,11777175,1.4500000000000002,1.450000000000001,18450,-19.550000000000182,115350,-1554450.0,Y,-191550.0,YES,6.8,8.25,8.4,6.55,28.27
2025-03-27 12:05:00,-1.75,6132375.0,182,10935225,9971250,-1.8499999999999996,-1.8499999999999996,963975,-20.200000000000273,126750,-86625.0,YES,354150.0,Y,8.25,6.5,8.65,6.3,27.9
2025-03-27 12:10:00,-0.6000000000000005,4645575.0,180,16070700,12873150,-0.5999999999999996,-0.6000000000000005,3197550,-19.0,125775,1440750.0,YES,3000.0,N,6.4,5.8,6.5,5.45,27.61
2025-03-27 12:15:00,2.250000000000001,3715275.0,183,14066475,16099650,2.1500000000000004,2.1500000000000004,-2033175,-19.149999999999636,124875,348525.0,N,-422175.0,YES,5.8,8.05,8.05,5.65,27.39
2025-03-27 12:20:00,-0.9500000000000002,3611100.0,182,10822500,10790250,-0.9500000000000011,-0.9499999999999993,32250,-19.650000000000546,105900,-525300.0,Y,318075.0,Y,8.15,7.2,8.15,6.8,27.19
