last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price
04-04-2025 10:05,2.3,583275,180,75300,80850,2.55,2.6,-5550,-226.95,36225,-10800,Y,3300,Y,292.5,294.8,296.6,273.6,232.76,04-04-2025 10:05,-1.7,2241600,180,493800,589875,-1.65,-1.65,-96075,-52.15,47400,19350,Y,65775,N,55.5,53.8,60.8,53.8,89.95
04-04-2025 10:10,14.1,838125,180,87075,82875,13.85,13.9,4200,-239,38175,-1725,N,-35550,YES,294.25,308.35,310.45,286.15,234.96,04-04-2025 10:10,-6.55,2914425,180,486825,506775,-6.25,-6.25,-19950,-49.95,50100,-55275,YES,143400,YES,53.85,47.3,56.6,47.3,87.79
04-04-2025 10:15,-23.65,623250,180,130125,86175,-23.85,-23.6,43950,-232.65,41325,-12375,Y,22275,Y,309.95,286.3,312.75,278.6,236.38,04-04-2025 10:15,6.9,2812875,180,571800,623475,6.75,6.8,-51675,-50.9,49575,135975,Y,-44025,Y,47,53.9,56,46.7,85.9
04-04-2025 10:20,41,621000,179,99825,87075,39.5,39.65,12750,-240.9,40950,-1125,N,-42675,YES,285.05,326.05,326.05,285.05,238.02,04-04-2025 10:20,-8.75,2465325,180,737100,967575,-8.8,-8.8,-230475,-51.2,52650,-27150,YES,178725,YES,54,45.25,54,45.1,84.3
04-04-2025 10:25,-9.75,319575,174,117600,80850,-9.6,-9.6,36750,-229.95,39525,-16875,Y,35100,Y,325.1,315.35,325.45,308.35,238.96,04-04-2025 10:25,2.1,1749225,181,910950,914325,2,1.95,-3375,-46.65,58800,68250,Y,25200,N,45.1,47.2,49.1,44.9,83.16
04-04-2025 10:30,7.5,345825,177,127950,83025,5.75,5.65,44925,-240.25,50250,-2175,N,-13575,YES,314.55,322.05,325.35,300,239.88,04-04-2025 10:30,-1.85,1780275,178,765825,759600,-1.75,-1.65,6225,-44.55,46725,-1015425,YES,19800,N,47.05,45.2,50.2,45.1,82.11
04-04-2025 10:35,-19.1,273600,174,128325,86925,-19.65,-19.85,41400,-224.15,44175,-7800,Y,20550,Y,320,300.9,320,295.4,240.52,04-04-2025 10:35,4.2,1560600,181,717450,949425,4.45,4.45,-231975,-46.7,51075,143850,Y,-42825,Y,45.35,49.55,51.05,45.35,81.26
04-04-2025 10:40,2.4,358425,176,128175,109875,1.2,1.35,18300,-224.95,36975,-4500,N,6525,N,299.55,301.95,306.3,286,241.23,04-04-2025 10:40,-1.75,1858125,180,663150,718125,-1.4,-1.35,-54975,-44.85,50250,-22350,YES,79875,YES,49.95,48.2,52.6,47.8,80.35
04-04-2025 10:45,-2.85,214125,169,132300,99750,-2.6,-2.4,32550,-214,37950,43950,YES,1050,YES,303.4,300.55,308.65,290.25,241.69,04-04-2025 10:45,-0.25,1304625,180,771900,714150,-0.6,-0.65,57750,-46.05,48675,82200,Y,19425,N,47.7,47.45,50.8,45.7,79.69
04-04-2025 10:50,-20.3,388725,173,101250,103575,-20.65,-20.65,-2325,-201.55,35025,-13875,Y,25350,Y,300.65,280.35,300.65,274.65,242.28,04-04-2025 10:50,4.55,2139450,179,579300,656550,4.65,4.6,-77250,-45.95,45150,-10050,YES,-113175,Y,47.55,52.1,53.75,47.5,78.79
