last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
2025-03-07 12:00:00,10.799999999999983,10.949999999999989,10.949999999999989,11850,-133.54999999998836,51675,-36600.0,Y,-67950.0,YES,0.789999999999992
2025-03-07 12:05:00,4.5,4.849999999999994,4.950000000000017,-11775,-123.24999999998545,43275,8325.0,YES,14175.0,Y,0.29000000000002046
2025-03-07 12:10:00,-1.1499999999999773,-1.1500000000000057,-1.1999999999999886,-64500,-140.6999999999971,44325,-15000.0,Y,38250.0,Y,0.549999999999983
2025-03-07 12:15:00,14.100000000000023,13.799999999999983,13.849999999999994,-84600,-127.14999999999418,43425,10275.0,YES,-164475.0,YES,0.4300000000000068
2025-03-07 12:20:00,-11.699999999999989,-11.300000000000011,-11.300000000000011,-45675,-139.1999999999971,41100,-22425.0,Y,87450.0,Y,0.45999999999997954
2025-03-07 12:25:00,-6.550000000000011,-7.050000000000011,-6.899999999999977,32475,-124.35000000000582,47025,-13200.0,N,-21225.0,YES,0.18000000000000682
2025-03-07 12:30:00,-14.050000000000011,-13.949999999999989,-13.900000000000006,4275,-119.04999999999563,46200,6675.0,N,41100.0,Y,-0.030000000000001137
2025-03-07 12:35:00,-4.650000000000006,-5.5,-5.449999999999989,9300,-107.00000000000728,45150,15000.0,N,32700.0,N,-0.2400000000000091
2025-03-07 12:40:00,-3.3000000000000114,-2.75,-2.8000000000000114,-30375,-107.34999999999854,40650,7800.0,N,39375.0,N,-0.09999999999999432
2025-03-07 12:45:00,12.799999999999983,12.949999999999989,12.949999999999989,4950,-119.75,45450,48150.0,YES,-58350.0,YES,0.0
2025-03-07 12:50:00,6.75,6.450000000000017,6.5,5250,-122.34999999999127,44475,14325.0,N,17400.0,Y,0.09999999999999432
2025-03-07 12:55:00,-11.150000000000006,-12.050000000000011,-12.150000000000006,17475,-119.85000000000582,43050,-46800.0,Y,11625.0,N,0.010000000000019327
2025-03-07 13:00:00,5.0,6.599999999999994,6.800000000000011,-27450,-116.15000000000146,44175,-4575.0,YES,-17775.0,YES,0.07999999999998408
2025-03-07 13:05:00,5.350000000000023,4.050000000000011,3.9499999999999886,-375,-107.19999999999709,46575,35700.0,YES,-18525.0,YES,0.030000000000001137
2025-03-07 13:10:00,1.6999999999999886,1.1999999999999886,1.200000000000017,-44325,-120.60000000000582,43500,-64875.0,Y,-4575.0,N,0.21000000000000796
2025-03-07 13:15:00,-14.300000000000011,-13.699999999999989,-13.700000000000017,8475,-109.80000000000291,40800,-23850.0,YES,39750.0,Y,0.05000000000001137
