last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
12-06-2025 11:25,-3.2,52950,137,97275,181800,-3.2,-0.5,-84525,-883.9,31125,3525,N,9825,N,25176.23,25154.2,25151,25165,25151,12-06-2025 11:25,-0.9,11650800,217,6362925,6149550,-1.05,-1.05,213375,-37.45,142650,-124350,YES,294750,YES,12.65,11.75,15.5,11.55,25.73,12-06-2025 11:25,0.95,1673475,215,351150,274275,2.2,2.35,76875,-166.9,61800,80550,YES,-17850,YES,140.6,141.55,143.15,130.55,113.26
12-06-2025 11:30,-15.6,49425,125,82950,127050,-15.7,-19.7,-44100,-961.8,32625,15375,N,225,Y,25175.6,25150.6,25135,25154,25129.4,12-06-2025 11:30,-2.75,8212575,217,10335975,9941775,-2.9,-2.9,394200,-30.6,153900,112200,Y,148050,N,11.6,8.85,11.6,8.65,25.41,12-06-2025 11:30,14.9,2013825,214,320250,315900,15.2,15.1,4350,-192.55,65400,-18900,Y,-107400,YES,142.8,157.7,160.1,142.15,113.8
12-06-2025 11:35,-24.9,188550,143,306300,124725,-28.3,-25,181575,-1123.8,35025,-102975,YES,13875,N,25171.3,25134.9,25110,25140,25100,12-06-2025 11:35,-1.45,11093550,247,14611200,12771075,-1.55,-1.55,1840125,-29.2,164550,-536400,YES,279375,YES,8.85,7.4,9.7,7.25,24.95,12-06-2025 11:35,27.85,2759925,245,269700,289200,28,28.15,-19500,-216.85,70350,-43725,Y,-92925,N,157.75,185.6,194,152.25,114.98
12-06-2025 11:40,3.6,131850,173,207450,126075,7,7.1,81375,-1107.5,45150,12900,Y,15300,N,25168.56,25110,25113.6,25125,25098,12-06-2025 11:40,0,9547350,214,17741850,15957300,0.05,0.05,1784550,-27.5,173550,232350,Y,-178650,Y,7.45,7.45,8,6.85,24.55,12-06-2025 11:40,-9.5,1796550,205,275100,296175,-9.6,-9.75,-21075,-226.55,68550,-31350,N,96450,Y,186.05,176.55,195.2,172.55,115.85
12-06-2025 11:45,10.3,41475,129,92475,190575,10.5,8,-98100,-932.7,34275,11550,N,6300,N,25167.91,25113.7,25124,25125,25113.7,12-06-2025 11:45,1.5,8127375,219,15369675,15524100,1.55,1.55,-154425,-29.6,205725,67050,N,-166650,N,7.45,8.95,9.95,7.35,24.24,12-06-2025 11:45,-6.9,849825,207,218175,228075,-7.35,-7.3,-9900,-203.5,63675,-178275,Y,-5025,YES,176.55,169.65,181.1,168.7,116.19
12-06-2025 11:50,-9,34650,103,106650,110625,-9,-9.1,-3975,-934,32550,-22350,YES,64350,YES,25167.39,25124,25115,25127.8,25111.1,12-06-2025 11:50,-0.5,6534450,254,12756300,12376500,-0.5,-0.5,379800,-29.45,178350,172950,Y,51150,YES,8.85,8.35,9.6,7.65,24.01,12-06-2025 11:50,11.7,785400,247,228075,255000,11.25,11.25,-26925,-204.65,61800,-12300,YES,-18675,YES,169.65,181.35,185.65,167.25,116.52
12-06-2025 11:55,-5.6,58200,129,57750,100425,-9,-6.5,-42675,-1236.5,40350,300,Y,30450,N,25166.44,25115,25109.4,25120,25106.1,12-06-2025 11:55,-0.4,5980125,285,14144700,12705225,-0.5,-0.5,1439475,-28.4,152025,63600,N,299025,YES,8.35,7.95,8.85,7.5,23.79,12-06-2025 11:55,9.1,967425,275,190725,222450,10.3,10.3,-31725,-212.8,68625,375,N,-35400,YES,181.85,190.95,191.5,178.4,116.98
12-06-2025 12:00,-5.4,170100,159,142275,433575,-5.2,-5.3,-291300,-983.9,47925,-16425,YES,-43500,Y,25163.15,25109.4,25104,25115,25089.5,12-06-2025 12:00,-0.8,7125525,239,15093225,14614050,-0.95,-0.95,479175,-28.3,160950,-357750,YES,-11925,Y,7.9,7.1,8.45,6.85,23.54,12-06-2025 12:00,1.1,1263300,237,189975,188325,1.4,1.45,1650,-222.35,60975,-92100,Y,-27375,N,190.4,191.5,205,179.5,117.63
12-06-2025 12:05,10.5,40050,127,93825,121725,13.2,11.9,-27900,-912.7,35475,48000,Y,9375,YES,25162.48,25105,25115.5,25117,25098.5,12-06-2025 12:05,0.6,4329675,254,16239675,14326200,0.6,0.6,1913475,-28.35,173625,196875,Y,22125,YES,7.2,7.8,8.1,7.05,23.38,12-06-2025 12:05,-13.35,745800,237,215400,234750,-13.7,-13.75,-19350,-222,63300,21075,YES,66150,Y,191.95,178.6,194.75,176.4,117.98
12-06-2025 12:10,1,26700,135,67050,93225,1.2,-0.9,-26175,-738.3,32400,23550,N,4575,N,25162.1,25115,25116,25118,25108.1,12-06-2025 12:10,-1,6161700,311,19577775,16640025,-1.05,-1.05,2937750,-30.1,174825,-1818300,YES,54225,YES,7.7,6.7,7.85,6.05,23.16,12-06-2025 12:10,-0.85,510900,284,192375,206325,0.55,0.65,-13950,-208.9,63900,-3186000,Y,14400,N,180.25,179.4,187,177.3,118.2
