last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,prev_open,prev_close
11-11-2024 10:05,19,13.65,13.3,-2725,-1387.35,11475,51275,N,-37350,Y,0.88,24200,24219,11-11-2024 10:05,8,8.15,8.15,-25650,-131.85,23275,146200,Y,3875,N,148.25,156.25,164.35,148,0.4,11-11-2024 10:05,-7.2,-6.75,-6.85,4600,-98,25325,-14550,Y,72625,Y,120.2,113,120.2,107.9,-1.32,11-11-2024 10:05,24135.55,24146.5
11-11-2024 10:10,-28.65,-21.5,-23.75,65275,-965.05,14800,9175,N,2525,YES,0.75,24218.95,24190.3,11-11-2024 10:10,-13.05,-13.3,-13.6,-18350,-114.5,24250,300,YES,27450,YES,156.4,143.35,156.6,139.3,-0.03,11-11-2024 10:10,9.3,9.6,9.65,-5100,-93.9,22675,38325,YES,-33900,YES,112.9,122.2,126.7,112.55,-0.89,11-11-2024 10:10,24145.1,24123.15
11-11-2024 10:15,-1.85,-1.6,-5.55,17550,-946.65,15375,-1850,YES,5175,N,0.41,24190.85,24189,11-11-2024 10:15,-4.9,-4.75,-4.7,-19375,-112,21125,2725,N,61975,YES,143.5,138.6,147.7,138.05,-0.16,11-11-2024 10:15,2.95,3.4,3.25,150,-104.3,25025,15150,N,15375,Y,121.7,124.65,126.8,116.25,-0.79,11-11-2024 10:15,24122.95,24114.9
11-11-2024 10:20,37.2,39,39.6,-114800,-1103.35,15325,5775,N,-8425,Y,0.93,24189,24226.2,11-11-2024 10:20,21.1,21,21.25,3825,-120.35,25100,50500,Y,-44950,Y,138.9,160,161.45,137.4,0.26,11-11-2024 10:20,-21.7,-21.6,-21.5,-60475,-101.35,24025,-59725,Y,48850,Y,124.9,103.2,126.15,102.45,-1.33,11-11-2024 10:20,24114.65,24157.05
11-11-2024 10:25,80,80.35,80.05,-309175,-1018.05,22325,-5650,YES,-57925,Y,18.07,24230,24310,11-11-2024 10:25,59.15,57.4,57.4,25900,-157,24275,-55075,YES,-253750,Y,159.85,219,219,158,4.51,11-11-2024 10:25,-28.45,-27.55,-27.5,-52025,-81.85,26850,-90925,Y,-10350,YES,103.95,75.5,106.05,75.5,-4.5,11-11-2024 10:25,24157.35,24223.85
11-11-2024 10:30,-6,-9.95,-4.3,-199700,-888.2,22875,22725,Y,-6675,YES,15.9,24311,24305,11-11-2024 10:30,-5.95,-6.95,-6.8,-23500,-181.25,21000,-136850,YES,42350,YES,219.7,213.75,233.7,210,4.01,11-11-2024 10:30,3.55,3.5,3.45,25075,-67.2,22625,65700,YES,9175,N,75.2,78.75,80,72.65,-2.86,11-11-2024 10:30,24224.8,24219.9
11-11-2024 10:35,34.8,33,29.05,-48350,-750.9,17100,425,YES,177350,YES,4.7,24303.2,24338,11-11-2024 10:35,19.8,20.4,20.4,150,-190.4,20875,1950,Y,-28400,Y,214.75,234.55,240.3,212,2.71,11-11-2024 10:35,-13.5,-13.6,-13.6,-56325,-66.2,28775,-32425,Y,44850,Y,78.6,65.1,79.2,63.65,-3.03,11-11-2024 10:35,24220.5,24251.35
11-11-2024 10:40,-15.4,-12.9,-14,-1750,-729.95,16525,-4100,YES,17900,N,6.76,24338,24322.6,11-11-2024 10:40,-13.45,-16.05,-15.7,8150,-196.6,19550,-21725,YES,24625,YES,237.05,223.6,244.45,218.35,1.75,11-11-2024 10:40,2.65,3.4,3.35,-14825,-64.3,28875,47100,YES,-22325,YES,64.45,67.1,68.95,58.3,-2.84,11-11-2024 10:40,24252.2,24239.45
11-11-2024 10:45,-1.85,-2.8,-5.85,-60950,-805.9,20975,-6950,YES,43250,YES,3,24323,24321.15,11-11-2024 10:45,-5.05,-4.95,-4.9,13825,-172.25,19575,17325,Y,16175,N,222.9,217.85,230.4,214.5,0.77,11-11-2024 10:45,2.55,2.8,2.9,-36100,-64.75,24300,-9075,Y,26825,Y,67.15,69.7,71.75,64.7,-1.17,11-11-2024 10:45,24237.65,24234.3
11-11-2024 10:50,2.65,0.8,1.15,71675,-813.3,17100,-50,N,8450,N,1.34,24320.25,24322.9,11-11-2024 10:50,3.85,3.65,3.65,-15375,-173.25,20900,7625,N,5975,N,217.85,221.7,224.95,212,0.43,11-11-2024 10:50,-1.45,-1.7,-1.65,-100,-63.65,26225,6800,N,-3575,YES,69.9,68.45,72.9,67.15,-0.89,11-11-2024 10:50,24234.85,24241.85
