last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
2025-08-19 10:35:00,3.4000000000000057,4405500.0,261,1450275,2183925,3.200000000000003,3.299999999999997,-733650,-82.45000000000437,80025,-45000.0,Y,-244050.0,YES,66.25,69.65,72.0,66.15,78.41
2025-08-19 10:40:00,-5.3999999999999915,2848200.0,278,1571100,1448550,-5.450000000000003,-5.450000000000003,122550,-82.20000000001164,81225,-180450.0,Y,100875.0,Y,69.35,63.95,70.75,63.95,78.1
2025-08-19 10:45:00,-1.4000000000000057,5489325.0,266,1414875,1306650,-1.4000000000000057,-1.4499999999999957,108225,-73.09999999999854,74850,173550.0,YES,161250.0,Y,64.4,63.0,66.85,61.4,77.37
2025-08-19 10:50:00,1.1500000000000057,1805325.0,288,1507050,1428600,0.9499999999999957,0.9500000000000028,78450,-80.39999999999418,75525,149400.0,N,75300.0,N,63.0,64.15,65.2,62.2,77.15
2025-08-19 10:55:00,-1.8000000000000043,1934700.0,358,1492275,1396050,-1.8000000000000043,-1.7999999999999972,96225,-82.0,84900,-93300.0,Y,69450.0,N,64.15,62.35,65.1,61.7,76.91
2025-08-19 11:00:00,-2.1499999999999986,3118800.0,349,1492875,1458375,-2.1999999999999957,-2.200000000000003,34500,-73.94999999999709,81975,-179700.0,Y,127950.0,Y,62.3,60.15,63.3,58.85,76.46
2025-08-19 11:05:00,-1.7999999999999972,2722725.0,356,1616700,1792425,-1.6499999999999986,-1.6499999999999986,-175725,-74.79999999999563,80325,28800.0,YES,41475.0,N,60.15,58.35,60.6,57.15,76.06
2025-08-19 11:10:00,-0.5500000000000043,2214825.0,360,1684275,1481550,-0.4000000000000057,-0.45000000000000284,202725,-72.45000000000437,85200,79800.0,YES,-6825.0,YES,58.45,57.9,59.8,56.8,75.73
2025-08-19 11:15:00,-1.1499999999999986,2079600.0,346,1704750,1677675,-0.75,-0.75,27075,-75.04999999999563,81825,-76875.0,Y,-65700.0,YES,58.25,57.1,60.3,57.1,75.45
2025-08-19 11:20:00,1.0,1674300.0,351,1816125,1710150,0.8500000000000014,0.8500000000000014,105975,-71.84999999999854,79425,153675.0,YES,-78000.0,YES,57.05,58.05,59.0,56.45,75.2
2025-08-19 11:25:00,-0.10000000000000142,2234850.0,360,1881225,1876425,0.0,0.04999999999999716,4800,-75.75,85950,-24900.0,Y,2700.0,Y,57.9,57.8,60.8,57.2,74.92
2025-08-19 11:30:00,-1.0,2878500.0,366,2103375,1816875,-1.1499999999999986,-1.1499999999999986,286500,-69.5,82275,-59925.0,Y,133050.0,Y,57.75,56.75,57.85,54.4,74.5
2025-08-19 11:35:00,-2.8999999999999986,2808675.0,362,1912425,1660950,-3.0,-3.049999999999997,251475,-71.34999999999854,78900,-182550.0,Y,71850.0,N,56.6,53.7,57.3,52.55,74.08
2025-08-19 11:40:00,-0.6500000000000057,3125175.0,363,1764075,1681275,-0.75,-0.6999999999999957,82800,-68.55000000000291,78675,82200.0,YES,80850.0,N,53.7,53.05,54.75,50.65,73.59
2025-08-19 11:45:00,-0.9000000000000057,3110700.0,363,1977675,1371150,-0.8000000000000043,-0.8499999999999943,606525,-63.19999999999709,84525,88425.0,N,-150.0,YES,52.95,52.05,53.3,51.0,73.11
2025-08-19 11:50:00,-0.8500000000000014,1927650.0,364,1828275,1596900,-0.8500000000000014,-0.8500000000000014,231375,-67.25,79575,48375.0,N,20775.0,Y,52.1,51.25,52.85,50.75,72.82
2025-08-19 11:55:00,0.5500000000000043,3155250.0,340,2591175,1323825,0.6499999999999986,0.6499999999999986,1267350,-66.90000000000146,86400,75225.0,YES,-76125.0,YES,51.3,51.85,52.5,50.4,72.35
2025-08-19 12:00:00,-2.3999999999999986,3527625.0,338,2097000,1543500,-2.3999999999999986,-2.3999999999999986,553500,-67.10000000000218,87525,-225075.0,Y,153525.0,Y,51.75,49.35,53.0,48.85,71.83
2025-08-19 12:05:00,0.05000000000000426,1499325.0,354,1928850,1853250,0.10000000000000142,0.10000000000000142,75600,-66.44999999999709,86850,69600.0,YES,-67125.0,YES,49.65,49.7,50.9,48.75,71.6
2025-08-19 12:10:00,-3.8500000000000014,3124575.0,362,1999650,1678650,-3.8000000000000043,-3.8500000000000014,321000,-63.94999999999709,78375,-150975.0,Y,67650.0,Y,49.7,45.85,50.45,45.85,71.11
2025-08-19 12:15:00,-2.549999999999997,3858450.0,362,1905375,1875675,-2.299999999999997,-2.25,29700,-61.5,78975,22050.0,YES,-30825.0,YES,46.0,43.45,47.2,43.25,70.46
2025-08-19 12:20:00,0.7000000000000028,5293500.0,360,1609800,2010375,0.5500000000000043,0.6000000000000014,-400575,-58.45000000000073,83550,75375.0,YES,-125175.0,YES,43.65,44.35,44.7,41.1,69.56
2025-08-19 12:25:00,-0.8000000000000043,2212725.0,359,1657050,2198325,-0.8500000000000014,-0.75,-541275,-59.74999999999636,83550,78600.0,N,87300.0,Y,44.35,43.55,44.5,42.1,69.2
2025-08-19 12:30:00,-1.9500000000000028,2148300.0,321,2672175,1579875,-1.7999999999999972,-1.7999999999999972,1092300,-56.35000000000218,85950,16350.0,N,-4650.0,YES,43.5,41.55,43.65,40.85,68.85
