last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
2024-11-13 10:55:00,-4.0,-3.8999999999999986,-3.950000000000003,-80250,-53.19999999999709,32400,39825.0,Y,52400.0,YES,50.6,46.6,54.05,44.4,-0.3999999999999986
2024-11-13 11:00:00,-3.049999999999997,-3.200000000000003,-3.1999999999999957,-57275,-53.549999999995634,31750,-8225.0,YES,21775.0,N,46.75,43.7,48.65,42.5,-0.28000000000000114
2024-11-13 11:05:00,-4.450000000000003,-5.100000000000001,-5.0,-74950,-47.45000000000255,31725,-33025.0,YES,42750.0,YES,43.75,39.3,45.6,38.7,-0.4399999999999977
2024-11-13 11:10:00,1.9500000000000028,1.1499999999999986,1.1500000000000057,171125,-48.349999999998545,37025,-1000.0,Y,-16650.0,Y,39.3,41.25,44.1,37.85,-0.5500000000000043
2024-11-13 11:15:00,-5.850000000000001,-6.049999999999997,-6.100000000000001,-9900,-45.95000000000073,39425,-93550.0,YES,61075.0,YES,40.9,35.05,42.5,34.7,-0.6300000000000026
2024-11-13 11:20:00,5.0,4.950000000000003,4.950000000000003,126550,-45.30000000000109,38175,32325.0,Y,-21700.0,Y,35.55,40.55,41.5,35.35,-0.3999999999999986
2024-11-13 11:25:00,-3.25,-3.549999999999997,-3.5,106800,-51.55000000000291,28250,-50300.0,YES,11025.0,YES,40.65,37.4,42.35,36.8,-0.29999999999999716
2024-11-13 11:30:00,0.10000000000000142,-0.10000000000000142,-0.04999999999999716,25100,-44.79999999999927,28075,35500.0,Y,21350.0,N,37.15,37.25,37.9,34.0,-0.3500000000000014
2024-11-13 11:35:00,-0.45000000000000284,-0.19999999999999574,-0.14999999999999858,32650,-43.79999999999745,30200,9725.0,N,-1800.0,Y,37.25,36.8,38.8,34.3,-0.25
2024-11-13 11:40:00,-6.800000000000004,-6.700000000000003,-6.75,-168800,-41.30000000000109,29875,-102850.0,YES,58450.0,YES,36.7,29.9,37.5,29.6,-0.5799999999999983
2024-11-13 11:45:00,5.399999999999999,5.449999999999999,5.5,15975,-38.900000000001455,29825,81550.0,Y,-35350.0,Y,30.15,35.55,36.0,30.05,-0.4299999999999997
2024-11-13 11:50:00,-2.700000000000003,-2.700000000000003,-2.700000000000003,99250,-46.04999999999927,32050,3800.0,N,55875.0,YES,35.6,32.9,36.4,32.8,-0.259999999999998
2024-11-13 11:55:00,1.1500000000000057,1.1000000000000014,1.1000000000000014,95275,-42.25,30350,95175.0,Y,6650.0,N,33.3,34.45,34.55,30.8,-0.30000000000000426
2024-11-13 12:00:00,-5.799999999999997,-5.850000000000001,-5.950000000000003,-22825,-40.04999999999927,42800,-94850.0,YES,23525.0,N,34.55,28.75,35.9,28.25,-0.46999999999999886
2024-11-13 12:05:00,-2.5500000000000007,-2.3500000000000014,-2.349999999999998,-24650,-37.19999999999891,36925,-35825.0,Y,-11525.0,Y,28.7,26.15,29.75,24.6,-0.740000000000002
