last_traded_time,ltp,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
30-12-2024 10:30,23949,-34625,3.4,14050,8300,N,23250,YES,1.48,23941.1,23949,30-12-2024 10:30,47.45,-52725,0.05,45000,-12900,YES,-4950,Y,0.23,30-12-2024 10:30,231.9,-18750,0,44025,50175,YES,-6375,YES,-1.54
30-12-2024 10:35,23943,-12825,0.8,13900,4100,N,15250,N,0.57,23949,23943,30-12-2024 10:35,46.65,44700,0,45900,15000,Y,1125,N,0.22,30-12-2024 10:35,234.65,-28125,-0.05,39600,8925,N,-3450,N,-0.74
30-12-2024 10:40,23949.8,-42225,1,14100,4675,N,-9700,Y,0.51,23943,23949.8,30-12-2024 10:40,48.55,-22425,0.05,46950,-31650,YES,21225,YES,0.1,30-12-2024 10:40,228.75,1125,-0.05,54375,14250,N,9975,N,-0.9
30-12-2024 10:45,24004.2,-141650,3,20050,-2450,YES,-58700,Y,8.13,23954,24004.2,30-12-2024 10:45,69.6,2100,-7.11E-15,46125,60375,Y,-383025,Y,2.8,30-12-2024 10:45,194.75,39525,-0.1,52350,-19800,Y,33900,Y,-6.16
30-12-2024 10:50,23990.55,-12800,-4,18275,-4150,YES,28575,YES,2.05,24004.45,23990.55,30-12-2024 10:50,62.8,38550,-7.11E-15,47250,2175,YES,155850,YES,1.12,30-12-2024 10:50,201,-34575,-0.05,44775,11100,YES,19425,N,-3.56
30-12-2024 10:55,23969,29400,1,13525,-8850,YES,-15125,Y,1.47,23990.55,23969,30-12-2024 10:55,55.7,-78300,-0.05,41775,-11100,YES,102750,N,0.55,30-12-2024 10:55,218.65,-8250,0.15,44100,-35100,Y,-32175,YES,-2.37
30-12-2024 11:00,23933,15975,0.4,14050,2925,N,17875,YES,0.77,23967.1,23933,30-12-2024 11:00,48.1,-111825,-7.11E-15,48600,-10275,N,49050,N,0.21,30-12-2024 11:00,249,19500,0,47775,-2400,YES,-44925,YES,-0.78
30-12-2024 11:05,23931.25,1750,-3.4,13550,6700,N,5900,N,0.18,23930,23931.25,30-12-2024 11:05,49.1,-138750,0.05,38850,37575,Y,16875,N,0.04,30-12-2024 11:05,246.95,25575,0.05,41925,-25650,Y,-225,Y,-0.08
30-12-2024 11:10,23936.05,-36575,-1.55,10300,8600,N,-7900,Y,0.08,23934.15,23936.05,30-12-2024 11:10,49.55,-196425,-0.05,43875,59025,Y,-7800,Y,0.04,30-12-2024 11:10,242.35,1725,-0.05,47775,-2475,YES,20475,Y,-0.09
30-12-2024 11:15,23946,-2125,0.9,10725,1075,YES,-325,N,0.11,23936.05,23946,30-12-2024 11:15,50.75,-49200,7.11E-15,44475,24375,N,-5850,N,0.06,30-12-2024 11:15,235.2,-900,-0.15,42675,-6825,Y,-675,YES,-0.15
