last_traded_time,,ltp,bid_price,ask_price,bid_ask_pr_diff_1,bid_size1,ask_size1,volume_1,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,high_1,low_1,open_1,close_1,ltp,bid_price,ask_price,bid_ask_pr_diff_2,bid_size2,ask_size2,volume_2,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,high_2,low_2,open_2,close_2,ltp,bid_price,ask_price,bid_ask_pr_diff_3,bid_size3,ask_size3,volume_3,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,high_3,low_3,open_3,close_3,ltp,bid_price,ask_price,bid_ask_pr_diff_4,bid_size4,ask_size4,volume_4,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,high_4,low_4,open_4,close_4,final_signal,result,datetime,open,high,low,close
02-05-2025 14:10,FALSE,-17.7,-19.4,-24.3,4.9,108825,74100,56775,-1950,YES,-225,Y,24481,24432.9,24465.2,24447.5,-5.5,-5.95,-6,0.05,303825,289950,2388300,-109425,YES,26850,N,123.4,106.1,117.55,112.05,13.6,14.05,13.9,0.15,145500,147525,815400,1425,Y,-42675,YES,248,216.85,225.4,239,-31,-31.2,-48.4,17.2,24270,25530,4830,6750,N,1290,N,55388,55302,55364,55333,no signal,win,02-05-2025 14:10,24391.15,24400.65,24359,24373.55
02-05-2025 14:15,FALSE,-5.5,-6.1,-6.7,0.6,46200,82725,30150,-21300,YES,0,N,24466,24435.3,24447.4,24441.9,-3.6,-4.15,-4.15,0,314475,289875,1678650,18525,Y,20550,N,118.5,107.5,112.35,108.75,4.5,4.5,4.85,0.35,150300,147900,696600,-7275,Y,6150,Y,247.15,223,237.75,242.25,-43,-41.6,-52,10.4,18960,24840,5370,-3450,N,15420,N,55366.4,55286.6,55333,55290,BUY,reverse,02-05-2025 14:15,24372.45,24389.2,24363.95,24369
02-05-2025 14:20,FALSE,-31.9,-30,-33.9,3.9,602775,97050,185625,-142650,YES,33975,YES,24448.9,24410,24441.9,24410,-11.55,-11.7,-11.6,0.1,271800,266550,2283825,-37650,YES,6675,N,112.2,96.5,108.8,97.25,23,23.3,23.7,0.4,113925,107775,1066050,-7950,Y,-25575,YES,265.85,235.3,242,265,-90,-85.6,-78.2,7.4,62340,37920,22680,4380,N,-690,N,55300,55200,55290,55200,SELL,win,02-05-2025 14:20,24367.45,24376.1,24337.5,24342.4
02-05-2025 14:25,FALSE,-44.4,-43.7,-41.5,2.2,174225,125100,187200,-63600,Y,11325,N,24411.7,24365.6,24410.1,24365.7,-8.95,-9.2,-9.3,0.1,318600,332325,2727450,-51675,YES,-9225,Y,98.15,87.5,97.25,88.3,32.45,32.45,32.55,0.1,82725,103050,1146600,-23775,Y,-30150,YES,298,261.65,265.5,297.95,-73.6,-78,-88.6,10.6,26760,40080,27990,-17820,N,-14010,N,55209.4,55121,55200,55126.4,BUY,reverse,02-05-2025 14:25,24341.75,24343,24304.6,24306.25
02-05-2025 14:30,FALSE,-5.8,-5.5,-8.3,2.8,88575,99300,121650,24675,Y,13350,N,24382,24352.9,24368.6,24362.8,-1.8,-3,-2.95,0.05,340050,371025,2697675,37500,Y,36300,YES,92.25,84.1,88.1,86.3,5.25,6.45,6.4,0.05,101700,80625,924150,-25425,Y,375,Y,310,289.65,297.55,302.8,-9,-5.4,-4,1.4,37800,24900,15810,7710,N,3810,N,55175.6,55112,55126.4,55117.4,BUY,exc_loss,02-05-2025 14:30,24306.75,24318.3,24291.95,24299.15
02-05-2025 14:35,FALSE,18,15.6,17.4,1.8,73425,81825,124875,-10425,YES,35850,YES,24383.2,24347.8,24364.5,24382.5,1.9,1.85,1.9,0.05,357825,414750,2234475,30450,N,12975,N,89.1,81.05,86.45,88.35,-12.15,-12.65,-12.95,0.3,84075,84750,719850,-8025,N,-1800,YES,313.45,287.55,301.3,289.15,60.6,50.8,58.6,7.8,30330,30900,19620,1320,N,7920,N,55183.8,55092,55117.4,55178,SELL,reverse,02-05-2025 14:35,24299.95,24316.25,24286.9,24316.25
02-05-2025 14:40,FALSE,7.4,10,10.4,0.4,156750,83775,140475,1875,N,-49875,Y,24406,24380,24382.6,24390,-0.05,1,0.95,0.05,357600,373500,2793975,-83550,YES,38850,YES,95.85,87.6,88.55,88.5,-9.85,-10.3,-10.35,0.05,89325,94575,660300,7350,N,-5175,YES,290.35,270.55,288.85,279,25,33,28,5,32550,25860,11040,5550,N,2400,N,55220,55170,55178,55203,SELL,reverse,02-05-2025 14:40,24315.4,24332.25,24313.3,24326.65
02-05-2025 14:45,FALSE,29.2,28.7,29.2,0.5,98550,163350,90300,15600,N,-25875,YES,24425,24382.1,24390.7,24419.9,9.95,9.55,9.55,1.42E-14,265350,423975,3172875,75525,Y,-86400,Y,100.85,86.45,88.7,98.65,-23.55,-23.45,-23.45,0,99375,93525,720450,-2100,Y,12375,N,285.8,249.65,278.6,255.05,56.8,43.6,56,12.4,26190,26130,15450,3150,N,-420,N,55277.6,55180.6,55203.2,55260,BUY,exc_loss,02-05-2025 14:45,24325.35,24356.35,24319.1,24348.4
02-05-2025 14:50,FALSE,24.1,26,26.1,0.1,106275,138150,74625,900,YES,-11175,N,24448,24418.1,24419.9,24444,9,8.35,8.35,1.42E-14,281925,334350,3457575,16425,N,-83925,N,107.65,98.6,98.6,107.6,-19.5,-18.85,-18.8,0.05,99975,129000,661200,-11700,Y,21225,N,258.35,235.6,255.65,236.15,52.2,56,55,1,16770,78060,19140,18360,N,-5190,N,55319.8,55247,55260,55312.2,no signal,exc_loss,02-05-2025 14:50,24348.05,24372.65,24347.55,24372.4
02-05-2025 14:55,FALSE,6.3,4.7,8,3.3,80475,171900,72675,43500,Y,375,N,24460,24439,24444.5,24450.8,2.15,2.45,2.45,1.42E-14,258450,255225,3348525,-37575,YES,45525,YES,114.4,106.55,107.5,109.65,-2.55,-4.05,-4,0.05,123075,137550,670275,32025,YES,9900,N,242.1,227.85,236.3,233.75,-1.4,5.4,-1.4,6.8,19530,26670,14850,-3810,N,-18540,N,55321.2,55270.2,55317.6,55316.2,SELL,im_loss,02-05-2025 14:55,24371.65,24381.8,24366.3,24373.95
