last_traded_time,date,ltp_1,bid_price_1,ask_price_1,volume_1,bid_ask_diff_1,bid_ask_pr_diff_1,last_traded_qty_1,tot_buy_qty_1,tot_buy_sig_1,tot_sell_qty_1,tot_sell_sig_1,avg_trade_price_1,ch_1,chp_1,high_1,low_1,ltp_2,bid_price_2,ask_price_2,volume_2,bid_ask_diff_2,bid_ask_pr_diff_2,last_traded_qty_2,tot_buy_qty_2,tot_buy_sig_2,tot_sell_qty_2,tot_sell_sig_2,avg_trade_price_2,ch_2,chp_2,high_2,low_2,ltp_3,bid_price_3,ask_price_3,volume_3,bid_ask_diff_3,bid_ask_pr_diff_3,last_traded_qty_3,tot_buy_qty_3,tot_buy_sig_3,tot_sell_qty_3,tot_sell_sig_3,avg_trade_price_3,ch_3,chp_3,high_3,low_3,final_signal
07-03-2025 14:00,03-07-2025,12.7,9.9,11.4,33675,29175,-1071.8,40650,3450,N,53400,YES,-0.08,12.7,0.0497,25604.7,25589.6,9.3,9.15,9.2,20470875,7200,-64.15,97500,860025,Y,-485325,Y,-0.12,9.3,18.7123,43.9,32.15,-7.6,-6.8,-6.75,19930425,-27225,-71.2,83250,-166350,YES,383775,Y,0.09,-7.6,-8.0381,47.25,34.6,BUY
07-03-2025 14:05,03-07-2025,-6.3,-3.3,-2.1,33225,-80100,-1070.3,32850,-6375,YES,45900,N,-0.09,-6.3,-0.0247,25605,25588,0.5,0.5,0.55,18714900,-54375,-62.95,86025,146925,N,-22500,YES,-0.1,0.5,1.0061,44.1,33.35,2.55,2.65,2.7,18661275,83100,-63.4,83400,211425,YES,-31275,YES,0.08,2.55,2.697,46.5,33.85,SELL
07-03-2025 14:10,03-07-2025,-12.7,-9,-11.7,24300,-24075,-1225.2,31875,-46800,YES,-10500,Y,-0.08,-12.7,-0.0498,25602.7,25583.5,-13.6,-12.95,-13,21382650,48825,-62.7,97050,-153225,YES,523050,YES,-0.2,-13.6,-27.3642,43.25,25.9,2.1,2.05,2,18841125,43725,-64.9,91575,-38775,Y,108300,Y,0.06,2.1,2.221,44.75,32.5,no signal
07-03-2025 14:15,03-07-2025,-5.4,-4.9,-3.9,19275,33525,-1497.5,38325,12975,Y,10350,YES,-0.08,-5.4,-0.0212,25594.1,25585,-10.05,-9.5,-9.5,34248975,170550,-47.75,126075,123150,Y,1219800,YES,-0.55,-10.05,-20.2213,31.05,18.35,-5.35,-4.8,-4.85,27540375,51750,-61.9,109950,361125,YES,193050,Y,0,-5.35,-5.6584,41.75,28.3,no signal
07-03-2025 14:20,03-07-2025,-5.6,-5.6,-4.7,150900,-30825,-1012.1,41925,-21000,YES,-9750,Y,-1.24,-5.6,-0.0219,25587,25557,-1.55,-1.55,-1.55,49417200,463800,-38.2,132375,449850,Y,36825,N,-0.97,-1.55,-3.1187,20.5,12.65,2.4,2.35,2.3,40699275,-95250,-67.95,90450,-501300,Y,-588825,YES,0.2,2.4,2.5383,53.2,31.1,BUY
07-03-2025 14:25,03-07-2025,-25.3,-28.1,-29.2,83325,-116400,-1477.3,47025,13575,Y,11850,YES,-0.76,-25.3,-0.099,25580,25551,-5.1,-5.3,-5.3,42649275,446025,-34.25,152850,-10050,YES,918075,YES,-0.88,-5.1,-10.2616,17,10.85,29,29.85,29.9,31370925,67875,-77.8,83775,-115200,YES,-860700,YES,0.32,29,30.6716,69.1,37.95,SELL
07-03-2025 14:30,03-07-2025,-19,-25,-26.2,373275,-22275,-1829.9,64350,-26100,YES,39900,YES,-5.94,-19,-0.0744,25546.6,25504.8,-3.05,-3.25,-3.25,59181525,454275,-27.15,153900,-3134100,YES,-194925,Y,-1.33,-3.05,-6.1368,10.75,6.7,21.45,23.1,23.1,30709650,-24675,-129.15,64950,-2266425,Y,-241725,Y,1.1,21.45,22.6864,112.35,67.6,no signal
07-03-2025 14:35,03-07-2025,-19,-19.9,-19,216675,-173850,-1173.7,56025,29100,Y,32625,N,-3.97,-19,-0.0743,25527,25485.1,-3.25,-3.3,-3.3,45535500,842100,-26,151425,-1458825,Y,-309300,Y,-1.03,-3.25,-6.5392,7.5,3.8,14.85,14.75,14.9,15511200,27075,-146.5,58575,-2265750,N,-239850,N,0.74,14.85,15.706,132.05,85.35,BUY
07-03-2025 14:40,03-07-2025,0.6,3.6,5,248850,41925,-1175.7,51300,10200,N,-24150,Y,-3.86,0.6,0.0023,25520,25500.9,-1.05,-1.15,-1.15,44137275,-5155875,-23.95,157425,2481375,Y,339450,YES,-1,-1.05,-2.1127,5.35,2.35,-8.95,-7.25,-7.3,7434600,179325,-129.7,51600,-353850,YES,141525,Y,0.32,-8.95,-9.4659,111.25,90.6,no signal
07-03-2025 14:45,03-07-2025,-12.9,-14.5,-16.4,153075,-93150,-1190.7,48600,53850,Y,525,YES,-2.15,-12.9,-0.0505,25537.9,25492.2,-1.4,-1.4,-1.4,79302300,7529925,-23.3,167925,-601800,YES,1394700,YES,-1.68,-1.4,-2.8169,5.75,1.65,12.15,13.7,13.8,13072050,26925,-114.35,53550,-1611825,Y,-141225,YES,0.44,12.15,12.8504,113.7,65.7,SELL
07-03-2025 14:50,03-07-2025,11.4,10.7,11.4,91425,-91650,-1508.7,49950,18675,N,-16275,Y,-1.36,11.4,0.0446,25518,25494,-0.4,-0.45,-0.45,46723950,18391200,-23.3,162675,2084550,Y,749700,N,-0.96,-0.4,-0.8048,1.9,1.1,-14.15,-13.35,-13.35,6246675,-20325,-127.95,53850,-1335600,YES,85050,Y,0.25,-14.15,-14.9657,109.85,87.5,BUY
07-03-2025 14:55,03-07-2025,4,4,5.4,132225,48675,-1546.9,61275,-7425,YES,9375,YES,-1.66,4,0.0157,25519.3,25505.3,-0.45,-0.45,-0.45,42028725,6054375,-23.65,185175,-2055075,YES,2218050,YES,-0.83,-0.45,-0.9054,1.85,0.9,-3.1,-2.3,-2.3,5621025,-47625,-115.35,60675,-467925,YES,132150,Y,0.2,-3.1,-3.2787,101,85.65,SELL
07-03-2025 15:00,03-07-2025,-3,-5,-6.9,77700,139500,-1195.7,48750,4650,N,4275,N,-0.94,-3,-0.0117,25523,25505,-0.45,-0.5,-0.5,51493125,84650475,-24.55,196575,5067750,Y,-1150425,Y,-0.98,-0.45,-0.9055,0.95,0.35,7.8,7.65,7.6,5956275,-20700,-112.55,58575,-3765975,Y,-165450,YES,0.21,7.8,8.2496,99,86.6,BUY
07-03-2025 15:05,03-07-2025,5,3.1,3.1,139800,1020750,-858.1,49050,10425,N,-7950,Y,-1.63,5,0.0196,25520.2,25505.1,-0.25,-0.2,-0.2,16673850,959952900,-25.05,147375,-13666725,YES,1215075,YES,-0.31,-0.25,-0.503,0.4,0.15,-5.85,-5.5,-5.5,3455400,25425,-110.8,62325,-6249075,Y,75675,Y,0.12,-5.85,-6.1872,97.5,90.85,BUY
07-03-2025 15:10,03-07-2025,-8,-7.1,-8,142800,-4950,-1145.4,42825,-26400,YES,-2025,N,-1.59,-8,-0.0313,25519,25501.3,-0.1,-0.05,-0.05,12747900,2386086225,-24.45,146175,-11322525,Y,-266925,Y,-0.23,-0.1,-0.2012,0.25,0.1,0.15,0.05,0.05,6879450,127800,-93.05,71850,-3544950,YES,-131925,YES,0.22,0.15,0.1587,93,83.5,SELL
07-03-2025 15:15,03-07-2025,15.6,10.4,14.3,165075,-16800,-1913.2,54225,32325,Y,-11100,Y,-1.8,15.6,0.0611,25520.2,25500,-0.05,-0.05,-0.05,8735925,2827895475,-23.85,136800,-16151850,YES,-415425,Y,-0.16,-0.05,-0.1006,0.15,0.05,-0.2,-0.25,-0.25,3227775,213300,-86.65,87000,-7995675,Y,-69600,Y,0.1,-0.2,-0.2115,93.25,89,BUY
07-03-2025 15:20,03-07-2025,-9.4,-9.4,-12,133050,-34575,-1092.8,50400,-21300,YES,-1875,N,-1.48,-9.4,-0.0368,25520,25500.1,5.55E-17,0,0,4662000,3378044625,-23.15,161400,-4848450,Y,-1188225,Y,-0.09,0,0,0.1,0.05,3.65,3.95,3.95,3044625,-49275,-93.25,76425,-4175625,YES,-22200,Y,0.11,3.65,3.8604,96.65,90.45,no signal
07-03-2025 15:25,03-07-2025,-2.3,-7,3.5,213450,61875,-751.9,52950,-143400,YES,-91500,Y,-2.45,-2.3,-0.009,25506,25495,-0.05,-0.05,-0.05,5601225,221729625,-22.15,127500,-7798875,YES,-5361900,Y,-0.1,-0.05,-0.1006,0.1,0.05,0.15,0.2,0.15,2201175,3083850,-93.6,75525,-9276975,Y,-198150,YES,0.08,0.15,0.1587,95.8,94.2,no signal
07-04-2025 09:15,04-07-2025,4.3,4.2,4.1,193275,-60975,-1648.3,50925,159450,N,95625,N,9.08,4.3,0.0169,25520.2,25484.5,0.35,-0.85,-1.2,6096375,238800,-181.8,51600,-574200,N,304875,N,1.51,0.35,0.1949,187.5,165.2,-9.1,-7.75,-7.9,7679850,48150,-136.55,54825,-733575,N,378225,N,-2.96,-9.1,-6.6764,154.5,129.6,no signal
07-04-2025 09:20,04-07-2025,5.1,5.7,0.8,165375,30300,-1552.8,45600,37950,N,37500,N,-5.78,5.1,0.02,25507,25470,-4.8,-4.85,-4.8,5232750,-34725,-159.15,55500,214800,Y,182925,N,-5.2,-4.8,-2.6726,175.7,155.05,-9.45,-9.1,-9.1,8259225,47475,-145.25,55800,520125,YES,276450,N,0.55,-9.45,-6.9332,149.3,133.3,no signal
07-04-2025 09:25,04-07-2025,10.6,8.6,10.7,84750,-69150,-1210.5,40200,6600,N,39525,N,3.32,10.6,0.0416,25526.9,25493.1,2.65,2.95,2.95,6955650,-43575,-172.8,55275,1002675,Y,116775,N,0.44,2.65,1.4755,182.05,164.45,-2.25,-2.25,-2.3,6811425,-15375,-126,57375,-257775,Y,165825,N,-4.05,-2.25,-1.6508,133,120.45,no signal
07-04-2025 09:30,04-07-2025,-15.4,-11.4,-10.9,49575,-20250,-1433.6,37425,25050,N,4200,N,-0.07,-15.4,-0.0604,25513.8,25483.1,-7.35,-6.2,-6.25,3722850,-7575,-151.35,49050,46800,N,129150,N,-1.4,-7.35,-4.0924,174.05,156.25,4.3,4.05,3.85,6349725,16350,-136.55,55125,69525,YES,100725,N,-0.79,4.3,3.1548,139.8,127.5,no signal
07-04-2025 09:35,04-07-2025,-24.1,-23.6,-24.2,91650,156075,-1598.5,38475,9300,N,9075,N,-2.86,-24.1,-0.0944,25496.3,25466.2,-10.1,-9.75,-9.75,4350900,117750,-141.3,48225,-120600,YES,101100,N,-2.41,-10.1,-5.6236,162.3,149.25,12.75,12.6,12.6,9185025,5925,-138.8,49425,113100,YES,-162000,YES,1.52,12.75,9.3544,150.85,135.05,SELL
07-04-2025 09:40,04-07-2025,10.3,8.9,7.6,99225,9975,-1190,36825,27675,N,-65850,Y,-4.34,10.3,0.0403,25484.9,25451,3.6,3.15,3.2,4767750,54150,-126.5,51450,119850,Y,60450,N,-2.72,3.6,2.0045,157.25,144.35,-3.5,-2.95,-3.05,10163625,-46800,-144.7,46050,-136725,Y,74550,Y,3.24,-3.5,-2.5679,161.95,141.95,BUY
07-04-2025 09:45,04-07-2025,-1.4,-1.2,-2.2,60975,17550,-1199.4,37125,10800,N,22575,YES,-0.48,-1.4,-0.0055,25491.4,25471.7,-0.55,-0.85,-0.85,3979950,29775,-155.05,48300,6075,N,139500,YES,-1.05,-0.55,-0.3063,159.8,151.45,1.35,1.85,1.85,4759875,47925,-137.45,52725,129525,YES,53700,N,0.16,1.35,0.9905,148.75,138.45,SELL
07-04-2025 09:50,04-07-2025,15.7,15.6,18.4,42150,-263025,-972.1,31650,18900,N,6750,N,-0.08,15.7,0.0616,25503.6,25470,9.1,9,9,4456350,-52275,-156.2,58800,70050,Y,-87525,Y,-0.44,9.1,5.0668,166.75,151.9,-8.85,-8.65,-8.65,5902800,-54975,-142.6,53550,-48150,Y,111150,Y,0.03,-8.85,-6.4931,152,133.25,BUY
07-04-2025 09:55,04-07-2025,5.3,8.1,5.2,36525,-230625,-1105.3,30825,13650,N,-2700,Y,-0.03,5.3,0.0207,25500,25475,4.8,4.45,4.45,4172625,-12900,-154.45,56250,68850,N,-8175,YES,-0.54,4.8,2.6726,166.25,151,-5.55,-6.05,-6.05,4237725,-26475,-136.85,52725,-78225,Y,110250,N,-0.09,-5.55,-4.0719,147.05,132.8,no signal
07-04-2025 10:00,04-07-2025,-10,-10.5,-10,43875,39975,-803.2,35250,-2700,YES,-16650,Y,0.38,-10,-0.0392,25509,25485.6,-5.5,-5.6,-5.45,4291875,34875,-156.75,56625,29700,N,137700,YES,-0.1,-5.5,-3.0623,169.55,155.7,5.65,5.45,5.4,4190025,92250,-138.3,62250,175575,YES,32100,N,-0.26,5.65,4.1453,142.15,131.85,SELL
07-04-2025 10:05,04-07-2025,10,7.7,11,27150,-133425,-847.9,32475,-14025,YES,7650,YES,0.05,10,0.0392,25503.9,25483,6,5.75,5.9,2469075,-99600,-150.65,52650,-12900,YES,-57000,Y,-0.15,6,3.3407,165.9,154.75,-5.55,-5.65,-5.65,3449175,-36975,-141.15,61350,-25800,Y,46575,N,-0.13,-5.55,-4.0719,143.8,133.1,no signal
