last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
04-07-2025 10:40,0,0.3,0,-52425,-672.7,25575,1725,YES,-3225,N,0.34,25512,25512,04-07-2025 10:40,-1.35,-1.5,-1.7,-30150,-143.8,52275,38250,N,20400,YES,163.15,161.8,164.85,157.85,-0.03,04-07-2025 10:40,0.05,-0.1,-0.2,-161175,-110.25,52425,22125,YES,-67500,YES,125.85,125.9,129.6,124.35,-0.28
04-07-2025 10:45,-7.8,-4,-7.8,-39075,-730.4,38250,-150,YES,7650,N,0.34,25512,25504.2,04-07-2025 10:45,-5.55,-5.6,-5.8,-18600,-124.2,49950,-59175,YES,32550,N,161.55,156,165.2,156,-0.08,04-07-2025 10:45,0.2,0.15,0.2,-66900,-90.3,50400,34875,N,30750,Y,125.75,125.95,128.2,123.55,-0.31
04-07-2025 10:50,4.3,3.4,3.3,-124275,-878.7,42300,-5775,YES,1350,Y,0.31,25504.2,25508.5,04-07-2025 10:50,3.1,2.95,2.95,-153300,-132.3,52350,14700,Y,49725,N,156.25,159.35,161.7,154.05,-0.18,04-07-2025 10:50,-0.3,-0.1,0.05,-72675,-111.1,59100,35850,N,-12225,YES,125.7,125.4,129.45,122.5,-0.29
04-07-2025 10:55,1.5,1.7,1.6,-26325,-672.2,43725,-750,N,1125,Y,0.41,25508.5,25510,04-07-2025 10:55,2.95,2.75,2.8,-147450,-134.4,47475,6975,N,9825,N,159.3,162.25,163.5,157.7,-0.04,04-07-2025 10:55,-1.35,-1.35,-1.35,-76650,-101.85,53700,75,Y,4275,N,125.3,123.95,127.55,123.05,-0.22
04-07-2025 11:00,2,1,2.2,-113025,-550.6,30075,3825,N,12150,N,0.4,25512.8,25514.8,04-07-2025 11:00,1.95,1.45,1.3,-750,-133.15,48150,77775,Y,11400,N,162.05,164,165.25,157.7,-0.01,04-07-2025 11:00,0.8,0.8,0.9,-189150,-95.85,54075,-68250,Y,17325,N,123.8,124.6,127.35,120.9,-0.27
04-07-2025 11:05,-11.1,-8.6,-9.6,13275,-810.2,40050,13200,N,-5625,Y,0.19,25514.8,25503.7,04-07-2025 11:05,-5.95,-5.95,-6,-132000,-135.15,51150,-19650,YES,58725,YES,164.5,158.55,164.5,158.2,-0.03,04-07-2025 11:05,5.45,5.45,5.55,-113550,-105.3,56100,39225,YES,-134400,YES,124.45,129.9,130,124.45,-0.19
04-07-2025 11:10,7.3,8.2,7.3,-103200,-928.2,30900,18150,N,15600,YES,0.14,25503.7,25511,04-07-2025 11:10,2.7,2.35,2.4,-72150,-124.85,50100,12600,Y,-20850,Y,158.4,161.1,162.3,157.65,-0.05,04-07-2025 11:10,-8.5,-8.5,-8.5,15975,-114.65,54750,-70200,Y,85350,Y,129.9,121.4,130.55,120.2,-0.31
04-07-2025 11:15,-10.2,-10,-6,-225300,-508.1,33900,-5400,YES,16200,N,0.36,25511,25500.8,04-07-2025 11:15,-4.75,-4.7,-4.6,6225,-134.9,52350,-139500,YES,94725,YES,160.95,156.2,162.75,154.45,-0.08,04-07-2025 11:15,3.2,3.2,3.25,-61500,-107.7,62400,-43125,YES,23400,N,121.4,124.6,125.95,118.4,-0.4
04-07-2025 11:20,-17.7,-17.8,-20.1,17700,-1102.2,30600,-16650,YES,-21075,Y,-0.31,25500.8,25483.1,04-07-2025 11:20,-8.8,-9.5,-9.6,-48150,-136.6,55500,-127500,N,-45300,Y,155.75,146.95,156.65,142.2,-0.74,04-07-2025 11:20,9.1,9.85,9.9,-15150,-133.1,57225,36000,YES,-75150,YES,124.9,134,139.6,124.4,-0.21
04-07-2025 11:25,6.9,7,7.3,69825,-986.8,23400,-6750,N,15750,YES,-0.09,25483.1,25490,04-07-2025 11:25,4.75,4.75,4.8,-36300,-145.5,60150,123375,Y,14175,YES,146.75,151.5,151.95,145.15,-0.31,04-07-2025 11:25,-5.95,-5.95,-5.8,-31800,-142.25,57825,-34275,Y,126975,Y,134.45,128.5,135.7,128.2,-0.11
