last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
04-06-2025 11:15,1,1,2,91875,-1573.3,40800,-2700,YES,10125,N,0.14,24699,24700,-0.05,0.3,0.4,-56625,-91.45,74775,34725,N,36900,N,-0.29,-2.95,-2.3,-2.35,264600,-115.7,74700,-84525,Y,-164625,YES,-0.47,-11.2,-11.6,-14,-4680,-2102.2,18030,-3600,YES,-3120,Y,0.88
04-06-2025 11:20,10.1,11.1,12,18375,-1527.2,38025,5700,N,4200,N,0.21,24700,24710.1,5.5,5.15,5.1,-108525,-94.25,77475,14175,N,-115425,Y,-0.12,-5.45,-5.2,-5.15,-49950,-94.3,70275,131625,YES,209025,Y,-0.54,21,18.8,21,-5520,-3045.4,17670,3360,N,2070,N,0.6
04-06-2025 11:25,-3.9,-1.2,-3.9,-65775,-1146.1,40425,-4125,YES,13350,N,0.38,24713.9,24709,-1.6,-1.3,-1.25,-146400,-99.75,73125,-11625,YES,40200,YES,-0.02,1,0.95,0.9,-83625,-98.7,85950,112200,N,74025,N,-0.55,38,39.8,38,2010,-1867.8,17520,-780,YES,-6810,Y,1.93
04-06-2025 11:30,7.9,8.2,11,-48300,-1225.3,47625,13950,N,-8550,Y,0.8,24709,24716.9,3.5,3.55,3.55,-45075,-108,70650,61200,Y,3675,N,0.03,-3.9,-3.95,-3.95,-146025,-99.65,75825,-48675,Y,177225,Y,-0.61,14.6,15,22,-51510,-1716.2,20100,4410,N,-2190,N,9.64
04-06-2025 11:35,-2,-0.9,1,-10125,-902.4,37200,1950,YES,-4650,N,0.65,24719,24719.5,-2.2,-2.15,-2.2,58425,-99.25,77475,-75975,YES,61500,YES,0.01,0.4,0.55,0.5,16275,-88.75,83775,58125,YES,3525,N,-0.5,-7.6,-10,-7.4,-23730,-1555.2,16290,2580,YES,90,N,2.7
04-06-2025 11:40,-4.5,-5.6,-5,-61200,-1070.7,37350,3600,N,2100,N,0.23,24719.5,24715,-2.15,-2.15,-2,46050,-101.75,80700,975,Y,37575,N,-0.06,1.55,1.35,1.5,-150150,-96.65,77775,-59325,Y,-14775,YES,-0.34,5.6,3.4,4,-12510,-1414.2,23370,300,YES,1260,N,1.77
04-06-2025 11:45,-13.1,-12,-10.8,-9675,-1418.4,38400,-150,YES,1350,Y,0.19,24715,24702.6,-6.1,-6.2,-6.15,25950,-98.45,76350,-150600,YES,68625,YES,-0.12,4.65,4.6,4.6,-2175,-101.9,78450,46725,YES,-209625,YES,-0.35,-21.4,-19.4,-18,5310,-1643.4,15600,1290,N,3120,N,1.54
04-06-2025 11:50,4.4,3.5,3,-35325,-1140.9,35025,3150,N,-5400,Y,0.16,24702.6,24706.1,0.6,0.85,0.85,-54600,-100.05,83775,230400,Y,93900,YES,-0.13,-1.35,-1.35,-1.35,-82200,-104.1,76575,-106725,Y,21750,Y,-0.31,-26.2,-24.4,-15.2,13950,-2116.2,21120,-420,YES,-540,Y,0.84
04-06-2025 11:55,8,5.2,8,-7350,-1255.2,32100,-10875,YES,3450,N,0.13,24706.1,24714,1.2,1.05,1.05,-85125,-98.65,89625,-258300,YES,22050,N,-0.28,-3.8,-3.8,-3.85,40950,-107.85,78150,-15525,YES,46350,Y,-0.49,8,8,1.2,40110,-3601.6,18180,660,N,600,N,0.57
04-06-2025 12:00,-8,-5.5,-4.1,-56025,-1305.8,33900,-3000,N,7500,N,0.15,24714,24710,-0.9,-1.3,-1.3,-19875,-97.75,82350,1875,Y,94200,YES,-0.09,3.9,3.75,3.85,-25650,-99.5,74175,241125,YES,-71850,YES,-0.26,-19,-19.4,-21,14250,-2028.6,12720,-7890,YES,-510,Y,0.45
04-06-2025 12:05,9.3,11.7,9.5,17100,-727.1,29400,1725,N,-7275,Y,0.24,24710,24717.2,3.35,3.65,3.7,-30150,-93.6,75825,71025,Y,-206175,Y,-0.14,-6.2,-6.15,-6.2,28950,-91.15,73275,-120975,Y,98250,Y,-0.4,35.2,35.2,39,-180,-1969.8,12180,-4770,N,-840,Y,0.52
04-06-2025 12:10,6.7,7.8,6.5,-76050,-851,35250,4050,N,-6300,N,0.59,24718.3,24725,4.55,4.65,4.7,-323775,-100.55,80625,20175,N,-186000,YES,-0.02,-0.55,-0.5,-0.65,53325,-88.3,80775,217500,YES,110475,N,-0.45,13.8,5.4,13.2,-2730,-3272.6,15030,4200,N,-1050,Y,0.63
04-06-2025 12:15,-4,-4.2,-1.1,1125,-895.5,33975,-3900,YES,-1125,N,0.58,24725.8,24720.9,-1.8,-2,-1.9,-192825,-103.2,72900,75075,Y,84975,YES,-0.03,-0.35,-0.1,-0.05,28200,-87.1,72750,-90300,Y,99975,N,-0.41,-21,-11.2,-15,-14010,-2849.8,15960,-1080,YES,2790,N,1.07
04-06-2025 12:20,-0.1,3.7,2.1,-165150,-1034.5,33300,-5475,YES,-13875,Y,0.67,24724.9,24722.7,1.45,1.55,1.6,-113475,-105.3,81975,20475,N,-68550,Y,-0.02,-1.2,-1.25,-1.2,-6600,-91.35,85500,-116475,Y,-58800,YES,-0.44,25.6,17.4,20.4,-6570,-2644.2,13350,-3270,YES,360,Y,0.78
04-06-2025 12:25,-11.7,-11.2,-16,-57825,-1255.6,30300,675,N,4200,N,0.25,24722.7,24711.1,-7.75,-7.8,-7.85,136350,-94.45,75300,-60600,YES,195825,YES,-0.09,3.7,3.7,3.8,-169950,-89.85,85125,-18225,YES,-89400,YES,-0.37,-30.4,-20.2,-16.4,-19410,-2163,11670,2220,N,-870,Y,0.66
04-06-2025 12:30,0.1,0,4.8,1425,-1485.9,37800,4425,N,675,Y,0.26,24710,24715.7,-0.3,-0.4,-0.3,130125,-92,77025,27375,Y,179250,N,-0.16,0.5,0.3,0.35,-36300,-96.8,76575,42825,YES,-74550,N,-0.46,-7.2,-7,-13,-1950,-2093.8,14490,-600,YES,-1080,Y,0.34
04-06-2025 12:35,-0.2,4,0.3,47550,-1272.6,46050,-8775,YES,16500,N,0.21,24715.7,24715,0.5,0.4,0.35,-184950,-93.7,82050,65025,Y,20175,N,-0.08,-3.95,-3.8,-3.75,26325,-98.05,84600,-117375,Y,98325,Y,-0.32,-12,-16.4,-16,2910,-3171.4,15120,660,N,3240,N,0.25
04-06-2025 12:40,10,9.2,8,-22275,-995.7,33525,-26850,YES,-3225,Y,0.19,24715,24725,4.85,5,5.05,-103050,-94.55,84600,55200,N,-264675,Y,-0.08,-4.45,-4.45,-4.35,32100,-91.9,82875,-67200,YES,111300,N,-0.48,-2.4,7,-0.4,-12840,-2308.4,15240,1230,N,4380,N,0.2
04-06-2025 12:45,-3.9,-2.1,0.9,-167400,-1221.6,39675,-5625,Y,14400,N,0.51,24725,24721.1,-1.75,-1.95,-1.95,-47325,-104.6,77100,-66225,YES,130125,YES,-0.02,0.55,0.5,0.55,90450,-83.25,86325,268725,YES,249750,Y,-0.51,9,2.8,5.4,-8940,-2437.4,13560,-1290,YES,4650,N,0.18
04-06-2025 12:50,-5.9,-6.1,-6.6,-81150,-1913.3,41850,1500,N,-7950,Y,0.33,24721.1,24715.2,-4.3,-4.5,-4.55,76875,-100.2,84675,8775,Y,50625,N,-0.07,1.35,1.25,1.2,-127875,-86.95,86025,12750,N,-156375,YES,-0.4,-23.6,-16.8,-17.6,-5850,-3211.2,14550,-810,N,-4590,Y,0.2
04-06-2025 12:55,7.5,7.4,10,-156525,-1235.3,36750,-1425,YES,-825,N,0.28,24719.4,24728.8,6.65,6.2,6.15,146325,-93.3,82500,129225,Y,-130875,Y,-0.05,-5.25,-4.55,-4.5,51825,-84.15,86550,-220200,Y,77850,Y,-0.37,27.6,24,17.4,3540,-4194.6,16920,2970,N,240,N,0.15
04-06-2025 13:00,5.1,6.3,7,-210600,-1045.4,43125,-3000,YES,-3750,Y,1.49,24730,24735.1,3.65,3.75,3.85,106350,-114.2,78150,22200,N,-195825,Y,0.15,-1.2,-1.4,-1.4,3000,-78.6,92700,63075,YES,38475,N,-0.96,15.8,22.8,19.2,-56580,-2613.4,16860,2550,YES,-1080,Y,1.01
04-06-2025 13:05,-4.1,-4.1,-8.7,-112200,-1026.3,33000,-4350,YES,13650,N,0.43,24735.1,24730.1,-4.2,-3.8,-3.8,221925,-107.9,75525,-156675,YES,-52950,YES,0.06,2.05,1.7,1.8,-41925,-82.8,90825,14850,N,-109800,YES,-0.38,-17.4,-18.2,-19.6,-37230,-4620.8,15300,4860,N,3150,N,0.21
04-06-2025 13:10,-9.6,-9.6,-8.6,5175,-1337.5,31050,375,N,1950,Y,0.28,24730.1,24722,-4,-4.05,-4.1,129600,-98.85,74850,126750,Y,84375,YES,-0.05,3.85,3.7,3.7,-90600,-86.7,86850,-37050,Y,-38175,Y,-0.44,-20.6,-19.4,-22.2,-23610,-2764,12660,-4950,YES,5790,N,0.12
04-06-2025 13:15,-3.5,-4.7,0.1,-99000,-1396.7,35775,-150,YES,-16725,Y,0.21,24722.5,24722.9,-1.95,-2.65,-2.55,-60975,-101,88875,-192600,YES,203700,YES,-0.12,0.55,1.2,1.15,-71100,-96.75,93975,12450,YES,-97125,YES,-0.41,-20.8,-20.8,-19,45990,-1863,16620,-2460,N,-2100,Y,0.42
04-06-2025 13:20,1.2,-0.6,-3.8,-385500,-1259.5,35850,-7350,YES,3450,YES,0.16,24718,24719.2,0.2,0.05,0,23700,-96.9,83250,-9675,Y,176175,N,-0.11,-2,-1.55,-1.65,104700,-92.05,91050,-65550,Y,10125,Y,-0.33,-7.6,-8,-4.4,12600,-2545,15870,-2070,N,-4560,Y,0.29
04-06-2025 13:25,8.7,9.9,10.8,-385575,-1298.9,32925,-1050,N,-11100,Y,0.23,24717.4,24730,4.15,4.3,4.25,101775,-98.15,84075,70425,Y,-172950,Y,-0.07,-5.3,-5.5,-5.5,6150,-91.4,87225,7125,YES,136500,Y,-0.4,-5.6,-2.6,-5.6,-4830,-3097.8,18570,600,N,5010,N,0.18
04-06-2025 13:30,-1.7,1.4,0,-78150,-920.3,25200,-7725,YES,225,N,0.27,24730,24730,0.45,0.5,0.65,-62100,-99.45,76050,8400,N,-30150,YES,-0.03,-0.4,-0.55,-0.5,178575,-80.25,98100,75300,YES,34650,N,-0.4,9.8,4.4,9.4,4140,-2054,18540,30,YES,2370,Y,0.21
