last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
07-02-2025 10:05,85.85,80.35,80.4,14475,-1302.9,32400,9075,N,-144225,Y,8.94,23651.9,23737.75,27.95,28.35,28.4,-88275,-109.05,39000,14850,Y,-232050,Y,0.08,-51.75,-52.05,-52.05,24075,-169.95,41100,-57900,Y,15450,Y,-2.86
07-02-2025 10:10,-38.9,-42.1,-41.15,121050,-1416.35,43575,-42225,YES,66000,YES,1.37,23732.1,23693.2,-25.5,-25.9,-26,-22200,-115.65,37275,-225,YES,227100,YES,-1.37,18.65,19.8,19.8,-9975,-163.6,37875,48000,YES,26400,N,-4.18
07-02-2025 10:15,-62.9,-63.6,-62.85,1275,-1169.95,43875,-71400,YES,104925,YES,-10.72,23693.2,23630.3,-25.05,-24.75,-24.8,38475,-105.15,40650,-63150,YES,88200,N,-4.01,35.15,34.55,34.4,41025,-182.8,37725,4575,N,-77025,YES,0.91
07-02-2025 10:20,-22.95,-17,-16.95,14850,-1353.35,38475,64575,Y,19725,N,-4.01,23629.1,23606.15,-7.35,-7.25,-7.25,-11175,-89.6,37950,46125,Y,73650,N,-2.52,10.1,10.1,10.15,-27450,-190.35,41925,4125,N,36750,Y,1.12
07-02-2025 10:25,16.55,16.8,15.95,37050,-1653.4,38850,112725,Y,-15600,Y,-8.71,23603.45,23620,1.7,2.5,2.5,-67650,-88.85,40050,86550,Y,150,Y,-3.75,-14.9,-15.8,-15.45,14925,-202.05,38625,-6450,Y,-21300,YES,1.74
07-02-2025 10:30,-11,-14.75,-15.9,72825,-979.1,30675,47475,N,-100425,Y,-1.87,23620,23609,-5,-5.6,-5.6,20700,-81.1,41550,36225,N,92550,YES,-2.26,5.15,6.1,6.05,-13425,-186.85,36375,3975,N,10950,Y,0.46
07-02-2025 10:35,38,42.4,39,9600,-954.9,31050,121425,Y,-16500,YES,-1.51,23609,23647,13.35,13.5,13.65,42300,-86.9,41475,87975,Y,-36675,Y,-1.65,-22,-23.45,-23.55,3000,-182.05,39450,-16875,Y,13425,N,0.29
07-02-2025 10:40,10.15,8.6,9.95,91950,-996.55,35175,11250,N,6750,YES,-0.46,23647,23657.15,5.95,6.2,6.15,-44100,-93.3,37500,-22200,YES,-15000,YES,-1.32,-7.05,-5.85,-5.9,-31950,-174.35,38025,25950,YES,17175,N,-0.23
07-02-2025 10:45,-13.7,-13.7,-13.8,133200,-847.5,34275,-115050,YES,19800,N,-0.33,23655.7,23642,-4.6,-3.55,-3.55,5100,-93.6,38625,20175,Y,35700,YES,-0.62,9.15,7.25,7.35,21150,-163.55,38775,20250,N,-12825,YES,-0.11
07-02-2025 10:50,27.9,25.25,26.4,14550,-1022.95,23775,36150,Y,-39825,Y,-0.07,23642,23669.9,12.8,11.45,11.45,68475,-88.8,39600,40725,Y,-34650,Y,-0.46,-18.15,-15.45,-15.4,13575,-164.7,40650,-16575,Y,16200,Y,-0.18
07-02-2025 10:55,25,27.95,25,-31125,-778.3,30600,14475,N,-22125,N,1.24,23669.9,23694.9,8.9,9.1,9.2,-12900,-108.95,42450,34350,N,-4275,YES,-0.28,-17.25,-17.15,-17.2,-16950,-154,42000,15150,YES,20775,N,-0.97
07-02-2025 11:00,10.1,11.05,12,-8775,-1057.8,36750,52950,Y,8325,YES,1.68,23694.9,23705,3.55,4.15,4.15,-192975,-107.55,44325,6225,N,-33150,Y,0.21,-7.35,-7.55,-7.45,15375,-132.05,43500,22500,N,50850,Y,-2.02
07-02-2025 11:05,3,2.55,3,9900,-967.75,33075,50925,N,5925,N,1.28,23708,23711,0.75,1.45,1.45,35475,-108.85,41250,-8100,YES,-9600,YES,0.16,-2,-3.1,-2.85,-16200,-125.15,47100,-14025,Y,17250,N,-1.46
07-02-2025 11:10,-6,-7.45,-8,23625,-839.4,31725,2175,YES,7050,N,0.79,23711,23705,-2.6,-2.9,-2.9,-111225,-112.2,40275,19950,Y,24075,YES,0.16,1.45,2.05,2,31800,-131.15,41775,14325,YES,20025,N,-1.09
07-02-2025 11:15,34.95,31,33.95,-44625,-1433.55,39975,-43575,YES,6675,N,2.92,23705,23739.95,14.65,14.35,14.6,-38550,-116.15,40875,56475,Y,-94275,Y,0.56,-18.7,-18.4,-18.45,-8175,-128.95,41925,-17625,Y,23625,N,-2.21
07-02-2025 11:20,26.85,29.3,28.45,-12150,-1125.35,44475,21675,Y,-42000,Y,6.34,23738.55,23765.4,13.6,14.3,14.3,-15000,-125.05,37350,87600,Y,-147975,Y,1.66,-14.45,-14.8,-14.8,8175,-114.4,37350,-1800,N,55725,Y,-3.82
07-02-2025 11:25,18.25,16.65,16,-2025,-930.85,40800,28725,N,-38700,N,6.35,23765,23783.25,8.3,9.4,9.45,-101175,-130.05,40275,-30075,YES,-63600,YES,2.61,-5.3,-5.9,-6,9900,-100,40125,83400,YES,83850,Y,-5.09
07-02-2025 11:30,-19.45,-16.9,-18.95,-83325,-750.05,36525,-5925,YES,70425,YES,4.53,23785.4,23765.95,-7.05,-7.45,-7.55,227550,-142.05,48075,-115425,YES,33900,YES,2.19,5.15,5.1,5.15,38625,-111.9,45825,139425,YES,32625,N,-5.87
07-02-2025 11:35,-18.9,-18.55,-16.5,-18600,-930.1,33975,-60225,YES,12450,N,1.39,23765.9,23747,-14.1,-13.15,-13.25,-14625,-128.65,42675,-3750,Y,93225,YES,0.73,9.6,8.85,8.85,-136275,-115.35,43275,48750,N,-25575,YES,-3.41
07-02-2025 11:40,23.55,19.6,19.3,-70200,-941.5,29700,-33750,Y,-11400,Y,0.95,23747,23770.55,10.55,8.8,8.7,23700,-119.1,48975,67875,Y,-4425,Y,0.71,-8.45,-7.25,-7.25,-61350,-103.35,39600,-129300,Y,17325,Y,-2.54
07-02-2025 11:45,-28.55,-23.65,-27.2,-66900,-952.6,31050,-27750,N,2850,N,0.88,23770.55,23742,-13.65,-14,-14,-49875,-107.75,41700,-145125,YES,112200,YES,0.59,13.6,13.85,13.85,70875,-96.4,34050,84975,YES,-40050,YES,-1.89
