last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
03-07-2025 11:00,18.2,11,11,-15600,-1383.1,33000,-2550,YES,2175,Y,0.31,25615.3,25633.5,03-07-2025 11:00,8,7.65,7.7,60525,-86.55,98550,183975,N,27900,N,45.05,53.05,56.45,44.5,0.05,-4.85,-4.85,-4.8,-159000,-46.85,161475,307800,N,392625,N,21.45,16.6,21.45,15.55,-1.43
03-07-2025 11:05,22,27.2,21.9,-75000,-1327.8,33000,-18300,YES,-23400,Y,0.85,25633,25655,03-07-2025 11:05,21.6,22,22,-27225,-96.5,87225,190725,N,-1082250,Y,52.4,74,78.6,52.05,0.51,-3.6,-3.5,-3.45,138900,-38.65,162450,-596175,Y,85200,N,16.65,13.05,16.75,12.6,-1.24
03-07-2025 11:10,-10,-13.7,-10,1406175,-1067.5,45150,300,N,19650,YES,1.47,25655,25645,03-07-2025 11:10,-14.05,-13.95,-13.95,105450,-103.6,78150,-350475,YES,616500,YES,74.4,60.35,74.85,56,0.36,1.3,1.35,1.35,332400,-37.85,146250,464850,YES,-72825,YES,13.1,14.4,15.15,13.05,-0.81
03-07-2025 11:15,-1,2.3,-1,-24750,-1713.2,42900,-3450,YES,0,Y,0.53,25645,25644,03-07-2025 11:15,1.8,1.8,1.85,-77700,-100.85,83550,255150,Y,21225,N,60.2,62,69.2,59.3,0.23,-2.4,-2.4,-2.4,335925,-37,154800,-209550,Y,464625,Y,14.4,12,15.35,11.85,-0.67
03-07-2025 11:20,10,9,10,-77100,-1250.9,42975,-4200,YES,-18075,Y,0.75,25644,25654,03-07-2025 11:20,12.7,13.15,13.15,30450,-105.65,82500,171150,N,-490125,Y,62.3,75,76.65,58.9,0.37,1.25,1.2,1.2,355200,-33.6,144225,408450,YES,-250650,YES,12,13.25,13.25,11.4,-0.62
03-07-2025 11:25,-23,-23,-22.4,-58950,-1209,42750,-33900,YES,-2925,N,1.68,25654,25631,03-07-2025 11:25,-20.1,-20.3,-20.4,-42825,-110.2,74025,-1132875,YES,-187275,YES,74.4,54.3,84.4,53.4,0.66,6.75,7.05,7.05,-966000,-36.8,133425,-116700,Y,-1569450,YES,13.3,20.05,20.5,12.05,-0.84
03-07-2025 11:30,4,5.9,8.1,9150,-1669.4,40950,13875,Y,10950,N,0.46,25629,25633,03-07-2025 11:30,7,7.15,7.15,225,-87.7,89625,798225,Y,337575,YES,52.6,59.6,64.6,52.45,0.09,1.15,1.45,1.4,41025,-47.8,148200,418500,YES,111525,Y,20.85,22,23.4,18.05,-0.83
03-07-2025 11:35,2.6,0.4,-1.5,-25275,-1347.9,42675,-1200,YES,-11025,Y,0.24,25633,25635.6,03-07-2025 11:35,1.8,1.7,1.75,-96975,-95.4,100500,226725,N,-57525,Y,59.2,61,64.05,56.95,0.12,1.2,1.25,1.25,143400,-49.55,152025,-90375,Y,-796350,YES,22.1,23.3,28.15,21.1,-0.49
03-07-2025 11:40,-32.2,-30,-26.7,14475,-1723.2,43125,-13050,YES,-57225,Y,0.09,25635.6,25603.4,03-07-2025 11:40,-16.8,-16.75,-16.85,-76800,-85.9,103725,-490650,YES,359625,YES,61.3,44.5,64.45,39.55,-0.18,16.45,16.2,16.3,-149775,-64.4,131550,-85350,N,-1933575,YES,23.1,39.55,49.75,21.9,0.18
03-07-2025 11:45,-10.5,-9.7,-10.5,95775,-1943.8,45750,3300,N,2700,YES,-0.59,25609,25598.5,03-07-2025 11:45,-6.75,-6.7,-6.75,-94200,-71.5,117225,196800,Y,379500,N,44.4,37.65,45.35,30.75,-0.59,3.2,3.75,3.8,150825,-83.6,87225,-402675,Y,-325725,Y,39.3,42.5,59.5,37.9,0.7
03-07-2025 11:50,11.5,4.2,1.2,11700,-1531.8,47100,9525,N,26850,YES,-0.06,25592.6,25604.1,03-07-2025 11:50,-1.45,-1.3,-1.4,9150,-72.35,123675,52800,N,716100,YES,37.9,36.45,41.75,34,-0.42,-5.3,-4.85,-4.9,228675,-71.85,110475,308550,YES,221025,Y,41.7,36.4,46.15,28.9,-0.02
03-07-2025 11:55,-0.3,1.9,-0.1,46950,-1365.1,42075,-9975,YES,7875,N,0.01,25600,25599.7,03-07-2025 11:55,-1.1,-1.35,-1.3,-91125,-68.65,113400,385950,Y,-92475,Y,36.45,35.35,43.2,32.8,-0.34,-2.95,-2.45,-2.4,96900,-69.5,129825,267750,N,469200,Y,36.4,33.45,38.35,30.85,-0.05
03-07-2025 12:00,2.3,-1.3,4.2,15075,-1427.2,37500,2100,N,-10425,Y,-0.03,25599.7,25602,03-07-2025 12:00,-8.45,-8.5,-8.55,-193650,-60.85,118800,-32850,YES,533475,YES,35.5,27.05,36.1,23.85,-0.76,-5.7,-5.8,-5.85,7875,-69.5,130425,-684000,Y,449775,N,33.75,28.05,36.35,26.35,-0.15
03-07-2025 12:05,-6.8,-2.4,-3.5,-9075,-1288.6,35550,-25200,YES,6525,N,-0.05,25602,25595.2,03-07-2025 12:05,-1,-0.6,-0.6,443625,-53.35,149250,597075,Y,513150,N,27,26,27.65,22.45,-0.65,-0.75,-1.4,-1.45,-192900,-61.4,129150,511050,YES,549300,Y,28.1,27.35,32.25,23.45,-0.24
03-07-2025 12:10,-2.2,-2.1,1.2,900,-1505.7,37800,4350,Y,3600,N,-0.1,25595.2,25593,03-07-2025 12:10,-0.7,-0.7,-0.7,-413550,-50.75,152925,188625,N,252450,N,26.1,25.4,26.9,21.3,-0.54,3.4,3.4,3.45,115800,-61.3,140325,743475,YES,-25050,YES,27.35,30.75,32.25,25.8,-0.16
03-07-2025 12:15,-17.9,-17.8,-23.8,-268200,-1461.4,45900,-44475,YES,24825,YES,-0.55,25593,25575.1,03-07-2025 12:15,-3.8,-3.85,-3.85,81375,-49.8,139050,-346200,YES,543300,YES,24.65,20.85,25.95,19.4,-0.65,13,12.6,12.65,-32625,-68.9,117525,389100,N,-890175,YES,30.55,43.55,43.55,29.5,-0.02
03-07-2025 12:20,12.1,10.4,7.2,-331500,-1047.6,41325,4800,Y,-6300,Y,-0.42,25575.1,25587.2,03-07-2025 12:20,2.55,2.85,2.85,-166650,-49.65,135675,729525,Y,-396825,Y,20.95,23.5,26.3,20.75,-0.62,-8.2,-8.95,-8.9,-142125,-71.35,122775,-367050,Y,507225,Y,42.4,34.2,42.55,31.85,0
03-07-2025 12:25,14.8,16.7,17.3,-325950,-924.3,36300,11025,N,-36225,Y,-0.12,25587.2,25602,03-07-2025 12:25,11.7,12.05,12.05,-260625,-54.65,142200,142950,N,-1265175,Y,23.15,34.85,35.7,22.2,-0.67,-9.9,-9.5,-9.55,-19050,-59.1,128100,-1166700,Y,389700,N,34.6,24.7,36.75,23.85,-0.15
03-07-2025 12:30,-6.5,-5.8,-4.5,33825,-1096.8,36075,-10575,YES,6900,YES,-0.05,25601.8,25595.3,03-07-2025 12:30,-2.4,-1.85,-1.85,-126000,-57.6,120975,-261300,YES,440475,YES,34.45,32.05,36.75,26.05,-0.46,5.3,5.6,5.55,258300,-51.05,130275,455475,YES,-137400,YES,24.7,30,31.9,24.5,-0.15
03-07-2025 12:35,4.7,1.1,4,-122175,-761.3,32925,-8550,N,225,Y,-0.05,25595.3,25600,03-07-2025 12:35,2.75,2.9,2.9,-66900,-57.65,123600,382275,Y,10800,N,31.1,33.85,34.7,27.65,-0.28,0.4,0.7,0.65,434325,-49.6,130725,41325,N,-19350,Y,30.65,31.05,32.4,26.15,-0.1
03-07-2025 12:40,8.5,5.7,8.5,-111675,-956,41550,-300,N,-2925,Y,0.09,25600,25608.5,03-07-2025 12:40,4.05,4.55,4.6,-25875,-69.5,101850,-86850,YES,-1104675,Y,33.4,37.45,48.4,32.8,-0.26,-1.1,-1,-1.05,-29100,-50.55,126600,-303450,Y,-229425,YES,31.2,30.1,32.25,21.45,-0.26
03-07-2025 12:45,2.5,9,4.3,-39225,-1233.8,32775,-10875,YES,7875,N,0.02,25608.5,25611,03-07-2025 12:45,4.1,4.45,4.45,29775,-70.4,94725,96450,Y,-78375,YES,37.65,41.75,47.6,34.75,-0.11,1.9,1.7,1.65,250650,-53.75,121500,209100,YES,-217200,N,30.15,32.05,34.9,27.95,-0.07
03-07-2025 12:50,-4.3,-3.2,1.5,-111450,-1051.3,34650,6675,N,1350,Y,0.02,25611,25606.7,03-07-2025 12:50,2.8,3.65,3.7,262575,-69.55,102975,232425,Y,-185325,Y,41.1,43.9,45.3,38.05,-0.09,1.85,1.95,2,-122850,-57.55,119775,380925,YES,-234525,YES,31.95,33.8,37.6,29.2,-0.03
03-07-2025 12:55,-1.4,-5.7,-6.5,-54000,-1579.2,29475,1425,YES,-40650,Y,0.01,25606.7,25605.3,03-07-2025 12:55,-10.7,-10.9,-10.9,120000,-62.55,111975,34800,N,561975,YES,43.6,32.9,44.2,30.55,-0.18,-1.9,-0.95,-0.95,306075,-56.45,123000,-9000,Y,257925,Y,34.2,32.3,34.4,28.3,-0.06
03-07-2025 13:00,-6,-9.4,-10.7,3000,-1509.3,34500,-3600,YES,19800,YES,-0.09,25600.3,25594.3,03-07-2025 13:00,-5.15,-4.9,-4.95,136875,-50.75,129450,707025,Y,392775,N,33.15,28,34.6,23.85,-0.44,0.65,0.8,0.85,190350,-64.7,120825,170925,YES,69450,N,32,32.65,42,31.95,0.02
03-07-2025 13:05,0.9,4.8,3.2,-53250,-1182.3,29325,3975,N,-4950,Y,-0.03,25594.3,25595.2,03-07-2025 13:05,6.15,6.15,6.15,111900,-53.7,127500,398700,N,-329175,Y,27.9,34.05,36.5,27.1,-0.25,2.9,2.7,2.7,-287850,-62.8,116775,35100,N,-57150,YES,32.4,35.3,38.3,31.25,0.01
03-07-2025 13:10,0,1.7,-0.2,79800,-1205.1,39300,7050,N,10800,N,-0.05,25595.2,25595.2,03-07-2025 13:10,1.8,1.85,1.85,19650,-57.3,110175,373725,N,-198675,YES,34.2,36,37.15,31.2,-0.15,2.9,2.9,2.9,-386850,-66.15,129150,-120975,Y,-369450,YES,35.35,38.25,39.25,33.9,0.03
03-07-2025 13:15,-7.4,-9.7,-9.7,60675,-1302.2,47025,-25500,YES,-9825,Y,-0.59,25595.2,25587.8,03-07-2025 13:15,-0.75,-0.8,-0.75,354300,-57.8,116175,-497250,YES,-5025,YES,35.7,34.95,37.25,22.4,-0.45,5.15,5.2,5.2,3975,-76.65,116100,-308400,Y,-668175,YES,37.95,43.1,57.15,36.6,0.33
03-07-2025 13:20,2.8,5.6,4.2,-24600,-1120.7,34575,-2625,Y,-15525,Y,-0.05,25587.8,25590.6,03-07-2025 13:20,-4.1,-3.85,-3.8,-31500,-65.15,94875,145275,Y,-17550,Y,34.65,30.55,43.2,29.05,-0.18,-8.45,-7.9,-7.9,75975,-72.65,95775,-459600,Y,151800,Y,43,34.55,48.1,33.4,0.12
03-07-2025 13:25,4.2,-1.3,2.8,-1500,-1301.7,35775,10350,N,-825,N,-0.06,25590.6,25594.8,03-07-2025 13:25,8.3,9.05,9.05,20775,-65.9,82800,531300,Y,-176625,Y,30.35,38.65,39.5,29.3,-0.13,6.6,6.75,6.75,-84000,-71.85,110175,256950,YES,-25725,YES,34.95,41.55,44.2,32.4,0.06
