last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
2024-12-16 13:45:00,12.650000000000006,14.050000000000011,14.150000000000006,-19925,-178.0,32900,19925.0,N,-10100.0,N,0.1799999999999784
2024-12-16 13:50:00,-16.650000000000006,-16.05000000000001,-16.0,-33350,-161.0,24700,-3800.0,Y,10450.0,Y,0.11000000000001364
2024-12-16 13:55:00,-3.700000000000017,-4.300000000000011,-4.350000000000023,25375,-166.9499999999971,26950,-10975.0,Y,-8325.0,YES,0.07999999999998408
2024-12-16 14:00:00,-10.150000000000006,-9.149999999999977,-9.349999999999994,-20250,-144.95000000001164,21550,4225.0,N,-2325.0,N,0.010000000000019327
2024-12-16 14:05:00,-4.299999999999983,-4.449999999999989,-4.5,-39700,-151.90000000002328,22975,-1325.0,Y,6225.0,N,0.0
2024-12-16 14:10:00,20.25,20.450000000000017,20.400000000000006,22175,-169.34999999999127,30125,22475.0,YES,-18725.0,YES,0.06999999999999318
2024-12-16 14:15:00,-0.09999999999999432,0.14999999999997726,0.05000000000001137,2875,-163.1999999999971,28625,-7100.0,Y,9125.0,Y,0.06999999999999318
2024-12-16 14:20:00,5.200000000000017,5.450000000000017,5.300000000000011,-17775,-179.39999999999418,25550,2550.0,N,6125.0,N,0.09999999999999432
2024-12-16 14:25:00,1.3500000000000227,1.8000000000000114,1.8499999999999943,-17450,-139.9499999999971,19525,-3925.0,Y,14175.0,N,0.14000000000001478
2024-12-16 14:30:00,-11.900000000000006,-12.950000000000017,-12.850000000000023,-28775,-147.39999999999418,23675,-2525.0,N,10500.0,N,0.060000000000002274
2024-12-16 14:35:00,-10.599999999999994,-11.099999999999994,-11.200000000000017,-10450,-146.9499999999971,26375,-1575.0,N,-9000.0,YES,0.0
2024-12-16 14:40:00,-8.0,-7.949999999999989,-8.050000000000011,-8075,-160.4499999999971,31450,-4075.0,Y,3950.0,N,-0.03999999999999204
2024-12-16 14:45:00,5.950000000000017,5.349999999999994,5.400000000000006,-45050,-154.49999999998545,25925,16075.0,YES,10875.0,N,-0.060000000000002274
2024-12-16 14:50:00,3.9000000000000057,4.800000000000011,4.75,-11975,-142.5500000000029,23775,1500.0,Y,-20550.0,YES,-0.030000000000001137
2024-12-16 14:55:00,-7.099999999999994,-6.75,-6.799999999999983,9400,-161.09999999999127,27625,3825.0,N,8125.0,Y,-0.040000000000020464
2024-12-16 15:00:00,5.699999999999989,6.0,5.949999999999989,-5900,-151.04999999998836,25950,-10550.0,Y,-14000.0,YES,-0.14999999999997726
2024-12-16 15:05:00,11.950000000000017,12.199999999999989,12.350000000000023,6050,-173.14999999999418,26425,-725.0,N,-20075.0,YES,0.06999999999999318
2024-12-16 15:10:00,3.299999999999983,3.8500000000000227,3.9000000000000057,22475,-158.25000000001455,26500,2350.0,N,-9325.0,N,0.060000000000002274
2024-12-16 15:15:00,-2.3000000000000114,-1.75,-2.049999999999983,45925,-125.29999999998836,27525,-5575.0,Y,-3200.0,N,0.04999999999998295
2024-12-16 15:20:00,0.15000000000000568,0.8500000000000227,0.8499999999999943,5475,-150.3000000000029,26000,-22775.0,Y,-15575.0,YES,0.040000000000020464
2024-12-16 15:25:00,4.799999999999983,5.0,6.550000000000011,14850,-131.15000000000873,29150,-252900.0,Y,-56075.0,YES,0.06999999999999318
