last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close,volume
11-11-2024 10:15,-11,93725,426,220750,140650,-11.1,-17.05,80100,-3299.05,41650,38650,N,9325,N,24174.5,24200,24189,24229.95,24183.15,11-11-2024 10:20,-9.65,3140425,542,323925,387300,-9.35,-9.35,-63375,-358.35,68650,153825,Y,88000,N,148.25,138.6,164.35,138.05,146.92,11-11-2024 10:20,4.45,4353875,542,476750,477100,5.3,5.15,-350,-296.2,73025,31800,N,69800,Y,120.2,124.65,126.8,107.9,131.84,11-11-2024 10:15,24135.55,24156.5,24111.8,24114.9,0
11-11-2024 10:20,7.25,102775,435,218825,250800,14.55,10.05,-31975,-3015.05,45500,14975,N,-1525,Y,24175.43,24218.95,24226.2,24229,24183.15,11-11-2024 10:25,3.6,3672200,541,383750,417650,3.65,3.6,-33900,-346.85,70475,51025,N,43775,N,156.4,160,161.45,137.4,147.18,11-11-2024 10:25,-9.7,4772575,541,447650,513075,-9.45,-9.5,-65425,-299.55,71725,-9475,Y,36200,N,112.9,103.2,126.8,102.45,130.51,11-11-2024 10:20,24145.1,24159.05,24111.8,24157.05,0
11-11-2024 10:25,119.15,349475,467,157500,563925,117.75,114.8,-406425,-3068.05,53025,-4425,YES,-59600,Y,24193.53,24190.85,24310,24311,24183.15,11-11-2024 10:30,75.5,5972625,540,399125,388775,73.75,73.85,10350,-389.35,70500,-4375,YES,-237400,Y,143.5,219,219,137.4,151.69,11-11-2024 10:30,-46.2,6118700,540,435975,548325,-45.2,-45.35,-112350,-287.5,75900,-133700,Y,51525,N,121.7,75.5,126.8,75.5,126,11-11-2024 10:25,24122.95,24223.85,24111.8,24223.85,0
11-11-2024 10:30,116,598750,499,243900,867575,112,117.3,-623675,-3009.6,60525,15175,N,-108675,Y,24211.4,24189,24305,24329.4,24185,11-11-2024 10:35,74.85,6898850,541,343850,337625,74.2,74.7,6225,-458.6,70375,-141950,YES,-280975,Y,138.9,213.75,233.7,137.4,155.77,11-11-2024 10:35,-46.15,6102300,541,485825,573250,-46.15,-46.05,-87425,-250.4,73500,-93675,YES,43100,N,124.9,78.75,126.15,72.65,123.11,11-11-2024 10:30,24114.65,24239.3,24112.6,24219.9,0
11-11-2024 10:35,108,643875,525,277625,834850,107.85,108.05,-557225,-2657.15,62300,12600,N,53275,YES,24216.11,24230,24338,24348,24226,11-11-2024 10:40,74.7,6684750,540,281350,278800,74.95,75.05,2550,-528.65,66150,-193275,YES,-259425,YES,159.85,234.55,240.3,158,158.5,11-11-2024 10:40,-38.85,6235800,540,581450,664725,-38.95,-38.9,-83275,-215.25,78250,-61150,YES,35950,N,103.95,65.1,106.05,63.65,120.03,11-11-2024 10:35,24157.35,24259.2,24155.1,24251.35,0
11-11-2024 10:40,11.6,442375,528,300550,550350,12.3,13,-249800,-2369.05,56500,29075,N,181500,YES,24222.88,24311,24322.6,24355.55,24299.7,11-11-2024 10:45,3.9,3970325,542,222475,237675,1,1.05,-15200,-568.25,61425,-159575,Y,36575,YES,219.7,223.6,244.45,210,160.26,11-11-2024 10:45,-8.1,5003125,542,676525,722600,-7.5,-7.6,-46075,-197.7,80275,73675,YES,31450,N,75.2,67.1,80,58.3,117.16,11-11-2024 10:40,24224.8,24267.65,24217,24239.45,0
11-11-2024 10:45,17.95,256125,517,223950,335000,17.35,12.2,-111050,-2286.75,54600,6675,N,214550,YES,24225.89,24303.2,24321.15,24355.55,24301.1,11-11-2024 10:50,3.1,2553575,541,232600,210475,3.15,3.25,22125,-559.25,60000,-6975,Y,6025,N,214.75,217.85,244.45,212,161.04,11-11-2024 10:50,-8.9,4130225,541,666975,774225,-8.4,-8.4,-107250,-195.25,81950,-5900,Y,49850,N,78.6,69.7,79.2,58.3,115.99,11-11-2024 10:45,24220.5,24267.65,24218.45,24234.3,0
11-11-2024 10:50,-15.1,206700,501,269050,260075,-15.1,-15.1,8975,-2349.15,54600,23650,N,28600,N,24227.24,24338,24322.9,24355.55,24310,11-11-2024 10:55,-15.35,1497425,541,204575,197975,-15.6,-15.3,6600,-542.1,60025,1025,N,42925,YES,237.05,221.7,244.45,212,161.47,11-11-2024 10:55,4,2990000,542,664875,715900,3.95,3.95,-51025,-192.7,79400,45275,YES,1475,YES,64.45,68.45,72.9,58.3,115.1,11-11-2024 10:50,24252.2,24267.65,24226.7,24241.85,0
11-11-2024 10:55,24,128575,480,223300,241150,22,20,-17850,-2509.5,52750,33825,N,44700,N,24228.85,24323,24347,24347,24310,11-11-2024 11:00,13.1,1216750,541,213600,230475,13.15,13,-16875,-515.75,63475,26300,Y,-11950,Y,222.9,236,236.6,212,162.43,11-11-2024 11:00,-5.5,2189950,542,680000,676900,-5.85,-5.75,3100,-191.25,78700,-21050,Y,35150,Y,67.15,61.65,72.9,61.1,113.96,11-11-2024 10:55,24237.65,24265.8,24226.7,24264.75,0
11-11-2024 11:00,30,119675,475,200550,333375,29.8,28.5,-132825,-2612.6,47350,11575,N,5100,N,24231.78,24320.25,24350.25,24350.25,24310,11-11-2024 11:05,21.25,1261400,541,201775,239850,21.65,21.7,-38075,-520.2,65325,-5800,YES,-20425,Y,217.85,239.1,240.95,212,163.42,11-11-2024 11:05,-11.35,2165225,542,680550,684775,-11.25,-11.25,-4225,-182.2,79450,10050,YES,17000,N,69.9,58.55,72.9,58.4,112.8,11-11-2024 11:00,24234.85,24274.55,24226.7,24273.2,0
