last_traded_time,ltp,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
21-11-2024 10:35,23338.25,-42825,2.55,14475,9350,N,2800,N,-0.17,23339.3,23338.25,21-11-2024 10:45,9.05,254400,1.78E-15,62400,23375,N,50350,N,-0.41,21-11-2024 10:30,107.15,-4950,-0.05,28300,88200,N,-1400,YES,-0.6
21-11-2024 10:40,23339.2,-144925,-3.3,13575,-300,YES,4425,N,-0.13,23338.25,23339.2,21-11-2024 10:50,9.55,-223975,-1.78E-15,81000,52650,Y,174125,YES,-0.55,21-11-2024 10:35,107.4,-14100,-0.15,27550,-78525,Y,56825,Y,-0.4
21-11-2024 10:45,23348.25,-86075,-2.35,17650,2150,N,450,Y,-0.12,23339.3,23348.25,21-11-2024 10:55,7.45,206525,-8.88E-16,62200,-66600,YES,230275,YES,-0.47,21-11-2024 10:40,102.95,26250,0.05,25475,-94300,Y,20475,N,-0.27
21-11-2024 10:50,23366,-58950,1.2,20075,-4975,YES,-6275,Y,0.12,23348.1,23366,21-11-2024 11:00,8.1,-123875,-8.88E-16,75475,-5450,Y,-183225,Y,-0.59,21-11-2024 10:45,93.45,-109500,0.1,25975,96825,YES,8150,N,-0.49
21-11-2024 10:55,23357.9,-1950,4,14825,1425,N,6875,N,0.1,23366,23357.9,21-11-2024 11:05,8,-42000,8.88E-16,78700,277175,Y,94900,YES,-0.4,21-11-2024 10:50,90.4,-7175,0.05,33225,79200,N,10750,N,-0.9
21-11-2024 11:00,23365,-51525,3.45,17700,-1825,YES,14175,N,0.1,23357.9,23365,21-11-2024 11:10,8,-660275,0,97875,-174125,YES,110175,N,-0.45,21-11-2024 10:55,95.5,74200,0,39025,70550,N,-7825,YES,-0.54
21-11-2024 11:05,23362.55,-3475,-0.95,16075,5825,N,-1175,Y,0.2,23365,23362.55,21-11-2024 11:15,8.3,227325,-8.88E-16,92825,468300,Y,37525,N,-0.38,21-11-2024 11:00,87.8,25775,0.1,30700,-68300,Y,46650,Y,-0.64
21-11-2024 11:10,23372.15,-20125,-0.7,31775,1400,YES,-14225,Y,0.63,23361.7,23372.15,21-11-2024 11:20,8.05,-44600,-8.88E-16,98500,-44850,YES,19150,N,-0.61,21-11-2024 11:05,89.7,55775,0.05,34050,42850,YES,11050,N,-0.49
21-11-2024 11:15,23376,24275,3.8,11775,5900,N,-5275,N,0.45,23371,23376,21-11-2024 11:25,8.9,746800,-8.88E-16,89325,149500,Y,-19700,Y,-0.28,21-11-2024 11:10,87.2,70100,0,31475,-210700,Y,-18300,YES,-0.72
21-11-2024 11:20,23371,-61700,2.4,15425,1625,YES,-1575,N,0.64,23376.5,23371,21-11-2024 11:30,8.55,1055050,0,92875,52375,N,127300,YES,-0.36,21-11-2024 11:15,84.7,65525,-1.42E-14,33775,81175,YES,81075,Y,-0.38
21-11-2024 11:25,23380,-271075,0.5,21075,3800,N,-12100,Y,0.21,23368.35,23380,21-11-2024 11:35,7.7,35750,8.88E-16,71675,-178050,YES,164875,YES,-0.32,21-11-2024 11:20,89.05,30450,0,39800,-207100,Y,-115200,YES,-1.18
21-11-2024 11:30,23379.05,-25700,0.7,13300,-1600,YES,8450,YES,0.25,23380,23379.05,21-11-2024 11:40,7.7,-3900,8.88E-16,89450,114825,Y,119825,N,-0.25,21-11-2024 11:25,80.45,-17300,0.05,35475,-63025,YES,54650,Y,-0.52
21-11-2024 11:35,23364.05,-35925,1.75,16625,-750,N,2300,Y,0.13,23380,23364.05,21-11-2024 11:45,8.75,-127825,0,90800,345650,Y,-49525,Y,-0.26,21-11-2024 11:30,82.35,-10125,0,36250,222575,YES,13525,N,-0.66
21-11-2024 11:40,23368.1,-63950,0.45,17625,4600,N,-575,Y,0.1,23364.05,23368.1,21-11-2024 11:50,8.65,-24950,-8.88E-16,85700,334625,N,-6375,YES,-0.32,21-11-2024 11:35,86.6,19475,0.05,41275,-1725,Y,-47825,YES,-0.53
21-11-2024 11:45,23374.6,-26925,-0.15,13650,-75,YES,5975,N,0.14,23368.1,23374.6,21-11-2024 11:55,9.55,-16175,0,88075,148025,N,-179000,Y,-0.3,21-11-2024 11:40,82.35,17350,-0.05,24500,39850,YES,16225,Y,-0.38
21-11-2024 11:50,23374.15,31200,2.15,17825,-6000,YES,-5475,Y,0.11,23374.35,23374.15,21-11-2024 12:00,12.75,397900,-0.05,75825,48000,N,-456750,Y,-0.54,21-11-2024 11:45,79.5,-56650,0,28625,-180475,Y,52725,Y,-0.48
21-11-2024 11:55,23378.1,-156450,-0.65,18175,9100,N,-4000,N,0.17,23374.15,23378.1,21-11-2024 12:05,8.5,421175,0,75225,-343125,YES,92650,YES,-0.37,21-11-2024 11:50,77.2,53575,-0.05,29600,-143550,YES,76050,Y,-0.64
21-11-2024 12:00,23398,-91775,2.9,19725,200,YES,-32225,Y,1.42,23378.1,23398,21-11-2024 12:10,9.85,-412850,0,82000,377475,Y,68475,N,-0.18,21-11-2024 11:55,72.5,-43200,-0.05,28100,39150,YES,-2850,YES,-0.72
21-11-2024 12:05,23377,21850,1.35,19075,-13675,YES,6925,YES,0.46,23398,23377,21-11-2024 12:15,9.9,-85975,0,81325,-52775,YES,75575,N,-0.17,21-11-2024 12:00,66.15,-2675,0.05,32700,151800,YES,-26250,YES,-2.2
21-11-2024 12:10,23382,2800,1.5,17550,6225,N,-1725,Y,0.21,23377,23382,21-11-2024 12:20,9.1,471525,-0.05,98350,166675,Y,243500,YES,-0.15,21-11-2024 12:05,76.7,45125,-0.05,37450,-283225,Y,-54150,YES,-1.35
21-11-2024 12:15,23390,-24525,-1.4,12775,3075,N,-2375,Y,0.15,23382,23390,21-11-2024 12:25,9.05,867750,0,78275,-192975,YES,91900,N,-0.13,21-11-2024 12:10,72.9,41650,0.05,40550,181375,YES,99625,Y,-0.67
21-11-2024 12:20,23383.05,-43000,-1.5,11850,1975,YES,4525,N,0.19,23390,23383.05,21-11-2024 12:30,6.75,-257650,-8.88E-16,86275,-283275,YES,5800,N,-0.29,21-11-2024 12:15,69.55,78925,-0.1,34275,-8925,Y,31600,N,-0.67
21-11-2024 12:25,23390,-21950,0.1,14025,200,YES,25,Y,0.11,23383.05,23390,21-11-2024 12:35,7.5,1657050,0,98175,343900,Y,-28425,Y,-0.18,21-11-2024 12:20,73.6,45400,0,38375,247850,YES,12650,N,-0.45
21-11-2024 12:30,23380.75,-11625,-0.7,11025,-1600,YES,5450,N,0.11,23390,23380.75,21-11-2024 12:40,5.65,538025,0,104150,-304875,YES,226500,YES,-0.26,21-11-2024 12:25,69.95,89575,0.05,39350,57475,N,110700,Y,-0.38
21-11-2024 12:35,23382.1,36600,0.55,13725,2775,N,3550,N,0.09,23382,23382.1,21-11-2024 12:45,4.85,657225,0,88700,33375,Y,36550,N,-0.32,21-11-2024 12:30,73.75,-29150,-0.1,41375,-23025,Y,-66975,YES,-0.76
21-11-2024 12:40,23379.1,-24200,0.15,11675,2825,N,-1075,Y,0.17,23382.1,23379.1,21-11-2024 12:50,4.6,13775,0,77825,70000,Y,-230050,Y,-0.26,21-11-2024 12:35,70.45,-56900,-0.1,43300,46275,YES,69900,Y,-0.45
21-11-2024 12:45,23371.05,-76350,2.4,12500,-3400,YES,-6050,Y,0.1,23378.1,23371.05,21-11-2024 12:55,3.25,-501250,0,69300,-442225,YES,-115875,YES,-0.37,21-11-2024 12:40,75.9,6075,-1.42E-14,35000,-50175,Y,-127575,YES,-0.43
21-11-2024 12:50,23368,-25350,1.95,14325,12100,N,4675,N,0.07,23372.05,23368,21-11-2024 13:00,3.95,1434900,4.44E-16,86325,95600,Y,-282525,Y,-0.37,21-11-2024 12:45,79.35,-68250,-0.1,36900,50575,YES,-101100,Y,-0.58
21-11-2024 12:55,23337.55,-6175,-0.4,22725,-12300,YES,5450,N,-0.18,23365,23337.55,21-11-2024 13:05,4.75,1621725,4.44E-16,94300,367175,Y,81225,YES,-0.32,21-11-2024 12:50,81.5,113125,0.05,34650,-18650,Y,83075,Y,-0.47
21-11-2024 13:00,23357.85,-43400,-2.25,16275,6075,N,-6200,Y,-0.08,23337.55,23357.85,21-11-2024 13:10,5.7,1880650,-8.88E-16,99175,307275,N,-266100,Y,-0.25,21-11-2024 12:55,97.05,-50950,-0.1,32600,-234450,Y,-120750,YES,-0.5
21-11-2024 13:05,23362.1,-34025,0.4,13325,-3225,YES,5175,N,0.03,23359.5,23362.1,21-11-2024 13:15,5.3,-466200,0,128075,-46425,YES,229975,YES,-0.26,21-11-2024 13:00,86.65,-32300,0,31800,-122700,YES,65600,Y,-0.36
