last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
29-04-2025 10:10,4,3.1,7,13800,-1191,28800,51375,Y,-10200,Y,-0.54,24461,24465,29-04-2025 10:10,-1.95,-1.9,-1.85,-75600,-37.65,57975,130575,Y,171075,N,-0.47,29-04-2025 10:10,-7.2,-8.55,-8.5,-11550,-158.85,41325,-18675,N,43650,Y,0.66
29-04-2025 10:15,-34.9,-34.6,-39,9825,-1308.8,29700,-30300,YES,18000,YES,-1.64,24464,24429,29-04-2025 10:15,-6.35,-5.7,-5.75,320025,-29.65,62925,-363075,YES,129300,N,-0.89,29-04-2025 10:15,30.25,26.35,26.3,15600,-164.35,33600,57000,YES,-75750,YES,1.55
29-04-2025 10:20,25,25,26,18975,-965.2,27600,9825,Y,31275,N,-2.02,24428,24456.9,29-04-2025 10:20,3.65,3.85,3.85,-487500,-31.05,52500,226725,Y,-158025,Y,-0.53,29-04-2025 10:20,-24.3,-23.9,-23.9,6675,-171.4,36450,-37425,Y,52650,Y,1
29-04-2025 10:25,-25.7,-20.3,-25,0,-1214.5,34575,7875,N,-1125,Y,-1.58,24456.9,24431.2,29-04-2025 10:25,-3.6,-3.55,-3.55,-390675,-32.05,71550,-8025,YES,75150,YES,-0.57,29-04-2025 10:25,22.35,22.2,22.3,7800,-182.6,36600,8550,YES,-39225,YES,1.19
29-04-2025 10:30,0.8,-3,-5.8,33750,-1270.8,33450,25425,N,10500,N,-1.71,24426.2,24427,29-04-2025 10:30,-1.05,-1.1,-1.15,-473550,-31.45,67500,-22800,YES,121950,YES,-0.46,29-04-2025 10:30,1.35,0.9,0.9,12150,-193.6,41475,-15675,Y,13050,Y,1.04
29-04-2025 10:35,13.6,14.1,15,46950,-708.6,24600,5025,N,46500,YES,-1.14,24427,24440.6,29-04-2025 10:35,1.2,1.05,1.05,-200100,-24.95,61725,86025,Y,-33525,Y,-0.38,29-04-2025 10:35,-6.55,-6.7,-6.7,-4050,-159.45,37125,-5175,N,7950,N,0.61
29-04-2025 10:40,-7.1,-11.9,-7.5,29625,-1398.5,28425,-4875,YES,2625,Y,-1.61,24442,24429.5,29-04-2025 10:40,-1.65,-1.7,-1.7,-30150,-26.25,67050,-64875,YES,138075,YES,-0.35,29-04-2025 10:40,9,9.1,9.05,-5475,-169.8,39750,13125,N,-14100,YES,0.78
29-04-2025 10:45,30.7,28.9,26.1,65850,-844.4,27525,5625,N,66450,YES,-0.71,24431.3,24462.9,29-04-2025 10:45,3.6,3.2,3.25,-235500,-29.55,64275,116100,Y,-41700,Y,-0.37,29-04-2025 10:45,-23.95,-22.4,-22.45,6975,-158.2,41850,-16800,Y,27675,Y,0.56
29-04-2025 10:50,-21.8,-18.5,-18,40725,-489.1,26550,1650,YES,21450,N,-0.66,24462,24441,29-04-2025 10:50,-2.6,-2.7,-2.65,74850,-28.2,70650,-72450,YES,-3675,YES,-0.33,29-04-2025 10:50,14.2,13.5,13.5,16275,-158.5,43650,9225,YES,-11250,YES,0.42
29-04-2025 10:55,5.6,4.9,2.6,53700,-1019.8,29475,-1050,YES,-11550,Y,-0.48,24441,24446.3,29-04-2025 10:55,-1.1,-1.05,-1.05,-104025,-29.2,82275,-123300,YES,226500,YES,-0.26,29-04-2025 10:55,1.3,0.95,0.9,-9600,-151.85,39150,5625,N,-600,N,0.33
29-04-2025 11:00,8.9,10.8,11.6,-43050,-681.4,26475,6075,N,-16050,Y,-0.59,24448.1,24457,29-04-2025 11:00,2.3,2.2,2.2,-525975,-27.25,91125,58275,Y,18000,N,-0.21,29-04-2025 11:00,-15.15,-14.45,-14.5,31650,-149.7,38025,-10050,Y,24450,Y,0.28
29-04-2025 11:05,16.3,17.9,19.1,-47775,-1040.4,31950,2850,YES,58350,YES,-0.28,24459.6,24479,29-04-2025 11:05,3.25,3.25,3.25,-375075,-33.85,72300,-36300,YES,37800,N,-0.37,29-04-2025 11:05,-16.9,-15.75,-15.75,12225,-136.8,43050,-10275,Y,2850,YES,0.22
29-04-2025 11:10,-22.6,-20.9,-22.6,-40650,-472.1,27150,-9975,YES,15525,N,-1.16,24479.6,24457,29-04-2025 11:10,-3.8,-3.95,-3.95,-437775,-31.05,82500,42600,Y,23625,N,-0.28,29-04-2025 11:10,9.55,9.9,9.9,6600,-140.55,38475,13725,YES,9675,N,0.16
29-04-2025 11:15,-7,-10,-10.2,-42225,-679.8,27300,21825,Y,50775,YES,-1.94,24457,24450,29-04-2025 11:15,-0.95,-1.15,-1.2,420750,-27.8,80400,-28275,YES,10275,N,-0.24,29-04-2025 11:15,6.25,6.4,6.4,-4650,-148.6,34875,-3675,Y,-12300,YES,0.29
29-04-2025 11:20,4,0.5,4.2,-30375,-883.6,24975,-12600,YES,-6600,Y,-0.26,24450,24456.1,29-04-2025 11:20,-0.55,-0.65,-0.6,55050,-29.35,91200,24150,Y,196725,YES,-0.2,29-04-2025 11:20,0.85,1.6,1.4,13500,-150.2,40875,36975,YES,2625,N,0.2
29-04-2025 11:25,-1.8,-1.6,-5.9,-97275,-606.6,26550,-4350,N,-1650,N,-0.31,24451.8,24450,29-04-2025 11:25,-0.2,-0.2,-0.2,432675,-29.3,83925,-169350,YES,238200,YES,-0.15,29-04-2025 11:25,0.6,1,1.05,46350,-144.4,41400,-600,Y,30375,Y,0.12
29-04-2025 11:30,2.8,0.8,3.6,9150,-772.3,34125,-9300,YES,-525,N,-0.91,24450,24450,29-04-2025 11:30,0.3,0.4,0.35,-169875,-25.8,81225,-284250,YES,-53700,Y,-0.32,29-04-2025 11:30,-1,-1.15,-1.1,-5700,-159.3,37050,2400,N,-16200,YES,0.38
29-04-2025 11:35,-3.2,-4.3,-5.4,-51900,-395.4,27450,-12675,YES,1500,N,-0.53,24450,24449.7,29-04-2025 11:35,-0.65,-0.65,-0.65,-642075,-29.6,75375,-23400,Y,160050,YES,-0.16,29-04-2025 11:35,0.35,-0.05,-0.15,18675,-145.25,39300,-7050,Y,26475,Y,0.13
29-04-2025 11:40,8.1,10.5,8.1,-75150,-414.4,23700,7500,Y,3300,N,-0.24,24449.7,24458.3,29-04-2025 11:40,0.95,0.9,0.9,-168000,-27.6,93225,42075,Y,36450,N,-0.15,29-04-2025 11:40,-5.9,-5.15,-5.25,16275,-144.45,38475,3300,N,-1800,YES,0.1
29-04-2025 11:45,-12.4,-14.6,-12.3,-15225,-686.3,22350,1425,YES,-900,Y,-0.2,24458.3,24445.2,29-04-2025 11:45,-1.9,-1.95,-1.95,961875,-25.2,77025,-45000,YES,-69225,Y,-0.17,29-04-2025 11:45,11.25,12.1,12.1,-13650,-136.5,38625,18300,N,-38925,YES,0.2
29-04-2025 11:50,-15.1,-20.1,-18.4,28950,-774.1,23100,-3300,YES,5025,N,-0.58,24441.7,24426.7,29-04-2025 11:50,-2.75,-2.9,-2.85,-421350,-24.95,76500,-144150,YES,-161550,Y,-0.37,29-04-2025 11:50,14.05,13.85,13.85,17325,-161.95,41625,2325,Y,-28500,N,0.5
29-04-2025 11:55,-18.8,-13.7,-15.2,2325,-899.3,33600,-94125,YES,1500,Y,-1.84,24426.7,24407.9,29-04-2025 11:55,-1.35,-1.3,-1.35,-343425,-25.2,78450,-36000,Y,137625,YES,-0.43,29-04-2025 11:55,14,13.7,13.65,53400,-167.65,47550,-2400,Y,-39675,YES,0.72
29-04-2025 12:00,12.4,11.1,12.5,22800,-1288,32775,-2550,Y,-11400,Y,-2.45,24412.1,24424.5,29-04-2025 12:00,2.4,2.35,2.35,-12975,-23.8,75300,105300,Y,-201000,Y,-0.47,29-04-2025 12:00,-11.15,-11.3,-11.3,-11775,-179.1,44925,-12150,Y,22575,Y,1.07
