last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
2025-07-04 11:15:00,-4.75,-4.700000000000017,-4.599999999999994,6225,-134.89999999999418,52350,-139500.0,YES,94725.0,YES,160.95,156.2,162.75,154.45,-0.07999999999998408
2025-07-04 11:20:00,-8.800000000000011,-9.5,-9.599999999999994,-48150,-136.59999999999127,55500,-127500.0,N,-45300.0,Y,155.75,146.95,156.65,142.2,-0.7400000000000091
2025-07-04 11:25:00,4.75,4.75,4.800000000000011,-36300,-145.5,60150,123375.0,Y,14175.0,YES,146.75,151.5,151.95,145.15,-0.3100000000000023
2025-07-04 11:30:00,-3.9499999999999886,-3.5999999999999943,-3.5500000000000114,101250,-146.60000000000582,66525,-49125.0,YES,126450.0,YES,150.95,147.0,151.25,146.7,-0.18000000000000682
2025-07-04 11:35:00,-7.349999999999994,-7.650000000000006,-7.650000000000006,162300,-140.60000000000582,61725,-263025.0,YES,-450.0,Y,146.75,139.4,147.55,137.45,-0.7399999999999807
2025-07-04 11:40:00,-9.75,-10.0,-9.900000000000006,124800,-136.0,60675,1950.0,Y,27525.0,YES,138.0,128.25,139.8,125.0,-1.5500000000000114
2025-07-04 11:45:00,-4.400000000000006,-4.200000000000003,-4.200000000000003,-72000,-136.75,67650,2700.0,N,31425.0,N,128.15,123.75,128.3,116.65,-1.759999999999991
2025-07-04 11:50:00,-1.6500000000000057,-1.3999999999999915,-1.4000000000000057,-5400,-132.55000000001746,64050,98925.0,Y,93450.0,YES,123.75,122.1,125.1,118.9,-0.8199999999999932
2025-07-04 11:55:00,-1.8500000000000085,-2.1000000000000085,-2.049999999999997,-181275,-129.00000000001455,73575,22575.0,N,77025.0,N,122.15,120.3,123.15,117.8,-0.7199999999999989
2025-07-04 12:00:00,0.25,-1.0,-0.75,68400,-123.15000000000873,69675,19125.0,N,-37950.0,Y,120.2,120.45,124.6,118.35,-0.6500000000000057
2025-07-04 12:05:00,3.0999999999999943,2.8999999999999915,2.8999999999999915,48225,-131.49999999998545,75525,-77700.0,YES,-7575.0,YES,120.2,123.3,125.4,112.7,-1.039999999999992
2025-07-04 12:10:00,1.4000000000000057,2.0999999999999943,2.0999999999999943,-142650,-132.14999999999418,67800,84150.0,Y,7425.0,N,123.25,124.65,125.9,120.35,-0.539999999999992
2025-07-04 12:15:00,0.6499999999999915,1.0,1.0,-114075,-130.9499999999971,66975,20475.0,N,-10875.0,Y,125.15,125.8,129.0,123.35,-0.5200000000000102
2025-07-04 12:20:00,1.3500000000000085,1.5499999999999972,1.6000000000000085,-86775,-133.64999999999418,67275,18750.0,N,18750.0,YES,125.85,127.2,129.0,124.05,-0.3299999999999841
2025-07-04 12:25:00,-2.1000000000000085,-2.4499999999999886,-2.5,-100875,-142.35000000000582,69750,6525.0,N,50325.0,YES,127.2,125.1,127.45,123.5,-0.28000000000000114
2025-07-04 12:30:00,4.849999999999994,4.849999999999994,4.849999999999994,-116550,-138.6999999999971,66075,-25800.0,YES,-139050.0,Y,124.65,129.5,133.0,124.65,-0.46999999999999886
2025-07-04 12:35:00,-3.8499999999999943,-4.1499999999999915,-4.150000000000006,5325,-140.35000000000582,68775,675.0,Y,102225.0,YES,129.35,125.5,129.35,122.1,-0.4800000000000182
2025-07-04 12:40:00,0.45000000000000284,0.29999999999999716,0.44999999999998863,-120000,-146.69999999998254,71700,25650.0,Y,47850.0,N,125.0,125.45,128.45,124.25,-0.22999999999998977
2025-07-04 12:45:00,-0.8000000000000114,-0.75,-0.8000000000000114,-64800,-134.0,62625,-37425.0,YES,43125.0,N,125.4,124.6,129.2,121.4,-0.28999999999999204
2025-07-04 12:50:00,-0.20000000000000284,-0.25,-0.20000000000000284,-93525,-131.64999999999418,67500,42675.0,Y,-825.0,Y,124.3,124.1,125.45,122.05,-0.21999999999999886
2025-07-04 12:55:00,0.30000000000001137,0.3500000000000085,0.3500000000000085,-128025,-134.14999999999418,70125,3525.0,N,-30600.0,Y,124.35,124.65,127.95,122.6,-0.21000000000000796
2025-07-04 13:00:00,4.400000000000006,4.549999999999997,4.599999999999994,50175,-128.14999999999418,68850,25950.0,Y,-51675.0,Y,123.55,127.95,128.65,122.0,-0.21999999999999886
2025-07-04 13:05:00,-2.6500000000000057,-2.9000000000000057,-3.0,84600,-137.10000000002037,65025,1200.0,YES,51525.0,YES,127.7,125.05,130.7,123.35,-0.3100000000000023
2025-07-04 13:10:00,4.400000000000006,4.400000000000006,4.3999999999999915,16875,-132.6999999999971,70500,21375.0,Y,-40500.0,Y,124.85,129.25,132.05,122.7,-0.35000000000002274
2025-07-04 13:15:00,-5.799999999999997,-5.800000000000011,-5.949999999999989,40950,-137.0500000000029,66300,-5250.0,YES,84375.0,YES,129.75,123.95,130.8,122.7,-0.3199999999999932
2025-07-04 13:20:00,3.299999999999997,3.0,3.25,-74850,-130.64999999999418,73425,4425.0,N,-27300.0,Y,124.05,127.35,128.25,124.0,-0.18999999999999773
2025-07-04 13:25:00,-1.75,-2.1000000000000085,-2.1500000000000057,67050,-135.40000000000873,69300,13050.0,N,10500.0,YES,127.0,125.25,130.25,125.25,-0.18000000000000682
2025-07-04 13:30:00,4.1499999999999915,4.1000000000000085,4.199999999999989,120975,-140.39999999999418,62175,56550.0,Y,14100.0,N,125.3,129.45,131.4,124.55,-0.19999999999998863
2025-07-04 13:35:00,-2.299999999999983,-2.3499999999999943,-2.299999999999983,25875,-149.4499999999971,71850,-11400.0,YES,54975.0,YES,129.7,127.4,132.35,127.0,-0.2600000000000193
2025-07-04 13:40:00,0.6500000000000057,0.6500000000000057,0.5999999999999943,-24075,-133.69999999998254,72225,11025.0,Y,-7650.0,Y,127.1,127.75,130.3,125.6,-0.19999999999998863
2025-07-04 13:45:00,1.25,1.8000000000000114,1.950000000000017,2025,-144.05000000001746,65250,-33525.0,YES,-9900.0,Y,128.2,129.45,130.45,125.0,-0.19999999999998863
2025-07-04 13:50:00,-0.45000000000001705,-0.8999999999999773,-1.049999999999983,-24675,-139.59999999999127,71175,32550.0,Y,30075.0,YES,129.4,128.95,131.7,126.75,-0.21000000000000796
2025-07-04 13:55:00,7.200000000000017,7.150000000000006,7.050000000000011,-250200,-143.8000000000029,68775,31875.0,N,-251475.0,Y,128.7,135.9,137.6,126.0,-0.30000000000001137
2025-07-04 14:00:00,-7.800000000000011,-7.650000000000006,-7.650000000000006,-74925,-144.59999999999127,64575,-74250.0,YES,106050.0,YES,136.0,128.2,139.0,124.45,-0.4200000000000159
2025-07-04 14:05:00,4.400000000000006,3.4000000000000057,3.4000000000000057,32550,-142.94999999998254,68325,17550.0,Y,43875.0,N,128.5,132.9,134.9,128.1,-0.19999999999998863
2025-07-04 14:10:00,1.0999999999999943,1.1500000000000057,1.1999999999999886,-74400,-144.60000000000582,65925,55200.0,Y,-42075.0,Y,132.3,133.4,136.0,130.0,-0.1599999999999966
2025-07-04 14:15:00,-0.4000000000000057,0.10000000000002274,0.05000000000001137,-104250,-143.79999999998836,71175,-19050.0,YES,41475.0,YES,133.25,132.85,134.6,129.3,-0.15000000000000568
2025-07-04 14:20:00,-1.25,-1.0,-0.9000000000000057,-321150,-140.39999999999418,73200,-22725.0,YES,49275.0,N,133.0,131.75,133.0,127.5,-0.18999999999999773
2025-07-04 14:25:00,3.0999999999999943,3.8500000000000227,3.8500000000000227,-665700,-139.75,67125,104850.0,Y,-161775.0,Y,132.0,135.1,135.8,131.05,-0.1599999999999966
2025-07-04 14:30:00,5.649999999999977,5.200000000000017,5.199999999999989,37650,-145.74999999998545,64050,36000.0,N,-179325.0,Y,135.05,140.7,141.7,133.2,-0.18999999999999773
2025-07-04 14:35:00,23.950000000000017,23.950000000000017,24.0,-494550,-177.95000000001164,64725,-112425.0,YES,-487875.0,Y,140.7,164.65,167.05,140.4,0.8499999999999943
2025-07-04 14:40:00,19.05000000000001,18.75,18.80000000000001,-222225,-195.5500000000029,67425,42300.0,Y,-499425.0,Y,164.7,183.75,184.65,164.7,1.0600000000000023
2025-07-04 14:45:00,-9.75,-10.200000000000017,-10.300000000000011,-29025,-205.75,65100,-115875.0,YES,191400.0,YES,185.15,175.4,190.75,170.9,1.0600000000000023
2025-07-04 14:50:00,-3.6500000000000057,-3.5999999999999943,-3.549999999999983,72075,-194.90000000000873,61425,-40875.0,Y,20100.0,N,175.1,171.45,176.55,166.5,0.3199999999999932
2025-07-04 14:55:00,5.399999999999977,5.900000000000006,5.900000000000006,-32400,-195.3000000000029,62550,17325.0,Y,-83400.0,Y,171.8,177.2,177.65,168.5,0.2300000000000182
2025-07-04 15:00:00,-1.8499999999999943,-1.9000000000000057,-1.950000000000017,-72300,-199.39999999999418,72975,-45375.0,YES,66075.0,YES,177.9,176.05,178.4,169.2,0.29999999999998295
2025-07-04 15:05:00,-1.6500000000000057,-1.3499999999999943,-1.5,-197625,-184.64999999999418,70575,-31275.0,N,-63375.0,Y,177.0,175.35,179.9,169.8,0.3200000000000216
2025-07-04 15:10:00,-0.8000000000000114,-0.4000000000000057,-0.4000000000000057,-229200,-164.19999999998254,68850,-29400.0,N,50550.0,YES,175.25,174.45,177.4,172.0,0.1699999999999875
2025-07-04 15:15:00,-4.850000000000023,-5.099999999999994,-4.899999999999977,-83775,-166.55000000001746,63450,-121500.0,YES,-82800.0,Y,174.8,169.95,176.8,165.5,0.21000000000000796
2025-07-04 15:20:00,4.900000000000006,4.75,4.699999999999989,-191850,-164.75,66225,-12600.0,Y,-94950.0,Y,170.1,175.0,175.45,168.4,0.12000000000000455
2025-07-04 15:25:00,3.8499999999999943,4.199999999999989,5.599999999999994,-384750,-212.95000000001164,67275,-364200.0,YES,-361650.0,Y,175.0,178.85,181.0,172.55,0.2300000000000182
