last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close
03-04-2025 10:05,18.5,77025,157,13.1,13.9,8025,-922,27600,10200,N,-19050,Y,23327,23341.1,23359.6,23365,23341.1,03-04-2025 10:05,6.55,13907850,182,5.5,5.6,24225,-75.5,47550,-282600,YES,-180375,N,67.7,74.25,80.35,64.75,66.92,03-04-2025 10:05,-3.4,22000350,182,-3.2,-3.2,501000,-29.05,108225,-152325,YES,163125,N,17.9,14.5,18.65,13.6,33.78,03-04-2025 10:05,23250.05,23272.45,23246.5,23265.1
03-04-2025 10:10,15.4,81075,137,17.1,18.4,49875,-1043.5,25950,-15900,YES,2325,YES,23328.59,23359.6,23375,23381.5,23355.95,03-04-2025 10:10,18.4,10786650,180,16.95,16.95,6975,-71.9,44025,-102975,Y,-461475,Y,73.9,92.3,94.25,72.1,67.82,03-04-2025 10:10,-1.6,13453800,180,-1.45,-1.45,610275,-25.5,89775,-127350,YES,150225,N,14.55,12.95,15.25,12.55,32.89,03-04-2025 10:10,23265.45,23282.45,23262,23277.6
03-04-2025 10:15,-10.15,55875,145,-9,-9,128025,-799.1,28950,22200,Y,19050,N,23329.53,23375.15,23365,23380.25,23355,03-04-2025 10:15,-13.95,9828225,180,-13.7,-13.75,-52350,-72.45,46950,41550,Y,178500,YES,92.25,78.3,92.6,69.35,68.33,03-04-2025 10:15,-0.3,13490475,180,-0.3,-0.3,276525,-25.45,101550,240150,YES,267675,Y,13.05,12.75,15.25,12.7,32.07,03-04-2025 10:15,23278.3,23280.85,23253.4,23268.6
03-04-2025 10:20,35.6,106050,141,35.25,37.65,-33675,-902.35,30075,11100,N,-47775,Y,23332.17,23365,23400.6,23405,23360.35,03-04-2025 10:20,31.5,11688675,181,31.05,31.2,-97575,-82.1,52575,-107550,YES,-640200,Y,77.85,109.35,110.55,75.4,69.58,03-04-2025 10:20,-3.8,19476450,181,-3.8,-3.85,-470175,-25.55,102900,-751125,Y,-205125,YES,12.8,9,12.8,8.9,30.81,03-04-2025 10:20,23268.15,23304,23264.9,23302.7
03-04-2025 10:25,-8.15,120000,158,-7.9,-8.8,-106275,-1034.7,38400,8325,N,20850,YES,23335.67,23408.05,23399.9,23409.95,23392.55,03-04-2025 10:25,-10.75,7192050,180,-10.1,-10.15,-82875,-90.55,39225,-186825,YES,272100,YES,110.75,100,110.75,98.15,70.7,03-04-2025 10:25,-0.05,14933700,180,-0.15,-0.15,-3871350,-19.8,106275,1314450,YES,-345375,YES,8.9,8.85,9.3,8.1,29.84,03-04-2025 10:25,23303,23306.5,23295.7,23298.3
03-04-2025 10:30,2,73050,126,-0.75,-1,-21150,-822.85,31575,8775,N,1125,Y,23337.39,23397,23399,23400,23383.6,03-04-2025 10:30,-1.1,5265975,180,-1.15,-1.15,-3525,-85.3,45150,11850,Y,50625,N,100.25,99.15,103.4,91.1,71.29,03-04-2025 10:30,0.05,11418675,180,0.15,0.15,-899175,-21.6,114225,215550,N,301350,Y,8.85,8.9,9.75,8.45,29.18,03-04-2025 10:30,23298,23300.95,23281.25,23295.8
03-04-2025 10:35,-9,32325,108,-8.2,-9,-84600,-474,21525,-43800,YES,-150,Y,23338.08,23399,23390,23399,23385.8,03-04-2025 10:35,-5.35,4125525,181,-5.15,-5.2,-27600,-86.4,51375,-121050,YES,87900,YES,100.6,95.25,100.6,90.2,71.71,03-04-2025 10:35,0,7458525,181,0,0,-502050,-21.45,125400,242550,YES,390900,Y,8.9,8.9,9.55,8.7,28.77,03-04-2025 10:35,23296.25,23296.4,23281.35,23289.45
03-04-2025 10:40,3,34050,105,1.45,3,-15075,-606.55,23850,-18975,Y,-14550,Y,23338.81,23390,23393,23402.75,23386.15,03-04-2025 10:40,-2.1,4605225,182,-0.55,-0.55,155400,-86.75,51375,54675,Y,67125,N,93.95,91.85,101.7,87.5,72.15,03-04-2025 10:40,0.05,8489700,182,-0.1,-0.1,306750,-22.1,112500,-83025,Y,4950,N,9,9.05,9.45,7.75,28.32,03-04-2025 10:40,23288.9,23299.6,23279.45,23287.75
03-04-2025 10:45,-15.8,37200,121,-12.9,-15.8,24225,-640.6,27300,-7950,N,9975,YES,23339.4,23392.95,23377.15,23393,23373.9,03-04-2025 10:45,-10.2,5153700,181,-9.7,-9.75,21225,-79.35,47550,-41025,YES,63675,N,91.6,81.4,93.5,78.65,72.4,03-04-2025 10:45,0.65,11009925,181,0.65,0.65,562275,-23.75,130125,-230025,Y,85650,Y,9.05,9.7,10.8,8.7,27.79,03-04-2025 10:45,23289.05,23289.25,23270.15,23275.35
03-04-2025 10:50,4.4,29250,94,0.35,3.85,-13275,-423.75,20100,25800,Y,2325,Y,23339.81,23376.6,23381,23381.5,23372.3,03-04-2025 10:50,-0.8,4173300,180,-1.3,-1.3,-25350,-73,52800,110475,Y,56475,N,81.55,80.75,84.1,76.25,72.53,03-04-2025 10:50,-0.85,10800225,180,-0.75,-0.75,-1132875,-23.35,139650,73575,YES,283200,Y,9.6,8.75,10.55,8,27.29,03-04-2025 10:50,23276.05,23282.75,23270,23277.7
