last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low
31-07-2025 10:20:00,-3.7000000000007276,177075.0,593,226425.0,338625.0,-3.5,-4.5,-112200.0,-3174.3000000044703,96525.0,825.0,N,14925.0,N,24677.62,24663.4,24659.7,24681.8,24655.6
31-07-2025 10:25:00,-8.900000000001455,188025.0,626,281175.0,421425.0,-7.600000000002183,-7.599999999998545,-140250.0,-3235.2999999970198,102825.0,-17775.0,YES,20925.0,N,24676.92,24675.0,24666.1,24681.8,24651.5
31-07-2025 10:30:00,14.900000000001455,244650.0,684,341175.0,389400.0,20.899999999997817,16.0,-48225.0,-3275.0,123000.0,14025.0,Y,-34875.0,Y,24676.27,24666.6,24681.5,24681.5,24651.5
31-07-2025 10:35:00,53.29999999999927,319125.0,755,379125.0,389475.0,54.19999999999709,53.900000000001455,-10350.0,-3453.10000000149,126750.0,18825.0,N,-68025.0,Y,24678.16,24659.7,24713.0,24724.9,24651.5
31-07-2025 10:40:00,54.900000000001455,374025.0,788,363000.0,359775.0,52.70000000000073,53.599999999998545,3225.0,-3748.2999999970198,130350.0,-4200.0,YES,-26250.0,YES,24680.26,24666.1,24721.0,24730.0,24659.9
31-07-2025 10:45:00,32.60000000000218,303975.0,805,326250.0,448725.0,28.099999999998545,26.099999999998545,-122475.0,-3928.3000000044703,117150.0,39225.0,Y,-17850.0,N,24680.9,24680.8,24713.4,24730.0,24677.7
31-07-2025 10:50:00,43.0,297150.0,803,290475.0,534225.0,43.599999999998545,46.0,-243750.0,-3867.0,116775.0,12675.0,N,-5475.0,N,24684.37,24713.0,24756.0,24763.9,24695.7
31-07-2025 10:55:00,33.0,235950.0,752,271575.0,506400.0,32.900000000001455,33.0,-234825.0,-3939.300000000745,112275.0,11025.0,N,-48525.0,Y,24686.28,24721.0,24754.0,24773.9,24695.7
31-07-2025 11:00:00,26.599999999998545,241125.0,701,261675.0,514125.0,32.29999999999927,29.799999999999272,-252450.0,-4001.599999997765,111300.0,11100.0,N,-32850.0,N,24687.56,24713.4,24740.0,24773.9,24710.0
31-07-2025 11:05:00,-2.0,160875.0,606,268725.0,421125.0,-2.2000000000007276,-4.0,-152400.0,-4054.699999999255,110325.0,-525.0,YES,-750.0,YES,24688.6,24756.0,24754.0,24773.9,24732.9
31-07-2025 11:10:00,44.0,171525.0,560,260475.0,432525.0,40.20000000000073,40.0,-172050.0,-3758.300000000745,104550.0,5325.0,N,-7575.0,Y,24690.98,24750.0,24794.0,24794.0,24732.9
31-07-2025 11:15:00,40.0,199950.0,541,287925.0,413025.0,40.0,42.400000000001455,-125100.0,-3447.39999999851,103050.0,8025.0,N,-44100.0,Y,24694.14,24740.0,24780.0,24807.0,24735.6
31-07-2025 11:20:00,58.0,240150.0,587,297075.0,475275.0,57.099999999998545,53.099999999998545,-178200.0,-3312.199999999255,108075.0,42750.0,Y,-27900.0,N,24697.47,24754.0,24812.0,24817.5,24754.0
31-07-2025 11:25:00,6.0,223425.0,607,703950.0,488775.0,7.700000000000728,5.0,215175.0,-3854.89999999851,121950.0,30675.0,N,8400.0,YES,24699.42,24794.0,24800.0,24817.5,24777.5
31-07-2025 11:30:00,35.900000000001455,227475.0,645,697875.0,511200.0,34.20000000000073,33.900000000001455,186675.0,-3983.800000000745,126675.0,-20850.0,YES,19575.0,N,24702.69,24780.0,24815.9,24823.8,24779.0
31-07-2025 11:35:00,0.09999999999854481,218475.0,649,728700.0,439350.0,-1.0,1.7999999999992724,289350.0,-4232.89999999851,125625.0,-7125.0,N,13050.0,N,24705.77,24812.0,24812.1,24830.0,24789.9
31-07-2025 11:40:00,9.700000000000728,227400.0,691,376725.0,395550.0,6.900000000001455,7.900000000001455,-18825.0,-3779.8999999947846,116700.0,-3000.0,N,2700.0,Y,24707.87,24800.0,24809.7,24830.0,24792.8
31-07-2025 11:45:00,-13.900000000001455,186600.0,664,446250.0,304425.0,-11.700000000000728,-6.5,141825.0,-3547.5,114000.0,30375.0,Y,10050.0,N,24709.36,24815.9,24802.0,24830.0,24797.7
