last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,timestamp,open,high,low,close,volume,nif_body,vix_body,,,,
28-03-2025 11:30,-8,37350,117,52800,50400,-8.3,-7.9,2400,-804.15,26025,-6375,N,12825,N,23720.93,23718,23710,23737,23705.2,28-03-2025 11:30,-2.5,1680750,180,406200,443250,-3.4,-3.4,-37050,-52.3,42000,-29625,YES,44400,N,65.3,62.8,70.9,61.55,76.15,28-03-2025 11:30,4.8,265875,171,116925,122475,7.05,6.8,-5550,-178.15,42825,-13200,Y,10200,N,249.2,254,257.7,235,253.18,28-03-2025 11:30,1743141600,12.71,12.77,12.69,12.76,0,8,0.05,,,0.014197952,1
28-03-2025 11:35,22,38025,120,56850,68175,18.8,19.9,-11325,-766.7,27675,5775,N,9600,N,23721.03,23710,23732,23743.9,23706.5,28-03-2025 11:35,5.15,1600500,180,395250,382050,4.75,4.8,13200,-56.2,45600,53850,Y,-3525,Y,62.35,67.5,72.3,62.35,75.94,28-03-2025 11:35,-13.85,248925,173,120450,124650,-13.9,-13.95,-4200,-177.85,37800,9300,YES,-11475,YES,254.4,240.55,254.4,228.75,252.82,28-03-2025 11:35,1743141900,12.77,12.77,12.67,12.71,0,22,0.06,,,0.039044369,1
28-03-2025 11:40,-28.25,32025,109,72525,62100,-27.2,-28.25,10425,-784.4,24975,-11325,YES,2850,Y,23720.96,23732,23703.75,23732,23700,28-03-2025 11:40,-7.8,1743375,180,337650,365475,-8.25,-8.25,-27825,-52.35,39600,-71775,YES,90375,YES,67.5,59.7,67.9,58.7,75.56,28-03-2025 11:40,21.45,285900,173,138375,120600,21.8,21.85,17775,-186.1,38700,-300,Y,-11775,YES,240.2,261.65,263.4,239.4,252.86,28-03-2025 11:40,1743142200,12.71,12.77,12.69,12.72,0,28.25,0.01,,,0.050136519,-1
28-03-2025 11:45,8.05,36000,144,124950,55875,11,7.4,69075,-920.55,26625,-2475,N,-7275,Y,23720.79,23703.75,23711.8,23720,23700,28-03-2025 11:45,1.5,1430250,180,363300,371775,1.9,1.85,-8475,-52,41700,66600,Y,15525,N,59.65,61.15,63.05,58.1,75.22,28-03-2025 11:45,-9.85,206775,173,131100,127875,-9.5,-9.55,3225,-199.2,43950,3000,N,-3150,N,261.2,251.35,266.1,246.85,252.95,28-03-2025 11:45,1743142500,12.73,12.76,12.67,12.69,0,8.05,0.04,,,0.014286689,1
28-03-2025 11:50,12.15,13350,72,49800,43275,11.95,10.95,6525,-852.95,25200,6000,N,0,N,23720.77,23711.8,23723.95,23724.4,23705.05,28-03-2025 11:50,2.55,968550,180,361725,413925,2.55,2.55,-52200,-56.3,40200,45825,N,11550,N,61.1,63.65,64.3,59.65,75.03,28-03-2025 11:50,-5.5,135525,158,106425,126525,-3.75,-3.7,-20100,-183.1,36975,-7425,Y,14250,N,251.2,245.7,256.8,243.75,252.9,28-03-2025 11:50,1743142800,12.68,12.69,12.65,12.66,0,12.15,0.02,,,0.02156314,-1
28-03-2025 11:55,-2.2,17025,72,121425,56475,1.3,-2.2,64950,-869.55,22200,3600,N,2775,N,23720.76,23723.95,23721.75,23724.05,23712,28-03-2025 11:55,0.35,645975,180,369075,336300,0.1,0.05,32775,-49.45,36300,19125,N,4875,N,64,64.35,64.35,60.6,74.91,28-03-2025 11:55,-3.2,116250,144,141225,109725,-3.9,-3.9,31500,-162.95,42600,825,N,15975,N,245.7,242.5,254.6,242.5,252.86,28-03-2025 11:55,1743143100,12.68,12.69,12.65,12.65,0,2.2,0.03,,,0.003904437,1
28-03-2025 12:00,0.25,19950,82,63450,40575,-3.7,-2.9,22875,-743.15,23400,5700,N,-1425,Y,23720.78,23721.75,23722,23734.2,23711.05,28-03-2025 12:00,-1.55,1103775,181,389175,387675,-1.8,-1.8,1500,-52.1,41550,1275,YES,42450,YES,64.55,63,66.35,60.3,74.72,28-03-2025 12:00,0.4,127800,148,105450,115200,1,0.95,-9750,-160.45,39000,4725,N,-4050,YES,243.2,243.6,253.9,239.9,252.76,28-03-2025 12:00,1743143400,12.67,12.69,12.64,12.66,0,0.25,0.01,,,0.000443686,1
28-03-2025 12:05,12.85,12675,82,64275,43200,11,12.15,21075,-604.95,22575,4800,N,1800,N,23720.8,23722,23734.85,23734.85,23720,28-03-2025 12:05,2.35,703425,180,421950,378075,2.25,2.35,43875,-52.75,39000,4425,N,-3675,Y,63.25,65.6,65.6,60.75,74.6,28-03-2025 12:05,-5.7,141225,157,117900,129150,-5.8,-5.7,-11250,-165.15,38400,-6450,Y,6300,N,243.65,237.95,247.85,236.85,252.62,28-03-2025 12:05,1743143700,12.67,12.67,12.6,12.6,0,12.85,0.07,,,0.022805461,1
28-03-2025 12:10,-11.2,23025,99,63225,44925,-11.05,-10.15,18300,-673.9,29550,-13425,YES,8475,N,23720.86,23734.85,23723.65,23736.9,23722,28-03-2025 12:10,-4.3,1088925,180,458175,416700,-4.05,-4.05,41475,-52.95,44550,-48300,YES,58275,YES,65.9,61.6,66.5,61.6,74.45,28-03-2025 12:10,8.55,143625,154,148125,134175,7.55,7.4,13950,-151.6,44100,11250,N,225,YES,236.85,245.4,245.4,234.8,252.43,28-03-2025 12:10,1743144000,12.59,12.65,12.59,12.65,0,11.2,0.06,,,0.019877133,1
28-03-2025 12:15,-45.7,60375,135,111600,46350,-43,-44.4,65250,-952.8,29400,-27600,YES,2025,Y,23720.4,23723.65,23677.95,23724.15,23677.95,28-03-2025 12:15,-11.2,2909775,180,390525,451350,-11.95,-12,-60825,-50.9,46275,-162525,YES,32700,N,61.55,50.35,62,49.7,73.63,28-03-2025 12:15,32.7,372075,174,106500,109650,34,34.1,-3150,-201.05,37200,5325,N,-50775,YES,245.4,278.1,279.85,243.35,252.79,28-03-2025 12:15,1743144300,12.66,12.7,12.58,12.68,0,45.7,0.02,,,0.081105802,-1
28-03-2025 12:20,-18.35,76050,150,104400,85275,-16,-16,19125,-665.35,32700,-7275,Y,7350,N,23719.27,23677.95,23659.6,23681.45,23657.05,28-03-2025 12:20,-4,1944600,180,703575,738000,-4,-4,-34425,-48.3,49200,52575,Y,65625,YES,50.45,46.45,51.6,45.45,72.94,28-03-2025 12:20,16.1,293175,177,100050,114975,13.65,13.65,-14925,-227.3,38700,-13275,Y,6900,Y,278,294.1,295,273.8,253.66,28-03-2025 12:20,1743144600,12.69,12.75,12.65,12.74,0,18.35,0.05,,,0.032566553,1
