last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
16-04-2025 10:30,-27.3,-27.1,-26.5,40275,-997.6,28500,-46050,YES,23025,YES,-1.64,23323.8,23300,-10.7,-10.55,-10.6,-21975,-91.05,46350,-114150,YES,31875,YES,-1.39,15.9,16.25,16.35,-40200,-47.05,66750,403800,YES,-490200,YES,1.75
16-04-2025 10:35,9,8.9,3.5,17475,-778.8,33675,19425,Y,1725,Y,-0.86,23296,23305,2.55,1.6,1.7,-32625,-94.6,48900,113625,Y,48000,N,-1.02,0.15,0.7,0.75,-3300,-53.2,53925,-214875,Y,259800,Y,1.54
16-04-2025 10:40,5.1,5.5,6.5,150000,-735.5,33150,1125,YES,9375,N,-0.8,23304.9,23311.6,0.95,1.2,1.2,13200,-91.4,47175,39525,N,3225,N,-0.69,-5.35,-5.25,-5.2,-72150,-54.15,65925,74175,YES,95625,N,0.74
16-04-2025 10:45,-0.6,3.6,2.6,-19125,-1054.7,23400,16650,N,-5175,Y,-0.26,23311.6,23310.8,4.35,4.35,4.45,-110400,-89.55,42975,-6150,YES,-37725,Y,-0.54,0,0.05,0.05,-173400,-47.45,51300,302925,YES,-18375,YES,0.38
16-04-2025 10:50,-8.4,-7.9,-4.7,48525,-746.6,24450,-53100,YES,3150,N,-0.44,23312.7,23302.5,-3.6,-3.65,-3.6,600,-94.75,44625,16050,Y,18375,YES,-0.45,4.05,4.35,4.5,-52725,-47.7,50625,-217425,Y,12525,Y,0.45
16-04-2025 10:55,-11.5,-10,-12.2,93150,-1085.1,28800,-7125,Y,-11550,Y,-0.91,23302.5,23292.6,-2.9,-3.15,-3.2,-4200,-88.6,41700,-37500,YES,40800,YES,-0.62,8.85,8.8,8.75,42675,-51.25,56550,79425,YES,-253500,YES,1.21
16-04-2025 11:00,-7.5,-5.5,-6,172125,-756.2,31575,-14175,YES,14850,YES,-2.25,23295.5,23288,-0.1,-0.25,-0.25,-26325,-93.5,43575,51075,Y,27600,N,-0.91,3.4,3.75,3.75,-7200,-60.3,46950,-340725,Y,-21600,Y,2.03
16-04-2025 11:05,43.5,37.4,38.3,-38025,-1014.3,32625,8100,Y,-8625,Y,-0.67,23288,23331.5,26.3,26.65,26.75,-66825,-95.05,43050,-35850,YES,-307425,Y,-0.29,-12.6,-12.5,-12.6,-81450,-54.55,49575,-133275,YES,155550,Y,0.87
16-04-2025 11:10,13.5,10.3,10,9900,-1046,36975,36825,Y,-4800,N,0.08,23328.3,23340.5,8.4,10.3,10.3,-30675,-114.45,42750,14400,Y,-5625,YES,0.54,-5.1,-6.2,-6.2,-55125,-50.65,53250,-26625,YES,148800,N,0.26
16-04-2025 11:15,7.9,9.5,12,-73950,-1057.6,29025,13575,N,-10500,Y,0.59,23340.5,23349.1,10,10.75,10.7,15525,-113.85,40650,-18825,YES,-12750,Y,0.86,-3.8,-4.25,-4.35,17775,-44.2,48750,-18450,N,74475,N,0.07
