last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_2,close_2,high,low,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_3,close_3,high,low,,,,,,,,,
19-03-2025 14:30,-2.45,61875,150,76575,96075,-0.7,-2,-19500,1.3,-75,14625,Y,-7875,Y,22942.24,22977,22974.55,22979.35,22967.2,-0.85,4508400,182,585300,441750,-1.5,-1.45,143550,0.05,0,26850,Y,86025,YES,86.02,99.55,98.7,100.45,91.75,-0.75,4566675,182,632475,737100,-0.6,-0.55,-104625,0.05,0,61800,N,111900,Y,82.03,65,64.25,69.4,63.25,,,,,,,,,
19-03-2025 14:35,3.4,56925,143,51525,107925,3.85,5,-56400,1.15,0,-9600,YES,-15525,Y,22942.81,22975,22978.4,22984,22974,1.9,5081850,182,490500,530025,1.75,1.85,-39525,0.1,-150,14250,N,-116475,Y,86.19,98.65,100.55,105.15,96.2,-1.9,5244675,182,793650,663900,-1.85,-1.85,129750,7.11E-15,0,-280575,Y,11850,N,81.74,64.2,62.3,64.8,59.1,,,,,,,,,
19-03-2025 14:40,1.55,42600,152,61575,58875,-2,-0.7,2700,1.3,0,-1575,N,18525,YES,22943.26,22978.4,22979.95,22985,22977.15,-1.3,3583500,180,364425,390600,-1.35,-1.3,-26175,0.05,75,-114525,YES,95250,YES,86.31,100.8,99.5,103.3,97.4,0.65,3333075,180,727425,620700,0.25,0.3,106725,0.05,0,130875,YES,-29400,YES,81.55,62.15,62.8,64,60.8,,,,,,,,,
19-03-2025 14:45,0.35,57000,152,86925,128250,0.25,-1.7,-41325,1.95,0,-9750,YES,-3375,Y,22943.8,22979.95,22980.3,22985,22972.3,0.35,4413825,184,381975,461250,0.25,0.25,-79275,0,0,-10575,Y,-66900,Y,86.43,99.85,100.2,102.6,93.55,-1.9,4975275,184,877050,672975,-1.85,-1.9,204075,0.05,1125,-76800,Y,69525,Y,81.28,62.55,60.65,65.45,59,,,,,,,,,
19-03-2025 14:50,-0.05,35025,142,42375,58875,0,0.85,-16500,0.85,0,-4575,N,-3375,N,22944.16,22980.3,22980.25,22986.5,22977.35,-2.6,2758650,183,349500,374400,-2.8,-2.8,-24900,1.42E-14,0,-18225,YES,80325,YES,86.51,100.55,97.95,102.55,97.4,2.55,3302775,182,680925,779175,2.65,2.75,-98250,0.1,300,65700,YES,-135300,YES,81.09,60.8,63.35,63.5,59.6,,,,,,,,,
19-03-2025 14:55,1.4,30150,135,36600,73050,1.4,2.35,-36450,0.95,75,-3000,N,-9225,Y,22944.44,22980.05,22981.45,22984.85,22977.15,3.3,2630325,186,320025,517200,3.25,3.3,-197175,0.05,-75,117900,Y,-106275,Y,86.59,97.2,100.5,101.9,97.05,-1.2,3345600,186,754650,754875,-1.1,-1.1,-225,0,0,52725,N,3900,Y,80.91,63.7,62.5,64.2,60.2,,,,,,,,,
19-03-2025 15:00,-4.4,44100,155,72600,79500,-5.25,-6.1,-6900,0.85,-75,-4200,YES,24075,YES,22944.83,22981.45,22977.05,22984.2,22973.15,-5.05,4038750,182,427050,532050,-4.95,-4.85,-105000,0.1,0,-235575,YES,39225,YES,86.7,101.8,96.75,101.95,95.8,2.4,4997475,182,650400,894075,1.95,2,-243675,0.05,0,-98325,Y,-173925,YES,80.67,61.9,64.3,65.35,60.5,,,,,,,,,
19-03-2025 15:05,3,71400,169,105450,268200,2.7,2.8,-162750,0.1,0,14700,N,-2025,Y,22945.34,22976,22979,22979.85,22966.55,3.9,4606725,182,485175,478875,4.05,4.05,6300,1.42E-14,75,-23850,Y,-276450,Y,86.8,97.2,101.1,101.15,92.25,-3.4,6624150,182,684750,762375,-3.75,-3.8,-77625,0.05,0,-266025,Y,-28425,Y,80.37,63.7,60.3,66.35,60,,,,,,,,,
19-03-2025 15:10,-3.45,89175,178,163125,127125,-3.6,-4,36000,0.4,0,-16125,YES,-6825,Y,22946.05,22977.9,22974.45,22982.4,22974,-1.65,3413925,182,419250,619275,-1.45,-1.45,-200025,0,-75,-169350,YES,46275,YES,86.91,101.65,100,102,98,3.6,3757725,182,655950,920400,3.35,3.4,-264450,0.05,225,143250,YES,-147000,YES,80.19,60.55,64.15,65,59.85,,,,,,,,,
19-03-2025 15:15,-3,124800,178,167925,184425,-6.4,-3,-16500,3.4,75,17025,Y,-7650,Y,22946.82,22975,22972,22978.35,22965.1,-2.7,3564225,181,390750,529125,-2.4,-2.3,-138375,0.1,0,-114525,Y,-32625,Y,86.99,100.1,97.4,100.25,94.8,3,6104550,182,441375,634350,2.75,2.8,-192975,0.05,-75,-96675,Y,-333525,YES,79.98,64.5,67.5,68.75,64.45,,,,,,,,,
19-03-2025 15:20,-0.5,111525,182,71100,128250,3.8,0.35,-57150,3.45,-75,-4350,YES,-8100,Y,22947.42,22972,22971.5,22973,22966.2,3.65,3313125,183,374175,758100,2.9,2.95,-383925,0.05,-225,-105000,N,-318600,Y,87.07,97.35,101,101,96.6,-2.55,5742675,184,462525,580200,-2.95,-2.85,-117675,0.1,150,-298125,Y,-153600,Y,79.8,67.95,65.4,70,63.9,,,,,,,,,
19-03-2025 15:25,-5,147450,178,193050,427575,-2.05,0.55,-234525,2.6,0,-112875,YES,-94500,Y,22948.26,22974,22969,22975.75,22969,-6.85,3554400,184,626700,454950,-7.45,-7,171750,0.45,0,-884100,YES,-198675,YES,87.16,100.8,93.95,100.8,93,-5,4848525,184,460725,518775,-5.3,-5,-58050,0.3,-75,-589200,Y,-447675,YES,79.6,65.65,60.65,67.1,60,,,,,,,,,
21-03-2025 09:15,3.1,124200,129,76425,142500,2.55,5.45,-66075,2.9,0,8700,N,63150,N,23196.79,23205,23208.1,23218.5,23193,4,5139300,124,144225,140325,5.5,5.55,3900,0.05,0,527325,N,246975,N,136.38,136.75,140.75,144.6,132.15,-0.3,3685725,130,169500,125100,-1.55,-1.6,44400,0.05,-75,512025,N,234150,N,136.53,131.9,131.6,137.85,128.2,,,,,,,,,
21-03-2025 09:20,-25.65,124200,173,193125,89700,-20.35,-23.6,103425,3.25,0,7650,N,142200,YES,23195.54,23208.5,23182.85,23217,23180,-14.6,5993625,180,284925,241200,-14.25,-14.25,43725,1.42E-14,0,97050,N,238125,N,134.3,137.35,122.75,144.35,122.65,11,6262050,180,240525,203850,10.7,10.65,36675,0.05,0,-1373025,Y,121125,N,138.63,133.55,144.55,147.3,130.4,,,,,,,,,
21-03-2025 09:25,27.15,112125,157,105375,125625,26.05,27.5,-20250,1.45,0,-3375,YES,10125,N,23195.73,23182.85,23210,23218.1,23175.1,12.25,5737800,179,304050,209025,12.5,12.55,95025,0.05,0,211425,Y,81375,N,133.37,123.15,135.4,140,120.6,-17.7,5753700,179,223425,262125,-17.4,-17.4,-38700,0,0,-143850,YES,169125,Y,137.76,143.8,126.1,147.85,124.1,,,,,,,,,
21-03-2025 09:30,31.5,152775,160,130875,204975,36.55,32.4,-74100,4.15,-225,65700,Y,-37950,Y,23202.21,23210.05,23241.55,23241.9,23197.95,18.15,9823350,180,327900,357825,17.25,17.35,-29925,0.1,0,152325,N,-159375,Y,136.7,135.05,153.2,153.95,128.2,-13.65,5910825,180,297075,261975,-13.7,-13.75,35100,0.05,0,-15525,YES,188700,N,134.06,126.05,112.4,132.15,112.35,,,,,,,,,
21-03-2025 09:35,22.3,163425,177,140250,105000,22.4,23.05,35250,0.65,0,-4575,YES,23325,YES,23212.12,23241.7,23264,23265,23235.75,14.1,8633700,181,201450,517425,13.15,13.3,-315975,0.15,75,216900,Y,-62475,YES,141.65,152.45,166.55,168.05,147.95,-10.25,4704825,181,321000,278700,-9.6,-9.65,42300,0.05,-75,33825,YES,192075,N,129.93,112.8,102.55,116.15,102.45,,,,,,,,,
21-03-2025 09:40,29,186825,174,144000,201750,25.95,28.25,-57750,2.3,0,1950,N,22800,N,23224.63,23265,23294,23294.5,23256,17.3,6529950,180,219525,337125,17.3,17.5,-117600,0.2,0,375600,Y,-188475,Y,146.67,166.35,183.65,185.5,162.65,-9.85,5103225,180,351375,328425,-10.05,-10.05,22950,0,75,-26700,Y,96975,N,125.35,103.05,93.2,106.4,92.5,,,,,,,,,
21-03-2025 09:45,-20.1,195675,172,118125,150675,-15.4,-18.95,-32550,3.55,0,21300,N,8025,N,23234.16,23294,23273.9,23298,23273.3,-9.35,3542400,182,224625,205275,-9.1,-9.15,19350,0.05,-75,-129750,YES,105150,YES,149.14,183.35,174,190,172.85,4.35,3901275,182,410550,489450,4.3,4.3,-78900,1.42E-14,0,168750,YES,138525,Y,122.26,93.35,97.7,98.75,90,,,,,,,,,
21-03-2025 09:50,1.95,71400,136,115725,135975,1.85,1,-20250,0.85,0,48750,Y,-7725,Y,23236.58,23277,23278.95,23288.3,23272,0.5,2159025,182,269475,253650,0.85,0.85,15825,2.84E-14,0,81825,Y,72225,N,150.27,174.1,174.6,181,170.8,2.1,3091350,182,528225,336000,1.6,1.6,192225,1.42E-14,-825,41175,N,80925,N,120.47,97.5,99.6,101,94.5,,,,,,,,,
21-03-2025 09:55,7.55,54825,125,98850,172650,9.4,8.55,-73800,0.85,0,6900,N,41250,YES,23238.33,23278.95,23286.5,23288.45,23270.3,4.3,2236800,180,215250,254100,3.95,3.85,-38850,0.1,0,-15450,YES,-12900,Y,151.39,174.85,179.15,182.35,170.3,-3.65,2716875,180,366825,408225,-3.4,-3.4,-41400,1.42E-14,0,-21450,Y,111900,Y,119.09,99.35,95.7,102.3,93.35,,,,,,,,,
