last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close
07-07-2025 10:05,-32.5,93750,180,114225,382125,-31.5,-27.4,-267900,-1200.5,62400,-1800,YES,-12375,Y,25528.81,25546,25513.5,25546,25511,07-07-2025 10:05,-11.7,4781550,254,592350,521400,-10.95,-10.95,70950,-110.15,59925,-89175,YES,78900,N,107.55,95.85,110.2,93.4,108.41,07-07-2025 10:05,17.9,4548675,248,362550,617925,16.35,16.45,-255375,-158.45,63600,34350,N,-132150,YES,132.2,150.1,153,131.7,141.11,07-07-2025 10:05,25457.65,25457.75,25417.05,25422
07-07-2025 10:10,7.5,65175,229,277275,118575,9.2,5.8,158700,-1338.4,52500,14250,N,14775,YES,25528.19,25513.5,25521,25530.3,25510.5,07-07-2025 10:10,0.85,3111075,338,705900,616650,0.85,0.85,89250,-109,63975,177300,Y,65550,N,96.65,97.5,100,93.05,107.87,07-07-2025 10:10,-2.15,2946750,339,336075,418875,-2.2,-2.2,-82800,-168.9,63375,-92400,Y,21225,Y,149.25,147.1,154.55,141.65,141.67,07-07-2025 10:10,25421.95,25439.55,25417.25,25436.1
07-07-2025 10:15,-9.1,102975,145,302325,91650,-9.2,-7.8,210675,-1153.8,60525,-31200,YES,-24375,Y,25527.74,25521,25511.9,25531.8,25509.3,07-07-2025 10:15,-1.95,2603175,360,625575,663675,-2.1,-2,-38100,-115.1,65700,-39450,YES,152325,YES,98,96.05,100.65,94.35,107.49,07-07-2025 10:15,3.75,2166975,359,407775,387225,3.8,3.75,20550,-171.6,62175,43725,YES,37200,N,146.45,150.2,152.8,142.3,142.01,07-07-2025 10:15,25434.9,25446.25,25427.45,25430.6
07-07-2025 10:20,10,19875,85,63375,126300,5.9,5.4,-62925,-1208.1,29925,-2625,Y,18300,YES,25527.59,25511.9,25521.9,25527,25511.9,07-07-2025 10:20,1.9,1462050,349,612975,633000,1.85,1.85,-20025,-107.65,64125,61425,Y,9525,N,95.9,97.8,99.6,95.3,107.29,07-07-2025 10:20,-4.4,1297275,349,375375,416325,-4.45,-4.4,-40950,-162.9,58800,-34275,Y,64350,Y,150.1,145.7,151.2,142.65,142.16,07-07-2025 10:20,25430.45,25443.1,25429.55,25438.15
07-07-2025 10:25,2,16425,80,55650,104400,2.4,2.2,-48750,-744,27900,-6300,YES,-1725,Y,25527.5,25519,25521,25527.4,25512,07-07-2025 10:25,-1.85,1533300,273,730875,648450,-2.05,-2.15,82425,-110.6,72225,-28500,YES,55650,YES,97.85,96,99.9,93.35,107.06,07-07-2025 10:25,0.35,1347000,260,337575,381150,0.5,0.5,-43575,-150.75,62700,-19950,N,-32100,YES,145.3,145.65,151.3,141.5,142.28,07-07-2025 10:25,25437.8,25444.65,25432.7,25435.4
07-07-2025 10:30,13.4,27750,117,104325,173175,9.9,9,-68850,-884.1,33750,16500,Y,12450,N,25527.59,25517.3,25530.7,25542,25515.7,07-07-2025 10:30,3.35,3202575,313,647325,625125,3.5,3.5,22200,-111.95,66300,375,Y,-78900,Y,96.25,99.6,105.45,95,106.82,07-07-2025 10:30,-5.2,1924500,311,371400,398775,-4.9,-4.95,-27375,-154.9,62250,-39075,Y,10125,Y,145.35,140.15,147.1,133,142.15,07-07-2025 10:30,25435.55,25452.7,25434.25,25443.5
07-07-2025 10:35,-3,14925,67,44550,101250,-7,-4.3,-56700,-1459.7,31500,8025,N,-23175,Y,25527.58,25532,25529,25538.8,25520,07-07-2025 10:35,-3.5,2670075,323,632400,678975,-3.5,-3.5,-46575,-110,63225,17550,N,95700,YES,99.65,96.15,102.25,94.1,106.52,07-07-2025 10:35,0.8,1610025,327,467025,435225,0.5,0.6,31800,-155.65,62850,26100,YES,67050,Y,140.45,141.25,144.45,135.5,142.1,07-07-2025 10:35,25442.65,25445.25,25434.8,25436.45
07-07-2025 10:40,10.2,11475,72,76575,91725,9,8.6,-15150,-746.3,28725,4200,N,12900,YES,25527.64,25528.3,25538.5,25540.7,25527.8,07-07-2025 10:40,5.5,2293050,338,732225,554475,5.35,5.4,177750,-117.85,68100,6750,N,12075,N,96,101.5,103.15,95.7,106.33,07-07-2025 10:40,-5.65,1094325,336,472125,467850,-5.65,-5.6,4275,-148.25,66525,-18900,Y,32250,N,141.5,135.85,141.85,134.2,141.99,07-07-2025 10:40,25436.7,25455.4,25434.85,25449.4
07-07-2025 10:45,-3.1,31725,106,112800,208350,0.2,0,-95550,-849.2,34425,-18750,YES,-9450,Y,25528.02,25538.5,25535.4,25550,25535.1,07-07-2025 10:45,0.35,3946725,345,696825,645900,0,0,50925,-124.05,64950,-56700,YES,-99525,Y,101.25,101.6,108.4,99.9,106.21,07-07-2025 10:45,0.95,1476975,356,362625,475500,1.1,1.1,-112875,-139.55,62925,-14775,N,-11250,YES,135.55,136.5,138.45,130.55,141.76,07-07-2025 10:45,25450.3,25459.4,25447.55,25449.4
07-07-2025 10:50,16.4,71400,133,111225,160050,14.9,13.2,-48825,-1273.8,35700,-11700,N,9000,N,25529.2,25535.4,25551.8,25556.3,25535.4,07-07-2025 10:50,7.95,4590225,349,684900,750675,8.3,8.35,-65775,-131.05,64575,123375,Y,11925,YES,102,109.95,112.8,101.2,106.32,07-07-2025 10:50,-5.6,1434375,345,493800,479400,-5.7,-5.7,14400,-149.7,62850,78300,YES,32025,Y,136.6,131,137.85,128.9,141.49,07-07-2025 10:50,25449.3,25468.45,25448.4,25461.85
