last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,cur_open,prev_open,prev_close,pre_prev_close,nifty_cur_open,nifty_prev_open,nifty_prev_close,nifty_pre_prev_close,ce_symbol,ce_cur_open,ce_prev_open,ce_prev_close,ce_pre_prev_close,pe_symbol,pe_cur_open,pe_prev_open,pe_prev_close,pe_pre_prev_close
30-07-2025 10:05,5.1,5.5,6.7,85425,-1351.6,36300,-24675,YES,-375,N,-0.27,24835,24839.4,30-07-2025 10:05,1.5,1.5,1.5,128250,-65.6,83475,32775,N,33975,N,90.4,93.45,49.4,44,-0.17,30-07-2025 10:05,-2.95,-2.65,-2.65,102525,-126.45,63750,40950,N,64050,N,53.05,51.15,111.9,101.85,0.02,24839.1,24839.65,24839.1,24839.75,24839.9,24835,24839.4,24835,NIFTY25JUL24800CE,93.25,90.4,93.45,90.3,NIFTY25JUL24800PE,51.5,53.05,51.15,53.1
30-07-2025 10:10,-0.6,0.2,1.1,-44025,-1271.7,36450,825,Y,11100,N,-0.37,24839.9,24846.6,30-07-2025 10:10,0.45,0.35,0.3,-173475,-64.2,88125,17625,N,43200,N,93.25,93.65,50.9,44.25,-0.14,30-07-2025 10:10,-0.85,-0.8,-0.85,21150,-122.4,59550,-16800,Y,22650,N,51.5,51.05,110.6,99.45,-0.04,24843.05,24838.7,24843.05,24839.1,24839.3,24839.9,24846.6,24839.4,NIFTY25JUL24800CE,93.7,93.25,93.65,93.45,NIFTY25JUL24800PE,51.2,51.5,51.05,51.15
30-07-2025 10:15,24.2,17.9,16.5,-15750,-1413,42525,7200,N,-36075,Y,0.02,24839.3,24860.6,30-07-2025 10:15,6.25,6.35,6.3,133950,-68.8,84675,115425,Y,-320250,Y,47.45,53.8,55,44.8,-0.03,30-07-2025 10:15,-12.05,-12.15,-12.2,-52875,-112.85,61275,7275,YES,75975,Y,105.25,92.9,108.7,91.85,-0.37,24854.7,24843.45,24854.7,24843.05,24863.5,24839.3,24860.6,24846.6,NIFTY25JUL24900CE,53.1,47.45,53.8,47.5,NIFTY25JUL24900PE,94,105.25,92.9,104.95
30-07-2025 10:20,-27.3,-19.8,-21.6,59250,-1249.2,39825,16275,N,10725,YES,-0.1,24863.5,24836,30-07-2025 10:20,-8.6,-8.6,-8.6,58950,-64.2,81075,-212775,YES,171675,YES,104,89,54.65,42.55,-0.17,30-07-2025 10:20,13.3,12.8,12.85,-10500,-114.4,62325,82050,YES,-17400,YES,44.15,51.6,109,91.8,-0.25,24836.6,24854.85,24836.6,24854.7,24836,24863.5,24836,24860.6,NIFTY25JUL24800CE,88.9,104,89,104.4,NIFTY25JUL24800PE,51.4,44.15,51.6,43.8
30-07-2025 10:25,-29.2,-29.4,-30.1,54525,-1288.4,34950,11925,N,1200,Y,-2.67,24836,24809,30-07-2025 10:25,-8.4,-8.3,-8.35,101400,-53.45,81000,-265350,YES,219975,YES,88.9,75,44.85,35.55,-0.59,30-07-2025 10:25,20.5,21.6,21.65,-2700,-129.5,57600,61575,N,-258525,YES,51.4,65.4,129.3,106.35,1.02,24810.95,24836.15,24810.95,24836.6,24808,24836,24809,24836,NIFTY25JUL24800CE,74.45,88.9,75,89,NIFTY25JUL24800PE,66.15,51.4,65.4,51.6
30-07-2025 10:30,11.7,11.6,12,41100,-760.6,35850,-4950,YES,12075,N,-1.03,24808,24818,30-07-2025 10:30,2.05,2.1,2.1,-214275,-53.4,86325,109275,Y,40200,N,74.45,77.7,41.2,35.35,-0.53,30-07-2025 10:30,-5.8,-6.2,-6.2,-98475,-138.15,57900,56400,N,51300,Y,66.15,61.25,130.3,111.7,0.71,24817.35,24810.6,24817.35,24810.95,24818,24808,24818,24809,NIFTY25JUL24800CE,77.7,74.45,77.7,75,NIFTY25JUL24800PE,61,66.15,61.25,65.4
30-07-2025 10:35,-11,-14,-13,319950,-948.6,40050,-12450,YES,-11475,Y,-1.53,24818,24804.1,30-07-2025 10:35,-2.2,-2.7,-2.65,117600,-48.35,81975,-183150,YES,33675,N,77.7,72.75,39.9,33.95,-0.38,30-07-2025 10:35,7.7,8.8,8.85,-35475,-132.05,57825,7350,N,-81450,YES,61,66.7,133.95,117.25,0.84,24804.1,24816.5,24804.1,24817.35,24807,24818,24804.1,24818,NIFTY25JUL24800CE,73.05,77.7,72.75,77.7,NIFTY25JUL24800PE,66.3,61,66.7,61.25
30-07-2025 10:40,-7.8,-5.5,-5.5,-2175,-1156,38100,3825,N,-9300,N,-1.52,24807,24800,30-07-2025 10:40,-2.2,-2.15,-2.15,-243750,-45.1,78000,53700,Y,98925,YES,73.05,69.85,36.35,31.95,-0.52,30-07-2025 10:40,3.55,3.5,3.45,-50775,-128.1,48750,-74550,Y,-81150,N,66.3,68.2,139.7,121.6,1.2,24799.05,24804.1,24799.05,24804.1,24799.3,24807,24800,24804.1,NIFTY25JUL24800CE,70.1,73.05,69.85,72.75,NIFTY25JUL24800PE,67.6,66.3,68.2,66.7
30-07-2025 10:45,5,6,7,-21150,-907.8,34725,-2250,YES,2775,N,-1.47,24799.3,24809.4,30-07-2025 10:45,-0.05,-0.1,-0.15,93075,-43.65,78525,256500,Y,44550,N,70.1,70.9,36.15,30.75,-0.51,30-07-2025 10:45,-2.55,-2.3,-2.45,-53100,-133.25,50400,-6675,YES,60900,Y,67.6,65.3,141.55,121.5,0.87,24804.35,24799.55,24804.35,24799.05,24805,24799.3,24809.4,24800,NIFTY25JUL24800CE,70.85,70.1,70.9,69.85,NIFTY25JUL24800PE,65.3,67.6,65.3,68.2
30-07-2025 10:50,13.9,13.4,11.9,-172800,-1071.1,35475,900,N,-12900,Y,-0.43,24805,24818.2,30-07-2025 10:50,3.45,3.45,3.45,17175,-48.35,89325,-47100,YES,100650,YES,70.85,77.85,38.25,34.1,-0.32,30-07-2025 10:50,-8.85,-9.3,-9.25,-7725,-122.9,57900,-180075,Y,70950,N,65.3,58.85,128.4,116.65,0.19,24818.85,24805.4,24818.85,24804.35,24818.9,24805,24818.2,24809.4,NIFTY25JUL24800CE,77.7,70.85,77.85,70.9,NIFTY25JUL24800PE,59.05,65.3,58.85,65.3
30-07-2025 10:55,1.1,1.6,2,5550,-1080.4,35850,-14100,YES,3150,N,-0.36,24818.9,24820,30-07-2025 10:55,-0.45,-0.3,-0.4,-236925,-50,81150,-109125,YES,49950,N,77.7,76.8,40,36.5,-0.22,30-07-2025 10:55,0.8,0.45,0.4,75450,-118.25,53775,-9150,YES,16275,N,59.05,59.1,122.3,114.65,0.13,24817.2,24818.9,24817.2,24818.85,24820,24818.9,24820,24818.2,NIFTY25JUL24800CE,77.1,77.7,76.8,77.85,NIFTY25JUL24800PE,58.75,59.05,59.1,58.85
30-07-2025 11:00,0.9,-0.7,0,-11475,-969.3,29325,6375,Y,-15150,Y,-0.32,24820,24819,30-07-2025 11:00,0.35,0.1,0.1,128550,-52.7,83775,-20625,Y,-125400,Y,77.1,78.05,42.75,35.6,-0.32,30-07-2025 11:00,-4,-3.05,-3.05,-70575,-119.9,55200,-69900,Y,-56325,YES,58.75,56.2,123.9,105.35,0.14,24816.3,24817.25,24816.3,24817.2,24821,24820,24819,24820,NIFTY25JUL24800CE,77.8,77.1,78.05,76.8,NIFTY25JUL24800PE,56.15,58.75,56.2,59.1
30-07-2025 11:05,-5.2,0.6,-1.9,-33975,-1216.4,32175,-7275,YES,-9150,N,-0.55,24821,24819.7,30-07-2025 11:05,0.15,0.15,0.1,28950,-48,86025,165600,Y,129750,YES,77.8,78.7,39.6,34.4,-0.21,30-07-2025 11:05,-1.15,-1.4,-1.4,-75150,-121.2,49800,42150,YES,77250,Y,56.15,55.25,124.2,110.05,0.18,24818.9,24816.35,24818.9,24816.3,24819.7,24821,24819.7,24819,NIFTY25JUL24800CE,78.55,77.8,78.7,78.05,NIFTY25JUL24800PE,55.3,56.15,55.25,56.2
30-07-2025 11:10,30.9,28.3,29.8,-38925,-795.2,27675,3825,N,-21525,Y,0,24819.7,24853.9,30-07-2025 11:10,10.3,10.4,10.35,192300,-53.95,82425,50925,N,-475875,Y,78.55,96.75,48.75,37.85,-0.15,30-07-2025 11:10,-18.05,-18.25,-18.3,-105675,-107.7,51450,-9525,Y,60075,N,55.3,44.75,115,95.55,-0.18,24846.5,24818.9,24846.5,24818.9,24853.9,24819.7,24853.9,24819.7,NIFTY25JUL24800CE,96.55,78.55,96.75,78.7,NIFTY25JUL24800PE,44.5,55.3,44.75,55.25
30-07-2025 11:15,32.9,35.6,34,15975,-888.3,31650,-7275,YES,-14100,N,2.7,24853.9,24885,30-07-2025 11:15,14.1,14.2,14.15,-18075,-67.4,72075,132450,Y,-730275,Y,48.2,62.3,63.1,47.75,0.67,30-07-2025 11:15,-18.4,-18.4,-18.4,-23025,-88.25,58725,-116175,Y,72975,N,95.75,77.35,96.15,77.35,-1.29,24878.55,24847.3,24878.55,24846.5,24886.8,24853.9,24885,24853.9,NIFTY25JUL24900CE,61.9,48.2,62.3,48.4,NIFTY25JUL24900PE,77.55,95.75,77.35,95.85
30-07-2025 11:20,-2,-4.5,-2.1,6600,-850.8,33975,35625,Y,3750,N,1.83,24886.8,24884.9,30-07-2025 11:20,-1.6,-1.75,-1.8,-761400,-69.7,65925,31950,N,365550,YES,61.9,60.3,65,56.6,0.84,30-07-2025 11:20,-0.25,-0.4,-0.35,37725,-76.7,62925,266850,YES,209625,Y,77.55,77.3,81.2,73.6,-1.29,24879.15,24877.95,24879.15,24878.55,24884.9,24886.8,24884.9,24885,NIFTY25JUL24900CE,61.3,61.9,60.3,62.3,NIFTY25JUL24900PE,76.55,77.55,77.3,77.35
30-07-2025 11:25,24,24.3,23.4,16275,-980.9,35325,-32700,YES,-25575,Y,4.25,24884.9,24909.1,30-07-2025 11:25,13.1,12.95,13,-180900,-72.15,67800,47400,N,-829950,Y,61.3,74.4,76.25,56.7,1.24,30-07-2025 11:25,-11.1,-10.75,-10.75,-101775,-74.8,60075,-66750,Y,105750,N,76.55,65.45,80.6,64.9,-1.9,24898.7,24879.7,24898.7,24879.15,24908.9,24884.9,24909.1,24884.9,NIFTY25JUL24900CE,73.8,61.3,74.4,60.3,NIFTY25JUL24900PE,65.85,76.55,65.45,77.3
30-07-2025 11:30,-8.4,-5.9,-7.3,192375,-1078.3,44850,20775,Y,18225,YES,2.16,24908.9,24900,30-07-2025 11:30,-3.9,-4.05,-4,-69075,-77.6,70125,143025,Y,585600,YES,73.8,69.95,74,66,0.84,30-07-2025 11:30,3.95,3.9,3.9,-1211550,-68.55,69150,285450,YES,157050,Y,65.85,69.75,73.05,65.75,-2.35,24884.4,24898.5,24884.4,24898.7,24900,24908.9,24900,24909.1,NIFTY25JUL24900CE,69.65,73.8,69.95,74.4,NIFTY25JUL24900PE,69.8,65.85,69.75,65.45
30-07-2025 11:35,-17.7,-18.9,-19.7,53325,-921.2,32775,14400,N,12825,N,1.88,24900,24882.3,30-07-2025 11:35,-9,-9.1,-9.2,166125,-77.3,68400,-421950,YES,42225,N,69.65,60.55,72.3,59.45,0.57,30-07-2025 11:35,7.3,7.35,7.3,-218250,-74.9,62700,12675,N,-149250,YES,69.8,77.3,78.25,66.25,-1.59,24866.85,24885.4,24866.9,24884.4,24882.3,24900,24882.3,24900,NIFTY25JUL24900CE,60.8,69.65,60.55,69.95,NIFTY25JUL24900PE,76.9,69.8,77.3,69.75
30-07-2025 11:40,1.2,1.8,4.7,15750,-981,28575,18900,N,13650,N,0.61,24882.3,24882.3,30-07-2025 11:40,0.05,0.2,0.05,5625,-75.15,92250,-4125,Y,220725,YES,60.8,60.9,65.35,53,0.37,30-07-2025 11:40,-1.9,-1.8,-1.75,-165075,-82.6,66825,-36000,Y,-2025,Y,76.9,75.25,84,69.4,-1.35,24868.7,24866.85,24869.65,24866.9,24882.3,24882.3,24882.3,24882.3,NIFTY25JUL24900CE,61.15,60.8,60.9,60.55,NIFTY25JUL24900PE,75.2,76.9,75.25,77.3
30-07-2025 11:45,-9.1,-9.8,-11.9,5400,-786.3,26100,-5850,YES,-14475,Y,0.4,24882.3,24873.9,30-07-2025 11:45,-6.4,-6.4,-6.4,95475,-72.05,83400,18225,Y,251250,YES,61.15,54.75,62.85,53.35,0.12,30-07-2025 11:45,4.75,4.65,4.65,28050,-89.3,64275,-73350,Y,-53850,YES,75.2,79.95,81.35,74.1,-0.56,24859.55,24868.7,24860.85,24869.65,24873.9,24882.3,24873.9,24882.3,NIFTY25JUL24900CE,54.7,61.15,54.75,60.9,NIFTY25JUL24900PE,79.85,75.2,79.95,75.25
30-07-2025 11:50,12.5,14.3,12.7,-4950,-844.3,31725,-32325,YES,-750,N,0.33,24873.9,24888.9,30-07-2025 11:50,6.6,6.6,6.6,171300,-76.05,79725,116325,Y,18600,N,54.7,61.75,62.8,54.4,0.15,30-07-2025 11:50,-6.9,-6.9,-6.9,28500,-85.4,62100,16125,YES,126525,Y,79.85,72.3,79.9,70.8,-0.53,24874.25,24859.55,24874.3,24860.85,24888.9,24873.9,24888.9,24873.9,NIFTY25JUL24900CE,61.6,54.7,61.75,54.75,NIFTY25JUL24900PE,72.55,79.85,72.3,79.95
30-07-2025 11:55,-1.5,-1.5,0.3,-36900,-934,30825,39525,Y,14850,N,0.46,24888.9,24886.5,30-07-2025 11:55,0.7,0.35,0.3,-84750,-76.1,82050,-23700,YES,146700,YES,61.6,62.2,67.7,59.4,0.32,30-07-2025 11:55,-0.8,-0.4,-0.45,-157350,-81.2,70500,82800,YES,29325,N,72.55,71.95,74.65,67.4,-0.59,24876.95,24874.25,24876.3,24874.3,24886.5,24888.9,24886.5,24888.9,NIFTY25JUL24900CE,61.8,61.6,62.2,61.75,NIFTY25JUL24900PE,72.7,72.55,71.95,72.3
30-07-2025 12:00,-5.6,-5,-5.3,-24000,-1043.9,25275,-7875,YES,41175,YES,0.3,24886.5,24881,30-07-2025 12:00,-3.45,-3.85,-3.8,13650,-72.1,74100,51225,Y,65025,N,61.8,58.15,62.25,54.45,0.1,30-07-2025 12:00,1.7,1.85,1.85,78975,-83.9,67125,-25275,Y,11475,N,72.7,74.45,78,71.8,-0.5,24869.25,24876.95,24869.25,24876.3,24880.4,24886.5,24881,24886.5,NIFTY25JUL24900CE,57.6,61.8,58.15,62.2,NIFTY25JUL24900PE,74.9,72.7,74.45,71.95
30-07-2025 12:05,-7,-10.1,-8.9,-38175,-756.9,25725,600,N,-6525,Y,0.34,24880.4,24874,30-07-2025 12:05,-4,-4.75,-4.75,-27675,-70.75,89175,-107850,YES,111225,YES,57.6,52.85,58.1,51.55,0.04,30-07-2025 12:05,4.8,4.9,5,77325,-90.45,64500,-18525,N,-99075,YES,74.9,80,81.65,74.2,-0.44,24861.75,24868.95,24861.75,24869.25,24874,24880.4,24874,24881,NIFTY25JUL24900CE,53.65,57.6,52.85,58.15,NIFTY25JUL24900PE,79.25,74.9,80,74.45
30-07-2025 12:10,-16,-11.8,-14,223800,-975.9,31200,-13575,YES,2400,N,0.25,24874,24860,30-07-2025 12:10,-7.2,-7.3,-7.35,-52050,-64.9,88200,-91575,N,158850,YES,53.65,46.15,56.15,45.85,-0.06,30-07-2025 12:10,8.35,7.75,7.75,1102500,-90.85,77925,139725,YES,-99300,YES,79.25,87.4,87.4,76.15,-0.65,24851.85,24862.9,24851.85,24861.75,24858,24874,24860,24874,NIFTY25JUL24900CE,46.25,53.65,46.15,52.85,NIFTY25JUL24900PE,87.25,79.25,87.4,80
30-07-2025 12:15,19.7,18.9,20.1,-66375,-1002.6,30450,-2400,N,450,Y,0.3,24858,24878,30-07-2025 12:15,9.45,9.65,9.65,30300,-64.9,81750,229200,Y,-97800,Y,46.25,55.1,56.1,45.45,-0.02,30-07-2025 12:15,-10.25,-10.35,-10.35,1061625,-85.9,67275,-320925,Y,71475,Y,87.25,77,88.9,74.6,-0.56,24870.4,24851.15,24870.4,24851.85,24878,24858,24878,24860,NIFTY25JUL24900CE,54.7,46.25,55.1,46.15,NIFTY25JUL24900PE,77.1,87.25,77,87.4
30-07-2025 12:20,2.9,-0.9,1.3,-10800,-884,23400,-30225,YES,7425,N,0.4,24878,24875.9,30-07-2025 12:20,0.45,0.15,0.2,-175350,-73.9,93825,46425,N,107700,YES,54.7,55.05,56.85,51.8,0.03,30-07-2025 12:20,0.1,0,-0.05,34725,-91.8,76800,84900,YES,16800,N,77.1,77.15,79.95,73.75,-0.22,24871.4,24870.45,24871.4,24870.4,24881,24878,24875.9,24878,NIFTY25JUL24900CE,55.15,54.7,55.05,55.1,NIFTY25JUL24900PE,77.2,77.1,77.15,77
30-07-2025 12:25,-0.9,-0.4,-4.8,-46425,-1351.5,33000,1875,Y,24750,N,0.3,24881,24875,30-07-2025 12:25,-2.9,-2.55,-2.5,-48900,-69.15,87150,61575,N,144150,YES,55.15,52.3,56.6,49.2,0,30-07-2025 12:25,1.4,1.2,1.2,-54900,-89.45,68250,40050,N,6825,N,77.2,78.55,83.1,75,-0.26,24867.4,24871.55,24867.25,24871.4,24875,24881,24875,24875.9,NIFTY25JUL24900CE,52.1,55.15,52.3,55.05,NIFTY25JUL24900PE,78.85,77.2,78.55,77.15
30-07-2025 12:30,-6.7,-6.7,-4.1,-11700,-1294.6,25125,7800,N,-7875,Y,0.29,24875,24866.7,30-07-2025 12:30,-2.1,-2,-1.95,271575,-68.4,84075,-17925,YES,70650,N,52.1,49.85,56.45,49.05,0,30-07-2025 12:30,3,2.95,3,155550,-92.65,71250,3600,N,-23925,YES,78.85,81.95,83.15,74.55,-0.28,24864.5,24867.4,24864.2,24867.25,24866.7,24875,24866.7,24875,NIFTY25JUL24900CE,49.9,52.1,49.85,52.3,NIFTY25JUL24900PE,82.1,78.85,81.95,78.55
30-07-2025 12:35,6.3,0.2,1,25125,-1132.4,25950,10050,N,8175,N,0.26,24866.7,24867.6,30-07-2025 12:35,0,-0.05,-0.05,-36150,-67.75,86175,-57300,YES,525,Y,49.9,49.9,52.4,48.35,-0.03,30-07-2025 12:35,-1.15,-1,-1.05,-8400,-94.95,66825,4275,N,32625,Y,82.1,80.9,83.5,77.7,-0.18,24863.2,24864.5,24863.2,24864.2,24867.6,24866.7,24867.6,24866.7,NIFTY25JUL24900CE,50.45,49.9,49.9,49.85,NIFTY25JUL24900PE,80.2,82.1,80.9,81.95
30-07-2025 12:40,-13,-6.5,-11.2,13275,-869.6,25725,30300,Y,-8250,Y,0.21,24867.6,24860,30-07-2025 12:40,-3.55,-3.85,-3.85,-22425,-68.75,91500,-196950,YES,80325,YES,50.45,47,56.5,46.95,-0.02,30-07-2025 12:40,5.55,5.75,5.8,-37800,-92.8,72225,49950,YES,-148725,YES,80.2,85.9,86.1,74.6,-0.31,24857.25,24863.95,24857.25,24863.2,24860,24867.6,24860,24867.6,NIFTY25JUL24900CE,46.95,50.45,47,49.9,NIFTY25JUL24900PE,86.1,80.2,85.9,80.9
30-07-2025 12:45,8,4.5,2,18525,-1098.5,29925,6375,N,4800,N,0.12,24860.9,24867.3,30-07-2025 12:45,1.7,1.85,1.8,21750,-67.65,87450,240075,Y,-28050,Y,46.95,49,53.45,46.4,-0.04,30-07-2025 12:45,-2.5,-2.7,-2.7,60075,-99.75,74550,111300,YES,149175,Y,86.1,83,87.5,77,-0.29,24858.35,24857.7,24858.35,24857.25,24867.3,24860.9,24867.3,24860,NIFTY25JUL24900CE,48.95,46.95,49,47,NIFTY25JUL24900PE,83.2,86.1,83,85.9
30-07-2025 12:50,18.8,20.5,20,15300,-843.3,35550,-8625,YES,975,Y,0.33,24867.3,24886.8,30-07-2025 12:50,8.55,8.5,8.5,-119625,-73.9,89550,143175,N,-390975,Y,48.95,57.85,58.25,48.5,0.02,30-07-2025 12:50,-9.9,-10.15,-10.15,-109950,-96.2,70725,-313350,Y,111150,N,83.2,72.65,83.7,72.35,-0.3,24871.8,24858.25,24871.8,24858.35,24886.8,24867.3,24886.8,24867.3,NIFTY25JUL24900CE,57.7,48.95,57.85,49,NIFTY25JUL24900PE,73,83.2,72.65,83
30-07-2025 12:55,-12.4,-12.4,-10.2,-14775,-1066.6,29400,26775,Y,-7125,Y,0.22,24886.8,24876,30-07-2025 12:55,-4.85,-4.85,-4.9,112950,-70.5,97200,82950,N,181875,YES,57.7,52.7,60,50.65,0.04,30-07-2025 12:55,4.75,4.75,4.85,114450,-87,68850,35925,YES,-47325,YES,73,77.75,80.75,71.2,-0.29,24865.55,24871.2,24865.55,24871.8,24872.6,24886.8,24876,24886.8,NIFTY25JUL24900CE,52.8,57.7,52.7,57.85,NIFTY25JUL24900PE,77.9,73,77.75,72.65
