last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,timestamp,cur_open,prev_open,prev_close,pre_prev_close,nifty_cur_open,nifty_prev_open,nifty_prev_close,nifty_pre_prev_close,ce_symbol,ce_cur_open,ce_prev_open,ce_prev_close,ce_pre_prev_close,pe_symbol,pe_cur_open,pe_prev_open,pe_prev_close,pe_pre_prev_close
01-08-2025 10:10,20.9,84375,192,188700,250800,17.9,18,-62100,-1254,41850,-15075,YES,-27525,Y,24781.44,24797.1,24818,24819,24789.5,01-08-2025 10:10,11.15,6036825,328,458100,397875,10.65,10.7,60225,-171.3,50850,18525,N,-18150,N,169.4,180.55,181.45,167.65,163.21,01-08-2025 10:10,-10.75,4241550,335,551925,480825,-10.45,-10.35,71100,-114.15,56925,-19500,Y,31350,N,133.8,123.05,135,121.85,143.35,01-08-2025 10:10,24745.6,24727.35,24745.65,24727.05,24812.2,24799,24817,24796.9,NIFTY2580724700CE,179.25,170,180.55,170.65,NIFTY2580724700PE,124.2,132.75,123.05,132.55
01-08-2025 10:15,2,78150,181,169350,189375,5,1.6,-20025,-1101.9,39825,8550,Y,-5325,YES,24782.87,24818,24820,24822.9,24800.1,01-08-2025 10:15,2.75,5072175,298,303075,567300,2.5,2.35,-264225,-148.75,50250,-975,YES,-28575,Y,179.25,182,183.5,170.2,164.32,01-08-2025 10:15,-3.35,3567300,299,539700,507750,-3,-3,31950,-105,54825,-40350,Y,55200,Y,124.2,120.85,128.6,120.25,142.5,01-08-2025 10:15,24752.65,24745.6,24751.35,24745.65,24820,24812.2,24818,24817,NIFTY2580724800CE,130.05,128.45,130.2,129.25,NIFTY2580724800PE,169.8,172.5,169.6,171.45
01-08-2025 10:20,2.2,110100,164,134025,103650,4.2,3.2,30375,-1094.8,38325,-8100,YES,9675,N,24785.85,24820,24822.2,24847.3,24816,01-08-2025 10:20,1.75,7213800,250,226575,392100,2.2,2.3,-165525,-156.25,43125,-133125,YES,-189375,Y,181.6,183.35,199,179.15,166.82,01-08-2025 10:20,-0.9,5346150,253,474225,462225,-0.75,-0.75,12000,-93,47325,-206925,Y,-72000,YES,121.7,120.8,123.3,109.9,140.83,01-08-2025 10:20,24756.45,24752.65,24756.1,24751.35,24822.2,24820,24823.2,24818,NIFTY2580724800CE,132.4,130.05,132.15,130.2,NIFTY2580724800PE,169.35,169.8,169.25,169.6
01-08-2025 10:25,12.8,79350,135,113025,145050,9.8,10,-32025,-835.9,28050,20250,Y,-4425,Y,24787.76,24822.2,24835,24840,24822.2,01-08-2025 10:25,6.5,2543100,230,270075,353100,6.7,6.7,-83025,-150.7,50100,-53700,Y,45375,YES,183.65,190.15,193.75,183.1,167.54,01-08-2025 10:25,-3.6,2248200,222,504600,475650,-3.6,-3.45,28950,-95.85,49200,46350,YES,96675,Y,120.95,117.35,121.2,114.85,140.23,01-08-2025 10:25,24764.7,24756.45,24764.45,24756.1,24832,24822.2,24835,24823.2,NIFTY2580724800CE,137.15,132.4,137.85,132.15,NIFTY2580724800PE,165.1,169.35,164.8,169.25
01-08-2025 10:30,11.9,66975,157,100050,559575,14.5,16.6,-459525,-852.1,39375,23550,N,-8025,Y,24789.66,24835,24846.9,24853,24827,01-08-2025 10:30,8.75,4115625,326,277875,327000,8.6,8.65,-49125,-176.5,50775,15525,Y,-82950,Y,190.45,199.2,202.8,184.4,168.99,01-08-2025 10:30,-5.5,2342325,328,513975,593475,-5.55,-5.55,-79500,-105,52575,-34425,Y,22125,N,117.15,111.65,120.65,110.1,139.55,01-08-2025 10:30,24778.95,24764.7,24778.1,24764.45,24846.9,24832,24846.1,24835,NIFTY2580724800CE,144.9,137.15,145.2,137.85,NIFTY2580724800PE,157.4,165.1,157.2,164.8
01-08-2025 10:35,-11.9,82800,138,119175,150525,-6.2,-7.9,-31350,-933.4,38475,23025,N,-11700,Y,24791.94,24851.9,24840,24854.9,24840,01-08-2025 10:35,-7.45,2547225,334,262575,332625,-7.85,-7.8,-70050,-175.6,52275,-42525,YES,33750,YES,199.85,192.4,203.15,190.55,169.83,01-08-2025 10:35,-0.4,2377725,338,594000,647400,0.35,0.35,-53400,-104.65,54525,39225,YES,39600,N,111.75,111.35,113.75,106.9,138.8,01-08-2025 10:35,24771.1,24778.95,24771.3,24778.1,24840,24846.9,24840,24846.1,NIFTY2580724800CE,139.05,144.9,138.35,145.2,NIFTY2580724800PE,157.4,157.4,158,157.2
01-08-2025 10:40,2.8,35400,118,75375,85500,3.8,-0.1,-10125,-1078.6,35325,-7125,YES,5250,N,24792.67,24840,24842.8,24850,24823,01-08-2025 10:40,2,2325150,337,298500,294600,2.15,2.3,3900,-170.4,48450,-9525,Y,17775,N,192.8,194.8,197,181.3,170.34,01-08-2025 10:40,0.05,2851125,340,545850,510600,-0.1,-0.05,35250,-107.25,57150,-4200,Y,35175,N,111.45,111.5,117.95,109.1,138.05,01-08-2025 10:40,24769.35,24771.1,24769.45,24771.3,24842.8,24840,24843.8,24840,NIFTY2580724800CE,141.4,139.05,140.75,138.35,NIFTY2580724800PE,157.15,157.4,157.3,158
01-08-2025 10:45,-12.8,33225,109,479625,83250,-10.7,-11.9,396375,-1216,30900,-7350,YES,9525,N,24793.33,24842.8,24830,24848,24825.6,01-08-2025 10:45,-11.3,1936275,352,308175,309600,-11,-10.95,-1425,-179,50775,-31950,YES,82275,YES,195.7,184.4,196.5,182.7,170.75,01-08-2025 10:45,6.85,2531625,348,559425,569175,6.5,6.4,-9750,-112.65,55350,73425,YES,-2100,YES,111.15,118,119.25,110.45,137.48,01-08-2025 10:45,24757.8,24769.35,24757.65,24769.45,24831.8,24842.8,24831.8,24843.8,NIFTY2580724800CE,133.05,141.4,132,140.75,NIFTY2580724800PE,164.4,157.15,165.3,157.3
01-08-2025 10:50,-21,56550,135,151125,54375,-19,-20.9,96750,-1280.9,34200,-3900,N,-10950,Y,24793.93,24832,24811,24834.5,24802,01-08-2025 10:50,-13.95,3515250,359,331500,297675,-13.95,-14.1,33825,-161.45,50625,-75075,YES,-5850,Y,185.95,172,186.5,166.95,170.99,01-08-2025 10:50,8.05,5638950,358,525150,522225,8,8.1,2925,-119.95,56025,112800,YES,-55875,YES,116.7,124.75,127.8,116.1,136.63,01-08-2025 10:50,24740.4,24757.8,24739.85,24757.65,24811,24830,24811,24831.8,NIFTY2580724700CE,173.05,186,172,184.4,NIFTY2580724700PE,123.75,116.9,124.75,118
01-08-2025 10:55,13,49125,111,111075,42300,6.4,7.9,68775,-1355.8,29550,20400,Y,8100,N,24794.35,24811,24824,24824,24806.7,01-08-2025 10:55,5.15,1455000,351,342375,347475,5.15,5.1,-5100,-155.25,48300,70125,Y,10950,N,173.05,178.2,178.35,171.05,171.05,01-08-2025 10:55,-2.45,3132450,349,485100,532875,-2.65,-2.65,-47775,-113.15,56325,-46725,Y,87675,Y,123.75,121.3,126.6,119.85,136.24,01-08-2025 10:55,24743.45,24740.4,24743.4,24739.85,24822,24811,24821.6,24811,NIFTY2580724700CE,178.7,173.05,178.35,172,NIFTY2580724700PE,120.8,123.75,121.1,124.75
