last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
2025-05-09 11:35:00,1.1500000000000057,2481000.0,360,0.4000000000000057,0.4000000000000057,-36900,-225.35000000002037,63375,-225.0,Y,96825.0,N,212.75,213.9,220.5,210.7,246.33
2025-05-09 11:40:00,5.849999999999994,1514025.0,356,5.199999999999989,5.5,-92550,-229.70000000001164,55725,32775.0,YES,21225.0,N,213.25,219.1,219.1,209.3,245.87
2025-05-09 11:45:00,19.200000000000017,4117050.0,359,18.19999999999999,18.19999999999999,-95775,-249.15000000002328,57675,39600.0,N,-211050.0,YES,218.1,237.3,241.95,216.0,245.26
2025-05-09 11:50:00,-6.700000000000017,2418150.0,355,-6.300000000000011,-6.300000000000011,-20775,-260.04999999998836,66750,-40425.0,Y,130425.0,Y,237.3,230.6,240.0,223.6,244.96
2025-05-09 11:55:00,-5.400000000000006,1685475.0,333,-5.299999999999983,-5.25,20700,-219.59999999999127,66075,17025.0,YES,46950.0,N,230.1,224.7,231.1,217.2,244.63
2025-05-09 12:00:00,11.699999999999989,1886775.0,344,11.800000000000011,12.150000000000006,-32025,-213.65000000000873,64950,52575.0,YES,-107925.0,YES,225.15,236.85,239.25,222.25,244.43
2025-05-09 12:05:00,-7.150000000000006,1802400.0,349,-7.550000000000011,-7.75,-29325,-230.65000000002328,63150,-55200.0,Y,40500.0,Y,236.65,229.5,241.0,228.1,244.29
2025-05-09 12:10:00,-3.6999999999999886,1153800.0,356,-3.4499999999999886,-3.5999999999999943,26325,-229.05000000001746,65775,-4500.0,YES,32475.0,N,230.5,226.8,237.4,225.2,244.16
2025-05-09 12:15:00,14.0,1245975.0,273,13.049999999999983,13.200000000000017,-76050,-245.94999999998254,64125,68175.0,YES,-58500.0,YES,226.6,240.6,240.9,226.0,244.04
2025-05-09 12:20:00,-1.5500000000000114,2691225.0,324,-1.3499999999999943,-1.3499999999999943,18075,-265.45000000001164,61725,-33675.0,Y,-13050.0,Y,239.55,238.0,249.9,235.0,244.03
2025-05-09 12:25:00,-3.1999999999999886,1346400.0,282,-3.200000000000017,-3.3000000000000114,-26775,-240.04999999998836,63675,44100.0,YES,31800.0,Y,239.0,235.8,240.05,228.5,243.92
2025-05-09 12:30:00,12.75,1828725.0,351,12.75,12.949999999999989,-189225,-242.19999999998254,64125,50925.0,N,-77175.0,YES,235.8,248.55,249.45,235.8,243.91
2025-05-09 12:35:00,1.799999999999983,2005725.0,347,1.3499999999999943,1.0999999999999943,-7125,-258.70000000004075,59025,4350.0,N,-43275.0,Y,247.9,249.7,253.65,238.5,243.95
2025-05-09 12:40:00,4.099999999999994,1645125.0,259,4.099999999999994,4.099999999999994,67200,-256.44999999998254,60000,41850.0,YES,32850.0,Y,249.8,253.9,254.8,243.0,244.03
2025-05-09 12:45:00,-11.550000000000011,1903500.0,241,-10.899999999999977,-11.25,-6825,-247.54999999998836,54825,-72900.0,Y,7200.0,N,253.3,241.75,256.75,241.05,244.09
2025-05-09 12:50:00,-8.849999999999994,1636725.0,228,-8.699999999999989,-8.799999999999983,-15225,-241.39999999999418,56550,-14850.0,YES,51000.0,Y,242.6,233.75,243.25,232.2,244.01
2025-05-09 12:55:00,2.75,1463325.0,202,3.5500000000000114,3.450000000000017,-170775,-235.25,54150,-15375.0,Y,11475.0,N,233.3,236.05,247.0,232.35,243.98
2025-05-09 13:00:00,7.5,1380750.0,212,6.800000000000011,6.900000000000006,47550,-246.5,55875,57225.0,YES,5100.0,N,236.65,244.15,247.55,234.0,243.95
2025-05-09 13:05:00,13.349999999999994,2500050.0,318,12.849999999999994,13.000000000000028,1800,-271.45000000001164,60675,22125.0,N,-86325.0,YES,244.15,257.5,259.65,244.1,244.11
2025-05-09 13:10:00,-8.449999999999989,2286075.0,293,-7.949999999999989,-8.050000000000011,52125,-269.44999999998254,59550,-36750.0,Y,-5400.0,Y,257.4,248.95,258.55,239.1,244.19
2025-05-09 13:15:00,-7.849999999999994,1266900.0,276,-8.75,-8.75,44250,-257.2500000000291,64800,-14625.0,YES,64350.0,Y,248.0,240.15,248.6,237.2,244.17
2025-05-09 13:20:00,28.0,3479100.0,279,26.099999999999994,26.099999999999994,-95550,-286.70000000001164,65325,30450.0,YES,-190575.0,YES,240.55,268.55,268.55,239.25,244.53
2025-05-09 13:25:00,7.449999999999989,3226275.0,349,8.300000000000011,8.400000000000034,30675,-290.0999999999767,61200,-21300.0,Y,-118050.0,Y,268.8,276.25,281.7,257.6,245.08
2025-05-09 13:30:00,-7.25,2748450.0,337,-8.25,-8.25,-56400,-305.1499999999942,61350,900.0,YES,87675.0,Y,276.55,269.3,278.1,252.4,245.45
2025-05-09 13:35:00,-2.400000000000034,1582350.0,356,-2.6499999999999773,-2.8000000000000114,-20325,-309.5,62625,-14775.0,Y,56700.0,N,267.8,265.4,272.2,262.05,245.68
2025-05-09 13:40:00,0.6000000000000227,2259675.0,354,1.1000000000000227,1.150000000000034,58425,-304.8999999999942,63000,-9600.0,N,-7500.0,YES,265.4,266.0,277.25,260.3,246.03
2025-05-09 13:45:00,-0.35000000000002274,1925925.0,327,-1.25,-1.1499999999999773,-121200,-287.1499999999651,63375,-4425.0,N,85800.0,Y,266.05,265.7,269.9,255.0,246.23
2025-05-09 13:50:00,-17.94999999999999,1812450.0,344,-17.850000000000023,-17.850000000000023,13650,-286.44999999995343,63375,-95025.0,Y,60675.0,N,265.2,247.25,268.95,246.1,246.35
