last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close,volume
13-12-2024 10:40,-27.95,598800,540,196175,397850,-32.3,-28.1,-201675,-2792.75,51050,122200,N,89900,YES,24400.91,24312.95,24285,24313.3,24240,13-12-2024 10:45,0.1,3563500,540,1053275,1154500,0.15,0.15,-101225,-177.9,93850,73525,Y,21975,N,62.15,62.25,62.95,55.8,85.32,13-12-2024 10:45,29.45,551950,519,242125,252075,29.7,29.9,-9950,-1156.1,87050,-12975,Y,1350,YES,398.85,428.3,465,398,285.09,13-12-2024 10:40,24264.8,24265.9,24191.5,24233.15,0
13-12-2024 10:45,2.35,382325,539,180025,364875,2.9,3.05,-184850,-3158.8,47500,57075,N,74950,N,24396.06,24266.25,24268.6,24288.7,24231,13-12-2024 10:50,1.55,2991500,540,1222900,1186725,1.5,1.5,36175,-178.85,103050,88225,N,38750,N,58.25,59.8,62.95,55,84.16,13-12-2024 10:50,-1.95,374350,511,227375,236025,-1.65,-1.85,-8650,-1129.7,83175,175,N,2925,N,444.2,442.25,475.6,421,287.08,13-12-2024 10:45,24210.05,24235.95,24180.8,24217.9,0
13-12-2024 10:50,18.4,337000,539,194175,154950,14.55,16.3,39225,-2933,44975,26475,N,47875,N,24392.82,24261.65,24280.05,24298.8,24231,13-12-2024 10:55,2.25,2969425,541,1140650,1182675,2.5,2.5,-42025,-181.95,111175,39100,N,-7825,Y,59.7,61.95,64.65,55,83.52,13-12-2024 10:55,-6.95,400425,521,205050,226400,-8,-7.75,-21350,-1115.7,79850,136275,YES,6725,N,442.1,435.15,475.6,412.9,288.84,13-12-2024 10:50,24212.75,24251.65,24180.8,24230.15,0
13-12-2024 10:55,21.1,405625,537,174475,186925,21.7,21.1,-12450,-3365.25,47725,19550,N,10750,N,24388.79,24285,24306.1,24319,24231,13-12-2024 11:00,1.75,3139375,541,1103850,1142500,2,1.95,-38650,-185.6,106875,-29750,YES,-31150,Y,62.35,64.1,66.85,55,82.93,13-12-2024 11:00,-21.3,412475,524,203200,211200,-22.75,-22.95,-8000,-1099.5,72325,140825,N,10800,N,428.3,407,475.6,397.55,291.12,13-12-2024 10:55,24233.7,24273,24180.8,24260,0
13-12-2024 11:00,33.5,356700,531,168650,244075,37.5,38,-75425,-3212.25,46775,21700,N,8300,N,24387.37,24268.6,24302.1,24319,24264.1,13-12-2024 11:05,2.9,2544175,543,922650,1007325,2.85,2.85,-84675,-183.9,94575,-26250,N,86075,YES,59.7,62.6,66.85,59,82.53,13-12-2024 11:05,-34.4,550550,514,340200,210250,-33.6,-33.2,129950,-1005.45,71550,8150,N,7475,N,441,406.6,446.75,394.45,294,13-12-2024 11:00,24217.65,24273,24212.3,24259.7,0
13-12-2024 11:05,24.35,326675,529,124150,235850,21.6,21.45,-111700,-3132.75,45275,30775,N,-13525,Y,24385.61,24276.6,24300.95,24319,24275.1,13-12-2024 11:10,1.7,2328850,541,962800,1034750,1.5,1.55,-71950,-181.25,97675,-39600,YES,28525,N,61.7,63.4,66.85,60.95,82.12,13-12-2024 11:10,-19.9,513600,491,337025,207400,-21,-21.05,129625,-947.55,73025,-154575,Y,3000,N,435.9,416,440.05,394.45,294.99,13-12-2024 11:05,24230.4,24273,24225.9,24252.35,0
13-12-2024 11:10,23.95,386800,523,123675,238525,28.95,28.6,-114850,-2910.05,42200,22400,N,-43475,Y,24383.46,24307.5,24331.45,24380,24282.45,13-12-2024 11:15,3.4,3678150,541,1000925,1004825,3.75,3.75,-3900,-181.6,104000,-31300,N,-183350,Y,64.1,67.5,80.9,60.95,81.49,13-12-2024 11:15,-28.95,584400,474,330450,203775,-29.5,-29.65,126675,-922.65,71975,-160675,Y,-4975,YES,408.2,379.25,427.5,347.45,296.93,13-12-2024 11:10,24259.75,24343,24236.6,24278.95,0
13-12-2024 11:15,61.75,469275,523,152950,221675,54.85,59.35,-68725,-3158.1,46925,6950,N,-32275,N,24382.01,24306.65,24368.4,24380,24282.45,13-12-2024 11:20,15,4685250,538,981150,962600,14.35,14.3,18550,-196.8,106000,8725,Y,-236400,Y,62.7,77.7,80.9,60.95,81.02,13-12-2024 11:20,-50.35,440750,486,176175,203150,-47.35,-47.3,-26975,-972.75,73925,-13100,YES,-5225,YES,406.95,356.6,427.5,347.45,297.71,13-12-2024 11:15,24259.3,24343,24236.6,24317.25,0
13-12-2024 11:20,48.5,469150,509,198300,270825,51.6,49.5,-72525,-3244.4,47925,-5700,YES,-27425,N,24381.46,24299.95,24348.45,24380,24289.2,13-12-2024 11:25,9.05,4917475,539,845550,789025,9.85,9.9,56525,-211.15,87975,105450,Y,-90750,YES,63.45,72.5,80.9,62.45,80.85,13-12-2024 11:25,-48.45,440550,488,173525,189000,-49.15,-49.05,-15475,-958.45,73025,3250,N,6225,N,415.95,367.5,423.6,347.45,298.23,13-12-2024 11:20,24252.35,24343,24247.75,24301.35,0
13-12-2024 11:25,10.6,317875,514,205175,240225,13.05,12.75,-35050,-3027.05,48300,18200,Y,51475,YES,24381.19,24331.45,24342.05,24385,24315.75,13-12-2024 11:30,4.75,3668600,539,785525,699025,5.2,5.25,86500,-218.8,76750,49750,N,53225,YES,67.6,72.35,80.7,63.75,80.73,13-12-2024 11:30,-8.05,303775,492,147025,164050,-10.35,-10.7,-17025,-921.15,67675,2775,Y,14550,N,378.75,370.7,389.1,339.5,298.79,13-12-2024 11:25,24279.45,24341.35,24266.85,24299.2,0
