last_traded_time,n_buy_corr,n_sell_corr,n_tb_ts,ce_buy_corr,ce_sell_corr,ce_tb_ts,pe_buy_corr,pe_sell_corr,pe_tb_ts,n_buy_diff,n_sell_diff,ce_buy_diff,ce_sell_diff,pe_buy_diff,pe_sell_diff,n_bid_diff,n_ask_diff,ce_bid_diff,ce_ask_diff,pe_bid_diff,pe_ask_diff,percentage
11-11-2024 11:00,0.2781799699622515,-0.17673360734047708,0.15348586192587185,-0.23712698325679957,-0.42868887660464466,-0.2155239732157565,-0.24973549243471244,-0.2516267407089109,-0.009251688406564856,-850,1325,-13025,-500,17900,21550,-100.0,675.0,-1075,-150,625,-1675,22.226146598399886
11-11-2024 11:05,0.21379302015712223,-0.6420936168289022,-0.1460895544009413,0.5536620842978527,-0.6555842499380695,-0.17505410246692443,0.5846999743778054,-0.6135164499005932,-0.6019504434198517,-16775,6800,28550,6425,10450,2725,25.0,-125.0,1975,-100,25,1450,46.516038842089586
11-11-2024 11:10,0.3369148325255256,-0.8489393147437495,-0.013260586547361496,0.7227351592032905,-0.9209373829391763,-0.6410290213585726,0.9636236682293978,-0.6905531692596565,-0.6533390696601059,-1100,-52200,20900,-39475,-67800,27250,-375.0,-25.0,1075,-475,-300,500,64.34813560518707
11-11-2024 11:15,-0.11661936363697144,-0.03444421097712046,0.5686035027857806,0.07648953722648574,-0.14817346950923818,-0.4268189363966319,-0.418249890648665,-0.2483165064199423,-0.5026997765644035,13975,39325,-75275,-5500,18900,-16900,-425.0,-175.0,-125,525,-425,-1450,28.226835490724877
11-11-2024 11:20,0.6208845432880671,-0.2861725334047478,-0.6616227217568856,0.24216966026721273,-0.09463387477069125,0.2674977846198495,0.41791650429682675,-0.28571915134622605,-0.2314307203716154,-3375,12525,8650,20525,19000,23475,-75.0,-175.0,-50,-925,1800,1450,34.53386104580136
11-11-2024 11:25,0.44511573161054996,-0.3712567278801608,0.0042982174101632705,0.12102296478777809,-0.12207611623125969,-0.8432134683886737,0.6843302765228149,-0.7076986640843954,-0.33316410864534635,3900,12350,-28075,20500,10625,-8650,975.0,-125.0,75,-350,-1175,-275,40.35751417290159
11-11-2024 11:30,0.22578599349560166,-0.3140608936850958,-0.42635319237179325,0.5873688558924636,-0.6775965031991832,-0.4474871117696037,0.8578793358195539,-0.37019796462886007,-0.09387232980467464,9375,-16200,12150,-11075,-8500,11975,-400.0,-150.0,1800,-50,-175,-1000,44.45113534074255
11-11-2024 11:35,-0.165965851752032,-0.7919226130222554,0.32264867689224513,0.8097600725603019,-0.7734128520138613,-0.6992006193653212,0.7223672391738604,-0.37004626364113463,-0.5100736800702865,1325,18825,-4975,10175,25,7275,-200.0,-450.0,150,300,-525,-950,57.39330964990332
11-11-2024 11:40,0.770352072449556,-0.9566597355621633,-0.6625888598559937,0.860272683621838,-0.9487563963685268,-0.9018637498948526,0.9162239238948332,-0.8851864902483969,-0.9391548795926318,4475,-59825,4500,-34175,-34475,30400,-100.0,-750.0,975,25,-75,-125,87.12287546098658
11-11-2024 11:45,-0.4004208383430875,-0.9164244849662364,0.5432425279935649,0.9258589803398384,-0.9498714302097501,-0.8830622806136285,0.8259112447734371,0.019285031352432737,0.09736182578994179,-1000,10750,-13575,14925,16275,-15450,1200.0,100.0,-100,550,1675,0,61.79376271535464
11-11-2024 11:50,0.1964125903086522,-0.4354930139081257,-0.08217545117362496,0.4601120865594546,0.4414024269212321,-0.33506550125227197,0.5963033131763587,-0.4653529283729032,-0.3431666736973736,-2125,14775,-1325,-19475,14150,-14825,-75.0,875.0,-325,0,525,-250,37.28315539299996
11-11-2024 11:55,0.3784779133390759,-0.840117258520767,-0.2672971070014472,0.8564503285170852,-0.5478460063071279,-0.5779319754585913,-0.22171064082950281,-0.6157668389983608,0.13052955370054412,7125,1800,-13925,2800,-19775,4975,475.0,-425.0,-450,225,175,-375,49.29030691858337
11-11-2024 12:00,0.8798690587811095,-0.8079695289783415,-0.7638407008717204,-0.11484952231069576,-0.33082661882447384,-0.2911920423885116,0.6895278468309972,-0.8972839531094094,-0.5117299745596298,-12375,4725,58550,10200,42950,-22150,0.0,50.0,5550,800,650,-350,58.7454360739432
11-11-2024 12:05,0.7787632105033672,-0.6830207413041297,-0.5503546141706456,0.1571694886156309,0.5046244758216997,-0.004824151394150462,0.360909626664906,-0.6749270244883203,-0.5421223617507631,-9850,12650,-46400,-2925,10025,-20025,425.0,75.0,-7225,425,-275,375,47.29684105237347
11-11-2024 12:10,0.4483665486766863,-0.6645572822916568,-0.17157950043126907,0.6267580084903192,0.21510821933590482,0.1461085582117266,0.3192327341863897,-0.5436791785630134,-0.15152971181325808,22625,6000,-1400,21400,-12550,-51950,175.0,0.0,100,125,-450,-975,36.521330466669156
11-11-2024 12:15,0.7327772141499017,-0.8999047991967429,-0.8066591077569819,0.8603187506206272,-0.8433702158072698,-0.5923113118452685,0.821893694573118,-0.5578974537818612,-0.39600150597415384,-3175,10975,-8425,20850,25150,2875,-200.0,50.0,250,-125,-225,-725,72.34593393006584
11-11-2024 12:20,0.8342649031521112,-0.6548744625507308,-0.6425952051770878,0.18904077053116033,-0.323306694568564,-0.057077652980356476,0.45590082169512125,-0.8850264502586378,-0.1910687392682091,-37075,12300,6800,2275,11050,-49375,400.0,225.0,300,300,75,350,47.03506333535532
11-11-2024 12:25,0.7638495508012876,0.07948140584101458,0.10100161563584782,0.7214970351145562,-0.7650097406357234,-0.6001372913030943,0.400556641319979,-0.4989163633786638,0.059417814448713684,9775,-4600,17100,-8575,-1425,54150,150.0,-650.0,400,-100,200,-200,44.33186064976534
11-11-2024 12:30,-0.5988660910094061,-0.45315720613300137,0.832248110579945,0.7138122372371641,-0.7803800824611656,-0.7786629003075902,0.6651123309504529,-0.8797496532616419,-0.5124104862735762,13400,5300,-15925,14200,-7050,-10000,-50.0,150.0,-450,225,-1075,400,69.0488788690438
11-11-2024 12:35,0.9247202097550995,-0.8361542371295537,-0.8876721208127814,0.7725629412551764,-0.5646501347326085,-0.3442191999792832,0.4839223157448085,-0.5149022459636592,-0.21949854150668674,10800,-4325,8250,5775,2900,12600,475.0,150.0,250,-900,1125,200,61.64779940977396
11-11-2024 12:40,0.4129977554071385,-0.44022182248330294,-0.311518216339335,-0.009272615527918188,-0.3515709938660845,0.020703696676897983,0.043948522527690985,-0.4178795345477665,0.2636808816223321,-2200,44525,-3650,-4100,18150,2675,-125.0,-50.0,300,75,75,0,25.24215598887185
11-11-2024 12:45,0.6743497907008308,-0.6130729733940702,-0.27790052362312107,0.9045449443049908,-0.6053471341302747,-0.6583598455635545,0.4351659226356556,-0.710623332855293,-0.769059908738238,2600,12075,-8550,-4500,-12175,-1450,275.0,0.0,-25,25,225,375,62.76027084384476
11-11-2024 12:50,0.5223629774209692,-0.46202188653715875,-0.4471121757936143,0.3628322834955864,-0.5006946817508586,-0.23090574077209183,0.7478013822614221,-0.35690980456025906,-0.1321119437240366,200,5150,-1350,22500,14800,26850,1375.0,25.0,175,50,475,225,41.80836529239998
11-11-2024 12:55,0.45833892484440636,-0.5050439351906443,-0.26167798965365374,0.27040923105111314,-0.03131606403317388,0.38212001611724083,0.7018829708899865,-0.7365106841205021,-0.7481765531522336,1175,250,15625,6325,-5450,19000,-1250.0,-25.0,-775,1925,1200,1025,45.50529298947727
11-11-2024 13:00,0.4629776138569842,-0.3048358926708702,-0.4725584736177543,0.7336026658367654,-0.5798457004020349,-0.8168841648553165,0.20860332702481885,-0.3366959081328943,-0.4170557942911195,-100,1575,17125,-16650,10600,-18025,-25.0,-75.0,1375,375,-2500,-400,48.145106007650654
11-11-2024 13:05,-0.1150336616013458,-0.5031345154448814,0.08783185303469475,0.7174425720820425,-0.8607801568727764,-0.7153332994423761,0.7206875253241403,-0.803374323911057,-0.7168217084548665,100,3325,-14625,15525,21350,-13750,2250.0,-1700.0,50,-300,-775,-125,58.22710684631311
11-11-2024 13:10,0.8738395658531224,-0.4004469033851039,-0.29740737608797396,0.496649306314561,-0.6645053223749925,-0.3729182491811582,0.42535406009120513,-0.749417099477195,-0.19007042460368984,-900,625,11975,325,-14250,-26300,725.0,-150.0,-75,0,75,625,49.673425637433354
11-11-2024 13:15,0.6587896907425659,-0.797044824080015,-0.319786691100093,0.9091817256971606,0.31988926498987885,0.5838612804791745,0.49831826383258676,-0.8788473917779979,-0.24275699531539874,-15750,5725,-49575,-12875,45925,-93800,-350.0,-125.0,50,-150,-775,-1125,57.871956977943015
11-11-2024 13:20,0.8235368387879829,-0.5879551719337428,-0.7090938050822359,0.8963791262107624,-0.8847397704586109,-0.8898414402310372,-0.4153459176877874,-0.8676708684139999,0.6077672646084823,8675,2800,21175,-3925,11675,36600,1025.0,-350.0,1275,175,375,825,74.24811337127379
11-11-2024 13:25,-0.08232169797716554,-0.49657721444661884,0.4559101726635268,0.5371264849487112,-0.7285037949398162,-0.4646332533113837,0.33301344649377196,0.29782184023014296,-0.3423006799617351,3725,1950,-5100,6525,-30175,52575,225.0,-175.0,75,275,2500,-1025,41.53565094414303
