last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,timestamp,cur_open,open,close,pre_prev_close,nifty_cur_open,nifty_prev_open,nifty_prev_close,nifty_pre_prev_close,ce_symbol,ce_cur_open,ce_prev_open,ce_prev_close,ce_pre_prev_close,pe_symbol,pe_cur_open,pe_prev_open,pe_prev_close,pe_pre_prev_close
25-08-2025 10:05,-7.1,70950,269,276750,120300,-11,-12.2,156450,-1677.8,36000,-15075,YES,25425,YES,24958.85,24936.1,24929,24939.9,24926,25-08-2025 10:05,-8,4612275,360,973350,1043250,-7.95,-7.95,-69900,-133.45,75150,25500,Y,210300,N,112.95,104.95,112.95,104.15,125.23,25-08-2025 10:05,4.25,9014100,360,1429350,1405200,4.2,4.2,24150,-101.7,72450,80250,N,87675,N,71.55,75.8,77.4,71.4,70.05,25-08-2025 10:05,24905.4,24917.4,24905.25,24918.7,24926,24936.1,24929,24937.6,NIFTY25AUG24900CE,105.35,112.65,104.95,112.5,NIFTY25AUG24900PE,75.75,72,75.8,72.25
25-08-2025 10:10,5,55800,197,317475,115125,2.7,0.1,202350,-1904.6,43500,16050,Y,-10650,Y,24957.35,24926,24931,24936,24920,25-08-2025 10:10,-0.1,3339600,360,1013775,910200,-0.4,-0.25,103575,-127.2,76875,35700,N,-78825,Y,105.75,105.65,108.3,101.25,124.14,25-08-2025 10:10,0.65,7578225,360,1427475,1390800,0.6,0.65,36675,-102.3,80700,-55650,Y,-28575,YES,75.5,76.15,80.8,73.05,70.69,25-08-2025 10:10,24905.95,24905.4,24906.25,24905.25,24925.7,24926,24931,24929,NIFTY25AUG24900CE,105.1,105.35,105.5,104.95,NIFTY25AUG24900PE,76.3,75.75,76.15,75.8
25-08-2025 10:15,17,195375,237,191850,131925,12.6,11.8,59925,-1729.9,40725,28575,N,-34350,Y,24952.46,24926.4,24943.4,24943.4,24914.1,25-08-2025 10:15,6.1,5550225,360,858000,933600,5.7,5.7,-75600,-123.9,76725,141675,Y,-139050,Y,105.65,111.75,111.75,99.4,122.61,25-08-2025 10:15,-5.8,9044175,359,1344600,1224450,-5.6,-5.6,120150,-97.5,83025,-204300,Y,156075,Y,76.05,70.25,82.45,70.25,71.38,25-08-2025 10:15,24919.25,24905.95,24919.55,24906.25,24943.4,24925.7,24936.6,24931,NIFTY25AUG24900CE,111.75,105.1,111.4,105.5,NIFTY25AUG24900PE,70.25,76.3,70.65,76.15
25-08-2025 10:20,0.8,110400,238,89400,162525,6.1,2,-73125,-1273.2,37725,-8625,YES,675,YES,24951.96,24943.4,24944.2,24951.1,24936.1,25-08-2025 10:20,4.25,6190275,359,954675,925125,4.55,4.65,29550,-137.25,76125,55350,N,143550,YES,111.45,115.7,117.35,108.65,121.88,25-08-2025 10:20,-3.35,5677575,356,1347825,1281450,-3.45,-3.45,66375,-88.25,78975,104400,YES,61425,N,70.4,67.05,72.9,65.6,71.23,25-08-2025 10:20,24927.55,24919.25,24927.95,24919.55,24944.4,24943.4,24945.7,24936.6,NIFTY25AUG24900CE,115.45,111.75,115.8,111.4,NIFTY25AUG24900PE,67.4,70.25,67.35,70.65
25-08-2025 10:25,-17.4,104325,241,79050,226275,-17.5,-14.1,-147225,-819.9,39900,-10725,YES,1575,N,24951.1,24944.2,24926.8,24950,24925.7,25-08-2025 10:25,-10.25,4167900,357,907800,997500,-10.3,-10.5,-89700,-132.15,68100,-196275,YES,130650,N,115.45,105.2,117,104.45,121.3,25-08-2025 10:25,8.4,5416050,357,1266750,1244025,8.3,8.25,22725,-88.7,82500,211125,YES,30750,N,67.4,75.8,76,65.85,71.26,25-08-2025 10:25,24914.3,24927.55,24914.7,24927.95,24926.8,24944.4,24926.8,24945.7,NIFTY25AUG24900CE,105.2,115.45,105.1,115.8,NIFTY25AUG24900PE,75.65,67.4,75.8,67.35
25-08-2025 10:30,17.9,336825,227,82125,105900,18.3,18.1,-23775,-1132.8,35325,-450,N,30300,YES,24951.43,24926.8,24944.7,24955,24926.2,25-08-2025 10:30,7.5,5155875,360,757050,795675,7.05,7.1,-38625,-131.1,75150,1112100,Y,-69750,Y,105.1,112.6,119.1,105.1,120.92,25-08-2025 10:30,-9.2,6410700,360,1386525,1179450,-9,-9,207075,-84.15,73275,-210750,Y,-4200,YES,75.55,66.35,75.85,62.7,71.07,25-08-2025 10:30,24928.1,24914.3,24927.2,24914.7,24945,24926.8,24945.1,24926.8,NIFTY25AUG24900CE,112.9,105.2,112.6,105.1,NIFTY25AUG24900PE,66.3,75.65,66.35,75.8
25-08-2025 10:35,21.3,239700,206,108825,79650,20.8,17,29175,-1073.2,36450,4500,N,-1575,Y,24952.34,24944.7,24966,24967,24944.4,25-08-2025 10:35,10,5526975,361,829125,879000,9.8,9.8,-49875,-150.55,71250,180300,N,-151200,Y,113.2,123.2,125.3,112.8,120.94,25-08-2025 10:35,-8.3,4659600,361,1584975,1526325,-8.2,-8.2,58650,-81.9,82950,23625,YES,124425,Y,66.15,57.85,66.25,56.7,70.64,25-08-2025 10:35,24945.45,24928.1,24945.2,24927.2,24966,24945,24966,24945.1,NIFTY25AUG24900CE,123.2,112.9,122.7,112.6,NIFTY25AUG24900PE,57.95,66.3,58.1,66.35
25-08-2025 10:40,-9.9,31500,148,136725,156300,-9.5,-5.2,-19575,-1329.1,42450,-8100,YES,25050,YES,24952.5,24966,24956.1,24967,24955.8,25-08-2025 10:40,-4.1,2892075,360,737850,771000,-4,-4.05,-33150,-140.95,70125,-132675,YES,117600,YES,123.65,119.55,124.65,117.65,120.95,25-08-2025 10:40,3.25,3143175,360,1531425,1637925,3.3,3.3,-106500,-80.5,81150,203550,YES,-9075,YES,57.8,61.05,62.25,57.1,70.35,25-08-2025 10:40,24937.4,24945.45,24936.6,24945.2,24956.1,24966,24960,24966,NIFTY25AUG24900CE,119.3,123.2,119.5,122.7,NIFTY25AUG24900PE,61,57.95,60.95,58.1
25-08-2025 10:45,9.7,63600,146,319050,82875,4.8,3.5,236175,-636.4,33300,450,N,18825,N,24952.78,24956.1,24965.8,24965.8,24953.6,25-08-2025 10:45,2.9,2124000,359,777525,879375,3,2.95,-101850,-142.4,70725,61500,Y,29775,N,119.7,122.6,122.75,117.55,120.95,25-08-2025 10:45,-1.6,2544750,359,1459275,1629375,-1.6,-1.6,-170100,-80.25,86100,-62625,Y,29475,Y,60.85,59.25,62.35,59,70.14,25-08-2025 10:45,24944.6,24937.4,24944.6,24936.6,24965.8,24956.1,24961.3,24960,NIFTY25AUG24900CE,122.55,119.3,122.6,119.5,NIFTY25AUG24900PE,59.3,61,59.25,60.95
25-08-2025 10:50,3.5,36975,164,44250,90150,8.4,4.2,-45900,-1220.8,32925,2400,N,-29400,Y,24953,24965.8,24969.3,24972.6,24960.2,25-08-2025 10:50,4.65,3475125,356,827100,1074900,4.4,4.4,-247800,-149.25,69375,106575,Y,-86250,Y,122.55,127.2,127.45,120.35,121.06,25-08-2025 10:50,-3.85,3052200,355,1598100,1605000,-3.6,-3.65,-6900,-77.85,78600,13350,YES,39825,N,59.3,55.45,60.2,55.2,69.83,25-08-2025 10:50,24954.55,24945.05,24954.8,24944.6,24969.3,24965.8,24972.6,24961.3,NIFTY25AUG25000CE,72.8,69.9,72.85,69.7,NIFTY25AUG25000PE,101.3,106.95,101.45,106.9
