last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
25-04-2025 11:25:00,9.400000000001455,15.0,9.400000000001455,49980.0,-2445.0,13620.0,1650.0,N,8280.0,N,-4.240000000005239,54584.6,54594.0
25-04-2025 11:30:00,-43.0,-52.0,-45.0,-5250.0,-2972.199999999255,15930.0,-6780.0,YES,-8250.0,Y,-5.25,54594.0,54551.0
25-04-2025 11:35:00,60.19999999999709,60.19999999999709,50.19999999999709,9120.0,-2375.2000000029802,12960.0,8010.0,N,-5010.0,N,-2.9800000000032014,54544.8,54605.0
25-04-2025 11:40:00,-15.0,-15.0,-16.0,47310.0,-2294.5999999996275,10920.0,-4320.0,YES,2790.0,N,-2.4900000000052387,54605.0,54590.0
25-04-2025 11:45:00,-125.0,-123.0,-122.40000000000146,94200.0,-2958.199999999255,14070.0,-3120.0,N,780.0,Y,-7.960000000006403,54590.0,54465.0
25-04-2025 11:50:00,13.0,7.80000000000291,1.0,9930.0,-3889.599999997765,13710.0,9420.0,N,-5490.0,Y,-10.139999999999418,54462.0,54475.0
25-04-2025 11:55:00,1.5999999999985448,3.0,1.5999999999985448,5010.0,-3459.0,12870.0,4680.0,N,8310.0,N,-2.849999999998545,54475.0,54476.6
25-04-2025 12:00:00,31.400000000001455,32.39999999999418,30.0,23970.0,-3097.800000000745,11700.0,4500.0,N,-2550.0,Y,-3.030000000006112,54476.6,54508.0
25-04-2025 12:05:00,2.400000000001455,-0.8000000000029104,9.0,8340.0,-2637.5999999940395,14850.0,-3330.0,YES,-4050.0,Y,-6.190000000002328,54508.0,54510.4
25-04-2025 12:10:00,85.0,93.0,89.59999999999854,5130.0,-3124.60000000149,13680.0,12150.0,N,-3240.0,N,-4.1599999999962165,54515.0,54600.0
25-04-2025 12:15:00,24.0,29.0,32.0,-14760.0,-3165.39999999851,13260.0,1080.0,YES,9840.0,N,-2.790000000000873,54605.0,54629.0
25-04-2025 12:20:00,-0.8000000000029104,-6.400000000001455,-10.19999999999709,27840.0,-3467.1999999955297,11550.0,-1710.0,YES,4980.0,N,-1.3700000000026193,54629.0,54628.2
25-04-2025 12:25:00,77.80000000000291,64.59999999999854,69.80000000000291,2160.0,-3845.199999999255,15630.0,4650.0,N,-11430.0,Y,-2.7000000000043656,54620.0,54697.8
25-04-2025 12:30:00,-43.80000000000291,-27.80000000000291,-33.599999999998545,9120.0,-3253.800000000745,11280.0,-2700.0,YES,7530.0,N,-1.6699999999982538,54698.8,54655.0
25-04-2025 12:35:00,72.0,73.59999999999854,61.599999999998545,39300.0,-2860.0,14220.0,12660.0,N,-6000.0,Y,-2.459999999999127,54655.0,54727.0
25-04-2025 12:40:00,-106.0,-105.40000000000146,-97.19999999999709,37080.0,-3093.39999999851,13080.0,-870.0,YES,-1830.0,N,-2.029999999998836,54724.6,54618.6
25-04-2025 12:45:00,41.0,31.599999999998545,29.799999999995634,-4140.0,-3050.800000000745,9720.0,3810.0,N,-4230.0,Y,-0.8699999999953434,54618.6,54659.6
25-04-2025 12:50:00,22.400000000001455,26.599999999998545,25.400000000001455,3900.0,-3113.2000000029802,12240.0,2250.0,YES,-1830.0,N,-1.2700000000040745,54659.6,54682.0
25-04-2025 12:55:00,65.0,64.40000000000146,80.40000000000146,20250.0,-3325.0,12540.0,3510.0,N,-9270.0,Y,-1.6499999999941792,54682.0,54747.0
25-04-2025 13:00:00,-55.200000000004366,-48.400000000001455,-54.400000000001455,-162030.0,-3179.400000002235,14550.0,510.0,YES,-2280.0,N,-1.9100000000034925,54748.4,54693.2
25-04-2025 13:05:00,76.80000000000291,68.39999999999418,60.0,-4140.0,-3178.7999999970198,18240.0,990.0,N,-10860.0,Y,-1.389999999999418,54693.2,54770.0
25-04-2025 13:10:00,16.80000000000291,9.200000000004366,15.0,-6540.0,-3290.5999999940395,12750.0,240.0,YES,1170.0,N,-0.5599999999976717,54763.2,54780.0
25-04-2025 13:15:00,20.0,20.19999999999709,20.0,-97080.0,-2058.0,14370.0,-12540.0,YES,-5610.0,Y,-0.5800000000017462,54780.0,54800.0
25-04-2025 13:20:00,-9.400000000001455,-5.400000000001455,-4.400000000001455,-18030.0,-1979.0,14430.0,-630.0,N,-2490.0,N,-0.31999999999970896,54800.0,54790.6
25-04-2025 13:25:00,-53.599999999998545,-59.0,-59.599999999998545,23160.0,-2077.800000000745,13590.0,-1260.0,YES,-3450.0,Y,-0.7799999999988358,54793.6,54740.0
25-04-2025 13:30:00,110.0,117.80000000000291,112.19999999999709,-8550.0,-2065.60000000149,13200.0,-3780.0,YES,-5820.0,Y,-0.2800000000061118,54740.0,54850.0
25-04-2025 13:35:00,-2.599999999998545,-9.19999999999709,-3.1999999999970896,1050.0,-2403.8000000044703,13650.0,1110.0,N,4950.0,N,0.22000000000116415,54852.6,54850.0
25-04-2025 13:40:00,30.0,30.19999999999709,30.0,7560.0,-3057.7999999970198,12660.0,11610.0,N,-1860.0,Y,-0.01999999999679858,54850.0,54880.0
25-04-2025 13:45:00,95.0,91.79999999999563,81.40000000000146,-3810.0,-3007.199999999255,15690.0,16050.0,N,-25800.0,Y,1.1999999999970896,54880.0,54975.0
25-04-2025 13:50:00,0.4000000000014552,7.0,8.19999999999709,-84180.0,-3419.400000002235,15870.0,-3210.0,YES,-14640.0,N,3.470000000001164,54981.6,54982.0
