last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
2025-01-30 10:40:00,-6.0,2520350.0,180,555700,456100,-6.25,-6.299999999999997,99600,-34.05000000000109,29850,63800.0,YES,17825.0,Y,29.5,23.5,29.6,21.7,65.17
2025-01-30 10:45:00,-2.25,1903550.0,180,604725,611775,-2.150000000000002,-2.1999999999999993,-7050,-29.00000000000182,28825,34150.0,N,70025.0,Y,23.6,21.35,24.7,20.5,63.85
2025-01-30 10:50:00,4.5,3382250.0,180,668300,686300,4.0,3.950000000000003,-18000,-34.54999999999927,35050,25325.0,N,97050.0,Y,21.55,26.05,26.05,19.95,61.75
2025-01-30 10:55:00,0.25,4210425.0,180,510125,548950,0.0,0.0,-38825,-36.60000000000218,32650,-9275.0,Y,-105475.0,YES,26.1,26.35,28.8,22.7,59.58
2025-01-30 11:00:00,17.3,6704325.0,179,299675,318300,18.599999999999998,18.65,-18625,-44.399999999999636,28250,67950.0,YES,-300175.0,YES,25.3,42.6,46.3,25.15,57.6
2025-01-30 11:05:00,-18.85,4613250.0,180,321550,349800,-18.349999999999998,-18.35,-28250,-48.39999999999782,27625,-104875.0,Y,20575.0,Y,43.6,24.75,45.0,24.45,56.41
2025-01-30 11:10:00,3.9499999999999993,4269675.0,181,584450,602000,3.5,3.5,-17550,-33.29999999999927,33900,152950.0,YES,19100.0,N,23.5,27.45,29.45,20.7,54.81
2025-01-30 11:15:00,6.350000000000001,2808925.0,179,479475,594850,6.100000000000001,6.100000000000001,-115375,-35.599999999998545,30925,107825.0,N,75825.0,Y,27.6,33.95,35.35,26.45,54.03
2025-01-30 11:20:00,0.6000000000000014,2310350.0,180,425175,445350,0.14999999999999858,0.14999999999999858,-20175,-40.69999999999891,28175,24850.0,N,28225.0,N,34.1,34.7,36.4,31.05,53.51
2025-01-30 11:25:00,-6.049999999999997,2523925.0,180,463925,429300,-6.25,-6.300000000000001,34625,-47.399999999999636,33500,-60175.0,Y,-32750.0,YES,34.65,28.6,38.95,26.85,52.98
2025-01-30 11:30:00,5.550000000000004,2185850.0,180,397300,379625,5.799999999999997,5.800000000000001,17675,-40.69999999999891,26800,166200.0,YES,36700.0,Y,28.65,34.2,35.35,28.65,52.51
2025-01-30 11:35:00,-1.0,3051000.0,180,367825,388550,-1.5500000000000043,-1.6000000000000014,-20725,-45.349999999998545,30150,142950.0,N,43425.0,N,34.2,33.2,40.45,29.35,51.96
2025-01-30 11:40:00,-0.14999999999999858,2584500.0,180,334650,326750,0.5500000000000043,0.5999999999999943,7900,-49.70000000000073,30025,119100.0,N,15125.0,N,33.35,33.2,40.2,31.35,51.54
2025-01-30 11:45:00,-9.350000000000001,3354900.0,180,422275,490250,-9.900000000000002,-9.899999999999999,-67975,-35.00000000000364,33825,-140200.0,Y,-12425.0,YES,33.1,23.75,33.6,21.75,50.72
2025-01-30 11:50:00,7.5,2777925.0,178,574500,642775,7.600000000000001,7.550000000000001,-68275,-32.25000000000182,29050,106550.0,YES,90925.0,Y,23.95,31.45,32.45,23.55,50.11
2025-01-30 11:55:00,2.3500000000000014,2192850.0,180,592800,587375,2.400000000000002,2.450000000000003,5425,-38.649999999999636,37800,-56425.0,Y,-35125.0,YES,31.5,33.85,34.8,30.9,49.76
2025-01-30 12:00:00,3.8500000000000014,2301750.0,180,519975,613525,4.0,4.100000000000001,-93550,-41.70000000000073,41475,-108625.0,Y,-28325.0,N,33.85,37.7,39.5,31.7,49.47
2025-01-30 12:05:00,-1.3000000000000043,2109850.0,180,655375,507900,-1.3500000000000014,-1.2999999999999972,147475,-44.099999999998545,44650,57600.0,YES,-76700.0,YES,37.6,36.3,43.3,33.2,49.24
2025-01-30 12:10:00,12.449999999999996,3168200.0,180,595850,532975,14.449999999999996,14.550000000000004,62875,-48.350000000004,36025,-60650.0,Y,-241625.0,YES,36.85,49.3,57.5,36.15,49.09
2025-01-30 12:15:00,-8.0,4542325.0,180,301525,299450,-7.649999999999999,-7.649999999999999,2075,-56.75,29275,118175.0,YES,209975.0,Y,51.3,43.3,54.15,38.2,48.92
2025-01-30 12:20:00,-3.3500000000000014,2597100.0,180,354975,288925,-3.799999999999997,-3.9000000000000057,66050,-48.85000000000218,26825,-172000.0,Y,75575.0,N,43.35,40.0,44.5,33.95,48.69
2025-01-30 12:25:00,-7.149999999999999,1846750.0,180,259600,266525,-6.549999999999997,-6.550000000000004,-6925,-43.85000000000218,23400,133825.0,YES,54900.0,N,40.6,33.45,41.25,31.7,48.53
2025-01-30 12:30:00,0.3500000000000014,2668575.0,180,442575,334200,-0.04999999999999716,-0.15000000000000568,108375,-43.35000000000218,29250,24175.0,N,50.0,YES,32.85,33.2,36.6,27.2,48.17
2025-01-30 12:35:00,-2.5500000000000043,2372550.0,178,279850,293500,-2.4999999999999964,-2.5,-13650,-41.39999999999782,26825,-831875.0,Y,53500.0,Y,33.7,31.15,39.25,28.35,47.91
2025-01-30 12:40:00,-3.299999999999997,2257500.0,180,294125,305825,-3.3000000000000007,-3.299999999999997,-11700,-37.80000000000109,22700,328125.0,YES,21650.0,N,31.9,28.6,37.05,28.5,47.67
2025-01-30 12:45:00,-7.899999999999999,6855525.0,180,705025,599100,-7.699999999999999,-7.75,105925,-30.899999999999636,33825,-74075.0,Y,-72725.0,YES,28.65,20.75,29.45,14.0,46.35
2025-01-30 12:50:00,2.25,4837525.0,180,611125,639275,2.3500000000000014,2.349999999999998,-28150,-35.5,40700,288300.0,YES,16925.0,Y,20.8,23.05,31.25,20.5,45.65
2025-01-30 12:55:00,1.7000000000000028,2715525.0,180,641075,596675,1.75,1.75,44400,-35.89999999999782,36500,245800.0,N,42250.0,Y,22.9,24.6,27.45,21.55,45.27
2025-01-30 13:00:00,-6.699999999999999,2863100.0,180,717025,757925,-6.849999999999998,-6.850000000000001,-40900,-33.5,36775,113025.0,N,-5600.0,YES,23.4,16.7,28.05,16.05,44.81
2025-01-30 13:05:00,-1.5999999999999996,4674475.0,180,1282125,1234000,-1.200000000000001,-1.1500000000000021,48125,-30.05000000000109,50475,12375.0,N,-49100.0,YES,17.2,15.6,20.1,12.35,43.95
2025-01-30 13:10:00,-2.5999999999999996,2416550.0,180,1198825,1129400,-3.299999999999999,-3.3500000000000014,69425,-27.849999999999454,40625,-306300.0,Y,90675.0,Y,15.7,13.1,17.4,12.45,43.5
2025-01-30 13:15:00,-3.0500000000000007,4275975.0,180,1718925,1456900,-3.0500000000000007,-3.0500000000000007,262025,-26.899999999998727,44400,-187725.0,YES,-8725.0,YES,12.9,9.85,13.9,9.75,42.65
2025-01-30 13:20:00,2.0999999999999996,4366725.0,180,1913650,1618125,2.1500000000000004,2.1500000000000004,295525,-24.649999999999636,54700,-160525.0,YES,-95700.0,YES,10.0,12.1,12.95,8.8,41.8
2025-01-30 13:25:00,5.599999999999998,7396000.0,181,809600,765050,4.550000000000001,4.6,44550,-30.25000000000091,40550,-76225.0,YES,29400.0,Y,12.8,18.4,22.8,11.75,40.73
2025-01-30 13:30:00,-3.1999999999999993,5437350.0,180,897650,847900,-3.200000000000001,-3.1999999999999993,49750,-30.850000000000364,42100,91700.0,YES,73225.0,Y,18.65,15.45,18.8,11.15,39.95
