last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
13-03-2025 13:40,-1.05,-3.9,-1.1,-30975,-647.1,19575,900,N,1275,Y,-0.23,22485.95,22484.9,13-03-2025 13:40,-0.85,-0.75,-0.75,5670150,-20.35,132975,298800,N,135375,YES,4.25,3.4,4.6,3.1,-0.32,13-03-2025 13:40,1.95,1.3,1.35,-134775,-58.35,66150,-35700,Y,-71250,YES,66.55,68.5,70.95,62.05,0.11
13-03-2025 13:45,-4.55,-4.45,-5.05,9750,-644.2,19350,2550,N,2775,N,-0.28,22484.9,22480.35,13-03-2025 13:45,0,-0.1,-0.1,3812475,-19.25,123825,-370800,YES,402825,YES,3.35,3.35,3.95,2.85,-0.27,13-03-2025 13:45,9,8.25,8.25,-4425,-60.7,56700,-69525,Y,-36600,Y,68.65,77.65,78,64.75,0.17
13-03-2025 13:50,4.65,3.95,5.55,-80025,-827.65,22800,12450,N,-4425,Y,-0.21,22480.35,22485,13-03-2025 13:50,0.75,0.65,0.65,2950875,-19.8,126675,58050,Y,-600900,Y,3.3,4.05,5.3,3.1,-0.32,13-03-2025 13:50,-6.25,-5.8,-5.7,3450,-62.05,57675,434550,YES,59175,Y,77.05,70.8,77.45,65.8,0.11
13-03-2025 13:55,-6.6,-4.5,-7.4,1725,-1033.85,22875,7275,N,5775,N,-0.24,22485.15,22478.55,13-03-2025 13:55,-0.7,-0.7,-0.7,7210650,-19.85,135975,283500,Y,568275,YES,4.05,3.35,5.25,3.35,-0.31,13-03-2025 13:55,12.3,12.55,12.65,40200,-66.85,62700,-451200,Y,-250050,YES,70.8,83.1,83.6,66.15,0.2
13-03-2025 14:00,-0.5,1.05,2.65,1125,-831.7,22950,6300,N,6075,N,-0.28,22478.55,22478.05,13-03-2025 14:00,0.1,0.1,0.1,11391075,-19.95,134775,24450,N,320250,N,3.3,3.4,4.15,2.95,-0.24,13-03-2025 14:00,-4.65,-4.95,-4.9,27900,-64.7,60300,-28800,YES,131625,Y,82.75,78.1,82.75,69.75,0.18
13-03-2025 14:05,-6.85,-6.65,-7,-243075,-667.75,28500,6150,N,5550,N,-0.42,22478.05,22471.2,13-03-2025 14:05,-0.65,-0.65,-0.65,12783975,-19.8,136725,-113025,YES,255450,N,3.4,2.75,3.5,2.65,-0.24,13-03-2025 14:05,2,2.1,2.2,-43575,-68,55725,-216075,Y,-45075,YES,78.05,80.05,87.15,73.75,0.22
13-03-2025 14:10,-3.1,-0.55,1,-6675,-1106.85,30375,-9450,YES,-10575,Y,-0.6,22474,22470.9,13-03-2025 14:10,-0.15,-0.2,-0.2,-4509750,-18.8,139125,454350,Y,-829650,Y,2.8,2.65,2.8,2.05,-0.27,13-03-2025 14:10,-0.7,-1.15,-1.15,-45000,-70.8,49050,-154800,YES,5625,Y,79.3,78.6,88,78.1,0.19
13-03-2025 14:15,-6.95,-10.8,-11.15,-49050,-1179,27675,1500,N,9375,N,-1.3,22470.8,22463.85,13-03-2025 14:15,-1,-1.05,-1.05,22947900,-19.2,135675,-1768350,YES,871500,YES,2.6,1.6,2.6,1.55,-0.32,13-03-2025 14:15,12.8,12.5,12.6,-46050,-77.1,50100,-103650,YES,-190500,YES,78.6,91.4,95.75,78.25,0.3
13-03-2025 14:20,-15.8,-11.95,-10.35,11250,-1240.35,42000,-46275,YES,4125,N,-3.88,22463.85,22448.05,13-03-2025 14:20,-0.4,-0.4,-0.4,-365625,-18.6,127275,-695250,Y,657975,N,1.65,1.25,1.75,1.2,-0.28,13-03-2025 14:20,1.55,1.55,1.65,-56400,-83.95,49125,-175050,Y,-59700,Y,91.25,92.8,98.7,88.45,0.27
13-03-2025 14:25,-0.55,-2,-0.35,6300,-1175.25,34800,19125,Y,5775,N,-1.17,22453.65,22453.1,13-03-2025 14:25,-0.25,-0.25,-0.25,13735200,-18.9,118575,506925,Y,-361275,Y,1.25,1,1.35,0.95,-0.2,13-03-2025 14:25,2.6,2.55,2.6,-5850,-87.7,50250,-473400,Y,95400,Y,92.6,95.2,97.55,89.35,0.18
13-03-2025 14:30,-4.85,-4.85,-6.25,-68175,-971.55,42525,3225,N,20850,N,-2.19,22448,22443.15,13-03-2025 14:30,-0.45,-0.4,-0.4,54259500,-18.4,137775,-1117875,YES,2183025,YES,1,0.55,1.05,0.55,-0.25,13-03-2025 14:30,7.2,7.7,7.65,-50250,-86.4,55275,-290325,YES,-109500,YES,95.6,102.8,104.1,92,0.23
13-03-2025 14:35,3,-1.25,-1.95,9450,-998.1,32400,-525,YES,-15750,Y,-2.26,22442,22445,13-03-2025 14:35,0.1,0.15,0.15,65400600,-17.25,89400,2358600,Y,-3164475,Y,0.6,0.7,0.75,0.55,-0.22,13-03-2025 14:35,-4.9,-4.55,-4.45,1050,-84.4,50850,-256725,YES,80400,Y,103.1,98.2,105,98.2,0.18
13-03-2025 14:40,2.7,3.8,2,-98775,-588.85,36075,-42525,YES,-26475,Y,-0.65,22445,22447.7,13-03-2025 14:40,-0.15,-0.15,-0.15,109191975,-18.65,126150,-2481825,YES,646725,YES,0.75,0.6,0.8,0.55,-0.17,13-03-2025 14:40,-3.4,-3,-2.95,10575,-83.95,52350,-643200,Y,-62475,YES,98.15,94.75,100.6,93.85,0.14
13-03-2025 14:45,-7.7,-7.65,-7.1,-158550,-381.65,37725,10125,Y,13950,YES,-0.94,22447.7,22440,13-03-2025 14:45,-0.15,-0.15,-0.15,126110775,-18.45,119625,-2514975,YES,829950,YES,0.55,0.4,0.75,0.4,-0.22,13-03-2025 14:45,9.05,9.1,9.25,-300,-81.15,53325,-945150,Y,-169425,YES,94.65,103.7,103.7,93.05,0.14
