last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
07-04-2025 10:05,-5.2,250575,179,146550,136125,-0.5,0.05,10425,-1025.3,38325,199800,Y,-21075,Y,22111.44,22073.05,22067.85,22094.95,22045.1,07-04-2025 10:05,5.15,730875,175,108975,101700,6.25,6.25,7275,-152.25,36525,7200,N,-2625,Y,179.6,184.75,190.45,172.15,223.99,07-04-2025 10:05,6.1,415575,179,70725,83475,5.95,6.1,-12750,-262.15,37575,-5175,Y,2325,YES,349.6,355.7,373.75,339.2,320.82
07-04-2025 10:10,-60.9,295800,174,685725,99975,-63.05,-60,585750,-1103.55,38325,-31950,YES,10725,YES,22109.23,22068.65,22007.75,22083.9,22001.35,07-04-2025 10:10,-22.65,1120125,180,104325,116100,-21,-20.9,-11775,-142.2,37275,-17250,YES,24750,YES,184.55,161.9,187.65,160,221.2,07-04-2025 10:10,51.75,608100,173,78150,82800,47.65,47.9,-4650,-293.85,39150,-34125,Y,-15825,YES,355.3,407.05,410,350,323.02
07-04-2025 10:15,12.8,265650,180,144075,75150,12.5,13.15,68925,-1525.45,35625,-7125,Y,58200,YES,22106.7,22010.05,22022.85,22033.95,21990,07-04-2025 10:15,5.75,1215225,180,90975,108450,6.5,6.45,-17475,-140.9,36975,15075,Y,-9525,Y,163.25,169,170.05,157.8,218.14,07-04-2025 10:15,-10.8,601800,181,71175,68700,-10.1,-10.1,2475,-325.1,37125,-36750,Y,2475,N,405.7,394.9,419.3,388.5,325.76
07-04-2025 10:20,3.7,188325,170,108975,73350,9.95,8.4,35625,-1486.15,33975,59325,Y,18375,N,22105.47,22023.9,22027.6,22052.2,22018.3,07-04-2025 10:20,4.5,775800,180,87300,108825,4.1,4.35,-21525,-155.65,34950,975,YES,-8625,N,170,174.5,183.6,169.05,216.76,07-04-2025 10:20,-6.8,305925,176,70350,69375,-6.2,-6.3,975,-320.15,37200,10200,YES,5550,N,395.45,388.65,395.45,377.65,326.8
07-04-2025 10:25,57.65,124200,175,167550,85875,60.5,56.65,81675,-1195.25,33375,25200,N,-7350,Y,22104.75,22032.35,22090,22090,22009.6,07-04-2025 10:25,30.75,1000950,178,123900,117750,29.3,29.35,6150,-152.95,36600,28575,Y,-60600,Y,174.15,204.9,204.9,166.25,215.47,07-04-2025 10:25,-35.25,320100,173,72900,72900,-34.9,-34.9,0,-299.35,36600,55425,YES,10575,N,388.65,353.4,402.6,352.8,327.71
07-04-2025 10:30,-6.45,232200,139,83625,57450,-8.85,-9.55,26175,-1019.05,26625,52275,Y,-4200,N,22103.6,22060,22053.55,22078.25,22043.05,07-04-2025 10:30,-5,579975,155,99225,107850,-5.35,-5.35,-8625,-128.15,32175,6150,N,15450,YES,194.75,189.75,199.05,185.1,214.76,07-04-2025 10:30,6.05,206775,154,68550,55125,7.45,7.55,13425,-241.5,30750,-338250,Y,5775,N,370.35,376.4,380.4,362.65,328.32
07-04-2025 10:35,-1.1,91200,163,108750,84975,-1.55,-1.4,23775,-1317,30600,29775,N,150,N,22103.1,22052.3,22051.2,22064.8,22025,07-04-2025 10:35,2.8,606975,180,119625,112650,1.55,1.5,6975,-141,38400,-3150,YES,-1050,Y,190.1,192.9,195.45,176.9,214.07,07-04-2025 10:35,2.2,217725,170,56850,63225,3.8,3.95,-6375,-271.45,34050,28125,YES,6975,N,376.4,378.6,395.4,371.95,328.98
07-04-2025 10:40,51.35,147975,168,112500,138900,50.8,52.7,-26400,-1259.2,34875,6225,N,-12150,Y,22102.94,22050.55,22101.9,22122.4,22042.1,07-04-2025 10:40,30.2,1101225,180,109725,116100,29.25,29.3,-6375,-162.6,37200,30300,Y,-45675,Y,192.9,223.1,228.55,190.9,213.99,07-04-2025 10:40,-22.25,314100,176,54900,62925,-22.35,-22.5,-8025,-282.8,35925,-15975,Y,-4125,YES,378,355.75,387.15,349,329.56
07-04-2025 10:45,20,165225,166,165150,131400,16,15.95,33750,-1475.75,35625,31425,Y,16275,YES,22102.88,22115,22135,22135,22066,07-04-2025 10:45,8.6,1062525,180,112725,129225,9.1,9.1,-16500,-170.4,37050,-19425,YES,-15450,YES,223.1,231.7,234.15,197.55,214.08,07-04-2025 10:45,-15.15,360525,176,67425,69300,-15.7,-15.75,-1875,-267.55,37350,-10800,N,150,N,354.9,339.75,372.2,336.4,330.08
07-04-2025 10:50,-17.7,221925,166,170475,162450,-11.85,-9.75,8025,-1439.4,34425,2550,YES,14025,N,22103.86,22134.7,22117,22180,22110.05,07-04-2025 10:50,-5.4,1695450,168,94425,120000,-5.75,-5.8,-25575,-171.05,32475,-50025,YES,-9225,N,229,223.6,253.5,218.85,215.47,07-04-2025 10:50,3.25,506175,171,64650,82575,2.4,2.35,-17925,-226.1,32550,19425,YES,12825,N,340.8,344.05,349,313.85,330.06
