last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close
19-12-2024 10:20,23.9,24.85,24.15,-41825,-1174.9,16775,1750,N,1500,N,0.48,23974.1,23998,19-12-2024 10:20,0.45,0.5,0.5,214075,-26.95,66900,43000,Y,61300,YES,12.4,12.85,14.15,11.95,-0.31,19-12-2024 10:20,-11.9,-12.15,-12.1,-400,-159.05,26600,-4475,Y,7550,Y,182.5,170.6,185.8,163.35,-0.24,19-12-2024 10:20,23924.55,23955.3,23923.7,23951.65
19-12-2024 10:25,9.8,7.45,6.4,-24275,-1030.6,17250,-6725,YES,5850,N,0.36,23997,24006.8,19-12-2024 10:25,0.45,0.5,0.5,693650,-27.75,70100,97175,Y,-79650,Y,12.7,13.15,14.05,11,-0.36,19-12-2024 10:25,-8.3,-9.4,-9.4,-42325,-162.25,30850,9650,N,16525,N,171.3,163,175.65,160.05,-0.27,19-12-2024 10:25,23951.65,23964.05,23944.3,23960.85
19-12-2024 10:30,-2.4,-2.25,-2.1,-22500,-1109.95,18275,5000,N,3825,N,0.7,24007.3,24004.9,19-12-2024 10:30,-0.15,-0.1,-0.1,472975,-24.6,57150,42000,N,71825,YES,12.9,12.75,14.25,12.35,-0.25,19-12-2024 10:30,2.2,1.35,1.25,-17425,-139.75,25250,500,Y,-8025,YES,163.3,165.5,167,155.6,-0.48,19-12-2024 10:30,23960.45,23969.5,23954.95,23959.45
19-12-2024 10:35,-4.6,-0.9,-0.05,-13700,-1307.55,14625,7250,N,1825,Y,0.23,24004.9,24000.3,19-12-2024 10:35,-0.6,-0.55,-0.55,195225,-25.65,68575,97900,Y,6250,N,12.75,12.15,13.55,11.7,-0.24,19-12-2024 10:35,-3.8,-3.45,-3.3,-29350,-149.5,31425,6075,N,15750,Y,166.15,162.35,171,160.6,-0.28,19-12-2024 10:35,23960.35,23963.8,23950.85,23960.3
19-12-2024 10:40,4.35,4.8,1.95,70325,-991.65,23250,-5650,YES,625,Y,0.47,23998.8,24003.15,19-12-2024 10:40,0.15,0.15,0.2,47750,-25.85,69100,86825,N,26550,YES,12.25,12.4,13.35,11.95,-0.18,19-12-2024 10:40,0.35,0.15,0.15,8525,-146.4,29600,1050,Y,250,YES,162.9,163.25,163.9,155,-0.34,19-12-2024 10:40,23959.95,23968.1,23958.45,23963.45
19-12-2024 10:45,-20.15,-20.65,-18.6,-5050,-751.9,11750,-7875,YES,2450,N,0.15,24003.15,23983,19-12-2024 10:45,-2.7,-2.5,-2.45,82875,-21.75,60125,-182550,YES,47100,YES,12.3,9.6,12.75,9.6,-0.28,19-12-2024 10:45,11.45,11,11.25,6000,-126.55,25075,8475,N,2900,N,162.9,174.35,174.35,158.8,-0.23,19-12-2024 10:45,23959.85,23965,23942.8,23942.9
19-12-2024 10:50,0.85,0.8,-1.1,-300,-933.7,14550,-325,N,-1825,Y,0.06,23983,23983.85,19-12-2024 10:50,-0.55,-0.5,-0.5,152250,-20.4,61825,91500,Y,-44725,Y,9.5,8.95,10.05,8.95,-0.25,19-12-2024 10:50,-1.95,-2.65,-2.8,33575,-156.1,29350,4750,N,31275,Y,174.3,172.35,177.35,165.35,-0.17,19-12-2024 10:50,23943,23952.6,23941.2,23947.45
19-12-2024 10:55,-1.4,-2.35,-0.7,8850,-597.65,10850,8275,N,-1200,N,0.01,23985.55,23984.15,19-12-2024 10:55,0.15,0.1,0.1,363775,-20.1,66600,312750,Y,-18825,YES,8.9,9.05,9.35,8.55,-0.22,19-12-2024 10:55,0.3,1.15,1.1,22550,-158.95,27600,-4150,Y,-12875,YES,172.2,172.5,178.1,168.65,-0.05,19-12-2024 10:55,23947.9,23951.4,23939.45,23946.65
19-12-2024 11:00,-9,-7.35,-8.9,-9600,-679.65,10400,1650,YES,8825,N,0.01,23987,23978,19-12-2024 11:00,-0.25,-0.15,-0.15,-268300,-19.35,69900,-162250,YES,67475,YES,9,8.75,9.4,8.5,-0.2,19-12-2024 11:00,8.2,8.4,8.45,67025,-144.2,30725,-12750,Y,-28900,YES,172.55,180.75,185.2,171.95,0.06,19-12-2024 11:00,23946.55,23953.35,23932.85,23938.55
19-12-2024 11:05,4.55,2.55,2.8,-24250,-533.9,11300,-675,YES,5525,N,0.01,23977.45,23982,19-12-2024 11:05,2.2,1.8,1.75,-128600,-21.7,76825,-18125,Y,-282925,Y,8.8,11,11,8.75,-0.16,19-12-2024 11:05,2.2,2.5,2.4,2975,-166.2,28500,10925,YES,-16725,N,181.3,183.5,184,172.8,0.01,19-12-2024 11:05,23938.2,23948.9,23936.6,23938.2
19-12-2024 11:10,0.4,0.5,0.25,-6300,-552.05,16450,3675,N,-2025,Y,-0.01,23982,23982.4,19-12-2024 11:10,-1.95,-1.65,-1.65,-820600,-23.05,81400,129050,Y,106725,YES,11.05,9.1,11.05,8.8,-0.21,19-12-2024 11:10,-4.65,-4.7,-4.75,186925,-161.9,33200,-4675,Y,28550,Y,183.15,178.5,186.5,178.2,0.09,19-12-2024 11:10,23938.8,23944.9,23934.4,23942.25
19-12-2024 11:15,10.6,9.9,9.1,3575,-761.65,10900,-1325,YES,1900,N,0.06,23980.75,23991.35,19-12-2024 11:15,1.05,0.95,0.95,441450,-22.85,106375,57975,N,-43750,Y,9.15,10.2,10.3,8.85,-0.16,19-12-2024 11:15,-9,-8.15,-8.15,-975,-166.5,30925,-8150,Y,4650,N,178.45,169.45,178.45,166.8,-0.07,19-12-2024 11:15,23941.5,23954.45,23941.5,23952.05
19-12-2024 11:20,-3.2,1.75,-0.4,-103425,-697.65,12350,975,N,1575,Y,0.06,23995.55,23992.35,19-12-2024 11:20,0.2,0.15,0.2,729675,-21.75,85650,22900,N,106525,YES,10.05,10.25,10.6,9.05,-0.19,19-12-2024 11:20,-1.65,-2.1,-2.1,14700,-140.9,30900,5275,N,-14450,YES,169.55,167.9,175.75,163.85,-0.08,19-12-2024 11:20,23951.4,23958.8,23943.65,23955
19-12-2024 11:25,3.75,1.15,0.95,-14100,-633.1,10600,-1850,YES,875,Y,0.1,23992.35,23996.1,19-12-2024 11:25,-0.6,-0.6,-0.6,60075,-22.9,77025,-162975,YES,44150,N,10.2,9.6,11.55,9.55,-0.22,19-12-2024 11:25,3.1,2.85,2.9,22725,-126.75,28500,26950,YES,-24250,YES,167.2,170.3,171.05,160.5,-0.16,19-12-2024 11:25,23954.05,23961.8,23949.8,23951.6
19-12-2024 11:30,1.9,2.2,1.9,-47450,-593.05,10375,-200,N,200,Y,0.06,23996.1,23998,19-12-2024 11:30,0,0.05,0.05,851350,-22.75,91750,154325,Y,-49150,Y,9.75,9.75,10.05,8.85,-0.19,19-12-2024 11:30,-5.95,-5.5,-5.55,52250,-149.4,30500,-41500,Y,15650,Y,169.85,163.9,171.7,163.85,-0.08,19-12-2024 11:30,23950.85,23957.35,23945.25,23957.35
19-12-2024 11:35,30.75,30.85,31.55,-64375,-960.3,13625,-7725,YES,-110850,Y,2.91,23998,24028.75,19-12-2024 11:35,6.35,6.25,6.25,44575,-28,81750,-102050,YES,-266525,Y,9.8,16.15,24.55,9.65,-0.2,19-12-2024 11:35,-29.85,-29,-29.05,-26400,-135.45,27675,-73175,Y,17075,N,164.35,134.5,165.2,119.1,-1.89,19-12-2024 11:35,23956.25,24004.9,23952.75,23988.1
19-12-2024 11:40,-14.1,-17.05,-14.7,36825,-1079.15,16875,15325,Y,9750,YES,0.48,24029.45,24015.35,19-12-2024 11:40,-6.65,-6.65,-6.6,128675,-27,83250,88425,Y,255500,YES,15.9,9.25,16.45,8.85,-0.4,19-12-2024 11:40,17.55,17.2,17.3,-584175,-134.3,25950,33775,YES,-9300,YES,134.45,152,154.5,131.7,-1.04,19-12-2024 11:40,23986.35,23991.05,23965.15,23969.4
19-12-2024 11:45,15.1,13.05,15.3,275,-1030.1,14425,4150,N,900,Y,0.52,24014.4,24029.5,19-12-2024 11:45,2.15,2.1,2.1,42500,-24.65,91800,266925,Y,126200,N,9.25,11.4,12.95,9.25,-0.21,19-12-2024 11:45,-13.2,-13.2,-13.25,3475,-120.95,26950,37150,N,9775,N,153.2,140,153.2,135.65,-0.67,19-12-2024 11:45,23968.6,23982.8,23967.1,23977.35
19-12-2024 11:50,-17.85,-18.1,-16,134150,-878.1,14450,-575,YES,4925,N,0.33,24029.95,24012.1,19-12-2024 11:50,-1.8,-1.9,-1.9,706825,-24.55,66450,-85750,YES,102050,N,11.4,9.6,12.4,9.05,-0.2,19-12-2024 11:50,10.85,11.5,11.6,19375,-129.4,27875,18525,N,-3975,YES,140.05,150.9,152.65,137.25,-0.5,19-12-2024 11:50,23976.9,23982.6,23957.35,23960.25
19-12-2024 11:55,1.65,7.1,5.7,-8700,-876.9,12225,-700,YES,7250,N,0.18,24013.9,24015.55,19-12-2024 11:55,0.6,0.6,0.6,1027600,-24.6,107400,-197225,YES,106825,N,9.55,10.15,11.1,9.4,-0.14,19-12-2024 11:55,-6.55,-6.5,-6.6,45550,-123.95,30500,4025,N,23400,Y,151.4,144.85,152.4,143.35,-0.34,19-12-2024 11:55,23959.8,23970.05,23957,23965.25
19-12-2024 12:00,0.45,0.45,-2.7,26525,-593.8,12175,-450,N,825,Y,0.17,24015.55,24016,19-12-2024 12:00,-0.7,-0.65,-0.65,-70100,-24.2,115800,-114825,Y,86925,N,10.1,9.4,10.85,8.8,-0.14,19-12-2024 12:00,-1.2,-1.25,-1.25,13275,-119.95,30200,5775,N,1950,YES,145.45,144.25,148.15,140.7,-0.38,19-12-2024 12:00,23964.1,23968.25,23956.2,23963.2
19-12-2024 12:05,14.2,12.3,15.05,-10975,-859.95,9925,-2425,YES,-3000,Y,0.17,24016.8,24031,19-12-2024 12:05,0.3,0.25,0.25,853300,-18.25,73600,88225,Y,-21300,Y,9.5,9.8,9.95,8.5,-0.18,19-12-2024 12:05,-13.25,-13.3,-13.35,1475,-100,26450,-18775,Y,11575,N,143.5,130.25,145.9,130.25,-0.61,19-12-2024 12:05,23963.45,23984.05,23959.65,23983.6
19-12-2024 12:10,1.15,1.9,1.15,-3300,-1112.2,13600,1150,N,15800,N,0.3,24033.75,24034.9,19-12-2024 12:10,0.2,0.4,0.4,479550,-22.75,117300,-216275,YES,43025,YES,10.2,10.4,10.5,9.15,-0.15,19-12-2024 12:10,3.1,1.9,1.95,-21825,-116.1,30600,55550,YES,8475,N,128.65,131.75,134.75,128.65,-0.53,19-12-2024 12:10,23983.45,23991.25,23978.2,23988.8
19-12-2024 12:15,-11.9,-10,-9.9,67675,-849.2,11275,-975,YES,-3725,Y,0.35,24034.9,24023,19-12-2024 12:15,-2.1,-2,-2.05,394625,-22.85,116175,-432700,YES,201175,YES,10.4,8.3,10.9,8.05,-0.21,19-12-2024 12:15,2.05,2.45,2.5,-46200,-104.2,31375,-31250,Y,-8050,YES,131.5,133.55,136.9,127.6,-0.77,19-12-2024 12:15,23988.15,23993,23971.45,23975.2
19-12-2024 12:20,7,6,5,-349300,-879.55,12450,5025,N,1900,N,0.44,24023,24030,19-12-2024 12:20,0.4,0.3,0.3,146225,-20.6,103575,71050,Y,-45300,Y,8.15,8.55,9.2,8,-0.13,19-12-2024 12:20,-2.2,-1.9,-1.9,10875,-120.05,28150,-12250,N,9750,N,134.4,132.2,137.5,129.95,-0.37,19-12-2024 12:20,23974.65,23983.7,23971.65,23981.2
19-12-2024 12:25,-4.45,-3.2,-4.15,-10650,-588.85,11425,1300,YES,3425,N,0.2,24030,24025.55,19-12-2024 12:25,0.2,0.25,0.25,102725,-20.45,110250,-5525,YES,-33150,N,8.65,8.85,9.7,8.6,-0.13,19-12-2024 12:25,0.9,0.95,1.15,-25075,-117.25,27725,-1875,N,4850,N,132.15,133.05,134.55,128.15,-0.41,19-12-2024 12:25,23982.1,23989.4,23974.8,23980.85
19-12-2024 12:30,-7.5,-6.95,-7.55,14825,-563.9,8525,375,YES,-750,Y,0.17,24026,24018.5,19-12-2024 12:30,-1,-0.7,-0.7,1099200,-17.7,80375,-7475,YES,65700,YES,8.8,7.8,9.55,7.65,-0.14,19-12-2024 12:30,4.4,3.55,3.55,-42625,-107.1,24575,-7475,Y,-22850,YES,132.7,137.1,138.7,131,-0.43,19-12-2024 12:30,23980.3,23983.5,23969.9,23972.05
19-12-2024 12:35,7.35,1.8,6.6,-7325,-680.3,12875,2175,N,-1050,Y,0.16,24018.5,24025.85,19-12-2024 12:35,0.45,0.45,0.45,729900,-19.3,86575,-4725,N,-165400,Y,7.8,8.25,8.4,6.95,-0.14,19-12-2024 12:35,-1.85,-2.2,-2.15,3100,-119.2,31550,-165925,Y,22175,Y,137.1,135.25,140.7,134.35,-0.43,19-12-2024 12:35,23971.75,23975.45,23964.95,23972.05
19-12-2024 12:40,-9.6,-4.25,-9.35,-19350,-969.7,9250,1300,YES,4375,N,0.15,24025.1,24015.5,19-12-2024 12:40,-1.15,-1.15,-1.15,57525,-20.3,125350,140400,Y,45275,YES,8.3,7.15,8.6,6.6,-0.17,19-12-2024 12:40,4.05,4.15,4.15,-116650,-109.45,35400,20950,YES,-34400,YES,135.05,139.1,140,130.2,-0.5,19-12-2024 12:40,23971.8,23980.25,23959.6,23962.25
19-12-2024 12:45,-5.15,-5.15,-2.25,8900,-638,13100,8900,N,3575,N,0.14,24015.55,24010.4,19-12-2024 12:45,-0.75,-0.8,-0.8,534875,-18.65,82600,-311450,YES,175,Y,7.15,6.4,7.35,6.15,-0.13,19-12-2024 12:45,3.9,3.65,3.65,-29125,-115.55,28175,3125,N,-5275,Y,138.6,142.5,145.5,138.6,-0.42,19-12-2024 12:45,23962.65,23964.4,23950.05,23954.85
19-12-2024 12:50,5.6,5.6,3.05,24975,-803.1,11800,42550,Y,-3025,Y,0.16,24010.4,24016,19-12-2024 12:50,0.1,0.1,0.1,421825,-15.45,77975,-42250,Y,119375,YES,6.4,6.5,6.95,6.35,-0.08,19-12-2024 12:50,-4.05,-4.4,-4.45,-72625,-100.75,25400,-41975,Y,8875,N,142.75,138.7,143.3,137,-0.35,19-12-2024 12:50,23954.25,23960.15,23952,23955.65
19-12-2024 12:55,0.25,0.25,2.05,-4750,-637.05,11100,2300,YES,-775,N,0.3,24016,24016.25,19-12-2024 12:55,1.1,1.15,1.15,368975,-19,91575,196100,Y,-196300,Y,6.5,7.6,7.9,6.4,-0.09,19-12-2024 12:55,-0.6,-0.55,-0.55,-9150,-118.1,31900,10150,YES,13350,N,138.65,138.05,140,136.8,-0.17,19-12-2024 12:55,23955.85,23960.5,23953,23958.55
19-12-2024 13:00,3.1,3.7,1.05,9700,-900.45,10175,225,YES,1075,N,0.18,24016.25,24019.35,19-12-2024 13:00,0.4,0.45,0.45,590700,-19.85,84150,-332300,YES,-98725,YES,7.6,8,8.65,7.25,-0.13,19-12-2024 13:00,0.2,0.2,0.35,-1900,-106.15,32275,-275025,Y,-22925,YES,138.05,138.25,140.6,132.6,-0.53,19-12-2024 13:00,23959.05,23972.95,23956.05,23967.25
19-12-2024 13:05,3.5,3.65,2.55,-36250,-635.6,9100,5700,N,-2450,Y,0.07,24020,24023.5,19-12-2024 13:05,-1.2,-1.1,-1.1,726725,-19.8,98875,-68025,Y,35550,YES,7.95,6.75,8.2,6.35,-0.11,19-12-2024 13:05,-2.65,-2.5,-2.45,5475,-113.65,31300,-18375,YES,6950,Y,138.55,135.9,141.75,135.35,-0.17,19-12-2024 13:05,23966.3,23973.5,23962.1,23972
19-12-2024 13:10,-8.5,-8,-6,-19950,-702.8,11550,-5475,YES,2075,N,0.11,24023.5,24015,19-12-2024 13:10,-0.85,-0.75,-0.75,1264225,-19.55,71825,116125,Y,32850,N,6.75,5.9,6.85,5.85,-0.09,19-12-2024 13:10,4.5,4.9,4.9,69750,-125.6,38100,10275,YES,2350,YES,136.3,140.8,143.65,135.8,-0.24,19-12-2024 13:10,23971.4,23972.9,23956.6,23966.05
19-12-2024 13:15,-18.9,-19.3,-22.4,36300,-710.2,12075,-14200,YES,550,Y,0.13,24015.05,23996.15,19-12-2024 13:15,-0.95,-0.8,-0.8,445050,-19.75,83150,-189050,YES,41625,N,5.95,5,6.2,5,-0.13,19-12-2024 13:15,11.5,12.7,12.75,-58275,-122.55,37300,19300,N,-36325,YES,140.7,152.2,154.9,140,-0.33,19-12-2024 13:15,23966.15,23966.3,23940.35,23942.9
19-12-2024 13:20,9.65,4.35,7.05,34425,-872.9,11875,175,N,-2900,Y,0.07,23996.3,24005.95,19-12-2024 13:20,-0.5,-0.5,-0.5,280175,-16.9,72200,-11175,Y,-46550,Y,5,4.5,5.15,4.15,-0.23,19-12-2024 13:20,-3.7,-4,-4,-35700,-114.7,29000,-27600,Y,6275,Y,152.2,148.5,157.65,147.5,-0.21,19-12-2024 13:20,23941.45,23954.15,23936.3,23949.85
19-12-2024 13:25,4,4.25,4,16075,-1256,10175,-2750,YES,1625,N,0.1,24005.95,24009.95,19-12-2024 13:25,-0.95,-0.9,-0.9,3223700,-19.3,112775,29750,Y,-1100,YES,4.5,3.55,4.75,3.5,-0.17,19-12-2024 13:25,-2.9,-3,-3.05,125325,-117.85,40300,-10475,N,-5550,YES,148.5,145.6,148.55,142.3,-0.26,19-12-2024 13:25,23949.4,23958.6,23947.3,23951.4
19-12-2024 13:30,3.05,4.75,3.55,13875,-840.75,13075,2800,N,-1400,Y,0.1,24009.95,24013,19-12-2024 13:30,0.1,0.1,0.1,3285850,-17.05,72975,145150,Y,-119175,Y,3.65,3.75,3.85,3.3,-0.11,19-12-2024 13:30,-3.75,-3.6,-3.6,-59950,-102.85,24850,-66025,Y,1625,N,145.5,141.75,149,141.5,-0.21,19-12-2024 13:30,23951.6,23964.45,23944.3,23959.9
19-12-2024 13:35,-3.95,-0.95,-4.4,-60325,-429,8200,-1050,YES,3900,N,0.04,24013,24009.05,19-12-2024 13:35,0.25,0.45,0.45,4791075,-15.65,67275,33100,N,44650,YES,3.75,4,4.6,3.6,-0.08,19-12-2024 13:35,3.45,2.2,2.25,-37900,-81.15,25175,3950,YES,-4000,YES,141.7,145.15,145.15,141.7,-0.09,19-12-2024 13:35,23961.4,23962.35,23951.5,23954.85
19-12-2024 13:40,1.15,1.1,1,51950,-575.25,10750,-1075,YES,-675,Y,0.06,24005.4,24006.55,19-12-2024 13:40,-0.95,-0.9,-0.9,1547950,-19.55,93200,-150600,YES,195125,YES,4.05,3.1,4.1,3.1,-0.1,19-12-2024 13:40,1.95,1.95,1.9,-77100,-109.05,31175,-3225,Y,-2975,N,145.5,147.45,148.05,144.65,-0.11,19-12-2024 13:40,23955.4,23957.35,23947.7,23949.6
19-12-2024 13:45,-1.55,-4.85,-4.55,10825,-512.15,8950,1150,N,-825,Y,0.04,24006.55,24005,19-12-2024 13:45,0.5,0.55,0.55,1298400,-19.55,98250,175175,Y,-154100,Y,3.15,3.65,3.8,3.1,-0.09,19-12-2024 13:45,1.6,1.5,1.35,-76400,-111.1,31500,-30500,Y,-7650,YES,147.35,148.95,150,146.65,-0.09,19-12-2024 13:45,23950.9,23951.25,23944.1,23946.45
19-12-2024 13:50,3,5.35,4.95,7025,-895.55,10975,750,YES,-500,N,0.09,24005,24008,19-12-2024 13:50,0.45,0.45,0.45,418700,-16.85,94550,-235375,YES,-82125,YES,3.7,4.15,4.2,3.6,-0.11,19-12-2024 13:50,-3.35,-3.5,-3.5,57150,-97.5,28300,-9625,YES,7400,N,148.75,145.4,149.95,144.45,-0.11,19-12-2024 13:50,23946.5,23959.3,23945.25,23957.4
19-12-2024 13:55,0,-0.5,-1.95,-19750,-844.3,11950,2000,N,17525,N,0.06,24008,24008,19-12-2024 13:55,0.1,0.05,0.05,-1688900,-19.8,112575,-66650,Y,-1825,YES,4.15,4.25,4.4,3.75,-0.11,19-12-2024 13:55,-0.35,-0.3,-0.45,38800,-102.8,30550,-6650,N,-4950,YES,145.7,145.35,148.05,143.6,-0.11,19-12-2024 13:55,23956.85,23959.9,23950.1,23955
