last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,bid_price,ask_price,last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,bid_price,ask_price,last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,bid_price,ask_price
28-03-2025 14:49,23668.05,299025,472350,825,750,23668.63182,23670.85455,28-03-2025 14:49,40.1,4365150,1239975,4200,12675,40.46785714,40.59285714,28-03-2025 14:49,270.15,652050,111150,375,600,269.2772727,269.7954545
28-03-2025 14:49,23670,300750,470550,450,675,23667.78636,23669.96364,28-03-2025 14:49,40.65,4362150,1221150,7275,6225,40.425,40.55,28-03-2025 14:49,268,649950,114000,600,525,268.38,268.915
28-03-2025 14:49,23667.75,297975,477975,750,7500,23666.47857,23668.39286,28-03-2025 14:49,39.5,4353000,1266150,4425,4650,40.11666667,40.21666667,28-03-2025 14:49,271.55,652050,114525,750,525,269.5388889,270.1277778
28-03-2025 14:49,23667.75,296700,476925,1125,7275,23665.92083,23667.2625,28-03-2025 14:49,40.25,4363350,1240275,6225,7800,39.9,40.025,28-03-2025 14:49,269.35,652725,110175,1875,525,269.9541667,270.4666667
28-03-2025 14:49,23668.65,299850,473700,525,3750,23667.60417,23668.875,28-03-2025 14:49,40.25,4360800,1234650,4275,6825,40.24642857,40.34642857,28-03-2025 14:49,268.35,653025,113325,450,600,267.9538462,268.5192308
28-03-2025 14:49,23674,300600,468975,525,525,23670.66429,23671.71429,28-03-2025 14:49,42,4378500,1214925,5025,7725,40.89333333,41.02333333,28-03-2025 14:49,263.7,650925,116475,525,825,265.7458333,266.3208333
28-03-2025 14:50,23676.45,302925,468375,600,450,23675.27273,23678.63636,28-03-2025 14:50,43.4,4385400,1178550,5175,3300,42.49615385,42.58461538,28-03-2025 14:50,259.65,648075,116025,525,1350,262.4357143,262.9392857
28-03-2025 14:50,23685,302250,466950,225,525,23679.99286,23682.50714,28-03-2025 14:50,43.65,4379175,1184250,3975,4500,43.5,43.62692308,28-03-2025 14:50,256.9,642225,113325,450,525,259.01,259.5566667
28-03-2025 14:50,23685,303075,463575,225,375,23683.865,23685.7,28-03-2025 14:50,45.05,4425750,1173750,4575,8850,44.55,44.65,28-03-2025 14:50,255,640425,113775,375,450,255.2090909,255.7181818
28-03-2025 14:50,23689,300225,461025,450,225,23686.6375,23689.48333,28-03-2025 14:50,45.4,4419150,1151025,5250,5025,45.34090909,45.48181818,28-03-2025 14:50,252.85,640050,108825,825,525,253.2269231,253.7884615
28-03-2025 14:50,23689,302850,463575,375,900,23687.11333,23690.44333,28-03-2025 14:50,45,4438575,1165875,4275,4950,45.89166667,46.01666667,28-03-2025 14:50,254.8,642675,109200,600,900,252.6705882,253.1088235
28-03-2025 14:50,23680.25,297675,465675,150,75,23682.32,23686.93,28-03-2025 14:50,43.8,4384350,1193175,5400,4800,44.63333333,44.775,28-03-2025 14:50,258.75,643650,104850,450,450,256.93,257.455
28-03-2025 14:51,23674.45,302250,464700,150,300,23677.81364,23682.57273,28-03-2025 14:51,42.65,4337775,1197150,6750,4575,43.38333333,43.50833333,28-03-2025 14:51,262.35,647325,106050,525,525,259.6125,260.1458333
28-03-2025 14:51,23683.95,301125,462600,375,525,23676.77667,23679.49333,28-03-2025 14:51,43.45,4348050,1190775,4200,6150,43.06363636,43.19545455,28-03-2025 14:51,260,648675,112800,600,675,260.440625,260.990625
28-03-2025 14:51,23680.25,304950,465300,300,675,23679.24286,23683.58571,28-03-2025 14:51,43.75,4372725,1194525,4050,10800,43.73928571,43.87142857,28-03-2025 14:51,259,646500,109950,450,675,258.7772727,259.3363636
28-03-2025 14:51,23685.3,302175,467775,300,675,23681.05909,23685.21818,28-03-2025 14:51,45.1,4396275,1197300,5775,6150,44.26923077,44.40384615,28-03-2025 14:51,254.25,643650,117075,525,525,257.7708333,258.2666667
28-03-2025 14:51,23686.55,304875,464775,300,1275,23684.65,23689.95385,28-03-2025 14:51,45.3,4400100,1211625,6000,5400,45.14545455,45.26363636,28-03-2025 14:51,255,645975,117150,450,450,254.2727273,254.8227273
28-03-2025 14:51,23689.1,305775,461175,150,1425,23686.10714,23690,28-03-2025 14:51,45.65,4415100,1194300,3975,5775,45.45416667,45.57916667,28-03-2025 14:51,252.4,646500,119025,600,825,253.375,253.85
28-03-2025 14:52,23685,305025,466725,300,450,23685.82778,23690.08333,28-03-2025 14:52,45.25,4385400,1205775,4500,3900,45.60833333,45.73333333,28-03-2025 14:52,254.9,648150,116775,675,675,253.38,253.945
28-03-2025 14:52,23680.55,305925,469050,300,750,23682.82083,23688.20833,28-03-2025 14:52,44.25,4379925,1222050,6000,4200,44.72727273,44.85909091,28-03-2025 14:52,257.75,653100,114300,600,750,256.3954545,256.9090909
28-03-2025 14:52,23681.55,303900,465450,300,150,23682.66875,23687.075,28-03-2025 14:52,44.8,4383225,1241475,5625,5400,44.55384615,44.70384615,28-03-2025 14:52,257.65,651750,114525,600,450,256.0875,256.6
28-03-2025 14:52,23684.15,302925,467025,1500,375,23680.78077,23684.31538,28-03-2025 14:52,43.8,4374450,1243350,4350,3750,44.05833333,44.1625,28-03-2025 14:52,259.85,649575,111075,525,900,258.3692308,258.8423077
28-03-2025 14:52,23680.55,302100,466125,1275,300,23680.38889,23684.51111,28-03-2025 14:52,44.25,4384200,1244475,6375,4200,43.59642857,43.71071429,28-03-2025 14:52,258.25,650700,112050,525,1650,258.9409091,259.4318182
28-03-2025 14:52,23680.1,301650,468600,1500,2175,23680.91667,23682.49167,28-03-2025 14:52,43.55,4376775,1240425,2850,4275,44.01818182,44.12727273,28-03-2025 14:52,260,649125,110325,750,600,257.895,258.395
28-03-2025 14:53,23680,300750,471525,1500,825,23678.82222,23680.35556,28-03-2025 14:53,43.15,4373475,1252875,4950,5025,43.23928571,43.37142857,28-03-2025 14:53,261.25,650775,111000,750,600,260.4,260.875
28-03-2025 14:53,23675.6,298725,473475,600,825,23677.92917,23680.13333,28-03-2025 14:53,43.15,4368525,1241850,5100,6150,43.2625,43.39166667,28-03-2025 14:53,261.8,649425,115875,750,600,260.3076923,260.8230769
28-03-2025 14:53,23679,302325,474300,375,975,23678.83182,23683.76364,28-03-2025 14:53,43.15,4386825,1247925,5625,3525,43.12692308,43.22692308,28-03-2025 14:53,260.5,648075,114450,450,675,260.2272727,260.7590909
28-03-2025 14:53,23683,299850,473550,600,450,23679.93333,23682.5,28-03-2025 14:53,44.35,4383150,1240800,5400,4125,43.54,43.67333333,28-03-2025 14:53,257,651600,114975,600,375,259.3233333,259.84
28-03-2025 14:53,23684,300525,475275,450,900,23680.86154,23682.75385,28-03-2025 14:53,44,4396200,1235550,6000,3900,43.95,44.08333333,28-03-2025 14:53,256.7,650775,114375,1050,450,257.9727273,258.5136364
28-03-2025 14:53,23683.7,305175,474450,150,450,23683.03125,23684.475,28-03-2025 14:53,44.7,4409025,1220250,5700,2850,44.45833333,44.575,28-03-2025 14:53,255.9,651900,114600,525,450,255.8318182,256.3772727
28-03-2025 14:54,23685.95,306150,480825,825,300,23685.32857,23686.47143,28-03-2025 14:54,44.15,4531350,1245900,7200,4500,44.74642857,44.85714286,28-03-2025 14:54,258,657375,116850,675,750,255.4384615,256.0038462
