last_traded_time,n_buy_corr,n_sell_corr,n_tb_ts,ce_buy_corr,ce_sell_corr,ce_tb_ts,pe_buy_corr,pe_sell_corr,pe_tb_ts,n_buy_diff,n_sell_diff,ce_buy_diff,ce_sell_diff,pe_buy_diff,pe_sell_diff,n_bid_diff,n_ask_diff,ce_bid_diff,ce_ask_diff,pe_bid_diff,pe_ask_diff,n_bid_price,n_ask_price,ce_bid_price,ce_ask_price,pe_bid_price,pe_ask_price,percentage,bid_ask_diff,bid_ask_diff,bid_ask_diff
28-03-2025 11:30,0.647305354,-0.646264004,-0.727341813,0.655670244,-0.819034956,-0.676588401,0.126874761,0.004368115,-0.199345445,-6375,1125,-36375,39975,-15075,10950,-75,150,-450,-525,300,0,-8.02272,-9.91818,-3.39227273,-3.39181818,6.9890909,6.9786364,50.03103439,-7.4,-0.2,-0.6
28-03-2025 11:35,0.754568142,-0.358465666,-0.324978507,0.911561122,-0.81287608,-0.724983752,0.508950117,-0.183569355,-0.383024452,4950,6300,31575,-9375,7875,-7950,-225,450,600,-150,75,-75,20.91666,19.24584,4.61923077,4.65,-13.9952381,-14.0130953,55.14419103,-6.5,-0.2,-0.6
28-03-2025 11:40,0.465685658,-0.201710356,-0.184404661,0.764385813,-0.895576595,-0.64358188,-0.405823281,-0.288575977,-0.254222462,-4125,2850,-77175,84975,-1350,-7950,4275,-675,300,-225,-75,0,-26.87777,-26.38333,-8.05416667,-8.07083333,20.5083333,20.5553571,45.59962982,-6.05,-0.2,-0.65
28-03-2025 11:45,0.239416151,-0.469625087,0.12814866,0.693010375,-0.46198567,-0.345988103,-0.284963799,0.230758557,-0.387295909,3525,-2025,50100,14550,10425,-8925,-3675,0,-225,1350,-75,150,9.74,9.21091,1.3409091,1.30909091,-7.5302564,-7.5482052,36.0132479,-6.9,-0.2,-0.75
28-03-2025 11:50,0.72014786,-0.014705447,-0.029458766,0.716811723,-0.651180867,-0.341460839,0.619619516,-0.816404582,-0.704184158,4800,4050,46650,8325,-6825,14250,-900,150,-300,-675,-450,225,9.37361,10.51111,2.37307692,2.38846154,-4.6397727,-4.6329545,51.26637509,-7.1,-0.2,-0.6
28-03-2025 11:55,-0.147992971,-0.453685026,0.249394589,0.699736844,-0.32868397,0.072555268,0.429276985,-0.114941971,0.45059028,3975,-75,19125,27975,4275,17550,-75,1650,1575,1275,0,-225,0.12564,-2.3,-0.01666667,-0.02261904,-2.8714286,-2.8940476,32.74286559,-7.1,-0.2,-0.6
28-03-2025 12:00,0.116318953,0.053264123,-0.240390934,0.393284765,-0.774521465,-0.022082539,0.680830666,-0.721338969,-0.343074395,4950,2100,1275,43725,4875,-3375,600,-150,-1650,1875,75,-450,-6.03334,-5.53333,-1.88076923,-1.81153847,2.5991667,2.6525,37.16785342,-7.05,-0.2,-0.6
28-03-2025 12:05,0.62114375,-0.051323163,-0.020585762,0.629579828,-0.604075726,-0.27876066,0.636636403,-0.412845451,-0.057971003,3000,2100,4425,-6900,-5475,6450,0,225,1800,-825,525,300,10.84615,10.80769,1.92747252,1.98296703,-5.2818182,-5.3681818,36.81024163,-6.65,-0.2,-0.6
28-03-2025 12:10,0.580658175,-0.745792913,-0.35349169,0.822003668,-0.844368607,-0.820972895,0.325935502,-0.108768356,0.544959445,-4425,5625,-39300,56700,11175,2100,-300,-525,-1575,-1125,225,-75,-10.12064,-8.03651,-3.55549451,-3.56483517,6.4282468,6.3759741,57.18834725,-6,-0.2,-0.6
28-03-2025 12:15,0.927021704,-0.549741857,-0.348908214,0.740694588,-0.65486651,-0.550807651,0.861912847,-0.968331095,-0.861536541,-19725,2475,-119775,40950,5700,-47850,1275,75,525,825,-75,-450,-43.24808,-43.74423,-11.39642857,-11.42857143,32.2839286,32.4125,71.82023342,-7.1,-0.2,-0.65
28-03-2025 12:20,0.813436364,-0.47610271,-0.397029772,-0.300581172,-0.888191346,0.202663495,-0.730760316,0.53599025,-0.670113149,-11325,3300,38325,62025,-11925,6450,-975,-600,2175,-1950,0,-75,-16.3802,-16.48344,-3.98076923,-3.99717948,14.4012821,14.4417948,55.72076194,-5.5,-0.15,-0.8
28-03-2025 12:25,0.167780178,-0.675458569,-0.484502036,0.8642724,-0.857409562,-0.793872531,-0.277517286,-0.727190666,-0.052146963,-9750,5625,-26925,29400,-4650,-1275,12000,225,6300,225,-75,-150,-8.89091,-5.22374,-2.28076923,-2.29807692,5.4534965,5.3804196,54.44611324,-6.6,-0.15,-0.75
28-03-2025 12:30,0.855805752,-0.450583277,-0.263728758,0.354458601,-0.701794768,-0.703346295,0.563549571,-0.922273484,-0.63678354,-43650,28050,36150,10125,-2250,-13200,-10125,225,-975,975,225,150,-25.19643,-24.66786,-1.22404762,-1.22452381,21.275,21.4928571,60.58137829,-5.85,-0.15,-1.15
28-03-2025 12:35,0.91606394,-0.839063913,-0.696757321,0.687466068,-0.528543233,-0.505846202,0.876669681,-0.896844539,-0.802147345,33075,-16050,93000,-56475,-15000,16350,225,-600,-5550,-450,0,-375,23.41818,23.48532,2.29285715,2.24285714,-22.4464286,-22.5892857,74.99335825,-6.55,-0.15,-0.95
28-03-2025 12:40,0.733916412,-0.347884098,-0.429654945,0.083601441,-0.715387165,0.372011415,0.108352095,-0.512045115,0.079955222,-1875,9000,3600,126300,675,-600,-1425,-225,20850,-1650,-300,-300,-0.04744,-2.04231,-0.87005494,-0.86648352,1.2189394,1.2962122,37.58675454,-6.25,-0.15,-0.95
28-03-2025 12:45,0.526729987,-0.729685654,-0.627113151,0.340912996,-0.310642471,-0.730409087,0.453400074,-0.456354875,0.035832937,8550,-1500,-28800,64050,-3525,8925,750,450,1875,1575,150,-225,6.5875,10.4375,0.48406594,0.49835165,-5.9604167,-5.9833333,46.78979146,-6.4,-0.15,-0.8
28-03-2025 12:50,0.573765018,0.092586266,0.210110693,0.708450296,-0.634690235,-0.519100559,-0.417688149,-0.877340114,0.636537217,225,4950,-1275,18225,3750,11025,-225,-75,1275,225,0,-150,0.86111,1.51111,0.63571429,0.6497619,-3.8275974,-3.8428571,51.89187274,-6.05,-0.15,-0.75
28-03-2025 12:55,0.666544972,-0.650593529,-0.401843408,-0.544576625,-0.670241462,-0.025010762,0.757320952,-0.427578981,-0.592281703,4050,14400,56025,44850,5100,-4350,525,225,7275,4875,-225,225,-1.06667,-0.84167,-2.04230769,-2.05,2.048951,2.0769231,52.62213772,-5.85,-0.15,-0.9
28-03-2025 13:00,0.872190148,-0.656166639,-0.511181345,0.882883391,0.139254972,0.293946907,-0.04615294,-0.905925191,0.079985472,-24900,975,-199875,-57300,-5250,-18000,1350,-525,-525,4200,-375,75,-38.22231,-37.57808,-6.90208333,-6.90625,30.0583333,30.0797619,48.75207782,-6.95,-0.15,-0.9
28-03-2025 13:05,0.876866054,-0.132735926,-0.162645373,0.914716242,-0.896389244,-0.887882243,0.846327151,-0.785499106,-0.760706694,26100,4650,123000,-84675,-6750,10875,-900,450,-1275,-750,300,75,18.2,20.43636,2.9875,3.00416667,-19.6197115,-19.7216346,69.59742258,-6.6,-0.15,-0.9
28-03-2025 13:10,0.650559458,-0.788696977,-0.495030971,0.658464561,-0.580036376,-0.564658453,0.301471479,-0.408925292,-0.717326166,2775,5850,-12525,23700,-375,-1200,450,-150,75,-375,150,300,-4.60944,-0.725,-0.55454545,-0.55454545,5.4875,5.4569444,57.3907748,-7.05,-0.15,-0.85
