last_traded_time,ltp,vol_traded_today,bid_size,ask_size,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
28-03-2025 10:20,23683,51675,123075,77475,45600,-2.15,31275,-5925,YES,7575,N,-0.46,23690.9,23683,60.25,1122825,525000,478200,10425,1.42E-14,50250,-32250,YES,61050,YES,-0.32,284.55,124575,91575,101175,-9600,0.25,40200,4350,N,-4950,YES,0.07
28-03-2025 10:25,23708,43500,70950,104250,-33300,0,26250,-6975,YES,-60375,Y,-0.23,23682.15,23708,69.15,1435725,462675,426675,7650,-0.05,50550,61200,Y,-83925,Y,-0.21,259.25,164325,76875,101475,-24600,0.25,34575,-6675,Y,11550,N,-0.23
28-03-2025 10:30,23780.9,192225,107025,204300,-97275,0.85,34875,15750,Y,-76950,Y,3.05,23707.65,23780.9,95.15,5136000,351600,375900,3300,0.05,46950,64875,N,-213450,Y,1.76,210.6,543150,96300,110850,-14550,-0.15,37350,-18150,Y,23625,N,-4.4
28-03-2025 10:35,23777,108675,85350,143325,-57975,-1.05,33075,46875,Y,21375,YES,2.67,23781.75,23777,92.7,3517800,346950,325425,2700,-0.15,41625,4350,N,107400,YES,1.92,217.2,452250,118125,122325,-4200,0.2,36825,34800,YES,16275,N,-4.35
28-03-2025 10:40,23758.1,67950,211650,144150,67500,1.5,30000,54075,N,-5625,Y,1.44,23777,23758.1,87,1926375,353850,330975,3375,0.05,44325,-13800,YES,77100,N,0.78,225,270075,182850,159600,23250,-0.1,41850,-1125,Y,12675,N,-2.03
28-03-2025 10:45,23785.8,81975,90750,113550,-22800,-1.3,30525,3600,N,15450,YES,2,23760,23785.8,95.5,2267250,329175,332700,2625,-0.1,46275,42750,Y,-33000,Y,0.99,207.65,274875,133500,163425,-29925,2.84E-14,41250,-13575,Y,19350,N,-2.21
28-03-2025 10:50,23772,50100,110325,129825,-19500,0.85,30225,-4875,YES,24000,N,1.23,23790,23772,88.2,2225175,322575,337125,7350,1.42E-14,44475,-54300,YES,7575,YES,0.92,217.7,296250,160425,161400,-975,0,42600,13575,YES,-4725,YES,-2.36
28-03-2025 10:55,23772,27150,116625,51300,65325,-0.25,25125,-975,N,-15600,Y,0.55,23772,23772,90,1264725,392925,394500,27075,0.05,42525,48450,Y,39525,YES,0.38,215,234675,150750,150300,450,0,37875,-4500,Y,12750,N,-1.55
28-03-2025 11:00,23762,36675,93975,42300,51675,-2.25,24600,4125,N,-28950,Y,0.73,23771.05,23762,83.9,1564875,368025,366600,9150,0,44025,-102675,YES,25275,N,0.4,222.3,264600,135825,148875,-13050,0.05,36750,14850,N,-14925,YES,-1.63
28-03-2025 11:05,23755,66825,211050,52950,158100,-1.85,28500,-2400,YES,675,YES,0.79,23762,23755,79.9,1854600,389700,466050,3750,0,52425,22800,Y,10650,N,0.13,225,449550,118125,150000,-31875,-0.1,37650,-18375,Y,-4500,N,-1.86
