last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val
27-03-2025 10:31,23637.85,223575,336675,450,675,148.6,47835300,379050,1200,750,12.9,40632900,5310975,28125,37800
27-03-2025 10:31,23633.9,222525,336225,300,900,144.45,47828850,398175,600,1275,13.3,40637550,5313750,53475,52725
27-03-2025 10:31,23630,222975,337800,225,300,142.7,47806800,404475,675,675,13.5,40671225,5264400,48975,52800
27-03-2025 10:31,23625.6,223500,338025,375,825,142.6,47809725,409950,600,750,13.7,40680300,5144550,27900,44625
27-03-2025 10:31,23625,226125,340125,525,1200,138.25,47817825,415125,825,1125,14.1,40793550,5110650,42000,53025
27-03-2025 10:31,23624,222525,341550,300,675,135.35,47795175,419175,975,750,14.65,40814100,5041650,30300,12525
27-03-2025 10:32,23625,225450,340050,225,300,138.95,47798625,413550,675,825,14.6,40750725,5205000,33375,43575
27-03-2025 10:32,23621,222450,341325,225,825,137.85,47811825,418650,600,750,14.8,40761675,5064150,26700,48150
27-03-2025 10:32,23620.05,225450,343650,450,75,137.8,47824050,419250,900,525,15.05,40766025,5159250,19500,36825
27-03-2025 10:32,23618,221400,347325,300,375,133.15,47812275,428100,2250,825,16,40761300,5044425,20925,28500
27-03-2025 10:32,23620,225225,348300,150,825,133.35,47789850,424125,2850,975,15.55,40706850,5125125,14700,20400
27-03-2025 10:32,23613.3,220575,347700,225,150,130.5,47801475,426300,375,1125,16.05,40664700,5074350,17625,10125
27-03-2025 10:33,23615.1,224850,345750,375,675,131.05,47778300,434550,1275,1275,16.1,40649700,5078325,11250,11100
27-03-2025 10:33,23615.1,218175,348825,75,750,129.3,47786325,437850,1050,975,17.1,40635075,5066550,9525,11325
27-03-2025 10:33,23611,220125,348900,375,75,125.7,47755350,439425,600,975,17.35,40651425,4997925,10425,12300
27-03-2025 10:33,23611.1,223800,346800,150,75,128.4,47751075,439125,750,975,17.1,40522050,5127300,9675,16725
27-03-2025 10:33,23613,221175,345450,675,75,128.7,47760825,453225,1275,675,17.25,40536225,5070225,12450,13575
27-03-2025 10:33,23610,224175,349875,4575,150,126.3,47770575,453975,1875,975,17.8,40551600,5115000,20700,10575
27-03-2025 10:34,23611.85,221325,347925,675,525,124.45,47754525,465975,975,1425,18.1,40543800,5041350,11700,12975
27-03-2025 10:34,23612.1,219975,347700,750,750,128.1,47770800,467475,1050,750,17.4,40534725,5157750,7650,13800
27-03-2025 10:34,23610.75,223275,343575,150,450,128.3,47780025,467100,975,1200,16.95,40324875,5228625,30450,19950
27-03-2025 10:34,23612,223650,346350,150,750,129.45,47786550,473025,1050,900,16.35,40280700,5251350,19275,14175
27-03-2025 10:34,23612,222600,344250,750,75,130.75,47789325,462150,1275,1050,15.65,40245825,5277225,13050,17775
27-03-2025 10:34,23610,222750,345675,300,450,127.2,47787750,474450,1350,1425,16.75,40399425,5121975,18000,19575
27-03-2025 10:35,23611.8,218925,346125,225,225,126.05,47786250,485025,2100,900,17.15,40494075,5071875,14550,11850
27-03-2025 10:35,23610.05,220875,344925,150,75,127,47807775,489675,975,1275,16.85,40495200,5086650,9150,16875
27-03-2025 10:35,23610,221325,345975,225,675,128.1,47826525,490425,900,525,16.9,40503600,5140575,15000,12225
27-03-2025 10:35,23606.25,217800,340950,675,375,122.55,47823150,497175,975,1275,18.7,40529550,5085225,13725,7725
27-03-2025 10:35,23602,217350,342225,300,375,122.35,47724000,497325,750,825,17.55,40548450,5022150,10350,12525
27-03-2025 10:35,23603.95,215550,341475,225,150,117.5,47724225,499500,900,975,18.8,40576725,5025075,10950,14775
27-03-2025 10:36,23603,216225,342375,225,450,122.45,47741850,496725,1200,1200,17.6,40500750,5170125,18675,11025
27-03-2025 10:36,23604.4,216450,341475,975,450,119.7,47740800,513825,1650,1350,18.3,40652400,5146425,14475,15750
27-03-2025 10:36,23606.95,218475,340500,600,450,122.95,47754150,521025,450,975,17.3,40618125,5169825,12225,12000
27-03-2025 10:36,23609.85,217650,338550,225,450,123.55,47773500,494775,1050,1500,17.05,40489350,5241825,22650,8700
27-03-2025 10:36,23610,219375,337950,225,600,126.3,47775525,502425,900,1200,15.75,40578225,5307750,10800,14025
27-03-2025 10:36,23612,220950,342450,75,675,124.3,47785350,492600,1125,900,15.85,40458525,5416725,14850,15675
27-03-2025 10:37,23608.5,219825,342900,225,825,126.1,47786700,504900,825,1125,15.9,40484775,5415150,14625,18975
27-03-2025 10:37,23606.35,218700,343350,225,825,125.2,47783400,511275,3450,525,16.6,40601775,5283225,17700,14250
27-03-2025 10:37,23606.9,216450,343725,600,375,120.8,47775375,519825,900,1050,17.65,40645350,5127975,14475,20250
27-03-2025 10:37,23606.9,218250,343650,225,675,121.35,47778075,524175,675,1200,17.35,40613775,5278725,20400,18825
27-03-2025 10:37,23602,214425,345750,525,375,120.3,47767350,521475,1425,1125,17.55,40660725,5211300,9750,17625
27-03-2025 10:37,23605,216075,345825,450,750,119.75,47772375,522300,1350,1425,18.45,40662600,5218725,9525,19050
27-03-2025 10:38,23603.65,215775,346575,375,225,118.05,47777025,533250,1425,1125,18.4,40677075,5245875,9525,8400
27-03-2025 10:38,23597.65,213300,347025,225,375,111.85,47750325,540300,5025,1050,19.75,40676850,5159325,10650,9975
27-03-2025 10:38,23593.2,215175,344325,750,375,114.05,47710725,551475,1650,1275,18.9,40627875,5138025,13950,17625
27-03-2025 10:38,23595.5,215025,344700,750,150,110.85,47717850,546750,1575,1500,20,40628850,5277375,20625,14175
27-03-2025 10:38,23595.85,213975,346500,750,450,112.95,47713500,545100,1275,525,19.45,40514775,5173425,8925,17100
27-03-2025 10:38,23600,218700,344175,225,75,117,47683050,546375,900,1725,17.95,40445625,5352900,18075,13725
27-03-2025 10:39,23596,217500,342150,525,600,117.5,47653650,526800,1275,900,17.6,40341075,5323125,22650,12975
27-03-2025 10:39,23597.2,219225,342150,225,375,114.75,47644125,542700,1650,750,18.55,40421625,5175525,16350,7875
27-03-2025 10:39,23600,220050,342225,150,300,117.55,47650875,540150,600,1575,17.8,40349325,5203800,16875,9675
27-03-2025 10:39,23602,219225,341175,1050,75,117.5,47658150,541725,1125,2325,17.4,40343400,5350875,9900,12450
27-03-2025 10:39,23599.8,218250,342450,225,225,113.75,47645625,560025,1275,750,18.45,40491975,5367525,10275,77100
27-03-2025 10:39,23594.2,219075,344700,225,675,112.75,47628600,558300,2025,1875,18.7,40466475,5289825,15000,11400
27-03-2025 10:40,23593.6,216900,347400,150,975,111.4,47626650,558975,675,1800,19.1,40488075,5256150,8550,10800
27-03-2025 10:40,23589,213450,346425,225,675,110.55,47591625,565050,17325,1425,19.65,40500300,5167125,9525,13125
27-03-2025 10:40,23593.75,219975,341700,1125,1050,114.8,47594625,547050,1050,1125,18.25,40383375,5321775,9225,10275
27-03-2025 10:40,23600,220500,342000,2250,1500,116.2,47603550,538350,1050,1275,17.75,40352250,5306550,15675,15975
27-03-2025 10:40,23600,219750,343125,1725,525,116.95,44024175,541050,1950,1200,17.65,37852125,5296800,9750,16575
27-03-2025 10:40,23597.45,217650,341775,1275,825,115.95,44028375,542400,1425,1950,18.2,37921950,5288250,12000,10050
27-03-2025 10:41,23599.85,216525,345150,225,300,113.35,44028375,555000,675,1725,19,37971525,5206350,11400,11550
27-03-2025 10:41,23604,219450,342900,150,600,118.95,44037825,547050,1350,11250,16.75,37944525,5291550,13875,9825
27-03-2025 10:41,23602.05,219825,341550,150,975,119.15,44052000,501525,1425,3225,17.15,37763700,5259075,7350,9075
27-03-2025 10:41,23602.05,218100,342600,225,600,119,44042625,506850,450,1800,17.3,37821825,5188350,6750,7500
27-03-2025 10:41,23603.5,220350,344100,225,600,118.5,44048850,515850,1500,1350,17.1,37884225,5227950,11700,8625
27-03-2025 10:41,23600.3,219975,344250,225,300,117.75,44050125,534375,2100,900,17.25,37868025,5265375,12525,10725
27-03-2025 10:42,23597.8,221100,342300,975,225,118.15,44054400,549675,450,750,17.1,37854600,5311275,11400,8925
27-03-2025 10:42,23602,222000,343650,825,150,116.75,44066100,549900,975,1050,17.4,37928100,5314575,13350,16575
27-03-2025 10:42,23603,221775,343275,825,300,118.25,44096400,565275,1875,1875,17.55,37933050,5259225,12150,10200
27-03-2025 10:42,23605,222300,341325,1050,675,121.55,44105700,551550,1575,11100,16.05,37893900,5330250,14625,14475
27-03-2025 10:42,23608,222975,341175,1050,300,122.8,44114775,532425,825,1050,15.85,37798725,5405175,14325,12150
27-03-2025 10:42,23607.1,223800,340800,825,225,124.3,44090475,520650,1200,11250,15.8,37760325,5370150,14325,11250
27-03-2025 10:43,23610,220950,344850,525,375,122.7,44079150,512700,1125,750,16,37811550,5392050,20325,12675
27-03-2025 10:43,23610.05,222975,342000,825,300,124.9,44075100,522225,1350,1425,15.6,37852200,5408325,10950,12450
27-03-2025 10:43,23610.85,223200,340950,525,75,128.1,44086575,523200,600,1050,14.75,37786650,5409375,13575,12450
27-03-2025 10:43,23610.55,223875,341700,150,75,125.8,44090700,506775,975,600,14.6,37727250,5426475,22275,8550
27-03-2025 10:43,23610.6,222975,340800,1125,75,126.7,44099925,509250,1275,1575,14.35,37662450,5531025,11850,11250
27-03-2025 10:43,23615.65,221700,344325,1050,300,124.75,44088825,517425,750,825,14.35,37765350,5628900,53625,23175
27-03-2025 10:44,23611,220575,345825,225,150,122.05,44055150,524775,1125,675,15.15,37921125,5523450,16425,17400
27-03-2025 10:44,23604.1,220425,347175,750,1500,120.3,44046300,522750,900,1125,15.15,37960050,5548425,16650,14475
27-03-2025 10:44,23599.6,219225,345975,1125,450,118.3,44021625,515700,1050,975,15.85,38000550,5426400,16575,15675
27-03-2025 10:44,23598.1,219525,345525,375,525,117.75,44011875,516375,1425,1350,16,37931100,5431725,14550,22800
27-03-2025 10:44,23598.1,220200,346875,300,300,114.5,44012850,525825,1875,975,16.45,37983450,5473350,13275,15675
27-03-2025 10:44,23597.15,221250,345825,450,1425,113.5,43997400,528150,1350,1275,16.5,37844625,5532525,9750,16125
27-03-2025 10:45,23600.05,224550,344025,900,225,116.1,44010675,530025,1275,1425,16,37806600,5614725,10275,26775
27-03-2025 10:45,23596.15,224325,345525,375,150,113.75,44014950,542325,975,900,16.4,37889175,5539125,16050,21150
27-03-2025 10:45,23600.6,223425,343200,525,75,118.55,44050650,545400,2325,675,15.7,37853250,5556900,50625,21750
27-03-2025 10:45,23600,221775,345525,1650,150,116.2,44065875,542175,975,975,16.15,37854525,5556300,14625,11325
27-03-2025 10:45,23600,223650,346875,525,150,117.85,44090250,547500,2175,1425,15.7,37833225,5507475,12975,8100
27-03-2025 10:45,23607,224175,344475,450,150,120.2,44098500,542625,1050,600,15.5,37817700,5536350,8850,8550
27-03-2025 10:46,23601.6,222300,344850,375,150,117.75,44123325,561825,1650,600,15.85,37848300,5576550,12375,7200
27-03-2025 10:46,23599.9,224025,346650,600,150,116.3,44118300,564600,1200,1800,15.95,37837125,5525400,8325,9975
27-03-2025 10:46,23600,224400,346575,750,300,114.2,44127075,568950,1350,1050,16.45,37864800,5517075,10275,8775
27-03-2025 10:46,23596.6,225150,345225,525,75,115.9,44113275,575625,2175,900,16,37888125,5528250,10725,9825
27-03-2025 10:46,23608.5,226725,343875,675,150,118.85,44117175,567525,1875,750,14.7,37790550,5581275,12525,7650
27-03-2025 10:46,23605,227925,346575,675,825,118.65,44133450,560700,1800,1275,14.5,37743975,5599275,11925,8850
27-03-2025 10:47,23605,226425,344250,300,375,120.05,44143275,565725,1425,375,14.45,37835250,5545800,17100,7350
27-03-2025 10:47,23606.3,226875,347400,525,750,117.95,44156925,571500,1200,2025,14.8,37857600,5532075,15000,12000
27-03-2025 10:47,23600.25,219000,350025,675,450,114.1,44142975,600975,7125,2175,15.35,37923075,5422725,8850,9000
27-03-2025 10:47,23599.3,217725,349950,150,375,111.2,44109375,606225,1050,1200,16.1,37975275,5444400,9675,8625
27-03-2025 10:47,23596.25,218925,347850,450,375,112.45,44106000,608400,1725,1575,15.9,37933800,5515350,11925,5700
27-03-2025 10:47,23596.3,218175,348675,225,450,110,44106600,614250,1725,1650,16.35,37953525,5478300,11475,7125
27-03-2025 10:48,23595.55,220650,348300,675,225,111.45,44077275,613950,1725,1575,16.3,37940400,5513325,9975,8625
27-03-2025 10:48,23594,217350,350325,450,150,110.3,44085300,616050,2625,1500,16.4,37959750,5452275,8325,10650
27-03-2025 10:48,23599.8,219750,346875,375,375,112.45,44104425,634650,1125,1350,16.05,37915575,5488275,7800,9150
27-03-2025 10:48,23597.7,219900,348975,375,375,111.15,44110050,629550,1425,2175,16,37904175,5547525,12300,7800
27-03-2025 10:48,23595.1,219075,349050,225,525,110.35,44120250,636600,1275,1200,16.5,37923450,5413500,14775,7725
27-03-2025 10:48,23591.15,218250,346875,225,375,107.7,44149050,642525,1500,1875,17.2,37974825,5390325,8175,10575
27-03-2025 10:49,23591.05,218325,347175,375,525,108.35,44160450,635775,1650,2175,17.25,37985325,5393475,11625,9450
27-03-2025 10:49,23591,217500,346650,75,300,109.55,44176200,629475,1950,750,17.1,37956675,5371500,7350,12525
27-03-2025 10:49,23592,217425,350025,225,375,105.85,44227350,651975,1500,1650,18.05,38023950,5378850,7800,8925
27-03-2025 10:49,23590.25,216000,348150,225,375,108.35,44200500,648375,1875,2100,17.5,37958475,5347500,12600,8475
27-03-2025 10:49,23590,216000,350925,1125,450,105.65,44200125,638025,1500,1800,18.45,38035275,5325900,7500,7725
27-03-2025 10:49,23587.65,213300,347550,675,525,106.2,44126025,632175,1650,1950,18.1,38045025,5337300,12450,11400
27-03-2025 10:50,23588.45,215100,348900,1050,150,106.55,44195400,633750,1200,1350,17.9,37972725,5420025,12825,13875
27-03-2025 10:50,23589.25,217350,350250,1200,75,107.35,44198775,628800,1500,1125,17.5,38140875,5490975,12000,9825
27-03-2025 10:50,23595,218850,348300,675,225,108.4,44208975,630225,1725,1275,17.05,38250525,5492850,16575,12300
27-03-2025 10:50,23593.8,217950,349050,1350,450,106.5,44216025,625500,1800,525,17.25,38225475,5480850,13650,15375
27-03-2025 10:50,23591.05,217275,351450,525,525,106.2,44201775,632550,1050,1875,17.5,38272425,5443200,12375,11325
27-03-2025 10:50,23582,215100,364950,75,525,98.5,44216100,643425,2025,1350,19.65,38352750,5412750,10275,14025
27-03-2025 10:51,23581.55,213150,361800,150,150,99.15,44253000,646275,1425,1425,18.95,38303400,5174325,7200,8700
27-03-2025 10:51,23583.7,212625,363075,1125,225,98.6,44258025,676575,2175,1050,18.55,38301075,5202900,13500,14775
27-03-2025 10:51,23578.5,212775,365925,1125,600,94.25,44281125,686700,1875,1650,19.95,38429850,5258925,8850,13350
27-03-2025 10:51,23577.45,209475,362250,375,375,92.8,44211900,698700,750,675,19.35,38415450,4957200,4275,6300
27-03-2025 10:51,23577.45,207600,365775,300,300,94.3,44228475,681300,1875,900,19.2,38395725,5035050,18000,11175
27-03-2025 10:51,23578.5,209625,364650,825,75,95,44248500,671475,2175,975,19.25,38390025,5051925,8025,13800
27-03-2025 10:52,23577.95,213900,362025,975,600,96.8,44453625,658950,1050,1200,17.85,38432850,5090925,10275,35250
27-03-2025 10:52,23582.25,213225,358650,150,1275,99.85,44569575,640575,1500,40500,17.45,38339100,5131050,19500,14550
27-03-2025 10:52,23583,214950,354000,225,525,101.5,44621025,571425,1050,1650,17,38273625,5137800,13575,7500
27-03-2025 10:52,23584.1,217875,356625,600,900,102.8,44616075,576750,1650,750,16.05,38226750,5141475,12450,14325
27-03-2025 10:52,23594.45,217800,356850,750,375,105.85,44627550,582900,1125,900,14.75,38145750,5275275,97650,11025
27-03-2025 10:52,23586.25,214125,359100,525,2025,103.1,44632425,607800,1575,2325,15.6,38155200,5286000,17175,9225
27-03-2025 10:53,23590.65,213450,364500,150,825,102.85,44610600,619350,1800,1650,16.1,38201625,5239275,16950,18075
27-03-2025 10:53,23589.8,212325,361350,225,825,102.55,44597025,689625,1725,1350,15.6,38279850,5188875,20925,17100
27-03-2025 10:53,23589.8,205275,363600,150,450,101.95,44630700,681675,1650,1050,16.25,38314425,5327325,18750,20925
27-03-2025 10:53,23581.6,209925,362550,300,675,99.5,44624850,673125,1275,1875,16.15,38339325,5258475,16500,12450
27-03-2025 10:53,23582.95,212925,355575,75,75,101.4,44594550,666300,1575,750,15.75,38299350,5350725,18600,9000
27-03-2025 10:53,23584.1,212700,361800,225,600,101.65,44626425,679875,2925,975,15.8,38344425,5400975,12225,21300
