last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
21-11-2024 12:05,23377,49225,-75,-175,19075,-13675,YES,6925,YES,0.46,23398,23377,8.5,14776400,18600,-10125,75225,-343125,YES,92650,YES,-0.37,76.7,4985425,-1625,-475,37450,-283225,Y,-54150,YES,-1.35
21-11-2024 12:10,23382,34650,-100,625,17550,6225,N,-1725,Y,0.21,23377,23382,9.85,6498150,-4975,-6825,82000,377475,Y,68475,N,-0.18,72.9,2700850,-875,375,40550,181375,YES,99625,Y,-0.67
21-11-2024 12:15,23390,21300,175,75,12775,3075,N,-2375,Y,0.15,23382,23390,9.9,6670750,4325,-5825,81325,-52775,YES,75575,N,-0.17,69.55,2716500,150,50,34275,-8925,Y,31600,N,-0.67
21-11-2024 12:20,23383.05,21250,-175,-25,11850,1975,YES,4525,N,0.19,23390,23383.05,9.1,6018550,-1075,13125,98350,166675,Y,243500,YES,-0.15,73.6,1829875,-12175,400,38375,247850,YES,12650,N,-0.45
21-11-2024 12:25,23390,13075,-1050,650,14025,200,YES,25,Y,0.11,23383.05,23390,9.05,5161225,-34700,-3500,78275,-192975,YES,91900,N,-0.13,69.95,1565650,1750,100,39350,57475,N,110700,Y,-0.38
21-11-2024 12:30,23380.75,18675,100,-375,11025,-1600,YES,5450,N,0.11,23390,23380.75,6.75,10057125,44725,5275,86275,-283275,YES,5800,N,-0.29,73.75,3494475,-500,650,41375,-23025,Y,-66975,YES,-0.76
21-11-2024 12:35,23382.1,14475,0,-25,13725,2775,N,3550,N,0.09,23382,23382.1,7.5,6492925,14025,-27400,98175,343900,Y,-28425,Y,-0.18,70.45,2004275,-550,100,43300,46275,YES,69900,Y,-0.45
21-11-2024 12:40,23379.1,24800,0,125,11675,2825,N,-1075,Y,0.17,23382.1,23379.1,5.65,9092500,-11525,30150,104150,-304875,YES,226500,YES,-0.26,75.9,2097950,-900,200,35000,-50175,Y,-127575,YES,-0.43
21-11-2024 12:45,23371.05,26775,0,1300,12500,-3400,YES,-6050,Y,0.1,23378.1,23371.05,4.85,10552125,25225,5575,88700,33375,Y,36550,N,-0.32,79.35,3444625,1250,-675,36900,50575,YES,-101100,Y,-0.58
21-11-2024 12:50,23368,38525,-50,100,14325,12100,N,4675,N,0.07,23372.05,23368,4.6,8361025,-35225,11300,77825,70000,Y,-230050,Y,-0.26,81.5,3195400,225,-175,34650,-18650,Y,83075,Y,-0.47
