last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
10-01-2025 10:35,23476,59025,25,-350,19525,-6550,YES,-10175,Y,-1.14,23474,23476,23505.35,23468.75,1.45,1463625,3150,-300,1,1.15,50850,93675,Y,39300,N,-0.8,-1.15,441300,-150,-75,-1.6,-1.6,47850,39525,YES,10950,Y,0.85,62.95,-24480,105,150,60,62.1,7365,-15285,N,3240,N,3.21
10-01-2025 10:40,23519.15,58675,100,-1700,14600,47325,Y,-10850,Y,-0.59,23476,23519.15,23524,23476,13.15,1613025,-225,75,13.05,13.05,48225,-63900,YES,-63225,Y,-0.57,-31.3,476400,525,-225,-30.6,-30.7,41100,-38700,Y,-750,YES,0.62,-117.9,-12915,-15,105,-110.1,-111.35,7665,-20670,YES,-3870,Y,1.2
10-01-2025 10:45,23532.45,125100,0,25,19725,-67675,YES,-3400,N,0.5,23515.3,23532.45,23555,23510,5.7,2820750,-375,-75,6.75,6.7,41100,5025,Y,-137100,Y,-0.27,-13.65,846075,-825,675,-16.1,-16.2,42750,-19050,N,11925,N,0.33,-1.9,-17160,60,-75,-4.05,-3.8,7215,1530,Y,-240,N,0.53
10-01-2025 10:50,23543.95,61475,-375,-50,18350,45825,Y,-31300,Y,0.25,23532,23543.95,23555,23521.35,3.9,2014500,-675,-825,3.8,3.7,44850,6225,N,28125,YES,-0.25,-8.05,597300,-225,150,-7.1,-7.05,44325,27750,YES,12600,N,0.17,-10.05,-10005,0,0,-12.9,-10.05,8535,9660,N,-420,Y,0.58
10-01-2025 10:55,23545.4,48025,100,1400,20150,19625,N,6300,YES,0.27,23540.1,23545.4,23553,23531.4,-2.05,1229850,-375,-375,-2.6,-2.7,42150,25800,N,16875,N,-0.09,-2.65,362025,375,375,-1.2,-1.1,41175,12675,N,15525,N,0.05,-17.5,-12150,0,-135,-27.5,-27,8340,-4905,YES,4560,N,0.29
10-01-2025 11:00,23601.3,159625,-125,125,16025,29525,N,-34450,Y,2.88,23545.4,23601.3,23606.9,23544,24.05,3548625,-150,-375,24.15,24.15,41025,61125,Y,-342825,Y,0.67,-30,978600,-75,0,-29.95,-30.05,43725,-22275,Y,18450,N,-0.63,-117.6,-59790,-30,120,-117.55,-122.3,11430,-8790,YES,-5115,Y,-3.99
10-01-2025 11:05,23620,217900,-50,975,20775,-10075,YES,39025,YES,6.3,23607.4,23620,23632.5,23607.4,6.75,3846750,-75,0,6.85,6.95,42525,-50400,YES,78300,YES,1.89,-9.75,1430025,225,675,-10.5,-10.5,44775,81825,YES,39600,Y,-1.85,-25,-64290,-135,-210,-25,-20.9,10830,13245,Y,1305,N,-8.59
10-01-2025 11:10,23644,174275,275,-100,23200,8175,N,-44050,Y,4.62,23620,23644,23644,23603,11.2,2835150,-75,-750,11.05,11,42525,150,Y,-116925,Y,1.29,-14.6,1321275,225,-75,-13.75,-13.7,38625,-58800,Y,69225,Y,-1.64,-54,-29280,120,90,-52.05,-50.5,7500,-2565,YES,26190,YES,-3.3
10-01-2025 11:15,23674.3,361925,0,-2075,21100,375,YES,26725,YES,12.4,23644,23674.3,23682.05,23643,17.55,5524350,-450,-225,16.9,16.85,44400,-5175,YES,-15675,YES,4.26,-7.65,2699625,-225,3075,-6.5,-6.6,40650,129150,YES,101400,Y,-4.57,-77.4,-64635,-15,-180,-75.55,-77.4,9960,-7965,YES,9015,N,-12.98
10-01-2025 11:20,23629.7,108250,-50,-50,19975,-45175,YES,42825,N,2.54,23671.7,23629.7,23675,23615.15,-25,3535425,0,1125,-24.2,-24.25,39825,-97050,YES,63075,YES,1.66,17.95,2915550,-225,150,17.5,17.45,37575,25650,N,-57300,YES,-3.34,107.95,-31170,-15,180,105.6,98.25,8445,28290,Y,-25035,Y,-4.46
10-01-2025 11:25,23636.75,80875,175,175,17175,5350,Y,-13475,Y,1.36,23626,23636.75,23639.95,23601,2.6,2673300,150,-75,2.85,2.9,39000,31950,Y,-9675,Y,0.63,-8.95,2034975,150,375,-8.75,-8.5,38925,-51600,Y,2250,Y,-1.62,32.55,-17730,-90,-150,27.45,24.75,6840,-6765,YES,16290,YES,-1.24
10-01-2025 11:30,23670,108400,150,200,17050,13825,N,11475,YES,2.83,23637.6,23670,23678.45,23637.6,14.7,5599275,-900,0,15.45,15.35,39975,-18300,YES,45000,YES,2.64,-13.05,2880300,-75,0,-13.2,-13.2,39450,35550,YES,71850,Y,-3.43,-33.7,-19170,0,195,-34.2,-37.05,9465,15090,Y,-16440,Y,-2.12
