last_traded_time,ltp,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
05-02-2025 11:50,23812,750,-2.8,21825,4650,N,-1725,Y,-0.06,23825,23812,05-02-2025 11:50,44.6,39000,0.05,60975,81150,Y,178800,YES,-0.18,05-02-2025 11:50,-206325,0.05,54075,6900,N,-62700,YES,-0.03
05-02-2025 11:55,23805.05,29775,-3,21525,11400,N,3900,N,-0.12,23812,23805.05,05-02-2025 11:55,42.4,19800,0.05,63150,-135825,YES,159000,N,-0.14,05-02-2025 11:55,58575,0.05,51675,-34350,Y,-57825,N,0.07
05-02-2025 12:00,23809.45,-8025,1.45,22800,8925,N,-4800,Y,-0.11,23805,23809.45,05-02-2025 12:00,42.25,19875,0,55800,27750,Y,68625,N,-0.1,05-02-2025 12:00,-71250,0.05,48375,-1350,YES,43125,Y,0.04
05-02-2025 12:05,23804,23475,-4.5,22875,-20475,YES,2700,N,-0.14,23809.45,23804,05-02-2025 12:05,40.15,11025,0,68025,-354525,YES,21825,N,-0.26,05-02-2025 12:05,43275,0.05,57300,27675,YES,-13650,YES,0.08
05-02-2025 12:10,23800.8,30075,-0.85,23025,-975,N,-14025,Y,-0.31,23804,23800.8,05-02-2025 12:10,38.9,22050,0.1,63975,279825,Y,-37575,Y,-0.22,05-02-2025 12:10,-18300,-0.05,46350,-27450,Y,-8550,N,0.14
05-02-2025 12:15,23816,-4875,1.75,22425,675,N,2925,N,-0.22,23800.8,23816,05-02-2025 12:15,42.95,12300,-0.05,62550,208425,N,-80625,Y,-0.21,05-02-2025 12:15,-54900,-0.15,50100,-34350,Y,19800,Y,0.08
05-02-2025 12:20,23812,43350,4.2,26400,-4725,YES,-1875,Y,-0.08,23816,23812,05-02-2025 12:20,39.5,7500,0,67200,-155025,YES,90150,YES,-0.22,05-02-2025 12:20,-38025,0,46125,47250,YES,-9900,YES,0.01
05-02-2025 12:25,23817.1,39750,2.15,20775,10425,N,825,N,-0.06,23812,23817.1,05-02-2025 12:25,42.3,12975,-0.05,62775,252075,Y,-48600,Y,-0.11,05-02-2025 12:25,191175,-1.42E-14,52800,-50850,Y,47100,Y,0.01
05-02-2025 12:30,23820,55200,-1.35,24000,2550,YES,-12150,Y,-0.09,23813,23820,05-02-2025 12:30,43.05,9075,0,68250,75675,N,-94575,Y,-0.11,05-02-2025 12:30,-12975,-0.05,49275,-15600,YES,49800,N,0
05-02-2025 12:35,23816.95,-2550,0.5,24300,2925,N,25650,YES,-0.02,23820,23816.95,05-02-2025 12:35,42.3,17250,-0.05,75750,40575,N,116100,YES,-0.12,05-02-2025 12:35,-10500,0,50700,70425,YES,43350,N,-0.04
05-02-2025 12:40,23816,35250,-0.3,20025,-6300,YES,-4575,Y,-0.04,23817,23816,05-02-2025 12:40,40.65,47100,0.05,64275,-74775,YES,53475,N,-0.11,05-02-2025 12:40,-60300,0,51300,43650,N,-83775,YES,-0.04
05-02-2025 12:45,23805.5,48450,-1.9,24750,10725,N,4950,N,-0.17,23816,23805.5,05-02-2025 12:45,39.65,101100,0,64875,36675,Y,50100,N,-0.16,05-02-2025 12:45,15300,0.1,45750,20550,N,-27750,Y,0.03
05-02-2025 12:50,23809.9,21900,0.1,25275,10275,N,-5850,Y,-0.27,23805.5,23809.9,05-02-2025 12:50,41.65,9000,0.05,66825,24150,N,-162450,Y,-0.12,05-02-2025 12:50,-64725,-0.05,44550,-23250,Y,-9375,N,0.06
05-02-2025 12:55,23817.9,32025,-2.4,28200,3525,N,375,N,-0.1,23811,23817.9,05-02-2025 12:55,41.7,27975,0.05,69300,-15750,YES,-13650,YES,-0.11,05-02-2025 12:55,31575,-0.05,53475,-7275,N,1725,N,0.01
05-02-2025 13:00,23818.65,31200,0.65,25125,18525,N,1500,N,-0.06,23817.9,23818.65,05-02-2025 13:00,42.4,97050,-0.05,74775,-11025,N,-12000,N,-0.13,05-02-2025 13:00,33150,0,44400,43950,YES,28800,Y,0.01
05-02-2025 13:05,23823.45,-42825,2.25,27825,-225,YES,9675,N,-0.04,23818.65,23823.45,05-02-2025 13:05,44.2,19575,0.05,68550,17250,Y,-127800,Y,-0.11,05-02-2025 13:05,46650,-0.05,47250,-73575,Y,68850,Y,-0.03
05-02-2025 13:10,23830,-47550,1.05,37575,-1950,YES,-4800,Y,0.05,23823.05,23830,05-02-2025 13:10,46.75,13275,7.11E-15,69000,60225,Y,-216300,Y,-0.12,05-02-2025 13:10,-49575,0.05,46125,31200,YES,19875,N,-0.1
05-02-2025 13:15,23835,-9225,1.3,26475,-5925,YES,-75,N,0.16,23830,23835,05-02-2025 13:15,46.9,66600,0,62775,-90975,YES,128850,YES,-0.1,05-02-2025 13:15,-4575,0.05,43650,213750,YES,27450,N,-0.15
05-02-2025 13:20,23830.05,24975,-1,24975,-12450,YES,11100,N,0.08,23835.95,23830.05,05-02-2025 13:20,43.65,40800,-0.05,62175,-151575,YES,95475,N,-0.09,05-02-2025 13:20,-82800,0.1,40650,72300,N,-38925,YES,-0.08
05-02-2025 13:25,23822,81225,0.75,24300,-13800,YES,-3525,Y,0.04,23830.05,23822,05-02-2025 13:25,43.2,31350,0,69375,60450,Y,101475,N,-0.08,05-02-2025 13:25,-61125,0,40800,-33525,Y,-50325,YES,-0.08
05-02-2025 13:30,23831,-63525,2.2,35025,6300,Y,-3825,Y,0.05,23822.1,23831,05-02-2025 13:30,46.1,11400,-0.1,72000,92100,Y,-115275,Y,-0.07,05-02-2025 13:30,-51375,0.05,38250,3375,YES,1800,Y,-0.05
05-02-2025 13:35,23817,47400,-0.1,22425,5475,N,5325,N,0.04,23830.3,23817,05-02-2025 13:35,41.35,29700,0.05,62475,-225225,YES,133125,YES,-0.11,05-02-2025 13:35,-95025,-0.1,40650,-63225,Y,-135225,YES,-0.04
05-02-2025 13:40,23812.6,39675,-2.6,22050,-3375,YES,7050,N,-0.07,23821.05,23812.6,05-02-2025 13:40,39.75,22125,0,67950,-138525,Y,87600,N,-0.2,05-02-2025 13:40,-30075,-0.1,39000,-11475,YES,-70950,Y,0.06
05-02-2025 13:45,23820,35250,-3.1,32625,11700,N,-1650,Y,-0.1,23812.6,23820,05-02-2025 13:45,41.2,11700,-0.05,60075,170400,Y,-40950,Y,-0.08,05-02-2025 13:45,25950,-0.1,41625,-23625,Y,55875,Y,0.05
