last_traded_time,n_buy_corr,n_sell_corr,n_tb_ts,ce_buy_corr,ce_sell_corr,ce_tb_ts,pe_buy_corr,pe_sell_corr,pe_tb_ts,n_buy_diff,n_sell_diff,ce_buy_diff,ce_sell_diff,pe_buy_diff,pe_sell_diff,n_bid_diff,n_ask_diff,ce_bid_diff,ce_ask_diff,pe_bid_diff,pe_ask_diff,percentage
02-01-2025 10:45,0.09477202887385444,-0.8227160990321974,-0.2058995652914695,0.5673969108978166,-0.9111518024200119,-0.40154209825493437,-0.7516465037339092,-0.9422808793431044,0.8306443724789618,-25,-81525,146250,-391350,292425,215400,575.0,750.0,75.0,-975.0,825.0,300.0,61.422780670291786
02-01-2025 10:50,-0.18776041151581108,-0.49581757382505215,0.4131839184946927,0.1812097794214529,-0.24688200557820386,-0.6520405330103727,0.12420442349160586,-0.6385433824063064,0.3877988162142761,2250,12100,-132375,129750,145350,141225,675.0,1450.0,-75.0,75.0,18600.0,-10050.0,36.971564932864155
02-01-2025 10:55,0.8420411018368018,-0.7226288639269226,-0.5040166931587476,0.5593294455127391,-0.6998762264717968,-0.21380826231478173,0.32702144233415037,-0.8882294738444999,-0.11363696649652606,1325,5075,-80250,52575,198675,112500,0.0,-275.0,1275.0,-150.0,150.0,3600.0,54.11764973218851
02-01-2025 11:00,0.4170155195475896,-0.03186336920260201,-0.20606099256388893,0.6823284440680301,-0.7253457278586827,-0.5299308571050623,0.9325500808053578,0.7295300345111237,0.813360786854942,-4325,23025,86325,-37875,238575,126450,-425.0,-525.0,375.0,-6975.0,-75.0,0.0,56.310953472414205
02-01-2025 11:05,0.7739997179041079,-0.8401677420427932,-0.7066215502816721,0.28999686180045936,-0.8059349505324298,0.0020476859059951336,0.8687596625735324,-0.8653249483572949,-0.7718001802274178,5500,-28475,-74850,-162150,-65175,35700,150.0,-150.0,-225.0,675.0,-375.0,-525.0,65.82948110695226
02-01-2025 11:10,0.31547172648431193,-0.24709230367318386,-0.7957558195126077,0.7202254643535334,-0.8427451165811138,-0.7456098105965755,0.27347866698617657,-0.2779139004586003,0.5558775669710969,-5075,17900,-213975,137550,132000,118725,1400.0,1275.0,225.0,1125.0,-1200.0,1275.0,53.04633750685777
02-01-2025 11:15,-0.2388790927105526,-0.6836290878534331,0.1427396692288989,-0.35743883137066196,-0.7629614985762578,0.5843180055326089,-0.10165854711873784,-0.3921561101064812,0.43905256096978357,7000,4900,42525,61200,800325,66300,-1475.0,50.0,2400.0,-525.0,1875.0,0.0,41.14259337186018
02-01-2025 11:20,0.6211025104469935,-0.4577058275451906,-0.11616253670217323,-0.0740197841759271,-0.4155432505433235,-0.423857929880696,-0.47619004962170036,-0.7876771191807991,0.5190715975677389,-25,2400,-233925,38925,750300,90675,400.0,-75.0,-150.0,-825.0,-150.0,-1125.0,43.23700672960602
02-01-2025 11:25,0.2684359836510605,-0.7056631131935304,0.09472399523043451,0.5739070149932901,0.04401025816430427,0.2418320397614478,-0.1997477119649118,-0.3038140802195671,0.011725997598600766,1250,-16575,187350,-36825,62100,52425,-450.0,725.0,450.0,18525.0,2400.0,-825.0,27.154002164190526
02-01-2025 11:30,-0.13531002172931006,-0.6467389895985215,0.6028793428067243,0.7394967571643121,-0.7160412584805594,-0.8701793469898826,0.9492977350459837,-0.5240873178574912,-0.5391275196634133,1550,15700,-133725,99675,185475,-87375,25.0,-75.0,450.0,450.0,675.0,-4200.0,63.590647659291086
02-01-2025 11:35,0.4259043370405836,0.23524855027004518,0.34563486118860004,0.5456703682497428,-0.3494968877165794,-0.4105984873511791,0.6164970176925249,-0.000731797160549693,-0.16644261521541215,1925,3600,-31200,9150,42675,-17175,0.0,-400.0,-675.0,1275.0,750.0,-900.0,34.402499132057976
02-01-2025 11:40,0.735920467624136,0.0086319904875865,0.27132829355687244,0.6327603277005013,-0.57434889463622,-0.36135224942537414,0.008505348886714876,-0.385944990104252,0.5893417840898681,-1875,-21950,-8175,-7425,191625,-24975,0.0,-600.0,-975.0,-525.0,1425.0,-300.0,39.64593718346139
02-01-2025 11:45,-0.5366248141254174,-0.24614050421558903,0.04231384986074614,-0.03517233234717182,-0.29525392927801136,0.12538678176417029,0.6243788666244048,-0.8250150312192677,-0.4109758220320066,13925,1500,141300,21000,73125,-229050,-25.0,125.0,9450.0,225.0,-450.0,450.0,34.90291034963094
02-01-2025 11:50,0.4416335137434036,-0.3251875403340113,-0.18541764997039112,0.369583716348218,-0.635424389425395,-0.14032445241046965,0.5090888047709636,-0.6970230582150123,-0.38973523200676796,-8550,-2325,-89925,12825,-6675,-250425,725.0,100.0,-1275.0,975.0,-975.0,1200.0,41.03798174694037
