last_traded_time,bid_ask_diff,bid_ask_pr_diff,last_traded_time,bid_ask_diff,bid_ask_pr_diff,last_traded_time,bid_ask_diff,bid_ask_pr_diff
26-03-2025 11:50,-6000,-2.05,26-03-2025 11:50,3975,-1.42E-14,26-03-2025 11:50,1350,-0.05
26-03-2025 11:55,-40200,-1.8,26-03-2025 11:55,73725,0.05,26-03-2025 11:55,-25275,-0.15
26-03-2025 12:00,-70125,-1.3,26-03-2025 12:00,18675,0.1,26-03-2025 12:00,44625,-0.05
26-03-2025 12:05,-9900,0.55,26-03-2025 12:05,21525,0.05,26-03-2025 12:05,52950,0
26-03-2025 12:10,-4725,0.5,26-03-2025 12:10,4875,0.05,26-03-2025 12:10,36000,0.15
26-03-2025 12:15,26175,-1.05,26-03-2025 12:15,6375,-0.05,26-03-2025 12:15,58500,-0.05
26-03-2025 12:20,16350,-0.55,26-03-2025 12:20,5700,-0.05,26-03-2025 12:20,15825,0.15
26-03-2025 12:25,28950,-1.65,26-03-2025 12:25,19125,0,26-03-2025 12:25,42900,0.1
26-03-2025 12:30,80250,0.9,26-03-2025 12:30,24450,-0.05,26-03-2025 12:30,12600,0.05
26-03-2025 12:35,-7500,1.55,26-03-2025 12:35,42600,-7.11E-15,26-03-2025 12:35,-53625,1.42E-14
26-03-2025 12:40,15600,-1.2,26-03-2025 12:40,6525,-7.11E-15,26-03-2025 12:40,5700,0
26-03-2025 12:45,6825,0.3,26-03-2025 12:45,4800,-0.05,26-03-2025 12:45,-2025,-0.05
26-03-2025 12:50,4875,-2.15,26-03-2025 12:50,4575,1.42E-14,26-03-2025 12:50,-29625,-0.1
26-03-2025 12:55,21150,-0.65,26-03-2025 12:55,4425,0.05,26-03-2025 12:55,-3825,-0.1
26-03-2025 13:00,-4950,-1.95,26-03-2025 13:00,4950,7.11E-15,26-03-2025 13:00,-73275,-0.05
26-03-2025 13:05,204825,-1.05,26-03-2025 13:05,10050,-0.05,26-03-2025 13:05,-36600,0
26-03-2025 13:10,58425,0.25,26-03-2025 13:10,21525,0.05,26-03-2025 13:10,17775,-0.05
26-03-2025 13:15,-23025,-1,26-03-2025 13:15,49200,-0.1,26-03-2025 13:15,14025,-0.15
26-03-2025 13:20,37425,-0.7,26-03-2025 13:20,9000,-0.05,26-03-2025 13:20,7425,-0.05
26-03-2025 13:25,-68925,-0.2,26-03-2025 13:25,9825,-0.05,26-03-2025 13:25,-19800,-0.05
26-03-2025 13:30,22125,0.45,26-03-2025 13:30,26400,0,26-03-2025 13:30,23550,0.05
26-03-2025 13:35,5700,-0.6,26-03-2025 13:35,9825,-0.05,26-03-2025 13:35,-21675,0
26-03-2025 13:40,-45150,-1.15,26-03-2025 13:40,12375,-0.05,26-03-2025 13:40,-3075,-0.05
26-03-2025 13:45,51150,1.15,26-03-2025 13:45,37800,-0.05,26-03-2025 13:45,7575,-0.15
26-03-2025 13:50,26400,-0.55,26-03-2025 13:50,13200,-0.1,26-03-2025 13:50,-525,0
26-03-2025 13:55,-10725,-0.4,26-03-2025 13:55,11475,-0.05,26-03-2025 13:55,-19350,-0.15
26-03-2025 14:00,-42600,0.6,26-03-2025 14:00,25875,0.1,26-03-2025 14:00,7650,0.2
26-03-2025 14:05,-69000,0.55,26-03-2025 14:05,44325,0.05,26-03-2025 14:05,54900,0
26-03-2025 14:10,27975,-0.25,26-03-2025 14:10,10650,0,26-03-2025 14:10,13800,-0.1
26-03-2025 14:15,-20700,1.95,26-03-2025 14:15,10800,-0.05,26-03-2025 14:15,25050,-0.05
26-03-2025 14:20,-129675,-0.35,26-03-2025 14:20,34875,0.05,26-03-2025 14:20,17550,0
26-03-2025 14:25,16050,-2.05,26-03-2025 14:25,18975,0,26-03-2025 14:25,33975,0.05
26-03-2025 14:30,20025,-0.9,26-03-2025 14:30,29025,0,26-03-2025 14:30,-1575,0
26-03-2025 14:35,2100,1.25,26-03-2025 14:35,14250,-7.11E-15,26-03-2025 14:35,25125,0
26-03-2025 14:40,11250,-1.4,26-03-2025 14:40,12825,0.05,26-03-2025 14:40,-1650,-0.05
26-03-2025 14:45,5775,-0.65,26-03-2025 14:45,14700,0.05,26-03-2025 14:45,29025,-0.05
26-03-2025 14:50,99900,-1.25,26-03-2025 14:50,51525,-0.05,26-03-2025 14:50,-68250,-0.1
26-03-2025 14:55,-80775,-0.85,26-03-2025 14:55,17850,0,26-03-2025 14:55,38025,0
26-03-2025 15:00,46050,-0.4,26-03-2025 15:00,33450,0,26-03-2025 15:00,26550,-0.15
26-03-2025 15:05,22950,-1.55,26-03-2025 15:05,55200,-0.05,26-03-2025 15:05,10800,0
26-03-2025 15:10,-25575,0.05,26-03-2025 15:10,23250,0,26-03-2025 15:10,-15825,-0.05
26-03-2025 15:15,-191100,0.6,26-03-2025 15:15,15750,0,26-03-2025 15:15,33300,0.1
26-03-2025 15:20,-2625,-0.35,26-03-2025 15:20,17475,-3.55E-15,26-03-2025 15:20,11925,-0.15
26-03-2025 15:25,-73800,4.25,26-03-2025 15:25,57150,0.05,26-03-2025 15:25,170400,0.05
