last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
25-02-2025 10:30,22598,152250,75,0,27150,4500,N,-14625,Y,-0.84,22592.85,22598,66.4,3929100,1275,-5100,54075,-28425,YES,-15975,Y,-0.93,66.15,4018500,-150,-75,46050,-44550,Y,-30000,YES,-0.25,48719,8880,0,0,8760,-6660,YES,-300,Y,-2.09
25-02-2025 10:35,22609.4,99225,-75,75,26625,-9450,YES,18075,YES,0.01,22598,22609.4,68.3,4053075,-600,1725,42000,73200,Y,-27300,Y,-0.64,60.55,4103400,1575,750,44025,-135975,Y,134100,Y,-0.65,48726.45,15150,120,210,12660,4410,N,3990,N,-1.69
25-02-2025 10:40,22602.05,100125,0,375,25950,2250,N,6600,N,-0.04,22609.3,22602.05,64.45,2709600,0,225,48900,-40650,YES,173475,YES,-0.44,63.9,2228175,525,675,50625,110775,YES,60075,N,-0.33,48718.3,12630,-30,510,11670,7890,N,90,Y,-1.28
25-02-2025 10:45,22581.1,214875,-75,-375,26625,-21375,YES,4425,N,-0.92,22601.05,22581.1,53.8,4880325,750,1425,50100,-133350,YES,135750,N,-1.17,76.45,5501325,225,3300,44325,65025,N,-323625,YES,-0.11,48643.85,29100,30,-510,9750,10350,N,-11400,Y,-7.51
25-02-2025 10:50,22580.15,104400,75,0,23475,900,Y,13575,N,-0.94,22578.1,22580.15,55,3204750,-225,-225,51975,210525,Y,8475,N,-0.85,72.35,4259325,150,2325,46575,-2175,Y,36825,Y,0.1,48657.65,14370,-30,-30,11760,1650,YES,17430,YES,-3.59
25-02-2025 10:55,22583,57600,75,0,20550,1500,N,-2325,Y,-0.44,22580.15,22583,53,2545425,-450,-675,46500,-5400,YES,35850,YES,-0.63,71.65,3050925,75,-300,47100,-2175,N,129000,Y,-0.07,48669.8,9720,0,30,9570,-3330,YES,16080,N,-2.04
25-02-2025 11:00,22580,93900,-75,75,29325,-5100,YES,-4200,Y,-0.87,22583,22580,51,2768550,-75,675,52050,-107400,YES,50100,N,-0.73,72.65,2817600,-675,-975,49575,14100,N,-71325,YES,0.03,48695.05,9600,-30,30,9480,26610,Y,-2940,Y,-1.67
25-02-2025 11:05,22584.8,68775,-75,150,21975,6600,N,5325,N,-0.5,22580,22584.8,53.05,2391375,1650,-600,50700,46050,Y,38925,N,-0.58,69.1,2036700,-150,-750,44025,59625,YES,23175,Y,-0.05,48691.5,12570,0,0,7080,3540,N,-1080,N,-1.54
25-02-2025 11:10,22585.5,68400,0,75,23250,-2100,YES,3600,N,-0.4,22585.2,22585.5,52.55,1580100,675,1575,53850,-34050,YES,125175,YES,-0.36,69.15,1333725,0,-1350,50475,103350,YES,15150,N,-0.07,48672.8,10410,30,0,8460,5250,N,990,N,-1.53
25-02-2025 11:15,22581.45,48000,0,75,24150,-2325,YES,3525,N,-0.29,22584.25,22581.45,51.9,1476225,-900,-2250,51450,17700,Y,62400,N,-0.33,70,1307625,-975,-1575,51825,22500,N,19950,N,-0.05,48679,12600,30,0,12840,0,YES,240,Y,-1.82
25-02-2025 11:20,22574.25,66525,150,0,24075,19125,Y,2175,Y,-0.49,22581.2,22574.25,48.85,2024325,300,525,59700,15900,N,68625,N,-0.49,73.1,1870275,75,1200,51675,7350,N,26100,N,-0.02,48680,5670,0,0,9360,720,N,-600,Y,-0.89
25-02-2025 11:25,22573,102300,0,0,24825,4575,N,975,Y,-0.84,22574.25,22573,45.85,2543325,-1275,300,57450,-58650,YES,900,Y,-0.64,74.8,2069325,-2175,75,45000,-57000,Y,-70575,YES,0,48675,5070,120,0,9240,1320,N,1110,N,-0.82
25-02-2025 11:30,22579.5,103725,-75,0,25950,-6450,YES,-3000,Y,-0.92,22571.05,22579.5,47.35,3010950,-2400,1200,66975,66750,Y,-136725,Y,-0.77,70.9,2680575,1800,-450,50100,-91650,Y,66375,Y,0.02,48680,16020,-240,120,13860,21480,Y,5370,N,-2.79
25-02-2025 11:35,22590.05,82050,-75,0,26325,7650,N,225,N,-0.34,22578.15,22590.05,52.45,3340050,-4350,-3675,52950,25575,N,-51600,YES,-0.66,63.65,3293775,-375,-1800,51525,-57375,YES,128025,Y,-0.22,48695.15,5460,0,0,8580,1170,YES,1080,Y,-0.53
25-02-2025 11:40,22596,101850,300,-225,29175,7575,N,-1725,Y,-0.14,22590.05,22596,55.6,3319950,3075,375,53475,44850,N,-200250,Y,-0.52,60.35,2563800,1350,-675,46650,-128850,Y,80400,N,-0.27,48721,5910,-90,0,9300,-3030,YES,1860,N,-0.46
25-02-2025 11:45,22588.4,76725,75,150,23775,-18750,YES,5625,N,-0.08,22596,22588.4,49.95,3328875,1425,2925,48225,-161775,YES,170700,YES,-0.5,63.9,2813925,225,0,54375,86550,YES,-10350,YES,-0.29,48688.4,11430,0,0,14070,-1230,N,6420,N,-0.65
25-02-2025 11:50,22589.9,57225,75,0,24075,-5175,N,-7125,Y,-0.17,22588.4,22589.9,50.2,1692000,450,-150,49275,82950,Y,72375,N,-0.29,64,2045100,-600,1425,47175,-21750,Y,36225,Y,-0.16,48691,4260,-30,60,8070,2130,N,-2190,Y,-0.46
25-02-2025 11:55,22590.1,113775,75,-750,25425,-16950,YES,-8100,Y,-0.23,22584,22590.1,51.25,1553325,975,4200,52200,81450,N,8100,N,-0.25,62.1,1309650,225,-750,51075,1500,YES,68250,Y,-0.11,48708.7,10200,0,-60,12330,-5970,YES,-1650,N,-0.73
25-02-2025 12:00,22586,43725,-75,-225,22050,-7500,N,4575,N,-0.13,22588,22586,49.75,1766250,-300,450,54825,-33300,YES,51600,YES,-0.3,63.3,1579425,-450,750,49500,24375,YES,-600,YES,-0.12,48702.5,15000,-210,780,11550,-1050,N,-7560,Y,-1.04
25-02-2025 12:05,22595.55,49350,-75,600,18000,5475,N,-3975,Y,-0.05,22585.7,22595.55,53.1,2135550,-2025,-1425,53850,102375,Y,-19500,Y,-0.32,60.1,1757025,-675,-600,45600,-66750,Y,43350,Y,-0.16,48728.95,8640,-30,-240,11280,-3000,YES,-1290,N,-0.2
25-02-2025 12:10,22596,55050,-75,0,19650,-750,YES,5100,N,0.01,22596.45,22596,52.25,3027000,2250,2550,57825,-1200,YES,-15075,N,-0.38,57.95,2793075,225,2400,49875,-20850,YES,-30450,YES,-0.33,48739.95,8670,60,30,10140,570,N,240,N,-0.15
25-02-2025 12:15,22599.95,71400,0,0,21825,2025,N,3150,N,0.09,22596,22599.95,53.85,3039750,675,2700,56475,8025,N,-57300,Y,-0.34,55.1,2563650,-1050,-750,50925,-86025,Y,63975,Y,-0.34,48748,12690,-60,60,11820,-1440,YES,-2040,Y,0.18
25-02-2025 12:20,22601.5,49500,75,-75,21900,3300,N,-2700,Y,0.04,22599.95,22601.5,55,1908075,75,-600,47775,32100,Y,15975,YES,-0.21,54.25,1623750,1200,750,45150,49125,YES,73350,N,-0.22,48749,14490,0,0,8670,-1860,YES,1800,N,0.26
25-02-2025 12:25,22608,122025,750,75,23100,35775,Y,6225,N,0.27,22602,22608,55.5,2653500,-1050,675,48150,-13800,YES,-130575,Y,-0.26,51.5,2196000,3075,600,50475,-90600,Y,39900,N,-0.32,48768.95,13620,30,0,9000,-1740,N,150,Y,0.37
25-02-2025 12:30,22600.4,70125,-75,0,24750,-1275,YES,300,Y,0.07,22608,22600.4,53,1981350,825,3000,50175,4500,N,79125,YES,-0.23,54.3,1900125,750,-2850,48825,-5175,YES,9600,N,-0.25,48748.4,7920,-30,360,8610,6720,N,-1920,Y,0.23
25-02-2025 12:35,22600.1,173100,150,0,22275,-3300,YES,-3450,Y,0.11,22600.4,22600.1,51.45,1620450,-375,-750,54300,-60375,YES,53325,N,-0.2,54.4,1555275,-13050,675,52875,12300,N,12300,N,-0.18,48730,24210,60,-510,9750,-2370,YES,1830,N,-0.22
25-02-2025 12:40,22600.75,46500,150,0,24225,525,N,2625,N,0.03,22600.5,22600.75,52.3,1339050,825,975,59400,21975,Y,32850,N,-0.15,53.65,1393800,-300,525,47625,2175,Y,43800,Y,-0.18,48735.4,10470,0,-1080,9330,1530,N,-1500,Y,-0.08
25-02-2025 12:45,22603.25,32025,-750,-75,21975,-450,YES,1800,Y,0.03,22600,22603.25,54.45,1616625,-225,2700,60525,-7125,YES,-54375,Y,-0.17,52.3,1490925,-675,825,45525,36300,YES,-8700,YES,-0.19,48740,12270,0,30,7770,-2280,YES,1380,N,-0.02
25-02-2025 12:50,22606.8,44475,1275,-4650,25200,-300,N,-4125,Y,0.07,22603.25,22606.8,54.3,1398825,-4200,-975,54300,-7050,N,35700,YES,-0.14,51.45,1310775,-2100,2175,51600,29100,N,34425,Y,-0.18,48739.5,7620,0,-30,7470,-840,N,-1860,Y,-0.05
25-02-2025 12:55,22609.15,54975,150,75,24450,1800,N,15150,N,0.14,22605.35,22609.15,55.3,2137125,-1425,2625,53550,26475,Y,-115350,Y,-0.18,49.4,2157300,2850,750,57750,-52575,Y,69375,Y,-0.31,48732.55,7680,0,-90,7890,1890,N,-300,N,0.01
